Afrihkká	África
Uhcabuokča	Tachybaptus ruficollis
Silkebuokča	Podiceps cristatus
Suorrespálfu	Hirundo rustica
Vuollesaksigiella	Bajo alemán
Mearragoaskin	Haliaeetus albicilla
Čáihnnit	Picidae
Sorbigiella	Lenguas sorbias
Vuojaš	Anas acuta
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Hávuhat	Accipitridae
Jeaggehávut	Circus cyaneus
Ubmi	Umeå
600	600
Njukča	Cygnus cygnus
Gahperbáiski	Chroicocephalus ridibundus
Suoidnečiksa	Anas querquedula
Giegabiigá	Jynx torquilla
Čiksa	Anas crecca
Örebro	Örebro
Gävle	Gävle
Bussáskuolfi	Strix aluco
Ruossaduoršu	Tadorna tadorna
Loađgu	Asio flammeus
Karlskrona	Karlskrona
Troandin	Trondheim
Ránesčuonjá	Anser anser
Ránessnárttal	Anas strepera
Derpmoš	Riparia riparia
Longyearbyen	Longyearbyen
Čáihnelottit	Piciformes
Spoađđoduoršu	Anas clypeata
Eskimo-aleuhtalaš gielat	Lenguas esquimo-aleutianas
Leivvoš	Alauda arvensis
Hermann Hesse	Hermann Hesse
Fiskesbeštor	Motacilla flava
Skuolffit	Strigidae
Beskkoš	Delichon urbicum
Syddanmark regiuvdna	Dinamarca Meridional
Davvi-Jyllándda regiuvdna	Jutlandia Septentrional
Oaivegávpoga regiuvdna	Región Capital (Dinamarca)
Romsa	Tromsø
Växjö	Växjö
Bihcebásčáihni	Dendrocopos major
Madeira	Madeira
Luleju	Luleå
Juopmu	Rumex acetosa
Reatká	Juniperus communis
Kalmar	Kalmar
Fasánat ja vuoncát	Phasianidae
Báiski	Larus canus
Vuoktafiehta	Aythya fuligula
Čuonjá	Anser fabalis
Snárttal	Anas penelope
Falun	Falun
Östersund	Östersund
Halmstad	Halmstad
Drammen	Drammen
Gaska-Jyllándda regiuvdna	Jutlandia Central
Sjællándda regiuvdna	Región de Selandia
Haŋŋá	Clangula hyemalis
Uhcanjukča	Cygnus columbianus columbianus
Ráneslivkkár	Muscicapa striata
Skierru	Rissa tridactyla
Livdnju	Calluna vulgaris
Cihranat	Apodidae
Čáhcevuoncát	Rallidae
Mearragáiru	Larus marinus
Stuorrafiehta	Aythya marila
Loddegonagas	Regulus regulus
Vilgesnierčuonjá	Branta leucopsis
Gáhkkor	Gavia stellata
Hávda	Somateria mollissima
Kanádačuonjá	Branta canadensis
Józef Gosławski	Józef Gosławski
Ruksesfiehta	Aythya ferina
Guossa	Picea
Birgon	Bergen
Fahkon	Orcinus orca
Geađgejorgu	Arenaria interpres
Bupmálas	Fulmarus glacialis
Muohtačuonjá	Chen caerulescens
Zagreb guovlu	Condado de Zagreb
Gierdočuonjá	Branta bernicla
Sildegáiru	Larus fuscus
Rievssatcizáš	Phylloscopus trochilus
Stuorraskávli	Larus hyperboreus
Nuorta-Afrihkká	África Oriental
Gaska-Afrihkká	África Central
Njurggu	Melanitta nigra
Girjelivkkár	Ficedula hypoleuca
Guatemala departemeanttat	Departamentos de Guatemala
Sandnes	Sandnes
Báiskelottit	Laridae
Hotealla	Hotel
Beallebuokčevuojažat	Anatinae
Sorø	Sorø
Billund	Billund (municipio)
Cabécargiella	Idioma cabécar
Assens	Assens (municipio)
Ainugiella	Idioma ainu
Faaborg-Midtfyn	Faaborg-Midtfyn
Biellorássi	Campanula rotundifolia
Vejle	Vejle (municipio)
Sirenikagiella	Idioma sirenik
Ránesskávli	Larus argentatus
Amharagiella	Idioma amhárico
Bribrigiella	Idioma bribri
Cizit	Emberizidae
Helssega universitehta	Universidad de Helsinki
Vuodjaláibi	Sándwich
Lahti	Lahti
Mauno Koivisto	Mauno Koivisto
Akureyri	Akureyri
Sauli Niinistö	Sauli Niinistö
Tarja Halonen	Tarja Halonen
Martti Ahtisaari	Martti Ahtisaari
Asturiagiella	Asturiano (asturleonés de Asturias)
Suoma presideanta	Anexo:Presidente de Finlandia
Leivvožat	Alaudidae
Čoađgi	Bucephala clangula
815	815
816	816
Inuktitutagiella	Lenguas inuit
Slagelse	Slagelse (municipio)
822	822
840	840
823	823
811	811
Guolbbajuopmu	Rumex acetosella
Ersagiella	Idioma erzya
888	888
851	851
802	802
804	804
801	801
Nyborg	Nyborg (municipio)
807	807
806	806
655	655
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
636	636
956	956
952	952
658	658
650	650
Njuorju	Pinnipedia
674	674
687	687
660	660
Ecser	Ecser
978	978
Silesiagiella	Idioma silesio
610	610
681	681
819	819
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
803	803
805	805
627	627
Е	Е
688	688
846	846
830	830
908	908
896	896
897	897
927	927
890	890
675	675
689	689
Eadni Teresa	Teresa de Calcuta
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
Heredia	Heredia (Costa Rica)
Cartago (Costa Rica)	Cartago (Costa Rica)
648	648
686	686
Limón	Limón (ciudad)
664	664
677	677
640	640
809	809
665	665
Puntarenas	Puntarenas (ciudad)
667	667
671	671
642	642
609	609
Ё	Ё
Frankriikka Polynesia	Polinesia Francesa
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
649	649
895	895
663	663
662	662
684	684
Pello	Pello
631	631
638	638
643	643
641	641
639	639
612	612
635	635
611	611
Giegabiiggát	Jynx
607	607
Arenaljávri	Lago Arenal
Vepsägiella	Idioma vepsio
Võrogiella	Idioma võro
Valery Leontiev	Valery Leontiev
Corsicagiella	Idioma corso
Baltijalaš gielat	Lenguas bálticas
620	620
Drake	Drake (rapero)
Bambaragiella	Idioma bambara
624	624
605	605
629	629
616	616
615	615
Bhodjpurigiella	Idioma bhoyapurí
644	644
646	646
633	633
637	637
Nuortamearasuopmelaš gielat	Lenguas fino-bálticas
Gagausagiella	Idioma gagaúzo
Anárašgiella	Sami inari
685	685
Ketagiella	Idioma ket
683	683
ISO 639	ISO 639
Kašmirigiella	Idioma cachemir
Gárjilgiella	Idioma carelio
Inkeroisgiella	Idioma ingrio
Hantigiella	Idioma janty
Haváijagiella	Idioma hawaiano
Kinyarwandagiella	Kiñaruanda
Kirundigiella	Kirundi
Kesha	Kesha
Jiekŋaguovža	Ursus maritimus
Gielddasámegiella	Sami kildin
Liivigiella	Idioma livonio
Mansigiella	Idioma mansi
Ođđa-Kaledonia	Nueva Caledonia
Oromogiella	Idioma oromo
Davvisámegiella	Sami septentrional
Nice	Niza
Sardigiella	Idioma sardo
Sundagiella	Idioma sondanés
Samojedagielat	Lenguas samoyedas
Setogiella	Idioma seto
Niue	Niue
Justin Bieber	Justin Bieber
Leongiella	Leonés (asturleonés de León y Zamora)
Urálalaš gielat	Lenguas urálicas
Pablo Neruda	Pablo Neruda
Oxford	Oxford
Juratsagiella	Idioma yurats
Międzyrzec Podlaski	Międzyrzec Podlaski
Sothogiella	Sesotho
Njuvččat	Cygnus (género)
Shakira	Shakira
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Boris Jeltsin	Borís Yeltsin
Saint Helena	Isla Santa Elena
1980-lohku	Años 1980
1990-lohku	Años 1990
J.K. Rowling	J. K. Rowling
Gustav Klimt	Gustav Klimt
Ruvsut	Rosa
1970-lohku	Años 1970
2000-lohku	Años 2000
Ortodoksalaš girku	Iglesia ortodoxa
Lulli Georgia ja Lulli Sandwich-sullot	Islas Georgias del Sur y Sandwich del Sur (territorio británico de ultramar)
Noemi	Noemi (cantante)
Áhkkilsámegiella	Sami akkala
Preussigiella	Idioma prusiano antiguo
Sarvva	Alces alces
Wallis ja Futuna	Wallis y Futuna
Amerihká ovttastuvvan stáhtaid oassestáhtat	Estado de los Estados Unidos
Pitcairn	Islas Pitcairn
1930-lohku	Años 1930
1960-lohku	Años 1960
1920-lohku	Años 1920
Osaka	Osaka
Langobardagiella	Idioma lombardo (germánico)
Kamassagiella	Idioma kamasiano
Sieđga	Salix
Liguragiella	Idioma ligur
Maithiligiella	Idioma maithili
Komigiella	Idioma komi
Siligo	Siligo
Pronomen	Pronombre
Vokála	Vocal
1950-lohku	Años 1950
Guovža	Ursus arctos
Nenetsagiella	Idioma nenezo
Matorigiella	Idioma mator
1940-lohku	Años 1940
1900-lohku	Años 1900
1910-lohku	Años 1910
Sumeragiella	Idioma sumerio
Njealječiegat	Cuadrilátero
William (Cambridgea herttot)	Guillermo de Cambridge
Vandálagiella	Idioma vándalo
Rauma	Rauma
Alajuela	Alajuela (ciudad)
.fi	.fi
Dalai Lama	Dalái Lama
John Michael Talbot	John Michael Talbot
Luciano Pavarotti	Luciano Pavarotti
Campora San Giovanni	Campora San Giovanni
Paul Gauguin	Paul Gauguin
1840-lohku	Años 1840
Turku	Turku
Devanagari	Devanagari
Čáhcemelovdna	Citrullus lanatus
1880-lohku	Años 1880
Davvi-Italia eanandoarggástus 2012	Terremotos de Italia de 2012
Nuku'alofa	Nukualofa
Norgalaš bovttášbeana	Lundehund
1890-lohku	Años 1890
Budejju	Bodø
Soči	Sochi
1830-lohku	Años 1830
San Ġwann	San Ġwann
Żabbar	Żabbar
Mosta	Mosta
San Pawl il-Baħar	San Pawl il-Baħar
Sliema	Sliema
1800-lohku	Años 1800
Qormi	Qormi
Birkirkara	Birkirkara
Boazu	Rangifer tarandus
Fierbmegironlasta	Salix reticulata
Nicolas Appert	Nicolás Appert
1860-lohku	Años 1860
1870-lohku	Años 1870
Spálffut	Hirundinidae
Nostradamus	Nostradamus
Cannes	Cannes
Strand (Norga)	Playa
1810-lohku	Años 1810
Antalya eanangoddi	Provincia de Antalya
.se	.se
A (kana)	あ
I (kana)	い
U (kana)	う
E (kana)	え
O (kana)	お
Adana eanangoddi	Provincia de Adana
Ko (kana)	こ
Heath Ledger	Heath Ledger
30 Seconds to Mars	30 Seconds to Mars
Large Hadron Collider	Gran colisionador de hadrones
Gásttašeaddji Johanas	Juan el Bautista
Tampere	Tampere
1850-lohku	Años 1850
.no	.no
Goaskin	Aquila chrysaetos
Johannes Vermeer	Johannes Vermeer
Edvard Munch	Edvard Munch
Muovjejieret	Ribes uva-crispa
Aš-šaheada	Shahada
Interneahtta-TLD	Dominio de nivel superior geográfico
Jean-Marie Gustave Le Clézio	Jean-Marie Gustave Le Clézio
Björk	Björk
Máistagat	Especia
CERN	Organización Europea para la Investigación Nuclear
Gievkkan	Cocina (habitación)
Ellen Johnson-Sirleaf	Ellen Johnson-Sirleaf
Juanes	Juanes
Charles (Walesa prinsa)	Carlos de Gales
Time (bláđđi)	Time
Albbas	Lynx lynx
Guayaquil	Guayaquil
Nightwish	Nightwish
Bursa eanangoddi	Provincia de Bursa
Montehermoso	Montehermoso
Artvin eanangoddi	Provincia de Artvin
Adıyaman eanangoddi	Provincia de Adıyaman
Reese Witherspoon	Reese Witherspoon
István Sándorfi	István Sándorfi
Almmái	Masculino
Anders Behring Breivik	Anders Breivik
Rabat (Malta)	Rabat (Malta)
Fgura	Fgura
Żejtun	Żejtun
Naxxar	Naxxar
Ronald Golias	Ronald Golias
Żurrieq	Żurrieq
Eartašattut	Fabaceae
Selma Lagerlöf	Selma Lagerlöf
Attard	Attard
Żebbuġ	Żebbuġ
1820-lohku	Años 1820
Tochigi prefektuvra	Prefectura de Tochigi
Carl XVI Gustaf	Carlos XVI Gustavo de Suecia
Afyonkarahisar eanangoddi	Provincia de Afyonkarahisar
Parallellográmma	Paralelogramo
Ruvsušattut	Rosaceae
Trapesa	Trapecio (geometría)
Edgar Degas	Edgar Degas
Lacuna Coil	Lacuna Coil
Bilecik eanangoddi	Provincia de Bilecik
Beassášsuolu	Isla Baker
Espoo	Espoo
Oulu	Oulu
Balıkesir eanangoddi	Provincia de Balıkesir
Titian	Tiziano
Down syndroma	Síndrome de Down
Doaŋgegeasáhat	Tétanos
Çanakkale eanangoddi	Provincia de Çanakkale
Pratibha Patil	Pratibha Patil
Suoma leavga	Bandera de Finlandia
Miyagi prefektuvra	Prefectura de Miyagi
Málle:Commonscat	Plantilla:Commonscat
Sámit	Pueblo lapón
Masfjorden	Masfjorden
Tysnes	Tysnes
Iwate prefektuvra	Prefectura de Iwate
Mariehamn	Mariehamn
Hiragana	Hiragana
Bjarkeddjo	Bjarkøy
Lurøy	Lurøy
Aremark	Aremark
Albánia leavga	Bandera de Albania
Sveio	Sveio
Sunndal	Sunndal
Værøy	Værøy
Solund	Solund
Spydeberg	Spydeberg
Trøgstad	Trøgstad
Fuoisku	Fauske
Svelvik	Svelvik
Davvesiida	Lebesby
Etne	Etne
Báhcavuotna	Båtsfjord
Mátta-Várjjat	Sør-Varanger
Suorta	Sortland
Láhppi	Loppa
Leirfjord	Leirfjord
Vaksdal	Vaksdal
Kurt Vonnegut	Kurt Vonnegut
Internationala	La Internacional
Østfolda fylka	Østfold
Akershusa fylka	Akershus
Hedmárkku fylka	Hedmark
Opplándda fylka	Oppland
Buskeruda fylka	Buskerud
Vestfolda fylka	Vestfold
Nuorta-Agdera fylka	Aust-Agder
Oarjel-Agdera fylka	Vest-Agder
Rogalándda fylka	Rogaland
Hordalándda fylka	Hordaland
Sogn ja Fjordane fylka	Sogn og Fjordane
Møre ja Romsdála fylka	Møre og Romsdal
Lulli-Trøndelága fylka	Sør-Trøndelag
Davvi-Trøndelága fylka	Nord-Trøndelag
Nordlándda fylka	Nordland
Romssa fylka	Troms
Finnmárkku fylka	Finnmark
Girkojahki	Año litúrgico
Gustaf VI Adolf	Gustavo VI Adolfo de Suecia
Fredrik Reinfeldt	Fredrik Reinfeldt
Kategoriija:Monarkiija	Categoría:Monarquía
Kategoriija:Stáhtavuogádagat	Categoría:Formas de estado
IKEA	IKEA
Nyköping	Nyköping
Yle	Yleisradio
Visby	Visby
Cuenca eanangoddi	Provincia de Cuenca
Albacete eanangoddi	Provincia de Albacete
Guadalajara eanangoddi	Provincia de Guadalajara
Toledo eanangoddi	Provincia de Toledo
Ciudad Real eanangoddi	Provincia de Ciudad Real
Alicante eanangoddi	Provincia de Alicante
Valencia eanangoddi	Provincia de Valencia
Castellón eanangoddi	Provincia de Castellón
Teruel eanangoddi	Provincia de Teruel
Pedro Almodóvar	Pedro Almodóvar
Zaragoza eanangoddi	Provincia de Zaragoza
Huesca eanangoddi	Provincia de Huesca
Palencia eanangoddi	Provincia de Palencia
Burgos eanangoddi	Provincia de Burgos
Soria eanangoddi	Provincia de Soria
Segovia eanangoddi	Provincia de Segovia
Ávila eanangoddi	Provincia de Ávila
Ж	Ж
Astrid Lindgren	Astrid Lindgren
Kategoriija:Polskka presideanttat	Categoría:Presidentes de Polonia
Komipermjakgiella	Idioma komi permio
Julevsámegiella	Sami de Lule
Awjilagiella	Idioma awjila
Sámegielat	Lenguas sami
Asker	Asker
Kroatia guovllut	Condados de Croacia
Krapina-Zagorje guovlu	Condado de Krapina-Zagorje
Sisak-Moslavina guovlu	Condado de Sisak-Moslavina
Karlovac guovlu	Condado de Karlovac
Bærum	Bærum
Harald V	Harald V de Noruega
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Jigme Khesar Namgyel Wangchuck	Jigme Khesar Namgyal Wangchuck
Tomislav Nikolić	Tomislav Nikolić
Abdul Halim Mu'adzam Shah	Abdul Halim
Jyrki Katainen	Jyrki Katainen
Andrus Ansip	Andrus Ansip
Helle Thorning-Schmidt	Helle Thorning-Schmidt
Jens Stoltenberg	Jens Stoltenberg
Lørenskog	Lørenskog
Nesodden	Nesodden
Skedsmo	Skedsmo
Ski	Ski
Varaždin guovlu	Condado de Varaždin
Koprivnica-Križevci guovlu	Condado de Koprivnica-Križevci
Bjelovar-Bilogora guovlu	Condado de Bjelovar-Bilogora
Primorje-Gorski Kotar guovlu	Condado de Primorje-Gorski Kotar
Lika-Senj guovlu	Condado de Lika-Senj
Virovitica-Podravina guovlu	Condado de Virovitica-Podravina
Požega-Slavonia guovlu	Condado de Požega-Eslavonia
Brod-Posavina guovlu	Condado de Brod-Posavina
Zadar guovlu	Condado de Zadar
Osijek-Baranja guovlu	Condado de Osijek-Baranja
Šibenik-Knin guovlu	Condado de Šibenik-Knin
Vukovar-Syrmia guovlu	Condado de Vukovar-Sirmia
Split-Dalmatia guovlu	Condado de Split-Dalmacia
Béarnaisebuonjus	Salsa bearnesa
Istria guovlu	Condado de Istria
Dubrovnik-Neretva guovlu	Condado de Dubrovnik-Neretva
Međimurje guovlu	Condado de Međimurje
Duran Duran	Duran Duran
Nuoskkideapmi	Contaminación
Pasifisma	Pacifismo
Narviika	Narvik
Sao Vang girdišillju	Aeropuerto de Sao Vàng
Čuoigama máilmmimeašttirgilvvut 2013	Campeonato Mundial de Esquí Nórdico de 2013
Tooji	Tooji
IPhone 5	IPhone 5
Pávoloddi	Pavo cristatus
Sápmi	Laponia
Hárštá	Harstad
Ålesund	Ålesund
Kalmara uniovdna	Unión de Kalmar
Davvinjárga	Nordkapp
Rogier van der Weyden	Rogier van der Weyden
Salamanca eanangoddi	Provincia de Salamanca
Valladolid eanangoddi	Provincia de Valladolid
Zamora eanangoddi	Provincia de Zamora
León eanangoddi	Provincia de León
Aomori prefektuvra	Prefectura de Aomori
Fukushima prefektuvra	Prefectura de Fukushima
Birokratiija	Burocracia
Nissoniid giehtaspábba-EM 2012	Campeonato Europeo de Balonmano Femenino de 2012
Vuovdeviola	Viola riviniana
Sállir	Kvaløya (Tromsø)
Yozgat eanangoddi	Provincia de Yozgat
Alfons Rebane	Alfons Rebane
Peter Lorre	Peter Lorre
Bingöl eanangoddi	Provincia de Bingöl
Ardahan eanangoddi	Provincia de Ardahan
Aydın eanangoddi	Provincia de Aydin
Suopmelaš-ugralaš gielat	Lenguas ugrofinesas
Gáiskešattut	Filicopsida
Chiba prefektuvra	Prefectura de Chiba
Amasya eanangoddi	Provincia de Amasya
Ağrı eanangoddi	Provincia de Ağrı
Burdur eanangoddi	Provincia de Burdur
Gáhpir	Sombrero
Olympos	Olimpo
Batman eanangoddi	Provincia de Batman
Novaja Zemlja	Nueva Zembla
Aichi prefektuvra	Prefectura de Aichi
Alla Pugacheva	Alla Pugachova
Van eanangoddi	Provincia de Van
Sigrid Undset	Sigrid Undset
Ruoŧa leavga	Bandera de Suecia
Sitrusšaddosat	Citrus
Álava eanangoddi	Álava
Almería eanangoddi	Provincia de Almería
Badajoz eanangoddi	Provincia de Badajoz
Akita prefektuvra	Prefectura de Akita
Barcelona eanangoddi	Provincia de Barcelona
Córdoba eanangoddi	Provincia de Córdoba (España)
Cáceres eanangoddi	Provincia de Cáceres
Cádiz eanangoddi	Provincia de Cádiz
Bolu eanangoddi	Provincia de Bolu
Ian Fleming	Ian Fleming
A Coruña eanangoddi	Provincia de La Coruña
Granada eanangoddi	Provincia de Granada
Hande Yener	Hande Yener
К	К
Henri de Toulouse-Lautrec	Henri de Toulouse-Lautrec
П	П (cirílico)
И	И
Njálla	Alopex lagopus
Museu de Arte de São Paulo	Museo de Arte de São Paulo
Aksaray eanangoddi	Provincia de Aksaray
Edirne eanangoddi	Provincia de Edirne
Norgga leavga	Bandera de Noruega
Bitlis eanangoddi	Provincia de Bitlis
Ibaraki prefektuvra	Prefectura de Ibaraki
Bartın eanangoddi	Provincia de Bartın
DSB	Danske Statsbaner
Grimstad	Grimstad
Málle:Girjegáldu	Plantilla:Cita libro
Jokŋa	Vaccinium vitis-idaea
Vizcaya eanangoddi	Vizcaya
Flesberg	Flesberg
Guipúzcoa eanangoddi	Guipúzcoa
Huelva eanangoddi	Provincia de Huelva
Jaén eanangoddi	Provincia de Jaén (España)
Lugo eanangoddi	Provincia de Lugo
Málaga eanangoddi	Provincia de Málaga
Ourense eanangoddi	Provincia de Orense
Las Palmas	Provincia de Las Palmas
Pontevedra eanangoddi	Provincia de Pontevedra
Sevilla eanangoddi	Provincia de Sevilla
Tarragona eanangoddi	Provincia de Tarragona
Santa Cruz de Tenerife eanangoddi	Provincia de Santa Cruz de Tenerife
Lillehammer	Lillehammer
Luovvarat	Trifolium
Beahcešattut	Pinaceae
Iglu	Iglú
Tove Jansson	Tove Jansson
Margrethe II	Margarita II de Dinamarca
Pärnu	Pärnu
Blekinge leatna	Provincia de Blekinge
Diftoŋga	Diptongo
Oarje-Götalándda leatna	Provincia de Västra Götaland
Skåne leatna	Provincia de Escania
Junior Eurovision lávllagilvvohallan	Festival de la Canción de Eurovisión Junior
Jönköpinga leatna	Provincia de Jönköping
Jämtlándda leatna	Provincia de Jämtland
Norrbottena leatna	Provincia de Norrbotten
Hallándda leatna	Provincia de Halland
Gävleborgga leatna	Provincia de Gävleborg
Kalmara leatna	Provincia de Kalmar
Roavvenjárga	Rovaniemi
Hafnarfjörður	Hafnarfjörður
Dalarna leatna	Provincia de Dalarna
Gotlándda leatna	Provincia de Gotland
Molde	Molde (Møre og Romsdal)
Stockholmma leatna	Provincia de Estocolmo
Örebro leatna	Provincia de Örebro
Čáhcesuolu	Vadsø
Hámar	Hamar
Kronobergga leatna	Provincia de Kronoberg
Eppelmuorat	Malus
Västerbottena leatna	Provincia de Västerbotten
Caspar David Friedrich	Caspar David Friedrich
Oarje-Norrlándda leatna	Provincia de Västernorrland
Uppsala leatna	Provincia de Upsala
Nuortagötlándda leatna	Provincia de Östergötland
Mari Kiviniemi	Mari Kiviniemi
Västmanlándda leatna	Provincia de Västmanland
Skandinávalaš gielat	Lenguas nórdicas
Värmlándda leatna	Provincia de Värmland
Ivar Aasen	Ivar Aasen
Ísafjörður	Ísafjörður
Södermanlándda leatna	Provincia de Södermanland
Fredrikstad	Fredrikstad
Hámmárfeasta	Hammerfest
Tønsberg	Tønsberg
Akraneskaupstaður	Akranes
Sarpsborg	Sarpsborg
Gjøvik	Gjøvik
Belize City	Ciudad de Belice
Várggát	Vardø
Plassje	Røros
Sandefjord	Sandefjord
Solna gielda	Solna
Stuorradiggi	Storting
Moss	Moss
Hitra	Hitra
Voss	Reino de Voss
Haugesund	Haugesund
Halden	Halden
Horten	Horten
Art Tatum	Art Tatum
Guido Reni	Guido Reni
Askim	Askim
Hobøl	Hobøl
Kristiansund	Kristiansund
Bearalváhki	Berlevåg
Odda	Odda
Ákŋoluokta	Hasvik
Stientjie	Steinkjer
Ringerike	Ringerike
Njaarke	Namsos
Brønnøy	Brønnøy
Vågå	Vågå
Ringsaker	Ringsaker
Fitjar	Fitjar
Bálat	Ballangen
Bømlo	Bømlo
Oppdal	Oppdal
Rømskog	Rømskog
Jondal	Jondal
Unjárga	Nesseby
Danderyda gielda	Danderyd
Lindås	Lindås
Haninge gielda	Haninge
Muosát	Måsøy
Botkyrka gielda	Botkyrka
Gáŋgaviika	Gamvik
Eidsberg	Eidsberg
Gáinnasa gielda	Kalix
Dierbmámuorji	Paris quadrifolia
Yli-Ii	Yli-Ii
Kyōto prefektuvra	Prefectura de Kioto
Unduláhtta	Melopsittacus undulatus
Sosiálademokratiija	Socialdemocracia
Mearrabađaluokta	Golfo de Botnia
Renée Zellweger	Renée Zellweger
Ōsaka prefektuvra	Prefectura de Osaka
Fukuoka prefektuvra	Prefectura de Fukuoka
Nuorssát	Dryas
Vaasa	Vaasa
Aretha Franklin	Aretha Franklin
Yamagata prefektuvra	Prefectura de Yamagata
Tunguska bávkkiheapmi	Bólido de Tunguska
Čeahka leavga	Bandera de la República Checa
Kanagawa prefektuvra	Prefectura de Kanagawa
Vestlandet	Vestlandet
Vantaa	Vantaa
Trøndelága	Trøndelag
Nagano prefektuvra	Prefectura de Nagano
Uummannarsuaq	Cabo Farewell (Groenlandia)
Mie prefektuvra	Prefectura de Mie
Čukčá	Tetrao urogallus
In a Reverie	In a Reverie
Fiskesjuopmu	Potentilla reptans
Hyōgo prefektuvra	Prefectura de Hyōgo
Miyazaki prefektuvra	Prefectura de Miyazaki
Lidnu	Bubo bubo
Čáhppesnjukča	Cygnus atratus
Sonja (Norgga dronnet)	Sonia de Noruega
Nominatiiva	Caso nominativo
Nara prefektuvra	Prefectura de Nara
Rwanda álbmotgoddin	Genocidio de Ruanda
Wakayama prefektuvra	Prefectura de Wakayama
Shizuoka prefektuvra	Prefectura de Shizuoka
Shiga prefektuvra	Prefectura de Shiga
Márfi	Salchicha
Flora	Flora
Harry Houdini	Harry Houdini
Kiinná ođđajahki	Año Nuevo chino
Cizášfálli	Falco columbarius
Vilgesguolli	Delphinapterus leucas
Dorotea gielda	Dorotea (Suecia)
Norgga ruvdno	Corona noruega
Niigata prefektuvra	Prefectura de Niigata
Yamanashi prefektuvra	Prefectura de Yamanashi
Shimane prefektuvra	Prefectura de Shimane
Toyama prefektuvra	Prefectura de Toyama
Gro Harlem Brundtland	Gro Harlem Brundtland
Bourg-en-Bresse	Bourg-en-Bresse
Beahci	Pinus sylvestris
Ja, vi elsker dette landet	Ja, vi elsker dette landet
Fukui prefektuvra	Prefectura de Fukui
Báktenárti	Micranthes nivalis
Gollenárti	Saxifraga aizoides
Ōita prefektuvra	Prefectura de Ōita
Tottori prefektuvra	Prefectura de Tottori
Jyväskylä	Jyväskylä
Howard Walter Florey	Howard Walter Florey
Zacapa	Zacapa (municipio)
Algiers eanangoddi	Provincia de Argel
Ruovddagas	Dryocopus martius
Fiskesrássešattut	Ranunculaceae
Svolvær	Svolvær
Akkusatiiva	Caso acusativo
Violat	Viola (género)
Suhpi	Populus tremula
Fiskesrásit	Ranunculus
Skábit	Sorbus aucuparia
Čáhppesjieret	Ribes nigrum
Jieret	Ribes rubrum
Gieddemuorji	Fragaria vesca
Máŋggaidlohku	Plural
Ehtemas	Vaccinium uliginosum
Sáhpal	Vicia cracca
Gollerássi	Caltha palustris
Deanutimjan	Thymus serpyllum
Edgar Rice Burroughs	Edgar Rice Burroughs
Skážirat	Filipendula
Miesttaskážirat	Spiraea
З	З
Dáigejieret	Ribes alpinum
Novealla	Novela corta
Aram Hačaturjan	Aram Jachaturián
German Titov	Guerman Titov
Carl Gustaf Emil Mannerheim	Carl Gustaf Emil Mannerheim
Silvia	Silvia de Suecia
Joan Miró	Joan Miró
Lennart Meri	Lennart Meri
Bryggen i Bergen	Bryggen
Guoládat	Kola (ciudad)
Eurovision lávllagilvvohallan 1957	Festival de la Canción de Eurovisión 1957
Olav V	Olaf V de Noruega
Haakon VII	Haakon VII de Noruega
John Singer Sargent	John Singer Sargent
Hurri	Tetrao tetrix
Violašattut	Violaceae
Soahkešattut	Betulaceae
Nellehat	Dianthus
Juopmošattut	Polygonaceae
Larvik	Larvik
Nárttit	Saxifraga
Muoskkáš	Menyanthes trifoliata
Victoria (Ruoŧa ruvdnaprinseassa)	Victoria de Suecia
Skiptvet	Skiptvet
Sofía	Sofía de Grecia
Lupiidnat	Lupinus
Ávžaskábit	Amelanchier
Dássesiiddot golmmačiegat	Triángulo equilátero
Podokarpusšattut	Podocarpaceae
Bađverásit	Alchemilla
Juomut	Rumex
Fiskesrássi	Ranunculus acris
Guolbbanásti	Trientalis europaea
Soahki	Betula pubescens
Skierri	Betula nana
Horbmášattut	Epilobium
Leaibi	Alnus incana
Veaddemuorji	Rubus saxatilis
Njuolggočiegat golmmačiegat	Triángulo rectángulo
Hilsku	Stellaria media
Luomi	Rubus chamaemorus
Ruonáminta	Mentha spicata
Ođđa-Selándda leavga	Bandera de Nueva Zelanda
Saga prefektuvra	Prefectura de Saga
Tokushima prefektuvra	Prefectura de Tokushima
Nuorsá	Dryas octopetala
Niitobiellorássi	Geum rivale
Sáhpalat	Melampyrum
Suotnjoruški	Comarum palustre
Beivečalbmi	Parnassia palustris
Boallorássi	Trollius europaeus
Niitosáhpal	Lathyrus pratensis
Boaresgállarássi	Geranium sylvaticum
