Αφρική	África
Δεκέμβριος	Diciembre
Τρίτη	Martes
Τετάρτη	Miércoles
Πέμπτη	Jueves
Παρασκευή	Viernes
Σάββατο	Sábado
Κυριακή	Domingo
Αξιωματικός (σκάκι)	Alfil
Πιόνι (σκάκι)	Peón (ajedrez)
Ίππος (σκάκι)	Caballo (ajedrez)
Πύργος (σκάκι)	Torre (ajedrez)
Βασιλιάς (σκάκι)	Rey (ajedrez)
Βασίλισσα (σκάκι)	Dama (ajedrez)
Λιοντάρι	Panthera leo
Γαλλία	Francia
Εσπεράντο	Esperanto
Σκύλος	Canis lupus familiaris
Ηνωμένο Βασίλειο	Reino Unido
Γάτα	Felis silvestris catus
Λαϊκή Δημοκρατία της Κίνας	República Popular China
Nyan Cat	Nyan Cat
Γαλλική γλώσσα	Idioma francés
Βικιλεξικό	Wikcionario
Ψάρι	Pisces
Αιθανόλη	Etanol
Αλκοολούχο ποτό	Bebida alcohólica
Βραζιλία	Brasil
Αλκοόλες	Alcohol
Φρανσουά Ολλάντ	François Hollande
Ρωσία	Rusia
Κητώδη	Cetacea
Οπτική ίνα	Fibra óptica
Τετράγωνο	Cuadrado
Θάλασσα	Mar
Μαύρη Θάλασσα	Mar Negro
Αριθμός π	Número π
Πι	Π
Wiki	Wiki
Τορόντο	Toronto
Αλαμπάμα	Alabama
Σάο Πάολο	São Paulo
Κεμπέκ (επαρχία)	Quebec
Πίτσα	Pizza
Ζυμαρικό	Pasta
Boeing 747	Boeing 747
Ίδρυμα Wikimedia	Fundación Wikimedia
Τζίμι Γουέιλς	Jimmy Wales
Γερμανία	Alemania
Λευκορωσία	Bielorrusia
Εθνικός ύμνος της Ιταλίας	Il Canto degli Italiani
Γερμανική γλώσσα	Idioma alemán
Ισλανδία	Islandia
Θεός	Dios
Εσθονία	Estonia
Ντέιβιντ Κάμερον	David Cameron
Κρόνος (πλανήτης)	Saturno (planeta)
Δακτύλιοι του Κρόνου	Anillos de Saturno
Σοκολάτα	Chocolate
Κεράσι	Cereza
Αεροπλάνο	Avión
Πόλεμος	Guerra
1 (αριθμός)	Uno
2 (αριθμός)	Dos
3 (αριθμός)	Tres
4 (αριθμός)	Cuatro
5 (αριθμός)	Cinco
0 (αριθμός)	Cero
Άπειρο	Infinito
Στήβεν Χάρπερ	Stephen Harper
Τζορτζ Μπους (νεότερος)	George W. Bush
Ορθογώνιο παραλληλόγραμμο	Rectángulo
Ορθή γωνία	Ángulo recto
Λετονία	Letonia
Ουκρανία	Ucrania
Τσεχία	República Checa
Σλοβακία	Eslovaquia
Σλοβενία	Eslovenia
Βίλνιους	Vilna
Μολδαβία	Moldavia
Ρουμανία	Rumania
Βουλγαρία	Bulgaria
Ρώμη	Roma
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας	República de Macedonia
Αλβανία	Albania
Γροιλανδία	Groenlandia
Κροατία	Croacia
Βοσνία και Ερζεγοβίνη	Bosnia y Herzegovina
Νουούκ	Nuuk
Αζερμπαϊτζάν	Azerbaiyán
Ανδόρρα	Andorra
Κύπρος	Chipre
Γεωργία	Georgia
Βαλλωνική Περιοχή	Región Valona
Καζακστάν	Kazajistán
Μάλτα	Malta
Μονακό	Mónaco
Μαυροβούνιο	Montenegro
Βατικανό	Ciudad del Vaticano
Άγιος Μαρίνος	San Marino
Βρυξέλλες	Bruselas
Περιοχή των Βρυξελλών	Región de Bruselas-Capital
Κούβα	Cuba
Μπελίζ	Belice
Πύργος του Άιφελ	Torre Eiffel
Μπαρμπάντος	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel Corporation	Intel Corporation
Πληκτρολόγιο	Teclado (informática)
Java	Java (lenguaje de programación)
Ινδονησία	Indonesia
QWERTY	Teclado QWERTY
Βόλφγκανγκ Αμαντέους Μότσαρτ	Wolfgang Amadeus Mozart
Λούντβιχ βαν Μπετόβεν	Ludwig van Beethoven
Τουρκική γλώσσα	Idioma turco
Νότια Αφρική	Sudáfrica
Ζαν-Φρανσουά Σαμπολιόν	Jean-François Champollion
Linkin Park	Linkin Park
Αλγερία	Argelia
Βικιθήκη	Wikisource
Τυφώνας Σάντι	Huracán Sandy
Ουζμπεκιστάν	Uzbekistán
Πόζναν	Poznań
Τασκένδη	Taskent
Βαρσοβία	Varsovia
Άιλα	Islay
Γέφυρα Φορθ	Forth Bridge
Διαγωνισμός Τραγουδιού Eurovision	Festival de la Canción de Eurovisión
Μόντενα	Módena
Ουίσκι	Whisky
Κρασί	Vino
Νερό	Agua
Κονιάκ	Coñac
Ζωικό δέρμα	Cuero
Ξύλο	Madera
Τουρ	Tours
Τηλεόραση	Televisión
Φύλο	Sexo
Πορνογραφία	Pornografía
Ισλανδική γλώσσα	Idioma islandés
Κλωντ Μονέ	Claude Monet
Ντιέγο Βελάθκεθ	Diego Velázquez
Χιλή	Chile
Ισλανδική Σάγκα	Sagas de los islandeses
Δομήνικος Θεοτοκόπουλος	El Greco
Ιησούς Χριστός	Jesús de Nazaret
Έλβις Πρίσλεϊ	Elvis Presley
Σεμπαστιάν Πινιέρα	Sebastián Piñera
Γαλιλαίος Γαλιλέι	Galileo Galilei
Ερμής (πλανήτης)	Mercurio (planeta)
Ιστορία	Historia
Κοιμητήριο Περ Λασαίζ	Cementerio del Père-Lachaise
Apple	Apple
Αφροδίτη (πλανήτης)	Venus (planeta)
Γλώσσα	Lenguaje
Αγάπη	Amor
Δικτατορία	Dictadura
Γαλαξίες	Galaxia
Δίας (πλανήτης)	Júpiter (planeta)
Μιτσέλ Μπατσελέ	Michelle Bachelet
Γαλαξίας	Vía Láctea
Χλανβαϊρπουχγκουίνγκιλ	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Μεγάλη Έκρηξη	Teoría del Big Bang
Ουρανός (πλανήτης)	Urano (planeta)
Αγγλική Βικιπαίδεια	Wikipedia en inglés
Νικολά Σαρκοζί	Nicolas Sarkozy
Ποσειδώνας (πλανήτης)	Neptuno (planeta)
Αστρονομία	Astronomía
Σιγκαπούρη	Singapur
Επιστήμη	Ciencia
Κοσμολογία	Cosmología
Πλούτωνας (πλανήτης νάνος)	Plutón (planeta enano)
Μόντρεαλ	Montreal
Ελεύθερο λογισμικό	Software libre
Παναγία	María (madre de Jesús)
Λουδοβίκος Θ΄ της Γαλλίας	Luis IX de Francia
Λίχτενσταϊν	Liechtenstein
Αθλητισμός	Deporte
Κέιμπριτζ	Cambridge
Εθνικό Πάρκο Γιέλοουστοουν	Parque nacional de Yellowstone
Αδόλφος Χίτλερ	Adolf Hitler
Λευκή της Καστίλης	Blanca de Castilla
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Τζούλιαν Ασάνζ	Julian Assange
Α΄ Παγκόσμιος Πόλεμος	Primera Guerra Mundial
Β΄ Παγκόσμιος Πόλεμος	Segunda Guerra Mundial
Κολωνία	Colonia (Alemania)
Βικιβιβλία	Wikilibros
Αουγούστο Πινοσέτ	Augusto Pinochet
Βικιφθέγματα	Wikiquote
Βικιταξίδια	Wikiviajes
Βότκα	Vodka
Βάφλα	Gofre
Ρολόι	Reloj
Ubuntu	Ubuntu
Σκόπια	Skopie
Γκντίνια	Gdynia
Μπομπ Ντίλαν	Bob Dylan
Στσέτσιν	Szczecin
Μαθηματικά	Matemáticas
U2	U2
Λατινική γλώσσα	Latín
Μπαχρέιν	Baréin
Αρμενία	Armenia
Τζέννα Τζέημσον	Jenna Jameson
Σφηνοειδής γραφή	Escritura cuneiforme
Σωματίδιο Χιγκς	Bosón de Higgs
Σερβία	Serbia
Σελήνη	Luna
Κωνσταντινούπολη	Estambul
Αυστραλία	Australia
Μπομπ Μάρλεϊ	Bob Marley
Καρλ Σαγκάν	Carl Sagan
Βιοαστρονομία	Astrobiología
Χρυσή Πλάκα του Πάιονηρ	Placa de la Pioneer
Φυσική	Física
Αργεντινή	Argentina
Τηλεπικοινωνίες	Telecomunicación
Περού	Perú
Βιολογία	Biología
ΑΤΙΑ	Objeto volador no identificado
Βόρεια Κορέα	Corea del Norte
Καμπότζη	Camboya
Ζώνη του Κάιπερ	Cinturón de Kuiper
Κοράνιο	Corán
Δεινόσαυροι	Dinosauria
Ζωολογία	Zoología
Ισλάμ	Islam
Αχλάδι	Pyrus
Βιβλιοθήκη της Αλεξάνδρειας	Biblioteca de Alejandría
Λιουμπλιάνα	Liubliana
Σαλβαδόρ Αγιέντε	Salvador Allende
Βοτανική	Botánica
Φυσική Ιστορία (Πλίνιος)	Naturalis historia
Λεχ Βαλέσα	Lech Wałęsa
Τροχός	Rueda
Εγκυκλοπαίδεια ή Λεξικό αλφαβητικά ταξινομημένο των τεχνών και των επαγγελμάτων	L'Encyclopédie
Ντενί Ντιντερό	Denis Diderot
Μουντάνεουμ	Mundaneum
Ειρήνη	Paz
Εγκυκλοπαίδεια Μπριτάνικα	Enciclopedia Británica
Λυών	Lyon
Ευρωπαϊκή Ένωση	Unión Europea
Φιλιππούπολη	Plovdiv
Internet Archive	Internet Archive
Ο Πόλεμος των Άστρων	Star Wars
Βικιπαίδεια:DBpedia	DBpedia
Παγκόσμιος Ιστός	World Wide Web
Γυναίκα	Mujer
Σόφια	Sofía
Υδραγωγείο	Acueducto
Δον Κιχώτης	Don Quijote de la Mancha
Ποίηση	Poesía
Megaupload	Megaupload
Ιός υπολογιστή	Virus informático
Πυρηνικό ατύχημα του Τσερνόμπιλ	Accidente de Chernóbil
Ρίψη ατομικής βόμβας στη Χιροσίμα και το Ναγκασάκι	Bombardeos atómicos sobre Hiroshima y Nagasaki
Μιλάνο	Milán
Φιλία	Amistad
Μνήμη	Memoria (proceso)
Αρθούρος Ρεμπώ	Arthur Rimbaud
Τορίνο	Turín
Λεμόνι	Citrus × limon
Σαρλ Μπωντλαίρ	Charles Baudelaire
Σταντάλ	Stendhal
Εμίλ Ζολά	Émile Zola
666	666
Άνθος	Flor
Γκούγκολ	Gúgol
Τάφρος των Μαριανών	Fosa de las Marianas
Βλαντίμιρ Βισότσκι	Vladímir Vysotski
Έβερεστ	Monte Everest
Ανατομία	Anatomía
Πόλη	Ciudad
Ναπολέων Α΄ της Γαλλίας	Napoleón Bonaparte
Όρος Όλυμπος (Άρης)	Monte Olimpo (Marte)
Φυσιολογία	Fisiología
Αστέρας	Estrella
Βεζούβιος	Monte Vesubio
Ήλιος	Sol
Ουρανός	Cielo
Λουί Παστέρ	Louis Pasteur
Έτος φωτός	Año luz
Χωριό	Pueblo (población rural)
Βίκτωρ Ουγκώ	Victor Hugo
Ωκεανία	Oceanía
Τζουζέπε Γκαριμπάλντι	Giuseppe Garibaldi
Ορβιέτο	Orvieto
Στίβος	Atletismo
Λογοκρισία	Censura
Ηλιακό σύστημα	Sistema Solar
Βαλτική Θάλασσα	Mar Báltico
Τεργέστη	Trieste
Βιστούλας	Vístula
Ψάρι μονομάχος	Betta splendens
Λεωφόρος Ηλυσίων Πεδίων	Avenida de los Campos Elíseos
Όντερ	Óder
Υδρογόνο	Hidrógeno
Πάττι Σμιθ	Patti Smith
Ήλιο	Helio
Δόντι	Diente
Κόλαση	Infierno
Wikimedia Commons	Wikimedia Commons
Καθαρτήριο	Purgatorio
Άνγκελα Μέρκελ	Angela Merkel
Λίθιο	Litio
Βηρύλλιο	Berilio
Ηχείο	Altavoz
Βιβλίο	Libro
Ημέρα	Día
Ανατολικό Τιμόρ	Timor Oriental
Έτος	Año
Αιώνας	Siglo
Λοτζ	Łódź
Λευκό Όρος	Mont Blanc
Ρήνος	Rin
Όσλο	Oslo
Βόννη	Bonn
Άγιοι Πάντες	Día de Todos los Santos
Κατοβίτσε	Katowice
Μαύρη τρύπα	Agujero negro
Λουίς δε Καμόες	Luís de Camões
Ομοφυλόφιλος	Gay
Δήμητρα (πλανήτης νάνος)	Ceres (planeta enano)
Λισαβόνα	Lisboa
Χαουμέια	Haumea (planeta enano)
Ροδανός	Ródano
Μακεμάκε	Makemake (planeta enano)
Άιονα	Iona
Έρις (πλανήτης νάνος)	Eris (planeta enano)
Ντουμπάι	Dubái
Λιονέλ Μέσι	Lionel Messi
Πάντοβα	Padua
Βόριο	Boro
Νικόλαος Κοπέρνικος	Nicolás Copérnico
Βερσάιγ	Versalles
Λούντβιγκσμπουργκ	Luisburgo
Άνθρακας	Carbono
Αλεσσάντρο Ντελ Πιέρο	Alessandro Del Piero
Βόλγας	Volga
Άζωτο	Nitrógeno
Μπέργκαμο	Bérgamo
Οξυγόνο	Oxígeno
ΦΚ Ιντερνατσιονάλε Μιλάνο	Inter de Milán
Νηλ Γιανγκ	Neil Young
Πλανήτης	Planeta
Κλεοπάτρα Ζ΄ της Αιγύπτου	Cleopatra VII
Μουσική	Música
Βενετία	Venecia
Naruto	Naruto
Πάδος	Po
Σαρμ ελ Σέιχ	Sharm el-Sheij
Νέβας	Río Nevá
Θερμόμετρο	Termómetro
Ρεν	Rennes
Λιλ	Lille
Μόσχα	Moscú
Φθόριο	Flúor
Ιταλική γλώσσα	Idioma italiano
Τσιουάουα (σκύλος)	Chihuahueño (perro)
Νέον	Neón
Τσιουάουα (πολιτεία)	Chihuahua
Αγία Πετρούπολη	San Petersburgo
Τσαντ	Chad
Νάτριο	Sodio
Βορράς	Norte
Μαγνήσιο	Magnesio
Neon Genesis Evangelion	Neon Genesis Evangelion
Αργίλιο	Aluminio
Νέα Ζηλανδία	Nueva Zelanda
Νότος	Sur
Ινδία	India
Πυρίτιο	Silicio
Φράγκιο	Francio
Τουβαλού	Tuvalu
One Piece	One Piece
Φωσφόρος	Fósforo
Αντρέ Μαρί Αμπέρ	André-Marie Ampère
Σίδηρος	Hierro
Τόνγκα	Tonga
Δύση	Oeste
Αλεσάντρο Βόλτα	Alessandro Volta
Θείο	Azufre
Σαμόα	Samoa
Ανατολή	Este
Νήσοι Σολομώντα	Islas Salomón
Βανουάτου	Vanuatu
Μολιέρος	Molière
Χλώριο	Cloro
Ντελφτ	Delft
Παπούα Νέα Γουινέα	Papúa Nueva Guinea
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Παραμύθι	Fábula
Νότια Ολλανδία	Holanda Meridional
Παλάου	Palaos
Αργό	Argón
Ναουρού	Nauru
Mozilla Firefox	Mozilla Firefox
Βόρεια Ολλανδία	Holanda Septentrional
Ομόσπονδες Πολιτείες της Μικρονησίας	Estados Federados de Micronesia
Κάλιο	Potasio
Ολιμπίκ Λυών	Olympique de Lyon
Ζηλανδία (επαρχία)	Zelanda
Ασβέστιο	Calcio
Φλέβολαντ	Flevolanda
Μόλυβδος	Plomo
Νήσοι Μάρσαλ	Islas Marshall
Κιριμπάτι	Kiribati
Μογγολία	Mongolia
Φίτζι	Fiyi
Σκάνδιο	Escandio
Στίβι Γουόντερ	Stevie Wonder
Χαϊλμπρόν	Heilbronn
Τιτάνιο	Titanio
Βενεζουέλα	Venezuela
Σκάκι	Ajedrez
Τζένγκις Χαν	Gengis Kan
Βανάδιο	Vanadio
Μέιν	Maine
Χρώμιο	Cromo
Άλογο	Equus ferus caballus
Άμστερνταμ	Ámsterdam
Όπλο	Arma
Ζώο	Animalia
Σουρινάμ	Surinam
Μαγγάνιο	Manganeso
Παραγουάη	Paraguay
Γουιάνα	Guyana
Τέχνη	Arte
Ισημερινός (χώρα)	Ecuador
Ρήνιο	Renio
Κροκ-μεσιέ	Croque-monsieur
Κολομβία	Colombia
Κοβάλτιο	Cobalto
Ρακίνας	Jean Racine
Βολφράμιο	Wolframio
Νικέλιο	Níquel
Φράουλα	Fragaria
Πιερ Κορνέιγ	Pierre Corneille
Βουδισμός	Budismo
Χρόνινγκεν (πόλη)	Groninga
Βολιβία	Bolivia
Όσμιο	Osmio
Χρόνινγκεν (επαρχία)	Provincia de Groninga
Χαλκός	Cobre
Τρινιντάντ και Τομπάγκο	Trinidad y Tobago
Πολ Βερλαίν	Paul Verlaine
Φυτό	Plantae
Άγιος Βικέντιος και Γρεναδίνες	San Vicente y las Granadinas
Ψευδάργυρος	Cinc
Νιου Χάμσαϊρ	Nuevo Hampshire
Αγία Λουκία	Santa Lucía
Μπιάλιστοκ	Białystok
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Άγιος Χριστόφορος και Νέβις	San Cristóbal y Nieves
Μύκητας	Fungi
Ντάριο Φο	Dario Fo
Τζαμάικα	Jamaica
Γρενάδα	Granada (país)
Φρίσλαντ	Frisia
Μασαχουσέτη	Massachusetts
Ντρέντε	Drente
Οφεράισσελ	Overijssel
Γουατεμάλα	Guatemala
Χέλντερλαντ	Güeldres
Ουτρέχτη (επαρχία)	Provincia de Utrecht
Google Chrome	Google Chrome
Μπαχάμες	Bahamas
Κονέκτικατ	Connecticut
Όρνιθα	Gallus gallus domesticus
Αντίγκουα και Μπαρμπούντα	Antigua y Barbuda
Χαβάη	Hawái
Ονδούρα	Honduras
Δομινίκα	Dominica
Τζέρσεϊ	Jersey
Δομινικανή Δημοκρατία	República Dominicana
Οικόσιτος χοίρος	Sus scrofa domestica
Αρκτικός Ωκεανός	Océano Ártico
Αϊτή	Haití
Ελ Σαλβαδόρ	El Salvador
Ιράν	Irán
Βλακεία	Tonto
Ιράκ	Irak
Αλάσκα	Alaska
Άσσεν	Assen
Σοφία	Sabiduría
Κόστα Ρίκα	Costa Rica
Ισραήλ	Israel
Ουτρέχτη (πόλη)	Utrecht
Παναμάς	Panamá
Υεμένη	Yemen
Ράντσταντ	Randstad
Λωζάνη	Lausana
Ιός	Virus
Πολωνική γλώσσα	Idioma polaco
Ιορδανία	Jordania
Νικαράγουα	Nicaragua
Φλόριντα	Florida
Κιργιζία	Kirguistán
Αριζόνα	Arizona
Κουβέιτ	Kuwait
Λάος	Laos
Λίβανος	Líbano
Όρεγκον	Oregón
Μαλδίβες	Maldivas
Αμερική	América
Γιούτα	Utah
Βους ο ταύρος	Bos primigenius taurus
Μαλαισία	Malasia
Μιχαήλ Μπουλγκάκοφ	Mijaíl Bulgákov
Μιανμάρ	Birmania
Νεπάλ	Nepal
Αντρέι Ρουμπλιόφ	Andréi Rubliov
Ομάν	Omán
Πακιστάν	Pakistán
Κατάρ	Catar
Αντισφαίριση	Tenis
Φρανσουά Βιγιόν	François Villon
MySQL	MySQL
Σαουδική Αραβία	Arabia Saudita
Αντρέι Ταρκόφσκι	Andréi Tarkovski
Σρι Λάνκα	Sri Lanka
Ιωσήφ Στάλιν	Iósif Stalin
Ραβδωτός κώδικας	Código de barras
Συρία	Siria
Πλάτων	Platón
Γάλλιο	Galio
Γιόζεφ Μπρόντσκι	Joseph Brodsky
Τατζικιστάν	Tayikistán
Πόκεμον	Pokémon
Δημοκρατία της Κίνας	República de China
YouTube	YouTube
Γερμάνιο	Germanio
Αριστοτέλης	Aristóteles
Ταϊλάνδη	Tailandia
Τρένο	Tren
Αρσενικό (χημικό στοιχείο)	Arsénico
Ραδιόφωνο	Radiocomunicación
Μέριλ Στριπ	Meryl Streep
Τουρκμενιστάν	Turkmenistán
Αμπακάν	Abakán
Σελήνιο	Selenio
Ιρίδιο	Iridio
Ηνωμένα Αραβικά Εμιράτα	Emiratos Árabes Unidos
Βρώμιο	Bromo
Λευκόχρυσος	Platino
Βιετνάμ	Vietnam
Τσάρλι Τσάπλιν	Charles Chaplin
Νοβοσιμπίρσκ	Novosibirsk
Νότια Κορέα	Corea del Sur
Γιόζεφ Πιλσούντσκι	Józef Piłsudski
Οι Σίμσονς	Los Simpson
Αικατερινούπολη	Ekaterimburgo
Κρυπτό	Kriptón
Αφγανιστάν	Afganistán
Gangnam Style	Gangnam Style
Νίζνι Νόβγκοροντ	Nizhni Nóvgorod
Tζ. Ρ. Ρ. Τόλκιν	J. R. R. Tolkien
Λεμονάδα	Limonada
Σαμάρα (Ρωσία)	Samara
Ρουβίδιο	Rubidio
Χρυσός	Oro
Ομσκ	Omsk
Διώρυγα Σουέζ	Canal de Suez
Καζάν	Kazán
Επιστήμονας	Científico
Μπανγκλαντές	Bangladés
Έρτα Άλε	Erta Ale
Bleach (μάνγκα)	Bleach
Φραντς Κάφκα	Franz Kafka
Τσελιάμπινσκ	Cheliábinsk
Ροστόφ επί του Ντον	Rostov del Don
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Μάλι	Malí
Σωκράτης	Sócrates
Βόλγκογκραντ	Volgogrado
Ανγκόλα	Angola
Περμ	Perm
Μπουτάν	Bután
Twitter	Twitter
Κρασνογιάρσκ	Krasnoyarsk
Μπρουνέι	Brunéi
Μπρατς	Brač
Τανζανία	Tanzania
Υδράργυρος	Mercurio (elemento)
Ρόαλντ Αμούνδσεν	Roald Amundsen
Χάρι Μούλις	Harry Mulisch
Φιλιππίνες	Filipinas
Κεντροαφρικανική Δημοκρατία	República Centroafricana
Κονσταντίν Μελνίκοφ	Konstantín Mélnikov
Uzumaki Naruto	Naruto Uzumaki
Θάλλιο	Talio
Νότιος Πόλος	Polo Sur
Βόρειος Πόλος	Polo Norte
Ισαάκ Νεύτων	Isaac Newton
OpenStreetMap	OpenStreetMap
Άλμπερτ Αϊνστάιν	Albert Einstein
Στρόντιο	Estroncio
Πέτρος Α΄ της Βραζιλίας	Pedro I de Brasil y IV de Portugal
Ναρκωτικό	Narcótico
Ύττριο	Itrio
Βισμούθιο	Bismuto
Κίτρινο	Amarillo
Κβαντική μηχανική	Mecánica cuántica
Τόγκο	Togo
Ντόναλντ Τουσκ	Donald Tusk
Τυνησία	Túnez
Τζον Μπαρντίν	John Bardeen
Ζάμπια	Zambia
Ζιμπάμπουε	Zimbabue
Άαρντενμπουργκ	Aardenburg
Πεκίνο	Pekín
Νότιο Σουδάν	Sudán del Sur
Βλαδιβοστόκ	Vladivostok
Δημοκρατία της Τιβά	Tuvá
Μπενίν	Benín
Μποτσουάνα	Botsuana
Βικινέα	Wikinoticias
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Κομόρες	Comoras
Δημοκρατία του Κονγκό	República del Congo
Άλκμααρ	Alkmaar
Ποταμός Ομπ	Río Obi
Λαϊκή Δημοκρατία του Κονγκό	República Democrática del Congo
Σαν Αντόνιο	San Antonio (Texas)
Τομσκ	Tomsk
Τζιμπουτί	Yibuti
Μιμίδιο	Meme
Πολώνιο	Polonio
Βαυαρία	Baviera
Ισημερινή Γουινέα	Guinea Ecuatorial
Βάδη-Βυρτεμβέργη	Baden-Wurtemberg
Ερυθραία	Eritrea
Νέο Δελχί	Nueva Delhi
Άλμελο	Almelo
Πάπας Ιωάννης Παύλος Β΄	Juan Pablo II
Φιοντόρ Ντοστογιέφσκι	Fiódor Dostoyevski
Αμερσφόρτ	Amersfoort
Χερσόνησος Καμτσάτκα	Península de Kamchatka
Τιφλίδα	Tiflis
Αντρέι Ζαχάρωφ	Andréi Sájarov
Άστατο	Ástato
Γκαμπόν	Gabón
Μαχάτμα Γκάντι	Mahatma Gandhi
Αλληλεγγύη (συνδικάτο της Πολωνίας)	Solidarność
Κόμικς	Historieta
Γκάμπια	Gambia
Γουινέα	Guinea
Γουινέα-Μπισσάου	Guinea-Bisáu
Ακτή Ελεφαντοστού	Costa de Marfil
Καμερούν	Camerún
Μάριμπορ	Máribor
Πράσινο Ακρωτήριο	Cabo Verde
Τσέλιε	Celje
Λεσότο	Lesoto
Λιβερία	Liberia
Κόπερ	Koper
Λιβύη	Libia
Άαχεν	Aquisgrán
Νόβα Γκόριτσα	Nova Gorica
Μαδαγασκάρη	Madagascar
Μαλάουι	Malaui
Στουτγκάρδη	Stuttgart
Όρος Τρίγκλαβ	Triglav
Μαυριτανία	Mauritania
Μαυρίκιος (κράτος)	Mauricio
Μαρόκο	Marruecos
Μοζαμβίκη	Mozambique
Ναμίμπια	Namibia
Νίγηρας	Níger
Νιγηρία	Nigeria
Κάρολος Δαρβίνος	Charles Darwin
Ουγκάντα	Uganda
Ρουάντα	Ruanda
Ζιρκόνιο	Circonio
Σάο Τομέ και Πρίνσιπε	Santo Tomé y Príncipe
Καρλσρούη	Karlsruhe
Σενεγάλη	Senegal
Σεϋχέλλες	Seychelles
Κάρολος Λινναίος	Carlos Linneo
Σιέρα Λεόνε	Sierra Leona
Σομαλία	Somalia
Νιόβιο	Niobio
Τζαβαχαρλάλ Νεχρού	Sri Pandit Jawaharlal Nehru
Ιούλιος Καίσαρ	Julio César
Σουδάν	Sudán
Σουαζιλάνδη	Suazilandia
Ουράνιο τόξο	Arco iris
Μολυβδαίνιο	Molibdeno
