આફ્રિકા	África
ગૅલિલિયો ગૅલિલિ	Galileo Galilei
બુધ (ગ્રહ)	Mercurio (planeta)
ઇતિહાસ	Historia
શુક્ર (ગ્રહ)	Venus (planeta)
ભાષા	Lenguaje
પ્રેમ	Amor
આકાશગંગા	Galaxia
ગુરુ (ગ્રહ)	Júpiter (planeta)
યુરેનસ (ગ્રહ)	Urano (planeta)
નૅપ્ચ્યુન (ગ્રહ)	Neptuno (planeta)
ખગોળશાસ્ત્ર	Astronomía
સિંગાપુર	Singapur
વિજ્ઞાન	Ciencia
પ્લૂટો	Plutón (planeta enano)
ફ્રી સૉફ્ટવૅર	Software libre
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Deporte
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Segunda Guerra Mundial
વોડકા	Vodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	Matemáticas
બહેરીન	Baréin
આર્મેનિયા	Armenia
ચંદ્ર	Luna
ઑસ્ટ્રેલિયા	Australia
ભૌતિકશાસ્ત્ર	Física
આર્જેન્ટીના	Argentina
પેરુ (દેશ)	Perú
જીવવિજ્ઞાન	Biología
અજાણી ઊડતી વસ્તુ	Objeto volador no identificado
ઉત્તર કોરિયા	Corea del Norte
કમ્બોડીયા	Camboya
કુરાન	Corán
ડાયનાસોર	Dinosauria
પ્રાણીશાસ્ત્ર	Zoología
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Mujer
કોમ્પ્યુટર વાયરસ	Virus informático
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Bombardeos atómicos sobre Hiroshima y Nagasaki
મિલાન	Milán
લીંબુ	Citrus × limon
ફૂલ	Flor
માઉન્ટ એવરેસ્ટ	Monte Everest
શહેર	Ciudad
નેપોલિયન બોનાપાર્ટ	Napoleón Bonaparte
સૂર્ય	Sol
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Año luz
ગામ	Pueblo (población rural)
સૂર્યમંડળ	Sistema Solar
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenida de los Campos Elíseos
ઉદકજન	Hidrógeno
હીલિયમ	Helio
નર્ક	Infierno
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Litio
બેરિલિયમ	Berilio
દિવસ	Día
પૂર્વ તિમોર	Timor Oriental
વર્ષ	Año
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Agujero negro
સિરસ (વામન ગ્રહ)	Ceres (planeta enano)
હૌમેયા (વામન ગ્રહ)	Haumea (planeta enano)
મેકમેક (વામન ગ્રહ)	Makemake (planeta enano)
બોરોન	Boro
કાર્બન	Carbono
નત્રલવાયુ	Nitrógeno
પ્રાણવાયુ (ઑક્સીજન)	Oxígeno
ગ્રહ	Planeta
સંગીત	Música
ઉષ્ણતામાપક	Termómetro
ફ્લોરિન	Flúor
નિયોન	Neón
ચૅડ	Chad
ક્ષારાતુ	Sodio
ઉત્તર	Norte
મેગ્નેશિયમ	Magnesio
સ્ફટયાતુ	Aluminio
દક્ષિણ	Sur
ભારત	India
સિલિકોન	Silicio
ફ્રાંસીયમ	Francio
ફોસ્ફરસ	Fósforo
લોખંડ	Hierro
પશ્ચિમ	Oeste
ગંધક	Azufre
સમોઆ	Samoa
નીરજી	Cloro
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argón
નૌરુ	Nauru
પોટેશિયમ	Potasio
કેલ્શિયમ	Calcio
સીસું	Plomo
મંગોલિયા	Mongolia
સ્કેન્ડિયમ	Escandio
ટાઇટેનિયમ	Titanio
વેનેઝુએલા	Venezuela
ચેસ	Ajedrez
વેનેડિયમ	Vanadio
વર્ણાતુ	Cromo
ઘોડો	Equus ferus caballus
હથિયારો	Arma
પ્રાણી	Animalia
સુરીનામ	Surinam
મેંગેનિઝ	Manganeso
ગુયાના	Guyana
કલા	Arte
ઈક્વેડોર	Ecuador
રિનીયમ	Renio
કોલમ્બિયા	Colombia
કોબાલ્ટ	Cobalto
ટંગસ્ટન	Wolframio
નિકલ	Níquel
બૌદ્ધ ધર્મ	Budismo
બોલીવિયા	Bolivia
ઓસ્મીયમ	Osmio
તાંબુ	Cobre
ટ્રિનિદાદ અને ટોબેગો	Trinidad y Tobago
જસત	Cinc
ન્યૂ હેમ્પશાયર	Nuevo Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haití
ઈરાન	Irán
ઈરાક	Irak
શાણપણ	Sabiduría
ઈઝરાયલ	Israel
પનામા	Panamá
યેમેન	Yemen
જૉર્ડન	Jordania
કિર્ગિસ્તાન	Kirguistán
કુવૈત	Kuwait
લાઓસ	Laos
લેબેનાન	Líbano
માલદીવ્સ	Maldivas
અમેરિકા	América
મલેશિયા	Malasia
બર્મા	Birmania
નેપાળ	Nepal
ઓમાન	Omán
પાકિસ્તાન	Pakistán
કતાર (અરબસ્તાન)	Catar
સાઉદી અરેબિયા	Arabia Saudita
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Iósif Stalin
સિરિયા	Siria
પ્લેટો	Platón
ગેલિયમ	Galio
તાજિકિસ્તાન	Tayikistán
ચીની ગણતંત્ર	República de China
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanio
એરિસ્ટોટલ	Aristóteles
થાઇલેન્ડ	Tailandia
સોમલ	Arsénico
તુર્કમેનિસ્તાન	Turkmenistán
સેલિનીયમ	Selenio
ઈરિડીયમ	Iridio
બ્રોમિન	Bromo
પ્લેટિનમ	Platino
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charles Chaplin
દક્ષિણ કોરિયા	Corea del Sur
ક્રિપ્ટોન	Kriptón
અફઘાનિસ્તાન	Afganistán
રુબિડીયમ	Rubidio
સોનું	Oro
સુએઝ નહેર	Canal de Suez
બાંગ્લાદેશ	Bangladés
સોક્રેટિસ	Sócrates
ભૂતાન	Bután
બ્રુનેઈ	Brunéi
ટાન્ઝાનિયા	Tanzania
પારો	Mercurio (elemento)
ફીલીપાઈન્સ	Filipinas
થેલીયમ	Talio
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Estroncio
ઈટ્રીયમ	Itrio
બિસ્મથ	Bismuto
ટોગો	Togo
ટ્યુનિશિયા	Túnez
બેઇજિંગ	Pekín
બેનિન	Benín
પોલોનીયમ	Polonio
એસ્ટાટીન	Ástato
મહાત્મા ગાંધી	Mahatma Gandhi
મડાગાસ્કર	Madagascar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Níger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Circonio
નાયોબિયમ	Niobio
જવાહરલાલ નેહરુ	Sri Pandit Jawaharlal Nehru
જુલિયસ સીઝર	Julio César
સુદાન	Sudán
સ્વાઝીલેન્ડ	Suazilandia
મેઘધનુષ	Arco iris
મોલિબ્ડેનમ	Molibdeno
ટેક્નેશિયમ	Tecnecio
ચયાપચય	Metabolismo
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Guyarat
ઉત્ક્રાંતિ	Evolución biológica
સંયુક્ત રાષ્ટ્રસંઘ	Organización de las Naciones Unidas
અમદાવાદ	Ahmedabad
ભૂગોળ	Geografía
મગજ	Cerebro
સંજ્ઞા	Sustantivo
રુથેનિયમ	Rutenio
રોડિયમ	Rodio
પલેડિયમ	Paladio
ચાંદી	Plata
કેડમિયમ	Cadmio
ઈંડિયમ	Indio (elemento)
ટીન	Estaño
યુરેનિયમ	Uranio
એંટિમની	Antimonio
ટેલુરિયમ	Telurio
પ્લુટોનીયમ	Plutonio
આયોડિન	Yodo
નેપ્ચ્યુનીયમ	Neptunio
ઝેનોન	Xenón
સીસીયમ	Cesio
પ્રોટેક્ટિનીયમ	Protactinio
બેરિયમ	Bario
થોરીયમ	Torio
હાફનીયમ	Hafnio
એક્ટિનીયમ	Actinio
ટેન્ટેલમ	Tantalio
રેડિયમ	Radio (elemento)
રેડૉન	Radón
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Bombay
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu y Cachemira
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharastra
મણિપુર	Manipur
મેઘાલય	Megalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordio
ડૂબનીયમ	Dubnio
સીબોર્ગીયમ	Seaborgio
હિંદ મહાસાગર	Océano Índico
કેરેબિયન સાગર	Mar Caribe
બોહ્રીયમ	Bohrio
હેસીયમ	Hassio
માઈટનિરીયમ	Meitnerio
ડાર્મસ્ટેડીયમ	Darmstadio
રેન્ટજિનીયમ	Roentgenio
કોપરનિસીયમ	Copernicio
ધ બિટલ્સ	The Beatles
શિયાળો	Invierno
ઉનાળો	Verano
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Equinoccio
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Filadelfia
કોલકાતા	Calcuta
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Daca
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	Bengala Occidental
હૈદરાબાદ	Hyderabad (India)
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
વાંદરો	Mono
સિરીયમ	Cerio
પ્રેસિયોડિમિયમ	Praseodimio
નિયોડીમીયમ	Neodimio
લેનિન	Lenin
યુરોપિયમ	Europio
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia
મોટરગાડી	Automóvil
ટ્રાજન	Trajano
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rayastán
તમિલનાડુ	Tamil Nadu
હોકી	Hockey sobre césped
ક્રોહનનો રોગ	Enfermedad de Crohn
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizorán
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Idioma maratí
ગણેશ	Ganesha
મિઝોરી	Misuri
લ્યુઇસિયાના	Luisiana
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lantano
પ્રોમેથિયમ	Prometio
સમેરિયમ	Samario
ગેડોલિનીયમ	Gadolinio
ટર્બિયમ	Terbio
ડીસ્પ્રોસીયમ	Disprosio
બાઇબલ	Biblia
હોલ્મીયમ	Holmio
અર્બિયમ	Erbio
થુલિયમ	Tulio
ઈટરબિયમ	Iterbio
લ્યુટેશિયમ	Lutecio
સત્ય ઇસુ દેવળ	Verdadera Iglesia de Jesús
અંગ્રેજી ભાષા	Idioma inglés
અમેરિસીયમ	Americio
ક્યુરીયમ	Curio
બર્કેલીયમ	Berkelio
કેલિફોર્નીયમ	Californio
આઇન્સ્ટેનીયમ	Einstenio
ફર્મીયમ	Fermio
મેન્ડેલિવીયમ	Mendelevio
નોબેલીયમ	Nobelio
લોરેન્સીયમ	Lawrencio
ગુરુના ચંદ્રો	Satélites de Júpiter
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Serpentes
મુખ મૈથુન	Sexo oral
જાન્યુઆરી ૧	1 de enero
જાન્યુઆરી ૨	2 de enero
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	3 de enero
જાન્યુઆરી ૪	4 de enero
જાન્યુઆરી ૫	5 de enero
જાન્યુઆરી ૬	6 de enero
જાન્યુઆરી ૭	7 de enero
જાન્યુઆરી ૮	8 de enero
જાન્યુઆરી ૯	9 de enero
જાન્યુઆરી ૧૦	10 de enero
જાન્યુઆરી ૧૧	11 de enero
જાન્યુઆરી ૧૨	12 de enero
જાન્યુઆરી ૧૩	13 de enero
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14 de enero
જાન્યુઆરી ૧૫	15 de enero
જાન્યુઆરી ૧૬	16 de enero
જાન્યુઆરી ૧૭	17 de enero
જાન્યુઆરી ૧૮	18 de enero
જાન્યુઆરી ૧૯	19 de enero
જાન્યુઆરી ૨૦	20 de enero
જાન્યુઆરી ૨૧	21 de enero
જાન્યુઆરી ૨૨	22 de enero
જાન્યુઆરી ૨૩	23 de enero
જાન્યુઆરી ૨૪	24 de enero
જાન્યુઆરી ૨૫	25 de enero
જાન્યુઆરી ૨૬	26 de enero
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27 de enero
જાન્યુઆરી ૨૮	28 de enero
જાન્યુઆરી ૨૯	29 de enero
જાન્યુઆરી ૩૦	30 de enero
જાન્યુઆરી ૩૧	31 de enero
ડિસેમ્બર ૨	2 de diciembre
ડિસેમ્બર ૧	1 de diciembre
ડિસેમ્બર ૩	3 de diciembre
ડિસેમ્બર ૭	7 de diciembre
ડિસેમ્બર ૫	5 de diciembre
ડિસેમ્બર ૮	8 de diciembre
ડિસેમ્બર ૧૦	10 de diciembre
ડિસેમ્બર ૬	6 de diciembre
ડિસેમ્બર ૯	9 de diciembre
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4 de diciembre
ફેબ્રુઆરી ૧	1 de febrero
ફેબ્રુઆરી ૨	2 de febrero
ફેબ્રુઆરી ૩	3 de febrero
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4 de febrero
ફેબ્રુઆરી ૫	5 de febrero
ફેબ્રુઆરી ૬	6 de febrero
ફેબ્રુઆરી ૭	7 de febrero
ફેબ્રુઆરી ૮	8 de febrero
ફેબ્રુઆરી ૯	9 de febrero
ફેબ્રુઆરી ૧૦	10 de febrero
રસાયણ શાસ્ત્ર	Química
ફેબ્રુઆરી ૧૪	14 de febrero
ફેબ્રુઆરી ૧૩	13 de febrero
ફેબ્રુઆરી ૧૫	15 de febrero
ફેબ્રુઆરી ૧૧	11 de febrero
ફેબ્રુઆરી ૧૨	12 de febrero
ફેબ્રુઆરી ૧૯	19 de febrero
ફેબ્રુઆરી ૧૭	17 de febrero
ફેબ્રુઆરી ૧૬	16 de febrero
ફેબ્રુઆરી ૧૮	18 de febrero
ફેબ્રુઆરી ૨૦	20 de febrero
ફેબ્રુઆરી ૨૧	21 de febrero
ફેબ્રુઆરી ૨૨	22 de febrero
ફેબ્રુઆરી ૨૩	23 de febrero
ફેબ્રુઆરી ૨૪	24 de febrero
ફેબ્રુઆરી ૨૫	25 de febrero
ફેબ્રુઆરી ૨૬	26 de febrero
ફેબ્રુઆરી ૨૭	27 de febrero
ફેબ્રુઆરી ૨૮	28 de febrero
ડિસેમ્બર ૧૧	11 de diciembre
ફેબ્રુઆરી ૨૯	29 de febrero
ડિસેમ્બર ૧૨	12 de diciembre
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C Sharp
ડિસેમ્બર ૧૩	13 de diciembre
ડિસેમ્બર ૧૪	14 de diciembre
ડિસેમ્બર ૧૫	15 de diciembre
માર્ચ ૨	2 de marzo
માર્ચ ૩	3 de marzo
માર્ચ ૫	5 de marzo
માર્ચ ૧	1 de marzo
માર્ચ ૭	7 de marzo
માર્ચ ૮	8 de marzo
માર્ચ ૪	4 de marzo
માર્ચ ૧૦	10 de marzo
માર્ચ ૧૧	11 de marzo
માર્ચ ૬	6 de marzo
માર્ચ ૧૩	13 de marzo
માર્ચ ૯	9 de marzo
માર્ચ ૧૨	12 de marzo
માર્ચ ૧૫	15 de marzo
માર્ચ ૧૪	14 de marzo
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16 de diciembre
ડિસેમ્બર ૧૭	17 de diciembre
માર્ચ ૧૬	16 de marzo
માર્ચ ૧૭	17 de marzo
માર્ચ ૧૮	18 de marzo
માર્ચ ૧૯	19 de marzo
માર્ચ ૨૦	20 de marzo
માર્ચ ૨૧	21 de marzo
માર્ચ ૨૨	22 de marzo
ડિસેમ્બર ૧૮	18 de diciembre
માર્ચ ૨૩	23 de marzo
ડિસેમ્બર ૧૯	19 de diciembre
માર્ચ ૨૪	24 de marzo
માર્ચ ૨૫	25 de marzo
ડિસેમ્બર ૨૦	20 de diciembre
માર્ચ ૨૬	26 de marzo
માર્ચ ૨૭	27 de marzo
માર્ચ ૨૮	28 de marzo
માર્ચ ૨૯	29 de marzo
માર્ચ ૩૦	30 de marzo
માર્ચ ૩૧	31 de marzo
એપ્રિલ ૧૫	15 de abril
એપ્રિલ ૧૩	13 de abril
એપ્રિલ ૧૨	12 de abril
એપ્રિલ ૧૪	14 de abril
એપ્રિલ ૧૧	11 de abril
એપ્રિલ ૧૦	10 de abril
એપ્રિલ ૮	8 de abril
એપ્રિલ ૯	9 de abril
એપ્રિલ ૭	7 de abril
એપ્રિલ ૬	6 de abril
એપ્રિલ ૫	5 de abril
એપ્રિલ ૪	4 de abril
એપ્રિલ ૩	3 de abril
એપ્રિલ ૧	1 de abril
એપ્રિલ ૨	2 de abril
એપ્રિલ ૧૬	16 de abril
એપ્રિલ ૧૭	17 de abril
એપ્રિલ ૧૮	18 de abril
એપ્રિલ ૧૯	19 de abril
એપ્રિલ ૨૦	20 de abril
એપ્રિલ ૨૧	21 de abril
એપ્રિલ ૨૨	22 de abril
એપ્રિલ ૨૩	23 de abril
એપ્રિલ ૨૪	24 de abril
એપ્રિલ ૨૫	25 de abril
એપ્રિલ ૨૬	26 de abril
એપ્રિલ ૨૭	27 de abril
એપ્રિલ ૨૮	28 de abril
એપ્રિલ ૨૯	29 de abril
એપ્રિલ ૩૦	30 de abril
મે ૧	1 de mayo
મે ૨	2 de mayo
મે ૩	3 de mayo
મે ૪	4 de mayo
મે ૫	5 de mayo
મે ૬	6 de mayo
મે ૭	7 de mayo
મે ૮	8 de mayo
મે ૯	9 de mayo
મે ૧૦	10 de mayo
મે ૧૧	11 de mayo
મે ૧૨	12 de mayo
મે ૧૩	13 de mayo
મે ૧૪	14 de mayo
મે ૧૫	15 de mayo
મે ૧૬	16 de mayo
મે ૧૭	17 de mayo
મે ૧૮	18 de mayo
મે ૧૯	19 de mayo
મે ૨૦	20 de mayo
મે ૨૧	21 de mayo
મે ૨૨	22 de mayo
મે ૨૩	23 de mayo
મે ૨૪	24 de mayo
મે ૨૫	25 de mayo
મે ૨૬	26 de mayo
મે ૨૭	27 de mayo
મે ૨૮	28 de mayo
મે ૨૯	29 de mayo
મે ૩૦	30 de mayo
મે ૩૧	31 de mayo
ડિસેમ્બર ૨૧	21 de diciembre
જૂન ૧૪	14 de junio
જૂન ૧૫	15 de junio
જૂન ૧૩	13 de junio
જૂન ૧૦	10 de junio
જૂન ૭	7 de junio
જૂન ૧૧	11 de junio
જૂન ૯	9 de junio
જૂન ૧૨	12 de junio
જૂન ૬	6 de junio
જૂન ૮	8 de junio
જૂન ૫	5 de junio
જૂન ૩	3 de junio
જૂન ૨	2 de junio
જૂન ૧	1 de junio
જૂન ૪	4 de junio
ડિસેમ્બર ૨૨	22 de diciembre
જૂન ૧૬	16 de junio
જૂન ૩૦	30 de junio
જૂન ૨૯	29 de junio
જૂન ૨૮	28 de junio
જૂન ૨૬	26 de junio
જૂન ૨૫	25 de junio
જૂન ૨૨	22 de junio
જૂન ૨૭	27 de junio
જૂન ૨૪	24 de junio
જૂન ૨૦	20 de junio
જૂન ૨૩	23 de junio
જૂન ૧૯	19 de junio
જૂન ૧૮	18 de junio
જૂન ૨૧	21 de junio
જૂન ૧૭	17 de junio
ડિસેમ્બર ૨૩	23 de diciembre
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15 de julio
જુલાઇ ૧૩	13 de julio
જુલાઇ ૧૨	12 de julio
જુલાઇ ૧૦	10 de julio
જુલાઇ ૯	9 de julio
જુલાઇ ૧૪	14 de julio
જુલાઇ ૮	8 de julio
જુલાઇ ૭	7 de julio
જુલાઇ ૬	6 de julio
જુલાઇ ૫	5 de julio
જુલાઇ ૨	2 de julio
જુલાઇ ૪	4 de julio
જુલાઇ ૩	3 de julio
જુલાઇ ૧	1 de julio
જુલાઇ ૧૧	11 de julio
ડિસેમ્બર ૨૪	24 de diciembre
જુલાઇ ૩૧	31 de julio
જુલાઇ ૩૦	30 de julio
જુલાઇ ૨૯	29 de julio
જુલાઇ ૨૮	28 de julio
જુલાઇ ૨૭	27 de julio
જુલાઇ ૨૫	25 de julio
જુલાઇ ૨૪	24 de julio
જુલાઇ ૨૩	23 de julio
જુલાઇ ૨૬	26 de julio
જુલાઇ ૨૨	22 de julio
જુલાઇ ૧૯	19 de julio
જુલાઇ ૨૧	21 de julio
જુલાઇ ૨૦	20 de julio
જુલાઇ ૧૭	17 de julio
જુલાઇ ૧૮	18 de julio
જુલાઇ ૧૬	16 de julio
અસોસિએશન ફુટબોલ	Fútbol
ડિસેમ્બર ૨૫	25 de diciembre
ડિસેમ્બર ૨૬	26 de diciembre
ઓગસ્ટ ૧૪	14 de agosto
ઓગસ્ટ ૧૫	15 de agosto
ઓગસ્ટ ૧૩	13 de agosto
ઓગસ્ટ ૧૨	12 de agosto
ઓગસ્ટ ૧૧	11 de agosto
ઓગસ્ટ ૧૦	10 de agosto
ઓગસ્ટ ૮	8 de agosto
ઓગસ્ટ ૭	7 de agosto
ઓગસ્ટ ૯	9 de agosto
ઓગસ્ટ ૫	5 de agosto
ઓગસ્ટ ૪	4 de agosto
ઓગસ્ટ ૨	2 de agosto
ઓગસ્ટ ૩	3 de agosto
ઓગસ્ટ ૬	6 de agosto
ઓગસ્ટ ૧	1 de agosto
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27 de diciembre
સબમરીન	Submarino
ઓગસ્ટ ૧૬	16 de agosto
ઓગસ્ટ ૨૯	29 de agosto
ઓગસ્ટ ૨૮	28 de agosto
ઓગસ્ટ ૩૦	30 de agosto
ઓગસ્ટ ૨૫	25 de agosto
ઓગસ્ટ ૨૬	26 de agosto
ઓગસ્ટ ૨૩	23 de agosto
ઓગસ્ટ ૨૭	27 de agosto
ઓગસ્ટ ૨૧	21 de agosto
ઓગસ્ટ ૨૦	20 de agosto
ઓગસ્ટ ૨૪	24 de agosto
ઓગસ્ટ ૧૮	18 de agosto
ઓગસ્ટ ૧૭	17 de agosto
ઓગસ્ટ ૨૨	22 de agosto
ઓગસ્ટ ૧૯	19 de agosto
ઓગસ્ટ ૩૧	31 de agosto
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28 de diciembre
સપ્ટેમ્બર ૧૫	15 de septiembre
સપ્ટેમ્બર ૧૪	14 de septiembre
સપ્ટેમ્બર ૧૩	13 de septiembre
સપ્ટેમ્બર ૧૨	12 de septiembre
સપ્ટેમ્બર ૮	8 de septiembre
