非洲	África
乍得	Chad
鈉	Sodio
北	Norte
鎂	Magnesio
新世紀福音戰士	Neon Genesis Evangelion
鋁	Aluminio
紐西蘭	Nueva Zelanda
南	Sur
印度	India
矽	Silicio
鈁	Francio
圖瓦盧	Tuvalu
磷	Fósforo
散文	Prosa
鐵	Hierro
湯加	Tonga
西	Oeste
硫	Azufre
薩摩亞	Samoa
東	Este
所羅門群島	Islas Salomón
瓦努阿圖	Vanuatu
莫里哀	Molière
氯	Cloro
巴布亞新畿內亞	Papúa Nueva Guinea
莎士比亞	William Shakespeare
帛琉	Palaos
氬	Argón
瑙魯	Nauru
Mozilla Firefox	Mozilla Firefox
密克羅尼西亞聯邦	Estados Federados de Micronesia
鉀	Potasio
鈣	Calcio
鉛	Plomo
馬紹爾群島	Islas Marshall
基里巴斯	Kiribati
蒙古國	Mongolia
斐濟	Fiyi
鈧	Escandio
鈦	Titanio
委內瑞拉	Venezuela
國際象棋	Ajedrez
鐵木真	Gengis Kan
釩	Vanadio
緬因州	Maine
鉻	Cromo
馬	Equus ferus caballus
阿姆斯特丹	Ámsterdam
武器	Arma
動物	Animalia
蘇里南	Surinam
錳	Manganeso
巴拉圭	Paraguay
圭亞那	Guyana
藝術	Arte
厄瓜多爾	Ecuador
錸	Renio
哥倫比亞	Colombia
鈷	Cobalto
鎢	Wolframio
鎳	Níquel
士多啤梨	Fragaria
佛教	Budismo
玻利維亞	Bolivia
鋨	Osmio
銅	Cobre
千里達	Trinidad y Tobago
植物	Plantae
聖文森特和格林納丁斯	San Vicente y las Granadinas
鋅	Cinc
紐咸西州	Nuevo Hampshire
聖盧西亞	Santa Lucía
達文西	Leonardo da Vinci
聖傑氏尼維斯	San Cristóbal y Nieves
真菌	Fungi
牙買加	Jamaica
格林納達	Granada (país)
麻省	Massachusetts
危地馬拉	Guatemala
Google Chrome	Google Chrome
巴哈馬	Bahamas
康湼狄格州	Connecticut
雞	Gallus gallus domesticus
安提瓜巴布達	Antigua y Barbuda
夏威夷州	Hawái
洪都拉斯	Honduras
多米尼克	Dominica
澤西島	Jersey
多明尼加	República Dominicana
豬	Sus scrofa domestica
北冰洋	Océano Ártico
海地	Haití
他羽馬他華加坦基很加哥歐歐奧他馬鐵督䈅卜加加皮基馬源加河鍋鹿古波街喴嚕亞其他那他烕	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
薩爾瓦多	El Salvador
伊朗	Irán
蠢	Tonto
伊拉克	Irak
阿拉斯加州	Alaska
哥斯達黎加	Costa Rica
以色列	Israel
巴拿馬	Panamá
也門	Yemen
病毒	Virus
波蘭文	Idioma polaco
約旦	Jordania
尼加拉瓜	Nicaragua
佛羅里達州	Florida
吉爾吉斯	Kirguistán
亞利桑拿州	Arizona
科威特	Kuwait
老撾	Laos
黎巴嫩	Líbano
柯利近省	Oregón
馬爾代夫	Maldivas
美洲	América
猶他州	Utah
牛	Bos primigenius taurus
馬來西亞	Malasia
緬甸	Birmania
尼泊爾	Nepal
阿曼	Omán
巴基斯坦	Pakistán
卡塔爾	Catar
網球	Tenis
沙地阿拉伯	Arabia Saudita
斯里蘭卡	Sri Lanka
史太林	Iósif Stalin
敘利亞	Siria
柏拉圖	Platón
鎵	Galio
塔吉克	Tayikistán
寵物小精靈	Pokémon
中華民國	República de China
YouTube	YouTube
鍺	Germanio
阿里士多德	Aristóteles
泰國	Tailandia
火車	Tren
砷	Arsénico
無線電	Radiocomunicación
梅麗史翠普	Meryl Streep
土庫曼	Turkmenistán
硒	Selenio
銥	Iridio
阿拉伯聯合酋長國	Emiratos Árabes Unidos
溴	Bromo
白金	Platino
越南	Vietnam
差利	Charles Chaplin
大韓民國	Corea del Sur
阿森一族	Los Simpson
氪	Kriptón
阿富汗	Afganistán
江南Style	Gangnam Style
J. R. R. Tolkien	J. R. R. Tolkien
檸檬水	Limonada
銣	Rubidio
金	Oro
蘇彝士運河	Canal de Suez
科學家	Científico
孟加拉國	Bangladés
卡夫卡	Franz Kafka
博爾赫斯	Jorge Luis Borges
馬里	Malí
蘇格拉底	Sócrates
安哥拉	Angola
不丹	Bután
Twitter	Twitter
汶萊	Brunéi
坦桑尼亞	Tanzania
水銀	Mercurio (elemento)
阿蒙森	Roald Amundsen
菲律賓	Filipinas
中非共和國	República Centroafricana
鉈	Talio
南極	Polo Sur
北極	Polo Norte
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
鍶	Estroncio
釔	Itrio
鉍	Bismuto
黃	Amarillo
量子力學	Mecánica cuántica
多哥	Togo
突尼西亞	Túnez
贊比亞	Zambia
津巴布韋	Zimbabue
北京	Pekín
南蘇丹	Sudán del Sur
海參崴	Vladivostok
貝寧	Benín
波茨華拿	Botsuana
維基新聞	Wikinoticias
布基納法索	Burkina Faso
布隆迪	Burundi
科摩羅	Comoras
剛果	República del Congo
剛果民主共和國	República Democrática del Congo
聖安東尼奧	San Antonio (Texas)
吉布提	Yibuti
釙	Polonio
拜仁	Baviera
赤道畿內亞	Guinea Ecuatorial
巴登－烏騰堡	Baden-Wurtemberg
厄立特里亞	Eritrea
新德里	Nueva Delhi
若望保祿二世	Juan Pablo II
杜斯托也夫斯基	Fiódor Dostoyevski
第比利斯	Tiflis
孲𤘅子	Bebé
砹	Ástato
加蓬	Gabón
甘地	Mahatma Gandhi
漫畫	Historieta
甘比亞	Gambia
畿內亞	Guinea
畿內亞比紹	Guinea-Bisáu
象牙海岸	Costa de Marfil
喀麥隆	Camerún
維德角	Cabo Verde
萊索托	Lesoto
利比利亞	Liberia
利比亞	Libia
阿臣	Aquisgrán
馬達加斯加	Madagascar
馬拉維	Malaui
史特加	Stuttgart
毛里塔尼亞	Mauritania
毛厘士	Mauricio
摩洛哥	Marruecos
莫三鼻給	Mozambique
納米比亞	Namibia
尼日爾	Níger
尼日利亞	Nigeria
達爾文	Charles Darwin
烏干達	Uganda
盧旺達	Ruanda
鋯	Circonio
聖多美普林西比	Santo Tomé y Príncipe
卡斯魯亞	Karlsruhe
塞內加爾	Senegal
塞舌爾	Seychelles
林奈	Carlos Linneo
塞拉利昂	Sierra Leona
索馬里	Somalia
鈮	Niobio
尼赫魯	Sri Pandit Jawaharlal Nehru
凱撒	Julio César
蘇丹	Sudán
斯威士蘭	Suazilandia
虹	Arco iris
鉬	Molibdeno
鎝	Tecnecio
漢堡	Hamburgo
新陳代謝	Metabolismo
莫迪	Narendra Modi
免疫系統	Sistema inmunitario
天演	Evolución biológica
聯合國	Organización de las Naciones Unidas
但丁	Dante Alighieri
地質	Geología
地理	Geografía
心	Corazón
腦	Cerebro
皮	Piel
色	Color
名詞	Sustantivo
布拉格	Praga
釕	Rutenio
銠	Rodio
藍	Azul
鈀	Paladio
銀	Plata
鎘	Cadmio
星空奇遇記	Star Trek
銦	Indio (elemento)
錫	Estaño
鈾	Uranio
銻	Antimonio
碲	Telurio
鈈	Plutonio
碘	Yodo
錼	Neptunio
氙	Xenón
日本動畫	Anime
銫	Cesio
鏷	Protactinio
電荷	Carga eléctrica
鋇	Bario
釷	Torio
鉿	Hafnio
錒	Actinio
鉭	Tantalio
克林頓	Bill Clinton
鐳	Radio (elemento)
氡	Radón
阿爾薩斯大區	Alsacia
Ubn	Unbinilio
孟買	Bombay
阿魯納恰爾	Arunachal Pradesh
密芝根州	Míchigan
布爾岡	Borgoña
波多黎各	Puerto Rico
呂利	Jean-Baptiste Lully
舒勒斯維－荷斯泰因	Schleswig-Holstein
美倫堡－前波瑪恩	Mecklemburgo-Pomerania Occidental
下薩克遜	Baja Sajonia
北萊茵－西法倫	Renania del Norte-Westfalia
希燊	Hesse
萊茵－普法茨	Renania-Palatinado
沙亞	Sarre
薩克遜	Sajonia
約翰連儂	John Lennon
伊利諾州	Illinois
脫靈根	Turingia
薩克遜－雁候	Sajonia-Anhalt
北得高打省	Dakota del Norte
勃蘭登堡	Brandeburgo
不來梅漢莎自由市	Bremen (estado)
倫巴第大區	Lombardía
南達科他州	Dakota del Sur
望丹拿省	Montana
懷俄明州	Wyoming
直刃族	Straight edge
耶路撒冷	Jerusalén
愛達荷州	Idaho
歐斯達山谷大區	Valle de Aosta
華盛頓州	Washington (estado)
鑪	Rutherfordio
內華達州	Nevada
𨧀	Dubnio
𨭎	Seaborgio
印度洋	Océano Índico
科索沃	Kosovo
加勒比海	Mar Caribe
𨨏	Bohrio
𨭆	Hassio
潘基文	Ban Ki-moon
安南	Kofi Annan
䥑	Meitnerio
哥羅拉度州	Colorado
鐽	Darmstadio
蕭邦	Frédéric Chopin
錀	Roentgenio
托斯卡納大區	Toscana
鎶	Copernicio
Category:類	Categoría:Índice de categorías
拉素	Lacio
阿爾卑斯山	Alpes
布萊士帕斯卡	Blaise Pascal
跳棋	Damas
披頭四	The Beatles
Uut	Ununtrio
鈇	Flerovio
Uup	Unumpentio
鉝	Livermorio
Uus	Ununseptio
Uuo	Ununoctio
冬天	Invierno
春天	Primavera
夏天	Verano
秋天	Otoño
薩達姆侯賽因	Sadam Husein
賓拉登	Osama bin Laden
西班牙文	Idioma español
蒙特維多	Montevideo
巴哈	Johann Sebastian Bach
韋華第	Antonio Vivaldi
歌劇	Ópera
費城	Filadelfia
架利吉打	Calcuta
德里	Delhi
達卡	Daca
蠄蟧	Araneae
蜘蛛綱	Arachnida
節肢動物	Arthropoda
伊斯蘭堡	Islamabad
果	Fruto
馬騮	Mono
錢	Dinero
維珍尼亞州	Virginia
西維珍尼亞州	Virginia Occidental
番椒	Capsicum annuum
紐約州	Nueva York (estado)
鈰	Cerio
鐠	Praseodimio
羅德島州	Rhode Island
釹	Neodimio
昆蟲	Insecta
馬利蘭州	Maryland
特拉華州	Delaware
列寧	Lenin
銪	Europio
俄亥俄州	Ohio
維吉爾	Virgilio
馬基雅維利	Nicolás Maquiavelo
賓夕凡尼亞州	Pensilvania
於特森	Uetersen
奧古斯都	César Augusto
Microsoft Windows	Microsoft Windows
紐澤西州	Nueva Jersey
直布羅陀	Gibraltar
芬蘭話	Idioma finés
印第安納州	Indiana
諾基亞公司	Nokia
汽車	Automóvil
祖雲達斯	Juventus de Turín
圖拉真	Trajano
費達拿	Roger Federer
佐治亞州	Georgia (Estados Unidos)
薩格勒布	Zagreb
德薩斯州	Texas
熱那亞	Génova
北卡羅萊納州	Carolina del Norte
草地曲棍球	Hockey sobre césped
南卡羅萊納州	Carolina del Sur
西西里	Sicilia
馬尼拉	Manila
薩丁島	Cerdeña
馬可斯	Ferdinand Marcos
阿基諾三世	Benigno Aquino III
Ubu	Unbiunio
宿霧	Cebú
塞納河	Río Sena
布宜諾斯艾利斯	Buenos Aires
墨西哥城	México, D. F.
東京都	Tokio
拉巴斯	La Paz
巴薩隆拿	Barcelona
菠蘿	Ananas comosus
密西西比州	Misisipi
麥哲倫	Fernando de Magallanes
密西西比河	Río Misisipi
泳池	Piscina
錫金	Sikkim
田納西州	Tennessee
華格納	Richard Wagner
阿必尚	Abiyán
阿布扎比	Abu Dabi
阿斯塔納	Astaná
新墨西哥州	Nuevo México
雅典	Atenas
迴旋處	Rotonda
明尼蘇達州	Minnesota
巴格達	Bagdad
卡拉卡斯	Caracas
世界協調時間	Tiempo universal coordinado
威斯康辛州	Wisconsin
AC米蘭	Associazione Calcio Milan
仙荻廬泊	Cyndi Lauper
埃奧華省	Iowa
內布拉斯加州	Nebraska
干沙省	Kansas
夏灣拿	La Habana
煙草	Tabaco
印地話	Hindi
馬拉地文	Idioma maratí
Internet Explorer	Internet Explorer
煙仔	Cigarrillo
美疏利省	Misuri
路易斯安那州	Luisiana
肯塔基州	Kentucky
阿肯色州	Arkansas
尼爾岩士唐	Neil Armstrong
烏爾都文	Urdu
伊蒂琵雅芙	Édith Piaf
Françoise Sagan	Françoise Sagan
奧克拉何馬州	Oklahoma
多瑙河	Danubio
韻文	Verso
北海	Mar del Norte
莫斯科州	Óblast de Moscú
基爾	Kiel
舒維蓮	Schwerin
波茨坦	Potsdam
漢諾威	Hannover
杜塞爾多夫	Düsseldorf
緬恩斯	Maguncia
威斯巴登	Wiesbaden
沙卜勤	Sarrebruck
慕尼黑	Múnich
艾雅福	Érfurt
德累斯頓	Dresde
麥德堡	Magdeburgo
排球	Voleibol
維也納	Viena
麥當娜	Madonna
哥本哈根	Copenhague
斯德哥爾摩	Estocolmo
赫爾辛基	Helsinki
都柏林	Dublín
雷克雅未克	Reikiavik
塔林	Tallin
里加	Riga
路易斯岩士唐	Louis Armstrong
布拉迪斯拉發	Bratislava
布達佩斯	Budapest
格但斯克	Gdansk
法蘭克福	Fráncfort del Meno
鑭	Lantano
鉕	Prometio
天文單位	Unidad astronómica
釤	Samario
紅酒	Vino tinto
釓	Gadolinio
死亡筆記	Death Note
施丹	Zinedine Zidane
鋱	Terbio
天主敎	Catolicismo
盧森堡城	Luxemburgo (ciudad)
鏑	Disprosio
華杜茲	Vaduz
聖經	Biblia
鈥	Holmio
聖馬連奴城	San Marino (ciudad)
鉺	Erbio
金邊	Nom Pen
銩	Tulio
胡志明市	Ciudad Ho Chi Minh
鐿	Iterbio
鑥	Lutecio
河內	Hanói
真耶穌教會	Verdadera Iglesia de Jesús
英文	Idioma inglés
曼谷	Bangkok
安道爾城	Andorra la Vieja
吉隆坡	Kuala Lumpur
臺北市	Taipéi
鋂	Americio
鋦	Curio
同海市	Đồng Hới
Concepción	Concepción (Chile)
鉳	Berkelio
鉲	Californio
外交	Diplomacia
博洛尼亞	Bolonia
鑀	Einstenio
鐨	Fermio
卡利亞里	Cagliari
鍆	Mendelevio
基輔	Kiev
鍩	Nobelio
卡坦尼亞	Catania
安大略省	Ontario
鐒	Lawrencio
基奧特	Olivier Giroud
列貝利	Franck Ribéry
拿斯利	Samir Nasri
基捷基治	Gaël Clichy
渥太華	Ottawa
艾比度	Éric Abidal
加拿斯	William Gallas
沙格拿	Bacary Sagna
安歷卡	Nicolas Anelka
木星嘅衞星	Satélites de Júpiter
緬尼吐巴	Manitoba
亞伯達	Alberta
諾華斯高沙	Nueva Escocia
埃里溫	Ereván
官士哥窩拿	Końskowola
喀土穆	Jartum
紐賓士域省	Nuevo Brunswick
土星嘅衞星	Satélites de Saturno
卑詩省	Columbia Británica
愛德華王子島	Isla del Príncipe Eduardo
2000年	2000
2003年	2003
2002年	2002
2001年	2001
沙士加芝灣	Saskatchewan
2012年	2012
岸本齊史	Masashi Kishimoto
2011年	2011
2010年	2010
2009年	2009
二氧化碳	Dióxido de carbono
2013年	2013
2014年	2014
2015年	2015
紐芬蘭與拉布拉多	Terranova y Labrador
2008年	2008
JavaScript	JavaScript
西北地區	Territorios del Noroeste
育空地區	Yukón
2004年	2004
2005年	2005
龍珠	Dragon Ball
2006年	2006
努那活	Nunavut
2007年	2007
一氧化碳	Monóxido de carbono
1900年	1900
1901年	1901
密特朗	François Mitterrand
戴高樂	Charles de Gaulle
1902年	1902
翡冷翠	Florencia
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
HTML5	HTML5
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
萊比錫	Leipzig
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
嘢食	Alimento
蛇	Serpentes
希拉克	Jacques Chirac
光速	Velocidad de la luz
口交	Sexo oral
Favicon	Favicon
海王星嘅衞星	Satélites de Neptuno
魁北克市	Quebec (ciudad)
1月1號	1 de enero
1月2號	2 de enero
天王星嘅衞星	Satélites de Urano
1920年	1920
1月3號	3 de enero
1919年	1919
1921年	1921
1922年	1922
1月4號	4 de enero
1923年	1923
蘭斯岩士唐	Lance Armstrong
1924年	1924
小行星帶	Cinturón de asteroides
龐比度	Georges Pompidou
WMA	Windows Media Audio
矮行星	Planeta enano
1月5號	5 de enero
馬模	Malmö
1月6號	6 de enero
電子	Electrón
1月7號	7 de enero
1月8號	8 de enero
1月9號	9 de enero
1月10號	10 de enero
1月11號	11 de enero
1月12號	12 de enero
艾德靈	Buzz Aldrin
1月13號	13 de enero
伯明翰	Birmingham
1月14號	14 de enero
1月15號	15 de enero
1月16號	16 de enero
湯漢斯	Tom Hanks
1月17號	17 de enero
1月18號	18 de enero
1月19號	19 de enero
1月20號	20 de enero
工業革命	Revolución Industrial
苯	Benceno
1月21號	21 de enero
1月22號	22 de enero
1月23號	23 de enero
羅馬帝國	Imperio romano
1月24號	24 de enero
1月25號	25 de enero
明斯克	Minsk
1月26號	26 de enero
微軟	Microsoft
1月27號	27 de enero
1月28號	28 de enero
1月29號	29 de enero
1月30號	30 de enero
1月31號	31 de enero
質子	Protón
12月2號	2 de diciembre
12月1號	1 de diciembre
12月3號	3 de diciembre
12月7號	7 de diciembre
12月5號	5 de diciembre
12月8號	8 de diciembre
12月10號	10 de diciembre
12月6號	6 de diciembre
12月9號	9 de diciembre
12月4號	4 de diciembre
2月1號	1 de febrero
2月2號	2 de febrero
氯化鈉	Cloruro de sodio
2月3號	3 de febrero
庫魯夫市	Kurów
2月4號	4 de febrero
2月5號	5 de febrero
2月6號	6 de febrero
2月7號	7 de febrero
2月8號	8 de febrero
2月9號	9 de febrero
2月10號	10 de febrero
化學	Química
齊柏林飛船	Led Zeppelin
2月14號	14 de febrero
2月13號	13 de febrero
2月15號	15 de febrero
2月11號	11 de febrero
2月12號	12 de febrero
雲佩斯	Robin van Persie
2月19號	19 de febrero
2月17號	17 de febrero
2月16號	16 de febrero
2月18號	18 de febrero
2月20號	20 de febrero
分析化學	Química analítica
中子	Neutrón
2月21號	21 de febrero
2月22號	22 de febrero
2月23號	23 de febrero
2月24號	24 de febrero
2月25號	25 de febrero
2月26號	26 de febrero
27年	27
2月27號	27 de febrero
2月28號	28 de febrero
12月11號	11 de diciembre
2月29號	29 de febrero
12月12號	12 de diciembre
微軟Visual Basic	Visual Basic
12月13號	13 de diciembre
12月14號	14 de diciembre
12月15號	15 de diciembre
3月2號	2 de marzo
3月3號	3 de marzo
3月5號	5 de marzo
3月1號	1 de marzo
3月7號	7 de marzo
3月8號	8 de marzo
3月4號	4 de marzo
3月10號	10 de marzo
3月11號	11 de marzo
3月6號	6 de marzo
3月13號	13 de marzo
3月9號	9 de marzo
3月12號	12 de marzo
3月15號	15 de marzo
3月14號	14 de marzo
C++	C++
鹽酸	Ácido clorhídrico
12月16號	16 de diciembre
12月17號	17 de diciembre
3月16號	16 de marzo
3月17號	17 de marzo
3月18號	18 de marzo
3月19號	19 de marzo
