Aprika	África
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano (León)
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Phu Quoc	Phú Quốc
Wikipedia:Save long senisim pes	Ayuda:Cómo se edita una página
Lệ Thủy	Lệ Thủy
Buai	Areca catechu
Brobergen	Brobergen
Daka	Piper betle
Klostu Tudak	Crepúsculo (película de 2008)
Plak bilong Niu Silan	Bandera de Nueva Zelanda
Kaunti Cork	Condado de Cork
St. Peter's College, Auckland	St Peter's College
Siaman Niugini	Nueva Guinea Alemana
Behaviourisim	Conductismo
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Kumul	Paradisaeidae
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotski
Plak bilong Fiji	Bandera de Fiyi
Plak bilong Papua Niugini	Bandera de Papúa Nueva Guinea
Plak bilong Nauru	Bandera de Nauru
Plak bilong Vanuatu	Bandera de Vanuatu
Plak bilong Wels	Bandera de Gales
Mike Myers	Mike Myers
Zelda Williams	Zelda Williams
Plak bilong Tonga	Bandera de Tonga
Plak bilong Samoa	Bandera de Samoa
Plak bilong Palau	Bandera de Palaos
Christopher Plummer	Christopher Plummer
E pluribus unum	E Pluribus Unum
Expo 2010	Exposición Universal de Shanghái de 2010
James Woods	James Woods
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Provincias históricas de Suecia
Plak bilong ol Masol Ailan	Bandera de las Islas Marshall
Kina	Kina (moneda)
Bogenvil	Bougainville (Papúa Nueva Guinea)
Plak bilong Niue	Bandera de Niue
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Nueva Irlanda
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sagú (fécula)
Plak bilong Hawai	Bandera de Hawái
Nesenel mak bilong Ostrelia	Escudo de Australia
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Bandera de la Polinesia Francesa
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Bandera de la Isla Norfolk
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Bandera de Guam
Julie Newmar	Julie Newmar
Carol Channing	Carol Channing
Dixie Carter	Dixie Carter
Makó	Makó
Joan Rivers	Joan Rivers
Camponaraya	Camponaraya
Elizabeth Peña	Elizabeth Peña
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Bandera de Tokelau
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Emblema nacional de Papúa Nueva Guinea
Marcus Stephen	Marcus Stephen
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Vadillo	Vadillo
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Bandera de Wallis y Futuna
Madang (provins)	Provincia de Madang
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
Olaf Stapledon	Olaf Stapledon
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Côn Đảo
Richard Kiel	Richard Kiel
Almaluez	Almaluez
Derek Sikua	Derek Sikua
Valencia de Don Juan	Valencia de Don Juan
Valdefresno	Valdefresno
Cesar Romero	Cesar Romero
Sarah Vowell	Sarah Vowell
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Libro de Mormón
Astorga	Astorga
Fernanda Torres	Fernanda Torres
Ples balus Tan Son Nhat	Aeropuerto Internacional de Tan Son Nhat
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	El Burgo de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Comares	Comares
.nl	.nl
Alcoy	Alcoy
Goroka	Goroka
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Cañamaque	Cañamaque
Navaleno	Navaleno
Las Omañas	Las Omañas
Matt Frewer	Matt Frewer
Don Knotts	Don Knotts
Carrot Top	Carrot Top
Alotau	Alotau
Seeheim-Jugenheim	Seeheim-Jugenheim
Trévago	Trévago
Mike Connors	Mike Connors
Valdepiélago	Valdepiélago
Villademor de la Vega	Villademor de la Vega
Dévanos	Dévanos
Simbu	Simbu
Zotes del Páramo	Zotes del Páramo
Priaranza del Bierzo	Priaranza del Bierzo
Fuentes de Carbajal	Fuentes de Carbajal
Lae	Lae
Magani	Ualabí
Ólvega	Ólvega
O Arise, All You Sons	O Arise, All You Sons
Villamartín de Don Sancho	Villamartín de Don Sancho
Sobrado	Sobrado (La Coruña)
Magaña	Magaña
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Brisbane Broncos	Brisbane Broncos
Wes Niu Briten	Nueva Bretaña del Oeste
Blupela kumul	Paradisaea rudolphi
Izagre	Izagre
Centenera de Andaluz	Centenera de Andaluz
Is Sepik	Sepik Oriental
Cacabelos	Cacabelos
Ralph Waite	Ralph Waite
Histori long Koria	Historia de Corea
Paul Winchell	Paul Winchell
Soto de la Vega	Soto de la Vega
Jenny Slate	Jenny Slate
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
Atapuerca	Atapuerca (Burgos)
Oro	Provincia de Oro
Sandaun	Sandaun
Is Niu Briten	Nueva Bretaña del Este
Valderas	Valderas (León)
Gradefes	Gradefes
Onzonilla	Onzonilla
Sahagún	Sahagún (España)
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
