አፍሪቃ	África
ዓርብ	Viernes
ቅዳሜ	Sábado
እሑድ	Domingo
አንበሳ	Panthera leo
ፈረንሣይ	Francia
ኤስፔራንቶ	Esperanto
ውሻ	Canis lupus familiaris
ዩናይትድ ኪንግደም	Reino Unido
ድመት	Felis silvestris catus
የቻይና ሕዝባዊ ሪፐብሊክ	República Popular China
ፈረንሳይኛ	Idioma francés
ዓሣ	Pisces
ብራዚል	Brasil
ሩሲያ	Rusia
ባህር	Mar
ጥቁር ባሕር	Mar Negro
ፓይ	Número π
ቶሮንቶ	Toronto
አላባማ	Alabama
ሳው ፓውሉ	São Paulo
ኬበክ	Quebec
ጂሚ ዌልስ	Jimmy Wales
ጀርመን	Alemania
ቤላሩስ	Bielorrusia
ጀርመንኛ	Idioma alemán
አይስላንድ	Islandia
እግዚአብሔር	Dios
ኤስቶኒያ	Estonia
ማህፈድ	Saturno (planeta)
አውሮፕላን	Avión
0	Cero
አዕላፍ	Infinito
ጆርጅ ደብሊዩ ቡሽ	George W. Bush
ላትቪያ	Letonia
ዩክሬን	Ucrania
ቼክ ሪፐብሊክ	República Checa
ስሎቫኪያ	Eslovaquia
ስሎቬኒያ	Eslovenia
ቪልኒውስ	Vilna
ሞልዶቫ	Moldavia
ሮማንያ	Rumania
ቡልጋሪያ	Bulgaria
ሮማ	Roma
የመቄዶንያ ሬፑብሊክ	República de Macedonia
አልባኒያ	Albania
ግሪንላንድ	Groenlandia
ክሮኤሽያ	Croacia
ቦስኒያና ሄርጸጎቪና	Bosnia y Herzegovina
አዘርባይጃን	Azerbaiyán
አንዶራ	Andorra
ቆጵሮስ	Chipre
ጂዮርጂያ	Georgia
ካዛክስታን	Kazajistán
ማልታ	Malta
ሞናኮ	Mónaco
ሞንቴኔግሮ	Montenegro
ቫቲካን ከተማ	Ciudad del Vaticano
ሳን ማሪኖ (አገር)	San Marino
ብሩክሴል	Región de Bruselas-Capital
ኩባ	Cuba
ቤሊዝ	Belice
ባርቤዶስ	Barbados
ጃቫ	Java (lenguaje de programación)
ኢንዶኔዥያ	Indonesia
ቮልፍጋንግ አማዴኡስ ሞፃርት	Wolfgang Amadeus Mozart
ሉድቪግ ቫን ቤትሆቨን	Ludwig van Beethoven
ቱርክኛ	Idioma turco
ደቡብ አፍሪካ	Sudáfrica
አልጄሪያ	Argelia
ኡዝቤኪስታን	Uzbekistán
ታሽኬንት	Taskent
ዋርሶው	Varsovia
ውሃ	Agua
እንጨት	Madera
ቴሌቪዥን	Televisión
ቺሌ	Chile
ኢየሱስ	Jesús de Nazaret
ኤልቭስ ፕሬስሊ	Elvis Presley
ጋሊልዮ	Galileo Galilei
ኣጣርድ	Mercurio (planeta)
ታሪክ	Historia
አፕል ኮርፖሬሽን	Apple
ዘሃራ	Venus (planeta)
ቋንቋ	Lenguaje
ፍቅር	Amor
ጁፒተር	Júpiter (planeta)
ሚሼል ባቼሌት	Michelle Bachelet
ሚልኪ ዌይ	Vía Láctea
ኡራኑስ	Urano (planeta)
ኒኮላ ሳርኮዚ	Nicolas Sarkozy
ነፕቲዩን	Neptuno (planeta)
ሥነ ፈለክ	Astronomía
ሲንጋፖር	Singapur
ሳይንስ	Ciencia
ፕሉቶ	Plutón (planeta enano)
ሞንትሬያል	Montreal
ማርያም	María (madre de Jesús)
ሊክተንስታይን	Liechtenstein
ስፖርት	Deporte
አዶልፍ ሂትለር	Adolf Hitler
ፌስቡክ	Facebook
የመጀመሪያው የዓለም ጦርነት	Primera Guerra Mundial
2ኛው ዓለማዊ ጦርነት	Segunda Guerra Mundial
ኮልን	Colonia (Alemania)
ሰአት (መሳሪያ)	Reloj
ኡቡንቱ	Ubuntu
ስኮፕዬ	Skopie
ትምህርተ ሂሳብ	Matemáticas
ሮማይስጥ	Latín
ባሕሬን	Baréin
አርመኒያ	Armenia
ሰርቢያ	Serbia
ጨረቃ	Luna
ኢስታንቡል	Estambul
አውስትራልያ	Australia
ቦብ ማርሊ	Bob Marley
የተፈጥሮ ሕግጋት ጥናት	Física
አርጀንቲና	Argentina
ፔሩ	Perú
ሥነ ሕይወት	Biología
ሰሜን ኮርያ	Corea del Norte
ካምቦዲያ	Camboya
ቁርአን	Corán
እስልምና	Islam
ልዩብልያና	Liubliana
ለክ ቫለሳ	Lech Wałęsa
ድኒ ዲድሮ	Denis Diderot
ልዮን	Lyon
አውሮፓ ህብረት	Unión Europea
ሶፊያ	Sofía
ሚላኖ	Milán
አርተር ራምቦ	Arthur Rimbaud
ቶሪኖ	Turín
ሎሚ	Citrus × limon
ስተንዳል	Stendhal
666 እ.ኤ.አ.	666
ኤቨረስት ተራራ	Monte Everest
ከተማ	Ciudad
ናፖሌዎን ቦናፓርት	Napoleón Bonaparte
ኮኮብ	Estrella
ደብረ ቬሱቪዩስ	Monte Vesubio
ፀሐይ	Sol
ሰማይ	Cielo
ሉዊ ፓስቴ	Louis Pasteur
የብርሃን ዓመት	Año luz
ቪክቶር ኢውጎ	Victor Hugo
ኦሺያኒያ	Oceanía
የፀሐይ ሥርዓተ ፈለክ	Sistema Solar
ባልቲክ ባሕር	Mar Báltico
ቪስቱላ ወንዝ	Vístula
ሃይድሮጅን	Hidrógeno
ሒሊየም	Helio
አንጌላ መርክል	Angela Merkel
ሊቲየም	Litio
ቤሪሊየም	Berilio
ቀን	Día
ምሥራቅ ቲሞር	Timor Oriental
ሌሊት	Noche
አመት	Año
ሞን ብላን	Mont Blanc
ራይን ወንዝ	Rin
ኦስሎ	Oslo
ቦን	Bonn
ካቶቪጸ	Katowice
ሊዝቦን	Lisboa
ሮን ወንዝ	Ródano
ዱባይ	Dubái
ሊዮኔል ሜሲ	Lionel Messi
ቦሮን	Boro
ኒኮላውስ ኮፐርኒኩስ	Nicolás Copérnico
ካርቦን	Carbono
ቮልጋ ወንዝ	Volga
ናይትሮጅን	Nitrógeno
ኦክሲጅን	Oxígeno
ፕላኔት	Planeta
ሙዚቃ	Música
ቬኒስ	Venecia
ፖ ወንዝ	Po
ሞስኮ	Moscú
ፍሎሪን	Flúor
ጣልያንኛ	Idioma italiano
ኒዮን	Neón
ሳንክት ፔቴርቡርግ	San Petersburgo
ቻድ	Chad
ሶዲየም	Sodio
ሰሜን	Norte
ማግኒዥየም	Magnesio
አሉምንም	Aluminio
ኒው ዚላንድ	Nueva Zelanda
ደቡብ	Sur
ህንድ	India
ሲልከን	Silicio
ፍራንሺየም	Francio
ቱቫሉ	Tuvalu
ዋንፒስ	One Piece
ፎስፈረስ	Fósforo
ብረት	Hierro
ቶንጋ	Tonga
ምዕራብ	Oeste
ድኝ	Azufre
ሳሞዓ	Samoa
ምሥራቅ	Este
ሰለሞን ደሴቶች	Islas Salomón
ቫኑአቱ	Vanuatu
ሞሊዬር	Molière
ክሎሪን	Cloro
ፓፑዋ ኒው ጊኒ	Papúa Nueva Guinea
ሼክስፒር	William Shakespeare
ፐላው	Palaos
አርገን	Argón
ናውሩ	Nauru
ሞዚላ ፋየርፎክስ	Mozilla Firefox
ማይክሮኔዥያ	Estados Federados de Micronesia
ፖታሺየም	Potasio
ካልሲየም	Calcio
እርሳስ	Plomo
ማርሻል ደሴቶች	Islas Marshall
ኪሪባስ	Kiribati
ሞንጎልያ	Mongolia
ፊጂ	Fiyi
ስካንዲየም	Escandio
ቲታኒየም	Titanio
ቬኔዝዌላ	Venezuela
ሰንጠረዥ	Ajedrez
ቺንግስ ካን	Gengis Kan
ቫናዲየም	Vanadio
መይን	Maine
ክሮሚየም	Cromo
ፈረስ	Equus ferus caballus
አምስተርዳም	Ámsterdam
እንስሳ	Animalia
ሱሪናም	Surinam
ማንጋኒዝ	Manganeso
ፓራጓይ	Paraguay
ጋያና	Guyana
ኤኳዶር	Ecuador
ሬኒየም	Renio
ኮሎምቢያ	Colombia
ኮባልት	Cobalto
ተንግስተን	Wolframio
ኒኬል	Níquel
ቡዲስም	Budismo
ቦሊቪያ	Bolivia
ኦስሚየም	Osmio
መዳብ	Cobre
ትሪኒዳድና ቶቤጎ	Trinidad y Tobago
ሰይንት ቪንሰንትና ዘ ግረነዲንዝ	San Vicente y las Granadinas
ዚንክ	Cinc
ኒው ሃምፕሸር	Nuevo Hampshire
ሰይንት ሉሻ	Santa Lucía
ሊዮናርዶ ዳቬንቺ	Leonardo da Vinci
ሰይንት ኪትስና ኒቨስ	San Cristóbal y Nieves
ፈንገስ	Fungi
ጃማይካ	Jamaica
ግረነይዳ	Granada (país)
ማሣቹሰትስ	Massachusetts
ጓቴማላ	Guatemala
ባሃማስ	Bahamas
ኮነቲከት	Connecticut
ዶሮ	Gallus gallus domesticus
አንቲጋ እና ባርቡዳ	Antigua y Barbuda
ሃዋኢ	Hawái
ሆንዱራስ	Honduras
ዶመኒካ	Dominica
ዶሚኒካን ሪፐብሊክ	República Dominicana
ኣሳማ	Sus scrofa domestica
አርክቲክ ውቅያኖስ	Océano Ártico
ሃይቲ	Haití
ኤል ሳልቫዶር	El Salvador
ፋርስ	Irán
ኢራቅ	Irak
አላስካ	Alaska
ኮስታ ሪካ	Costa Rica
እስራኤል	Israel
ፓናማ	Panamá
የመን (አገር)	Yemen
ቫይረስ	Virus
ፖልኛ	Idioma polaco
ዮርዳኖስ	Jordania
ኒካራጓ	Nicaragua
ፍሎሪዳ	Florida
ኪርጊዝስታን	Kirguistán
አሪዞና	Arizona
ኩዌት (አገር)	Kuwait
ላዎስ	Laos
ሊባኖስ	Líbano
ኦረጎን	Oregón
ማልዲቭስ	Maldivas
አሜሪካዎች	América
ዩታህ	Utah
ላም	Bos primigenius taurus
ማሌዢያ	Malasia
ምየንማ	Birmania
ኔፓል	Nepal
ኦማን	Omán
ፓኪስታን	Pakistán
ቃጣር	Catar
ሳዑዲ አረቢያ	Arabia Saudita
ሽሪ ላንካ	Sri Lanka
ጆሴፍ ስታሊን	Iósif Stalin
ሶርያ	Siria
ፕላቶ	Platón
ጋሊየም	Galio
ታጂኪስታን	Tayikistán
የቻይና ሪፐብሊክ	República de China
ዩ ቱብ	YouTube
ጀርማኒየም	Germanio
አሪስጣጣሊስ	Aristóteles
ታይላንድ	Tailandia
ባቡር	Tren
አርሰኒክ	Arsénico
ራዲዮ	Radiocomunicación
ቱርክመኒስታን	Turkmenistán
ሴሊኒየም	Selenio
ኢሪዲየም	Iridio
የተባበሩት የዓረብ ግዛቶች	Emiratos Árabes Unidos
ብሮሚን	Bromo
ፕላቲነም	Platino
ቬት ናም	Vietnam
ቻርሊ ቻፕሊን	Charles Chaplin
ደቡብ ኮርያ	Corea del Sur
ክሪፕተን	Kriptón
አፍጋኒስታን	Afganistán
ሩቢዲየም	Rubidio
ወርቅ	Oro
ባንግላዴሽ	Bangladés
ፍራንዝ ካፍካ	Franz Kafka
ማሊ	Malí
ሶቅራጠስ	Sócrates
አንጎላ	Angola
ቡታን	Bután
ብሩናይ	Brunéi
ታንዛኒያ	Tanzania
ባዜቃ	Mercurio (elemento)
ፊሊፒንስ	Filipinas
የመካከለኛው አፍሪካ ሪፐብሊክ	República Centroafricana
ታሊየም	Talio
አይሳክ ኒውተን	Isaac Newton
አልበርት አይንስታይን	Albert Einstein
ስትሮንቲየም	Estroncio
ይትሪየም	Itrio
ቢስመዝ	Bismuto
ቢጫ	Amarillo
ቶጎ	Togo
ቱኒዚያ	Túnez
ዛምቢያ	Zambia
ዚምባብዌ	Zimbabue
ቤዪጂንግ	Pekín
ደቡብ ሱዳን	Sudán del Sur
ቤኒን	Benín
ቦትስዋና	Botsuana
ቡርኪና ፋሶ	Burkina Faso
ቡሩንዲ	Burundi
ኮሞሮስ	Comoras
ኮንጎ ሪፐብሊክ	República del Congo
ኮንጎ ዲሞክራሲያዊ ሪፐብሊክ	República Democrática del Congo
ጅቡቲ	Yibuti
ፖሎኒየም	Polonio
ባቫሪያ	Baviera
ኢኳቶሪያል ጊኔ	Guinea Ecuatorial
ባደን-ቩርተምቡርግ	Baden-Wurtemberg
ኤርትራ	Eritrea
ኒው ዴሊ	Nueva Delhi
ፍዮዶር ዶስቶየቭስኪ	Fiódor Dostoyevski
ትብሊሲ	Tiflis
አስታታይን	Ástato
ጋቦን	Gabón
ማህተማ ጋንዲ	Mahatma Gandhi
ጋምቢያ	Gambia
ጊኔ	Guinea
ጊኔ-ቢሳው	Guinea-Bisáu
ኮት ዲቯር	Costa de Marfil
ካሜሩን	Camerún
ኬፕ ቨርድ	Cabo Verde
ሌሶቶ	Lesoto
ላይቤሪያ	Liberia
ሊቢያ	Libia
ማዳጋስካር	Madagascar
ማላዊ	Malaui
ሽቱትጋርት	Stuttgart
ሞሪታኒያ	Mauritania
ሞሪሸስ	Mauricio
ሞሮኮ	Marruecos
ሞዛምቢክ	Mozambique
ናሚቢያ	Namibia
ፍራንስ ፕረሸረን	France Prešeren
ኒጄር	Níger
ናይጄሪያ	Nigeria
ቻርልስ ዳርዊን	Charles Darwin
ዩጋንዳ	Uganda
ሩዋንዳ	Ruanda
ዚርኮኒየም	Circonio
ሳን ቶሜ እና ፕሪንሲፔ	Santo Tomé y Príncipe
ሴኔጋል	Senegal
ሲሸልስ	Seychelles
ካርል ሊኒዩስ	Carlos Linneo
ሴየራ ሌዎን	Sierra Leona
ሶማሊያ	Somalia
ኒዮቢየም	Niobio
ዩሊዩስ ቄሳር	Julio César
ሱዳን	Sudán
ስዋዚላንድ	Suazilandia
ቀስተ ደመና	Arco iris
ሞሊብዴነም	Molibdeno
ቴክኔቲየም	Tecnecio
ሃምቡርግ	Hamburgo
ዝግመተ ለውጥ	Evolución biológica
የተባበሩት መንግሥታት ድርጅት	Organización de las Naciones Unidas
ዳንቴ አሊጊዬሪ	Dante Alighieri
መሬት ጥናት (ጂዮሎጂ)	Geología
መልክዓ ምድር	Geografía
ልብ	Corazón
አንጎል	Cerebro
ቆዳ	Piel
ቀለም	Color
ፕራግ	Praga
ሩቴኒየም	Rutenio
ሮዲየም	Rodio
ሰማያዊ	Azul
ፓላዲየም	Paladio
ብር (ብረታብረት)	Plata
ካድሚየም	Cadmio
ኢንዲየም	Indio (elemento)
ቆርቆሮ	Estaño
ዩራኒየም	Uranio
ኩል	Antimonio
ቴሉሪየም	Telurio
ፕሉቶኒየም	Plutonio
አዮዲን	Yodo
ኔፕቲዩኒየም	Neptunio
ዜኖን	Xenón
አኒሜ	Anime
ሴሲየም	Cesio
ፕሮታክቲኒየም	Protactinio
ቻርጅ	Carga eléctrica
ባሪየም	Bario
ቶሪየም	Torio
ሀፍኒየም	Hafnio
አክቲኒየም	Actinio
ታንታለም	Tantalio
ቢል ክሊንተን	Bill Clinton
ራዲየም	Radio (elemento)
ራዶን	Radón
ሎሬን	Lorena (Francia)
ኢንድራ ጋንዲ	Indira Gandhi
ሙምባይ	Bombay
ሚሺጋን	Míchigan
ፕዌርቶ ሪኮ	Puerto Rico
ኖርድራይን-ቬስትፋለን	Renania del Norte-Westfalia
ኢሊኖይ	Illinois
ኖርዝ ዳኮታ	Dakota del Norte
ብራንደንቡርግ	Brandeburgo
ደቡብ ዳኮታ	Dakota del Sur
ሞንታና	Montana
ዋዮሚንግ	Wyoming
እየሩሳሌም	Jerusalén
አይዳሆ	Idaho
ዋሽንግተን (ክፍላገር)	Washington (estado)
ሩተርፎርዲየም	Rutherfordio
ነቫዳ	Nevada
ዶን ወንዝ	Río Don
ዱብኒየም	Dubnio
ሲቦርጂየም	Seaborgio
ሕንድ ውቅያኖስ	Océano Índico
ኮሶቮ	Kosovo
ካሪቢያን ባሕር	Mar Caribe
ቦህሪየም	Bohrio
ሀሲየም	Hassio
ሊጉርያ	Liguria
ሜይትኔሪየም	Meitnerio
ኮሎራዶ	Colorado
ዳርምስታድቲየም	Darmstadio
ሮየንቴኒየም	Roentgenio
ኮፐርኒኪየም	Copernicio
መደብ:Project	Categoría:Índice de categorías
ሺካጎ	Chicago
ዘ ቢተልስ	The Beatles
ዩነንትሪየም	Ununtrio
ፍሌሮቪየም	Flerovio
ዩነንፔንቲየም	Unumpentio
ሊቨርሞሪየም	Livermorio
ዩነንሴፕቲየም	Ununseptio
ዩነኖክቲየም	Ununoctio
ሳዳም ሁሴን	Sadam Husein
ቢን ላዲን	Osama bin Laden
እስፓንኛ	Idioma español
ሞንቴቪዴዎ	Montevideo
ዮሐን ሴባስትያን ባክ	Johann Sebastian Bach
ፊላዴልፊያ	Filadelfia
ኮልካታ	Calcuta
ዴሊ	Delhi
ዳካ	Daca
ኢስላማባድ	Islamabad
ፍራፍሬ	Fruto
ገንዘብ	Dinero
ቨርጂኒያ	Virginia
ዌስት ቨርጂኒያ	Virginia Occidental
ኒው ዮርክ	Nueva York (estado)
ሴሪየም	Cerio
ፕራሲዮዲሚየም	Praseodimio
ሮድ አይላንድ	Rhode Island
ኒዮዲሚየም	Neodimio
ሦስት አጽቄ	Insecta
ሜሪላንድ	Maryland
ዴላዌር	Delaware
ቭላዲሚር ሌኒን	Lenin
ኢዩሮፒየም	Europio
ኦሃዮ	Ohio
ዌርጊሊዩስ	Virgilio
ፔንስልቬኒያ	Pensilvania
ኢውተዘን	Uetersen
አውግስጦስ	César Augusto
ኒው ጄርዚ	Nueva Jersey
ካሊጎላ	Calígula
ጅብራልታር	Gibraltar
ፊንኛ	Idioma finés
ኢንዲያና	Indiana
ቤስጳስያን	Tito Flavio Vespasiano
መኪና	Automóvil
ዩቬንቱስ እግር ኳስ ክለብ	Juventus de Turín
ትራያኑስ	Trajano
ሮጀር ፌዴረር	Roger Federer
ጆርጂያ	Georgia (Estados Unidos)
ዛግሬብ	Zagreb
ቴክሳስ	Texas
ጄኖቫ	Génova
ኖርዝ ካሮላይና	Carolina del Norte
ሳውዝ ካሮላይና	Carolina del Sur
ሲኪልያ	Sicilia
ማኒላ	Manila
ሳርዲኒያ	Cerdeña
ሏር ወንዝ	Río Loira
ቦርዶ	Burdeos
ብዌኖስ አይሬስ	Buenos Aires
ሜክሲኮ ከተማ	México, D. F.
ቶክዮ	Tokio
ላፓዝ	La Paz
ባርሴሎና	Barcelona
ኣናናስ	Ananas comosus
ሚሲሲፒ	Misisipi
ፈርዲናንድ ማጄላን	Fernando de Magallanes
ሚሲሲፒ ወንዝ	Río Misisipi
ቴነሲ	Tennessee
አቡ ዳቢ	Abu Dabi
አስታና	Astaná
ኒው ሜክሲኮ	Nuevo México
አቴና	Atenas
ሚንሶታ	Minnesota
ባግዳድ	Bagdad
ካራካስ	Caracas
ዊስኮንሲን	Wisconsin
ኪኬሮ	Marco Tulio Cicerón
አዮዋ	Iowa
ነብራስካ	Nebraska
ካንሳስ	Kansas
ሀቫና	La Habana
ትምባሆ	Tabaco
ህንዲ	Hindi
ሚዙሪ	Misuri
ሉዊዚያና	Luisiana
ኬንታኪ	Kentucky
አርካንሳው	Arkansas
ኒል አርምስትሮንግ	Neil Armstrong
ኤልበ ወንዝ	Río Elba
ኦክላሆማ	Oklahoma
ዳኑብ ወንዝ	Danubio
ሞዘል ወንዝ	Río Mosela
ስሜን ባሕር	Mar del Norte
ዲውስልዶርፍ	Düsseldorf
ማይንጽ	Maguncia
ቪስባድን	Wiesbaden
ሙኒክ	Múnich
ድረስደን	Dresde
ብሬገንጽ	Bregenz
ቪየና	Viena
ኮፐንሀገን	Copenhague
ስቶኮልም	Estocolmo
ሄልሲንኪ	Helsinki
ደብሊን	Dublín
ሬይኪያቪክ	Reikiavik
ታሊን	Tallin
ሪጋ	Riga
ብራቲስላቫ	Bratislava
ቡዳፔስት	Budapest
ግዳንስክ	Gdansk
ፍራንክፉርት	Fráncfort del Meno
ላንታኒየም	Lantano
ፕሮሜቲየም	Prometio
ፊልጶስ አረባዊ	Filipo el Árabe
ሳማሪየም	Samario
ጋዶሊኒየም	Gadolinio
ተርቢየም	Terbio
ሉክሰምበርግ (ከተማ)	Luxemburgo (ciudad)
ዲስፕሮሲየም	Disprosio
ፋዱጽ	Vaduz
መጽሐፍ ቅዱስ	Biblia
ሆልሚየም	Holmio
ሳን ማሪኖ (ከተማ)	San Marino (ciudad)
ኢርቢየም	Erbio
ፕኖም ፔን	Nom Pen
ቱሊየም	Tulio
ሆ ቺ ሚን ከተማ	Ciudad Ho Chi Minh
ይተርቢየም	Iterbio
ሉቴቲየም	Lutecio
ሀኖይ	Hanói
ዕውነተኛ ኢየሱስ ቤተ ክርስቲያን	Verdadera Iglesia de Jesús
እንግሊዝኛ	Idioma inglés
ባንግኮክ	Bangkok
አንዶራ ላ ቬላ	Andorra la Vieja
ኩዋላ ሉምፑር	Kuala Lumpur
ታይፔ	Taipéi
አሜሪኪየም	Americio
ኩሪየም	Curio
ዶንግ ሆይ	Đồng Hới
ኮንሴፕሲዮን	Concepción (Chile)
በርከሊየም	Berkelio
ዲውረን	Düren
ካሊፎርኒየም	Californio
ኤይንስቴኒየም	Einstenio
ቦሎኛ የእግር ኳስ ክለብ 1909	Bologna Football Club 1909
ፌርሚየም	Fermio
ሜንደሊቭየም	Mendelevio
ኪየቭ	Kiev
ኖብሊየም	Nobelio
ላውረንሲየም	Lawrencio
ኦታዋ	Ottawa
ዬሬቫን	Ereván
ኮኝስኮቮላ	Końskowola
ካርቱም	Jartum
2000 እ.ኤ.አ.	2000
2003 እ.ኤ.አ.	2003
2002 እ.ኤ.አ.	2002
2001 እ.ኤ.አ.	2001
2012 እ.ኤ.አ.	2012
2011 እ.ኤ.አ.	2011
2010 እ.ኤ.አ.	2010
2009 እ.ኤ.አ.	2009
ካርቦን ክልቶኦክሳይድ	Dióxido de carbono
2013 እ.ኤ.አ.	2013
2014 እ.ኤ.አ.	2014
2015 እ.ኤ.አ.	2015
2008 እ.ኤ.አ.	2008
2004 እ.ኤ.አ.	2004
2005 እ.ኤ.አ.	2005
2006 እ.ኤ.አ.	2006
2007 እ.ኤ.አ.	2007
1900 እ.ኤ.አ.	1900
1901 እ.ኤ.አ.	1901
ፍራንስዋ ሚቴራን	François Mitterrand
ሻርል ደ ጎል	Charles de Gaulle
1902 እ.ኤ.አ.	1902
ፍሎረንስ	Florencia
1903 እ.ኤ.አ.	1903
1904 እ.ኤ.አ.	1904
1905 እ.ኤ.አ.	1905
1907 እ.ኤ.አ.	1907
1906 እ.ኤ.አ.	1906
ሴኔካ	Séneca
1908 እ.ኤ.አ.	1908
1909 እ.ኤ.አ.	1909
1992 እ.ኤ.አ.	1992
1991 እ.ኤ.አ.	1991
1990 እ.ኤ.አ.	1990
1993 እ.ኤ.አ.	1993
1994 እ.ኤ.አ.	1994
1995 እ.ኤ.አ.	1995
1996 እ.ኤ.አ.	1996
1910 እ.ኤ.አ.	1910
1911 እ.ኤ.አ.	1911
1912 እ.ኤ.አ.	1912
ላይፕጽግ	Leipzig
1913 እ.ኤ.አ.	1913
1914 እ.ኤ.አ.	1914
1915 እ.ኤ.አ.	1915
1916 እ.ኤ.አ.	1916
1997 እ.ኤ.አ.	1997
1998 እ.ኤ.አ.	1998
ኑረምበርግ	Núremberg
1999 እ.ኤ.አ.	1999
1917 እ.ኤ.አ.	1917
1918 እ.ኤ.አ.	1918
ዱይስቡርግ፣ ጀርመን	Duisburgo
እባብ	Serpentes
ዣክ ሺራክ	Jacques Chirac
የብርሃን ፍጥነት	Velocidad de la luz
ማንሃይም	Mannheim
ቫሌሪ ጊስካር ዴስቴን	Valéry Giscard d'Estaing
1 January	1 de enero
2 January	2 de enero
1920 እ.ኤ.አ.	1920
3 January	3 de enero
1919 እ.ኤ.አ.	1919
1921 እ.ኤ.አ.	1921
1922 እ.ኤ.አ.	1922
4 January	4 de enero
1923 እ.ኤ.አ.	1923
1924 እ.ኤ.አ.	1924
ዦርዥ ፖምፒዱ	Georges Pompidou
5 January	5 de enero
ማሌሜ	Malmö
6 January	6 de enero
7 January	7 de enero
8 January	8 de enero
9 January	9 de enero
10 January	10 de enero
11 January	11 de enero
12 January	12 de enero
13 January	13 de enero
በርሚንግሃም	Birmingham
14 January	14 de enero
15 January	15 de enero
16 January	16 de enero
17 January	17 de enero
18 January	18 de enero
19 January	19 de enero
20 January	20 de enero
21 January	21 de enero
22 January	22 de enero
23 January	23 de enero
የሮሜ መንግሥት	Imperio romano
24 January	24 de enero
25 January	25 de enero
ሚንስክ	Minsk
26 January	26 de enero
ማይክሮሶፍት	Microsoft
27 January	27 de enero
28 January	28 de enero
29 January	29 de enero
30 January	30 de enero
31 January	31 de enero
2 December	2 de diciembre
1 December	1 de diciembre
3 December	3 de diciembre
7 December	7 de diciembre
5 December	5 de diciembre
8 December	8 de diciembre
10 December	10 de diciembre
6 December	6 de diciembre
9 December	9 de diciembre
4 December	4 de diciembre
1 February	1 de febrero
2 February	2 de febrero
ጨው	Cloruro de sodio
3 February	3 de febrero
ኩሩቭ	Kurów
4 February	4 de febrero
5 February	5 de febrero
6 February	6 de febrero
7 February	7 de febrero
8 February	8 de febrero
9 February	9 de febrero
10 February	10 de febrero
የጥንተ ንጥር ጥናት	Química
14 February	14 de febrero
13 February	13 de febrero
15 February	15 de febrero
11 February	11 de febrero
12 February	12 de febrero
19 February	19 de febrero
17 February	17 de febrero
16 February	16 de febrero
18 February	18 de febrero
20 February	20 de febrero
21 February	21 de febrero
22 February	22 de febrero
23 February	23 de febrero
24 February	24 de febrero
25 February	25 de febrero
26 February	26 de febrero
27 እ.ኤ.አ.	27
27 February	27 de febrero
28 February	28 de febrero
11 December	11 de diciembre
29 February	29 de febrero
12 December	12 de diciembre
13 December	13 de diciembre
14 December	14 de diciembre
