Āfrika	África
Šokolāde	Chocolate
Lidmašīna	Avión
Karš	Guerra
1 (skaitlis)	Uno
2 (skaitlis)	Dos
3 (skaitlis)	Tres
4 (skaitlis)	Cuatro
5 (skaitlis)	Cinco
Nulle	Cero
Bezgalība	Infinito
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rectángulo
Latvija	Letonia
Ukraina	Ucrania
Čehija	República Checa
Slovākija	Eslovaquia
Slovēnija	Eslovenia
Viļņa	Vilna
Moldova	Moldavia
Rumānija	Rumania
Bulgārija	Bulgaria
Roma	Roma
Maķedonija	República de Macedonia
Albānija	Albania
Grenlande	Groenlandia
Horvātija	Croacia
Bosnija un Hercegovina	Bosnia y Herzegovina
Nūka	Nuuk
Azerbaidžāna	Azerbaiyán
Andora	Andorra
Kipra	Chipre
Gruzija	Georgia
Valonija	Región Valona
Kazahstāna	Kazajistán
Malta	Malta
Monako	Mónaco
Melnkalne	Montenegro
Vatikāns	Ciudad del Vaticano
Sanmarīno	San Marino
Brisele	Bruselas
Briseles galvaspilsētas reģions	Región de Bruselas-Capital
Kuba	Cuba
Beliza	Belice
Eifeļa tornis	Torre Eiffel
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel Corporation
Bezvadu sakari	Comunicación inalámbrica
Datora klaviatūra	Teclado (informática)
Java (programmēšanas valoda)	Java (lenguaje de programación)
Indonēzija	Indonesia
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Idioma turco
Mandelbrota kopa	Conjunto de Mandelbrot
Dienvidāfrika	Sudáfrica
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Argelia
Wikisource	Wikisource
Viesuļvētra Sendija	Huracán Sandy
Uzbekistāna	Uzbekistán
Rasenes	Drosera
Poznaņa	Poznań
Taškenta	Taskent
Varšava	Varsovia
Eirovīzijas dziesmu konkurss	Festival de la Canción de Eurovisión
Modēna	Módena
Viskijs	Whisky
Vīns	Vino
Ūdens	Agua
Āda (materiāls)	Cuero
Koksne	Madera
Tūra	Tours
Televīzija	Televisión
Dzimums	Sexo
Pornogrāfija	Pornografía
Islandiešu valoda	Idioma islandés
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesús de Nazaret
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Mercurio (planeta)
Vēsture	Historia
Perlašēza kapsēta	Cementerio del Père-Lachaise
Apple Inc.	Apple
Venera (planēta)	Venus (planeta)
Valoda	Lenguaje
Mīlestība	Amor
Diktatūra	Dictadura
Galaktika	Galaxia
Jupiters (planēta)	Júpiter (planeta)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Vía Láctea
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Teoría del Big Bang
Urāns (planēta)	Urano (planeta)
Vikipēdija angļu valodā	Wikipedia en inglés
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptuno (planeta)
Astronomija	Astronomía
Singapūra	Singapur
Zinātne	Ciencia
Kosmoloģija	Cosmología
Plutons (pundurplanēta)	Plutón (planeta enano)
Monreāla	Montreal
Brīvā programmatūra	Software libre
Kempēra	Quimper
Jaunava Marija	María (madre de Jesús)
Luijs IX	Luis IX de Francia
Lihtenšteina	Liechtenstein
Sports	Deporte
Kembridža	Cambridge
Jeloustonas nacionālais parks	Parque nacional de Yellowstone
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	Monumento nacional
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Primera Guerra Mundial
Otrais pasaules karš	Segunda Guerra Mundial
Ķelne	Colonia (Alemania)
Wikibooks	Wikilibros
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversidad
Wikivoyage	Wikiviajes
Degvīns	Vodka
Pulkstenis	Reloj
Janka Kupala	Yanka Kupala
Ubuntu Linux	Ubuntu
Skopje	Skopie
Gdiņa	Gdynia
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Metrología
Matemātika	Matemáticas
U2	U2
Latīņu valoda	Latín
Bahreina	Baréin
Armēnija	Armenia
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Escritura cuneiforme
Higsa bozons	Bosón de Higgs
Serbija	Serbia
Mēness	Luna
Stambula	Estambul
Austrālija	Australia
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiología
Fizika	Física
Argentīna	Argentina
Telesakari	Telecomunicación
Peru	Perú
Bioloģija	Biología
Neidentificēts lidojošs objekts	Objeto volador no identificado
Ziemeļkoreja	Corea del Norte
Kambodža	Camboya
Dzīvnieku tiesības	Derechos de los animales
Koipera josla	Cinturón de Kuiper
Korāns	Corán
Dinozauri	Dinosauria
Zooloģija	Zoología
Islāms	Islam
Bumbieres	Pyrus
Aleksandrijas bibliotēka	Biblioteca de Alejandría
Ščebžešina	Szczebrzeszyn
Ļubļana	Liubliana
Salvadors Aljende	Salvador Allende
Botānika	Botánica
Lehs Valensa	Lech Wałęsa
Ritenis	Rueda
Enciklopēdija (Denī Didro)	L'Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Mente
Miers	Paz
Encyclopædia Britannica	Enciclopedia Británica
Liona	Lyon
Eiropas Savienība	Unión Europea
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Ródano-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Mujer
Sofija	Sofía
Akvedukts	Acueducto
Dons Kihots	Don Quijote de la Mancha
Dzeja	Poesía
Datorvīruss	Virus informático
Černobiļas AES katastrofa	Accidente de Chernóbil
Hirosimas un Nagasaki bombardēšana	Bombardeos atómicos sobre Hiroshima y Nagasaki
Milāna	Milán
Draudzība	Amistad
Atmiņa	Memoria (proceso)
Arturs Rembo	Arthur Rimbaud
Turīna	Turín
Izkārnījumi	Excremento
Anālā atvere	Ano
Citrons	Citrus × limon
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Emīls Zolā	Émile Zola
Zieds	Flor
Gugols	Gúgol
Gugolplekss	Gúgolplex
Marianas dziļvaga	Fosa de las Marianas
Vladimirs Visockis	Vladímir Vysotski
Everests	Monte Everest
Anatomija	Anatomía
Pilsēta	Ciudad
Napoleons Bonaparts	Napoleón Bonaparte
Olimpa kalns (Marss)	Monte Olimpo (Marte)
Fizioloģija	Fisiología
Zvaigzne	Estrella
Vezuvs	Monte Vesubio
Saule	Sol
Debesis	Cielo
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Año luz
Ciems	Pueblo (población rural)
Viktors Igo	Victor Hugo
Okeānija	Oceanía
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Atletismo
Cenzūra	Censura
Saules sistēma	Sistema Solar
Baltijas jūra	Mar Báltico
Trieste	Trieste
Visla	Vístula
Elizejas lauki	Avenida de los Campos Elíseos
Odera	Óder
Ūdeņradis	Hidrógeno
Petija Smita	Patti Smith
Hēlijs	Helio
Elle	Infierno
Vikikrātuve	Wikimedia Commons
Šķīstītava	Purgatorio
Angela Merkele	Angela Merkel
Litijs	Litio
Berilijs	Berilio
Skaļrunis	Altavoz
Grāmata	Libro
Diennakts	Día
Austrumtimora	Timor Oriental
Nakts	Noche
Gads	Año
Gadsimts	Siglo
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rin
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Día de Todos los Santos
Katovice	Katowice
Melnais caurums	Agujero negro
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay
Romas karalis	El rey de Roma
Cerera	Ceres (planeta enano)
Lisabona	Lisboa
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea (planeta enano)
Rona	Ródano
Makemake	Makemake (planeta enano)
Maikls Blumbergs	Michael Bloomberg
Sekss	Comportamiento sexual humano
Erīda (pundurplanēta)	Eris (planeta enano)
Dubaija	Dubái
Lionels Mesi	Lionel Messi
Paduja	Padua
Bors	Boro
Nikolajs Koperniks	Nicolás Copérnico
Versaļa	Versalles
Ogleklis	Carbono
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga
Slāpeklis	Nitrógeno
Bergamo	Bérgamo
Skābeklis	Oxígeno
Milānas @@@u0026Internazionale"	Inter de Milán
Nīls Jangs	Neil Young
Planēta	Planeta
Kleopatra	Cleopatra VII
Keita Buša	Kate Bush
Mūzika	Música
Venēcija	Venecia
Naruto	Naruto
Po (upe)	Po
Šarm eš Šeiha	Sharm el-Sheij
Ņeva	Río Nevá
Termometrs	Termómetro
Renna	Rennes
Lille	Lille
Maskava	Moscú
Fluors	Flúor
Itāļu valoda	Idioma italiano
Čivava (suņu šķirne)	Chihuahueño (perro)
Neons	Neón
Čivava	Chihuahua
Sanktpēterburga	San Petersburgo
Čada	Chad
Nātrijs	Sodio
Ziemeļi	Norte
Magnijs	Magnesio
Alumīnijs	Aluminio
Jaunzēlande	Nueva Zelanda
Dienvidi	Sur
Indija	India
Silīcijs	Silicio
Francijs	Francio
Tuvalu	Tuvalu
Fosfors	Fósforo
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Hierro
Tonga	Tonga
Rietumi	Oeste
Alesandro Volta	Alessandro Volta
Sērs	Azufre
Samoa	Samoa
Austrumi	Este
Zālamana Salas	Islas Salomón
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Cloro
Delfta	Delft
Papua-Jaungvineja	Papúa Nueva Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fábula
Dienvidholande	Holanda Meridional
Palau	Palaos
Argons	Argón
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Cuento de hadas
Ziemeļholande	Holanda Septentrional
Mikronēzija (valsts)	Estados Federados de Micronesia
Kālijs	Potasio
Lionas @@@u0026Olympique"	Olympique de Lyon
Zēlande (province)	Zelanda
Kalcijs	Calcio
Flevolande	Flevolanda
Svins	Plomo
Māršala Salas	Islas Marshall
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiyi
Skandijs	Escandio
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titanio
Venecuēla	Venezuela
Šahs	Ajedrez
Čingishans	Gengis Kan
Vanādijs	Vanadio
Meina	Maine
Hroms	Cromo
Mājas zirgs	Equus ferus caballus
Amsterdama	Ámsterdam
Ierocis	Arma
Dzīvnieki	Animalia
Surinama	Surinam
Mangāns	Manganeso
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Arte
Ekvadora	Ecuador
Rēnijs	Renio
Kolumbija	Colombia
Kobalts	Cobalto
Žans Rasins	Jean Racine
Volframs	Wolframio
Niķelis	Níquel
Zemenes	Fragaria
Pjērs Korneijs	Pierre Corneille
Budisms	Budismo
Groningena	Groninga
Bolīvija	Bolivia
Osmijs	Osmio
Groningena (province)	Provincia de Groninga
Varš	Cobre
Trinidāda un Tobāgo	Trinidad y Tobago
Pols Verlēns	Paul Verlaine
Augi	Plantae
Sentvinsenta un Grenadīnas	San Vicente y las Granadinas
Cinks	Cinc
Ņūhempšīra	Nuevo Hampshire
Sentlūsija	Santa Lucía
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	San Cristóbal y Nieves
Sēnes	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Granada (país)
Frīzlande	Frisia
Masačūsetsa	Massachusetts
Drente	Drente
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Güeldres
Utrehta (province)	Provincia de Utrecht
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Gallus gallus domesticus
Antigva un Barbuda	Antigua y Barbuda
Havajas	Hawái
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	República Dominicana
Mājas cūka	Sus scrofa domestica
Ziemeļu Ledus okeāns	Océano Ártico
Haiti	Haití
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Irán
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Sabiduría
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panamá
Jemena	Yemen
Lozanna	Lausana
Vīruss	Virus
Poļu valoda	Idioma polaco
Jordānija	Jordania
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kirguistán
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Líbano
Oregona	Oregón
Maldīvija	Maldivas
Amerika	América
Jūta	Utah
Liellops	Bos primigenius taurus
Malaizija	Malasia
Valē kantons	Cantón del Valais
Mihails Bulgakovs	Mijaíl Bulgákov
Mjanma	Birmania
Nepāla	Nepal
Omāna	Omán
Pakistāna	Pakistán
Katara	Catar
Teniss	Tenis
MySQL	MySQL
Saūda Arābija	Arabia Saudita
Andrejs Tarkovskis	Andréi Tarkovski
Šrilanka	Sri Lanka
Josifs Staļins	Iósif Stalin
Svītrkods	Código de barras
Sīrija	Siria
Platons	Platón
Gallijs	Galio
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tayikistán
Pokemoni	Pokémon
Ķīnas Republika	República de China
YouTube	YouTube
Germānijs	Germanio
Aristotelis	Aristóteles
Taizeme	Tailandia
Vilciens	Tren
Arsēns	Arsénico
Radio	Radiocomunicación
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistán
Abakana	Abakán
Selēns	Selenio
Irīdijs	Iridio
Apvienotie Arābu Emirāti	Emiratos Árabes Unidos
Broms	Bromo
Platīns	Platino
Vjetnama	Vietnam
Čārlijs Čaplins	Charles Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Corea del Sur
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Los Simpson
Jekaterinburga	Ekaterimburgo
Kriptons	Kriptón
Afganistāna	Afganistán
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nizhni Nóvgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara
Rubīdijs	Rubidio
Zelts	Oro
Omska	Omsk
Suecas kanāls	Canal de Suez
Kazaņa	Kazán
Zinātnieks	Científico
Bangladeša	Bangladés
Bleach (manga)	Bleach
Francs Kafka	Franz Kafka
Čeļabinska	Cheliábinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov del Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufá
Mali	Malí
Sokrats	Sócrates
Volgograda	Volgogrado
Angola	Angola
Perma	Perm
Butāna	Bután
Twitter	Twitter
Krasnojarska	Krasnoyarsk
Bruneja	Brunéi
Tanzānija	Tanzania
Dzīvsudrabs	Mercurio (elemento)
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filipinas
Centrālāfrikas Republika	República Centroafricana
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Talio
Dienvidpols	Polo Sur
Ziemeļpols	Polo Norte
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Estroncio
Pedru I	Pedro I de Brasil y IV de Portugal
Narkotikas	Narcótico
Itrijs	Itrio
Bismuts	Bismuto
Dzeltenā krāsa	Amarillo
Kvantu mehānika	Mecánica cuántica
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Túnez
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabue
Pekina	Pekín
Dienvidsudāna	Sudán del Sur
Vladivostoka	Vladivostok
Tiva	Tuvá
Benina	Benín
Botsvana	Botsuana
Wikinews	Wikinoticias
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comoras
Kongo Republika	República del Congo
Alkmāra	Alkmaar
Oba	Río Obi
Kongo Demokrātiskā Republika	República Democrática del Congo
Sanantonio	San Antonio (Texas)
Tomska	Tomsk
Džibutija	Yibuti
Mēme	Meme
Polonijs	Polonio
Bavārija	Baviera
Pasaules kauss kalnu slēpošanā	Copa del Mundo de Esquí Alpino
Ekvatoriālā Gvineja	Guinea Ecuatorial
Bādene-Virtemberga	Baden-Wurtemberg
Eritreja	Eritrea
Ņūdeli	Nueva Delhi
Jānis Pāvils II	Juan Pablo II
Fjodors Dostojevskis	Fiódor Dostoyevski
Amersforta	Amersfoort
Kamčatkas pussala	Península de Kamchatka
Tbilisi	Tiflis
Andrejs Saharovs	Andréi Sájarov
Zīdainis	Bebé
Astats	Ástato
Gabona	Gabón
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Península de Chukchi
Komikss	Historieta
Gambija	Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bisáu
Kotdivuāra	Costa de Marfil
Kamerūna	Camerún
Maribora	Máribor
Kaboverde	Cabo Verde
Lesoto	Lesoto
Libērija	Liberia
Lībija	Libia
Āhene	Aquisgrán
Madagaskara	Madagascar
Malāvija	Malaui
Štutgarte	Stuttgart
Mauritānija	Mauritania
Poļi	Pueblo polaco
Maurīcija	Mauricio
Maroka	Marruecos
Mozambika	Mozambique
Namībija	Namibia
Nigēra	Níger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Cirkonijs	Circonio
Santome un Prinsipi	Santo Tomé y Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychelles
Kārlis Linnejs	Carlos Linneo
Sjerraleone	Sierra Leona
Somālija	Somalia
Niobijs	Niobio
Džavaharlals Neru	Sri Pandit Jawaharlal Nehru
Jūlijs Cēzars	Julio César
Sudāna	Sudán
Svazilenda	Suazilandia
Varavīksne	Arco iris
Molibdēns	Molibdeno
Tehnēcijs	Tecnecio
Hamburga	Hamburgo
Vielmaiņa	Metabolismo
Narēndra Modi	Narendra Modi
Imūnsistēma	Sistema inmunitario
Gudžarāta	Guyarat
Ontārio ezers	Lago Ontario
Evolūcija	Evolución biológica
Apvienoto Nāciju Organizācija	Organización de las Naciones Unidas
Augšezers	Lago Superior
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geología
Amdāvāda	Ahmedabad
Ģeogrāfija	Geografía
Sirds	Corazón
Smadzenes	Cerebro
Āda	Piel
Krāsa	Color
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Sustantivo
Prāga	Praga
Rutēnijs	Rutenio
Rodijs	Rodio
Zilā krāsa	Azul
Pallādijs	Paladio
Sudrabs	Plata
Kadmijs	Cadmio
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburgo (Países Bajos)
Indijs	Indio (elemento)
Limburga (Beļģija)	Provincia de Limburgo (Bélgica)
Alva	Estaño
Urāns (elements)	Uranio
Antimons	Antimonio
Telūrs	Telurio
Ziemeļbrabante	Brabante Septentrional
Plutonijs	Plutonio
Jods (elements)	Yodo
Neptūnijs	Neptunio
Ksenons	Xenón
Anime	Anime
Cēzijs	Cesio
Protaktīnijs	Protactinio
Elektriskais lādiņš	Carga eléctrica
Bārijs	Bario
Rietumflandrija	Provincia de Flandes Occidental
Austrumflandrija	Provincia de Flandes Oriental
Torijs	Torio
Antverpenes province	Provincia de Amberes
Flāmu Brabante	Brabante Flamenco
Hafnijs	Hafnio
Aktīnijs	Actinio
Valoņu Brabante	Provincia del Brabante Valón
Tantals	Tantalio
Bills Klintons	Bill Clinton
Namīras province	Provincia de Namur
Luksemburgas province	Provincia de Luxemburgo
Ljēžas province	Provincia de Lieja
Rādijs	Radio (elemento)
Eno	Provincia de Henao
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radón
Lotringa	Lorena (Francia)
Elzasa	Alsacia
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercurio (mitología)
Ektors Berliozs	Hector Berlioz
Overņa	Auvernia
Mumbaja	Bombay
Starptautiskā vieglatlētikas federācija	Asociación Internacional de Federaciones de Atletismo
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Míchigan
Čhatīsgarha	Chhattisgarh
Mičigans	Lago Míchigan
Goa	Goa
Burgundija	Borgoña
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitania
Džammu un Kašmīra	Jammu y Cachemira
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Lemosín
Mahārāštra	Maharastra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Megalaya
Mēklenburga-Priekšpomerānija	Mecklemburgo-Pomerania Occidental
Lejassaksija	Baja Sajonia
Ziemeļreina-Vestfālene	Renania del Norte-Westfalia
Hesene	Hesse
Reinzeme-Pfalca	Renania-Palatinado
Zāra (zeme)	Sarre
Saksija	Sajonia
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Turingia
Saksija-Anhalte	Sajonia-Anhalt
Ziemeļdakota	Dakota del Norte
Brandenburga (zeme)	Brandeburgo
Brēmene (federālā zeme)	Bremen (estado)
Lombardija	Lombardía
Dienviddakota	Dakota del Sur
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piamonte
Jeruzaleme	Jerusalén
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Valle de Aosta
Vašingtona (štats)	Washington (estado)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordio
Nevada	Nevada
Dona	Río Don
Dubnijs	Dubnio
Sīborgijs	Seaborgio
Trentīno-Alto Adidže	Trentino-Alto Adigio
Indijas okeāns	Océano Índico
Veneto	Véneto
Kosova	Kosovo
Karību jūra	Mar Caribe
Borijs	Bohrio
Friuli-Venēcija Džūlija	Friuli-Venecia Julia
Hasijs	Hassio
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Liguria
Butross Butross-Gali	Butros Butros-Ghali
Meitnērijs	Meitnerio
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romaña
U Tans	U Thant
Kolorādo (upe)	Río Colorado
Darmštatijs	Darmstadio
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Roentgenio
Toskāna	Toscana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicio
Marke	Marcas
Umbrija	Umbría (Italia)
Lacio	Lacio
Abruco	Abruzos
Apenīni	Apeninos
Alpi	Alpes
Karpati	Montes Cárpatos
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Damas
Dortmunde	Dortmund
Gente	Gante
