Afríka	África
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Stærðfræði	Matemáticas
U2	U2
Latína	Latín
Barein	Baréin
Armenía	Armenia
Fleygrúnir	Escritura cuneiforme
Higgs-bóseind	Bosón de Higgs
Serbía	Serbia
Tunglið	Luna
Istanbúl	Estambul
Ástralía	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Stjörnulíffræði	Astrobiología
Eðlisfræði	Física
Argentína	Argentina
Fjarskipti	Telecomunicación
Perú	Perú
Líffræði	Biología
Fljúgandi furðuhlutur	Objeto volador no identificado
Norður-Kórea	Corea del Norte
Kambódía	Camboya
Kuiperbelti	Cinturón de Kuiper
Kóran	Corán
Risaeðlur	Dinosauria
Dýrafræði	Zoología
Íslam	Islam
Bókasafnið í Alexandríu	Biblioteca de Alejandría
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Grasafræði	Botánica
Lech Wałęsa	Lech Wałęsa
Hjól	Rueda
Denis Diderot	Denis Diderot
Hugur	Mente
Friður	Paz
Encyclopædia Britannica	Enciclopedia Británica
Lyon	Lyon
Evrópusambandið	Unión Europea
Plovdiv	Plovdiv
Star Wars	Star Wars
Veraldarvefurinn	World Wide Web
Kona	Mujer
Sófía	Sofía
Vatnsveitubrú	Acueducto
Don Kíkóti	Don Quijote de la Mancha
Ljóðlist	Poesía
Tölvuveira	Virus informático
Kjarnorkuárásirnar á Hiroshima og Nagasaki	Bombardeos atómicos sobre Hiroshima y Nagasaki
Mílanó	Milán
Minni	Memoria (proceso)
Arthur Rimbaud	Arthur Rimbaud
Tórínó	Turín
Saur	Excremento
Endaþarmsop	Ano
Sítróna	Citrus × limon
Charles Baudelaire	Charles Baudelaire
Blóm	Flor
Googol	Gúgol
Googolplex	Gúgolplex
Maríanadjúpáll	Fosa de las Marianas
Vladimír Vísotskí	Vladímir Vysotski
Everestfjall	Monte Everest
Líffærafræði	Anatomía
Borg	Ciudad
Napóleon Bónaparte	Napoleón Bonaparte
Ólympusfjall (Mars)	Monte Olimpo (Marte)
Lífeðlisfræði	Fisiología
Sólstjarna	Estrella
Vesúvíus	Monte Vesubio
Sólin	Sol
Himinn	Cielo
Louis Pasteur	Louis Pasteur
Ljósár	Año luz
Victor Hugo	Victor Hugo
Eyjaálfa	Oceanía
Orvieto	Orvieto
Frjálsar íþróttir	Atletismo
Ritskoðun	Censura
Sólkerfið	Sistema Solar
Eystrasalt	Mar Báltico
Visla	Vístula
Odra	Óder
Vetni	Hidrógeno
Helín	Helio
Helvíti	Infierno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litín	Litio
Beryllín	Berilio
Hátalari	Altavoz
Bók	Libro
Dagur (tímatal)	Día
Austur-Tímor	Timor Oriental
Ár	Año
Öld	Siglo
Łódź	Łódź
Hvítfjall	Mont Blanc
Rín (fljót)	Rin
Ósló	Oslo
Bonn	Bonn
Allraheilagramessa	Día de Todos los Santos
Katowice	Katowice
Svarthol	Agujero negro
Luís de Camões	Luís de Camões
Seres (dvergreikistjarna)	Ceres (planeta enano)
Lissabon	Lisboa
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Rón	Ródano
Michael Bloomberg	Michael Bloomberg
Eris (dvergreikistjarna)	Eris (planeta enano)
Dúbaí	Dubái
Lionel Messi	Lionel Messi
Padúa	Padua
Bór	Boro
Nikulás Kópernikus	Nicolás Copérnico
Versalir	Versalles
Ludwigsburg	Luisburgo
Kolefni	Carbono
Volga	Volga
Köfnunarefni	Nitrógeno
Súrefni	Oxígeno
F.C. Internazionale Milano	Inter de Milán
Reikistjarna	Planeta
Kleópatra 7.	Cleopatra VII
Tónlist	Música
Feneyjar	Venecia
Pó	Po
Neva	Río Nevá
Hitamælir	Termómetro
Lille	Lille
Moskva	Moscú
Flúor	Flúor
Ítalska	Idioma italiano
Neon	Neón
Sankti Pétursborg	San Petersburgo
Tsjad	Chad
Natrín	Sodio
Norður	Norte
Magnesín	Magnesio
Ál	Aluminio
Nýja-Sjáland	Nueva Zelanda
Suður	Sur
Indland	India
Kísill	Silicio
Fransín	Francio
Túvalú	Tuvalu
Fosfór	Fósforo
André-Marie Ampère	André-Marie Ampère
Óbundið mál	Prosa
Járn	Hierro
Tonga	Tonga
Vestur	Oeste
Brennisteinn	Azufre
Samóa	Samoa
Austur	Este
Salómonseyjar	Islas Salomón
Vanúatú	Vanuatu
Molière	Molière
Klór	Cloro
Delft	Delft
Papúa Nýja-Gínea	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Suður-Holland	Holanda Meridional
Palá	Palaos
Argon	Argón
Nárú	Nauru
Mozilla Firefox	Mozilla Firefox
Ævintýri	Cuento de hadas
Norður-Holland	Holanda Septentrional
Míkrónesía (ríki)	Estados Federados de Micronesia
Kalín	Potasio
Sjáland (Holland)	Zelanda
Kalsín	Calcio
Flevoland	Flevolanda
Blý	Plomo
Marshalleyjar	Islas Marshall
Kíribatí	Kiribati
Mongólía	Mongolia
Fídjieyjar	Fiyi
Skandín	Escandio
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Títan	Titanio
Venesúela	Venezuela
Skák	Ajedrez
Gengis Kan	Gengis Kan
Vanadín	Vanadio
Maine	Maine
Króm	Cromo
Hestur	Equus ferus caballus
Amsterdam	Ámsterdam
Vopn	Arma
Dýr	Animalia
Súrínam	Surinam
Mangan	Manganeso
Paragvæ	Paraguay
Gvæjana	Guyana
List	Arte
Ekvador	Ecuador
Renín	Renio
Kólumbía	Colombia
Kóbolt	Cobalto
Jean Racine	Jean Racine
Volfram	Wolframio
Nikkel	Níquel
Jarðarber	Fragaria
Pierre Corneille	Pierre Corneille
Búddismi	Budismo
Bólivía	Bolivia
Osmín	Osmio
Groningen (fylki)	Provincia de Groninga
Kopar	Cobre
Trínidad og Tóbagó	Trinidad y Tobago
Jurt	Plantae
Sankti Vinsent og Grenadíneyjar	San Vicente y las Granadinas
Sink	Cinc
New Hampshire	Nuevo Hampshire
Sankti Lúsía	Santa Lucía
Leonardo da Vinci	Leonardo da Vinci
Sankti Kristófer og Nevis	San Cristóbal y Nieves
Sveppir	Fungi
Dario Fo	Dario Fo
Jamaíka	Jamaica
Grenada	Granada (país)
Frísland	Frisia
Massachusetts	Massachusetts
Drenthe	Drente
Overijssel	Overijssel
Gvatemala	Guatemala
Gelderland	Güeldres
Utrecht (fylki)	Provincia de Utrecht
Google Chrome	Google Chrome
Bahamaeyjar	Bahamas
Connecticut	Connecticut
Nytjahænsni	Gallus gallus domesticus
Antígva og Barbúda	Antigua y Barbuda
Hawaii	Hawái
Hondúras	Honduras
Dóminíka	Dominica
Jersey	Jersey
Dóminíska lýðveldið	República Dominicana
Svín (tegund)	Sus scrofa domestica
Norður-Íshaf	Océano Ártico
Haítí	Haití
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Íran	Irán
Heimska	Tonto
Írak	Irak
Alaska	Alaska
Assen	Assen
Kosta Ríka	Costa Rica
Ísrael	Israel
Utrecht	Utrecht
Panama	Panamá
Jemen	Yemen
Lausanne	Lausana
Veira	Virus
Pólska	Idioma polaco
Jórdanía	Jordania
Níkaragva	Nicaragua
Flórída	Florida
Kirgisistan	Kirguistán
Arizona	Arizona
Kúveit	Kuwait
Laos	Laos
Líbanon	Líbano
Oregon	Oregón
Maldíveyjar	Maldivas
Ameríka	América
Utah	Utah
Nautgripur	Bos primigenius taurus
Malasía	Malasia
Valais	Cantón del Valais
Mikhaíl Búlgakov	Mijaíl Bulgákov
Búrma	Birmania
Nepal	Nepal
Óman	Omán
Pakistan	Pakistán
Katar	Catar
Tennis	Tenis
Sádí-Arabía	Arabia Saudita
Andrej Tarkovskíj	Andréi Tarkovski
Srí Lanka	Sri Lanka
Jósef Stalín	Iósif Stalin
Strikamerki	Código de barras
Sýrland	Siria
Platon	Platón
Gallín	Galio
Joseph Brodsky	Joseph Brodsky
Tadsjikistan	Tayikistán
Pokémon	Pokémon
Lýðveldið Kína	República de China
YouTube	YouTube
German	Germanio
Aristóteles	Aristóteles
Taíland	Tailandia
Járnbrautarlest	Tren
Arsen	Arsénico
Útvarp	Radiocomunicación
Meryl Streep	Meryl Streep
Túrkmenistan	Turkmenistán
Selen	Selenio
Iridín	Iridio
Sameinuðu arabísku furstadæmin	Emiratos Árabes Unidos
Bróm	Bromo
Platína	Platino
Víetnam	Vietnam
Charlie Chaplin	Charles Chaplin
Novosibirsk	Novosibirsk
Suður-Kórea	Corea del Sur
Józef Piłsudski	Józef Piłsudski
Simpsonfjölskyldan	Los Simpson
Krypton	Kriptón
Afganistan	Afganistán
J. R. R. Tolkien	J. R. R. Tolkien
Samara	Samara
Rúbidín	Rubidio
Gull	Oro
Súesskurðurinn	Canal de Suez
Bangladess	Bangladés
Bleach (anime)	Bleach
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufá
Malí	Malí
Sókrates	Sócrates
Volgograd	Volgogrado
Angóla	Angola
Bútan	Bután
Twitter	Twitter
Brúnei	Brunéi
Tansanía	Tanzania
Kvikasilfur	Mercurio (elemento)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippseyjar	Filipinas
Mið-Afríkulýðveldið	República Centroafricana
Þallín	Talio
Suðurpóllinn	Polo Sur
Norðurheimskautið	Polo Norte
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontín	Estroncio
Yttrín	Itrio
Bismút	Bismuto
Gulur	Amarillo
Skammtafræði	Mecánica cuántica
Tógó	Togo
Donald Tusk	Donald Tusk
Túnis	Túnez
John Bardeen	John Bardeen
Sambía	Zambia
Simbabve	Zimbabue
Beijing	Pekín
Suður-Súdan	Sudán del Sur
Vladivostok	Vladivostok
Benín	Benín
Botsvana	Botsuana
Búrkína Fasó	Burkina Faso
Búrúndí	Burundi
Kómoreyjar	Comoras
Vestur-Kongó	República del Congo
Alkmaar	Alkmaar
Ob	Río Obi
Austur-Kongó	República Democrática del Congo
San Antonio	San Antonio (Texas)
Djíbútí	Yibuti
Pólon	Polonio
Bæjaraland	Baviera
Miðbaugs-Gínea	Guinea Ecuatorial
Baden-Württemberg	Baden-Wurtemberg
Erítrea	Eritrea
Nýja Delí	Nueva Delhi
Jóhannes Páll 2.	Juan Pablo II
Fjodor Dostojevskíj	Fiódor Dostoyevski
Amersfoort	Amersfoort
Kamsjatka	Península de Kamchatka
Tíblisi	Tiflis
Andrei Sakarov	Andréi Sájarov
Astat	Ástato
Gabon	Gabón
Mohandas Gandhi	Mahatma Gandhi
Samstaða (pólskt verkalýðsfélag)	Solidarność
Teiknimyndasaga	Historieta
Gambía	Gambia
Gínea	Guinea
Gínea-Bissá	Guinea-Bisáu
Fílabeinsströndin	Costa de Marfil
Kamerún	Camerún
Grænhöfðaeyjar	Cabo Verde
Lesótó	Lesoto
Líbería	Liberia
Líbýa	Libia
Aachen	Aquisgrán
Madagaskar	Madagascar
Malaví	Malaui
Stuttgart	Stuttgart
Máritanía	Mauritania
Máritíus	Mauricio
Marokkó	Marruecos
Mósambík	Mozambique
Namibía	Namibia
France Prešeren	France Prešeren
Níger	Níger
Nígería	Nigeria
Biel/Bienne	Biel/Bienne
Charles Darwin	Charles Darwin
Úganda	Uganda
Rúanda	Ruanda
Sirkon	Circonio
Saó Tóme og Prinsípe	Santo Tomé y Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seychelles-eyjar	Seychelles
Carolus Linnaeus	Carlos Linneo
Síerra Leóne	Sierra Leona
Sómalía	Somalia
Níóbín	Niobio
Jawaharlal Nehru	Sri Pandit Jawaharlal Nehru
Júlíus Caesar	Julio César
Súdan	Sudán
Svasíland	Suazilandia
Regnbogi	Arco iris
Mólýbden	Molibdeno
Teknetín	Tecnecio
Hamborg	Hamburgo
Italo Balbo	Italo Balbo
Efnaskipti	Metabolismo
Ónæmiskerfi	Sistema inmunitario
Gujarat	Guyarat
Þróunarkenningin	Evolución biológica
Sameinuðu þjóðirnar	Organización de las Naciones Unidas
Lake Superior	Lago Superior
Dante Alighieri	Dante Alighieri
Jarðfræði	Geología
Ahmedabad	Ahmedabad
Landfræði	Geografía
Hjarta	Corazón
Heili	Cerebro
Húð	Piel
Litur	Color
Nafnorð	Sustantivo
Prag	Praga
Rúten	Rutenio
Ródín	Rodio
Blár	Azul
Palladín	Paladio
Silfur	Plata
Kadmín	Cadmio
Star Trek	Star Trek
Limburg (Holland)	Limburgo (Países Bajos)
Indín	Indio (elemento)
Limburg (Belgía)	Provincia de Limburgo (Bélgica)
Tin	Estaño
Úran	Uranio
Antímon	Antimonio
Tellúr	Telurio
Norður-Brabant	Brabante Septentrional
Plútóníum	Plutonio
Joð	Yodo
Neptúnín	Neptunio
Xenon	Xenón
Anime	Anime
Sesín	Cesio
Rafhleðsla	Carga eléctrica
Barín	Bario
Vestur-Flæmingjaland	Provincia de Flandes Occidental
Austur-Flæmingjaland	Provincia de Flandes Oriental
Þórín	Torio
Antwerpen-hérað	Provincia de Amberes
Flæmska Brabant	Brabante Flamenco
Hafnín	Hafnio
Vallónska Brabant	Provincia del Brabante Valón
Tantal	Tantalio
Bill Clinton	Bill Clinton
Lúxemborg (hérað)	Provincia de Luxemburgo
Liege (hérað)	Provincia de Lieja
Radín	Radio (elemento)
Hainaut	Provincia de Henao
Radon	Radón
Elsass	Alsacia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkúríus (guð)	Mercurio (mitología)
Hector Berlioz	Hector Berlioz
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bíhar	Bihar
Michigan	Míchigan
Chhattisgarh	Chhattisgarh
Michiganvatn	Lago Míchigan
Góa (fylki)	Goa
Bourgogne	Borgoña
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Jammú og Kasmír	Jammu y Cachemira
Púertó Ríkó	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharastra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Slésvík-Holtsetaland	Schleswig-Holstein
Meghalaya	Megalaya
Mecklenborg-Vorpommern	Mecklemburgo-Pomerania Occidental
Neðra-Saxland	Baja Sajonia
Norðurrín-Vestfalía	Renania del Norte-Westfalia
Hessen	Hesse
Rínarland-Pfalz	Renania-Palatinado
Saarland	Sarre
Saxland	Sajonia
John Lennon	John Lennon
Illinois	Illinois
Þýringaland	Turingia
Saxland-Anhalt	Sajonia-Anhalt
Norður-Dakóta	Dakota del Norte
Brandenborg	Brandeburgo
Langbarðaland	Lombardía
Suður-Dakóta	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Fjallaland	Piamonte
Jerúsalem	Jerusalén
Idaho	Idaho
Ágústudalur	Valle de Aosta
Washington (fylki)	Washington (estado)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordín	Rutherfordio
Nevada	Nevada
Don	Río Don
Francesco Cossiga	Francesco Cossiga
Seborgín	Seaborgio
Giovanni Leone	Giovanni Leone
Trentínó-Suður-Týról	Trentino-Alto Adigio
Indlandshaf	Océano Índico
Antonio Segni	Antonio Segni
Luigi Einaudi	Luigi Einaudi
Venetó	Véneto
Kosóvó	Kosovo
Karíbahaf	Mar Caribe
Friúlí	Friuli-Venecia Julia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Lígúría	Liguria
Colorado	Colorado
Emilía-Rómanja	Emilia-Romaña
U Thant	U Thant
Frédéric Chopin	Frédéric Chopin
Röntgenín	Roentgenio
Toskana	Toscana
Leonard Cohen	Leonard Cohen
Marke	Marcas
Úmbría	Umbría (Italia)
Flokkur:Efnisflokkar	Categoría:Índice de categorías
Latíum	Lacio
Abrútsi	Abruzos
Appennínafjöll	Apeninos
Alpafjöll	Alpes
Jansenismi	Jansenismo
Karpatafjöll	Montes Cárpatos
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Damm	Damas
Dortmund	Dortmund
Gent	Gante
Chicago	Chicago
Bítlarnir	The Beatles
Ununquadín	Flerovio
Maastricht	Maastricht
Arnhem	Arnhem
Vetur	Invierno
Vor	Primavera
Sumar	Verano
Haust	Otoño
Jafndægur	Equinoccio
Saddam Hussein	Sadam Husein
Osama bin Laden	Osama bin Laden
Spænska	Idioma español
Friedrich Hayek	Friedrich Hayek
Montevídeó	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Ópera	Ópera
Philadelphia	Filadelfia
Kolkata	Calcuta
Chennai	Chennai
Delí	Delhi
Dakka	Daca
Bangalore	Bangalore
Vestur-Bengal	Bengala Occidental
Köngulær	Araneae
Áttfætlur	Arachnida
Liðdýr	Arthropoda
Hyderabad	Hyderabad (India)
Islamabad	Islamabad
Tripura	Tripura
Ávöxtur	Fruto
Peningar	Dinero
Virginía (fylki)	Virginia
Vestur-Virginía	Virginia Occidental
Píran	Piran
New York-fylki	Nueva York (estado)
Rhode Island	Rhode Island
Skordýr	Insecta
Maryland	Maryland
Delaware (fylki)	Delaware
Vladímír Lenín	Lenin
Ohio	Ohio
Virgill	Virgilio
Niccolò Machiavelli	Nicolás Maquiavelo
Pennsylvanía	Pensilvania
Francesco Petrarca	Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Ágústus	César Augusto
Microsoft Windows	Microsoft Windows
Tíberíus	Tiberio
New Jersey	Nueva Jersey
Calígúla	Calígula
Gíbraltar	Gibraltar
Claudíus	Claudio
Finnska	Idioma finés
Neró	Nerón
Galba	Galba
Indiana (fylki)	Indiana
Otho	Otón
Vitellius	Vitelio
Nokia	Nokia
Vespasíanus	Tito Flavio Vespasiano
Bifreið	Automóvil
Títus	Tito
Juventus FC	Juventus de Turín
Dómitíanus	Domiciano
Nerva	Nerva
Trajanus	Trajano
Roger Federer	Roger Federer
Hadríanus	Adriano
Georgía (fylki BNA)	Georgia (Estados Unidos)
Antonínus Píus	Antonino Pío
Markús Árelíus	Marco Aurelio
KDE	KDE
Lucius Verus	Lucio Vero
Commodus	Cómodo
Zagreb	Zagreb
Rajasthan	Rayastán
Kampanía	Campania
Texas	Texas
Didius Julianus	Didio Juliano
Septimius Severus	Septimio Severo
Mólíse	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Apúlía	Apulia
Genúa	Génova
Bruno Mars	Bruno Mars
Pínatúbó	Pinatubo
Basilíkata	Basilicata
Norður-Karólína	Carolina del Norte
Hokkí	Hockey sobre césped
Suður-Karólína	Carolina del Sur
Kalabría	Calabria
Sikiley	Sicilia
Maníla	Manila
Sardinía	Cerdeña
Leira (fljót)	Río Loira
Signa	Río Sena
Davaó	Dávao
Le Mans	Le Mans
Bordeaux	Burdeos
Mayon	Monte Mayón
Rauðir úlfar	Lupus eritematoso sistémico
Búenos Aíres	Buenos Aires
Tölvuþrjótur	Hacker
Mexíkóborg	México, D. F.
Tókýó	Tokio
La Paz	La Paz
Barselóna	Barcelona
Ananas	Ananas comosus
Mississippi (fylki)	Misisipi
Ferdinand Magellan	Fernando de Magallanes
Mississippifljót	Río Misisipi
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Sundlaug	Piscina
Mizoram	Mizorán
Sikkim	Sikkim
Patagónía	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abiyán
Abú Dabí	Abu Dabi
Astana	Astaná
New Mexico	Nuevo México
Ramses 2.	Ramsés II
Aþena	Atenas
Hringtorg	Rotonda
