ئافرىقا	África
گۈڭگۈرت	Azufre
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Islas Salomón
ۋانۇئاتۇ	Vanuatu
خلور گازى	Cloro
پاپۇئا يېڭى گۋىنېيە	Papúa Nueva Guinea
پالاۋ	Palaos
ئارگون	Argón
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Estados Federados de Micronesia
كالىي	Potasio
كالتىسىي	Calcio
قوغۇشۇن	Plomo
مارشال تاقىم ئاراللىرى	Islas Marshall
كىرىباتى	Kiribati
موڭغۇلىيە	Mongolia
فىجى	Fiyi
سكاندىي	Escandio
تىتان	Titanio
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Gengis Kan
ۋانادىي	Vanadio
Méané Shitati	Maine
خروم	Cromo
ئات	Equus ferus caballus
ئامستېردام	Ámsterdam
ھايۋانات	Animalia
سۇرىنام	Surinam
مانگان	Manganeso
پاراگۋاي	Paraguay
گايانا	Guyana
ئېكۋادور	Ecuador
رېنىي	Renio
كولومبىيە	Colombia
كوبالت	Cobalto
ۋولفرام	Wolframio
نىكېل	Níquel
بۇددا دىنى	Budismo
بولىۋىيە	Bolivia
مىس	Cobre
ترىنىداد ۋە توباگو	Trinidad y Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	San Vicente y las Granadinas
سىنك	Cinc
Yéngi Xampishir Shitati	Nuevo Hampshire
سېنت ليۇسىيە	Santa Lucía
داۋېىنچى	Leonardo da Vinci
سېنت كىتس ۋە نېۋىس	San Cristóbal y Nieves
زەمبۇرۇغ	Fungi
يامايكا	Jamaica
گرېنادا	Granada (país)
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	Bahamas
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antigua y Barbuda
Haway Shitati	Hawái
ھوندۇراس	Honduras
دومىنىكا	Dominica
دومىنىكان جۇمھۇرىيەتى	República Dominicana
ھايتى	Haití
ئەل سالۋادور	El Salvador
ئىران	Irán
ئىراق	Irak
Alyaska Shitati	Alaska
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israel
پاناما	Panamá
يەمەن	Yemen
پولەك تىلى	Idioma polaco
ئىئوردانىيە	Jordania
نىكاراگۇئا	Nicaragua
Florida Shitati	Florida
قىرغىزىستان	Kirguistán
Arizona Shitati	Arizona
كۇۋەيت	Kuwait
لائوس	Laos
لىۋان	Líbano
Orégon Shitati	Oregón
مالدىۋ ئاراللىرى	Maldivas
ئامېرىكا قىتئەسى	América
Yuta Shitati	Utah
مالايسىيا	Malasia
بىرما	Birmania
نېپال	Nepal
ئومان	Omán
پاكىستان	Pakistán
قاتار	Catar
سەئۇدى ئەرەبىستان	Arabia Saudita
سرىلانكا	Sri Lanka
ستالىن	Iósif Stalin
سۇرىيە	Siria
بىراتۇ	Platón
گاللىي	Galio
تاجىكىستان	Tayikistán
تەيۋەن	República de China
گېرمانىي	Germanio
تايلاند	Tailandia
ئارسېن	Arsénico
تۈركمەنىستان	Turkmenistán
سېلېن	Selenio
ئەرەب بىرلەشمە خەلىپىلىكى	Emiratos Árabes Unidos
بروم	Bromo
Platina	Platino
ۋيېتنام	Vietnam
Nowosibirski	Novosibirsk
جەنۇبىي چاۋشيەن	Corea del Sur
كرىپتون	Kriptón
ئافغانىستان	Afganistán
رۇبىدىي	Rubidio
ئالتۇن	Oro
قازان	Kazán
بانگلادېش	Bangladés
مالى	Malí
ئانگولا	Angola
بۇتان	Bután
برۇنېي	Brunéi
تانزانىيە	Tanzania
فىلىپپىن	Filipinas
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	República Centroafricana
جەنۇبى قۇتۇپ	Polo Sur
شىمالى قۇتۇپ	Polo Norte
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Estroncio
ئىتترىي	Itrio
ۋىسمۇت	Bismuto
سېرىق رەڭ	Amarillo
توگو	Togo
تۇنىس	Túnez
زامبىيە	Zambia
زىمبابۋې	Zimbabue
بېيجىڭ شەھىرى	Pekín
تۇۋا	Tuvá
بېنىن	Benín
بوتسۋانا	Botsuana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Comoras
كونگو جۇمھۇرىيىتى	República del Congo
كونگو دېموكراتىك جۇمھۇرىيىتى	República Democrática del Congo
San Antonio	San Antonio (Texas)
جىبۇتى	Yibuti
پولونىي	Polonio
ئېكۋاتور گۋىنېيىسى	Guinea Ecuatorial
ئېرىترېيە	Eritrea
Yéngi Déhli	Nueva Delhi
تبىلىسى	Tiflis
ئاستاتىن	Ástato
گابون	Gabón
گامبىيە	Gambia
ۋىنېيە	Guinea
گۋىنېيە بىسسائۇ	Guinea-Bisáu
پىل چىشى قىرغىغى	Costa de Marfil
كامېرۇن	Camerún
يېشىل تۇمشۇق ئاراللىرى	Cabo Verde
لېسوتو	Lesoto
لىبېرىيە	Liberia
لىۋىيە	Libia
ماداگاسكار	Madagascar
مالاۋى	Malaui
Shtutgart	Stuttgart
ماۋرىتانىيە	Mauritania
ماۋرىتىئۇس	Mauricio
ماراكەش	Marruecos
موزامبىك	Mozambique
نامىبىيە	Namibia
نىگېر	Níger
نىگېرىيە	Nigeria
دارۋىن	Charles Darwin
ئۇگاندا	Uganda
رۋاندا	Ruanda
سىركونىي	Circonio
San Tomé we Prinsipé	Santo Tomé y Príncipe
سېنېگال	Senegal
سېيشېل ئاراللىرى	Seychelles
سيېررا لېئونې	Sierra Leona
سومالى	Somalia
نىئوبىي	Niobio
جولیس سیزر	Julio César
سۇدان	Sudán
سۋازىلېند	Suazilandia
مولبېدىن	Molibdeno
تېخېتىسىي	Tecnecio
Hamburg	Hamburgo
گۇجارات	Guyarat
بىرلەشكەن دۆلەتلەر تەشكىلاتى	Organización de las Naciones Unidas
گېئولوگىيە	Geología
Exmetabad	Ahmedabad
يۈرەك	Corazón
تېرە	Piel
پراگا	Praga
كۆك رەڭ	Azul
كۈمۈش	Plata
قەلەي	Estaño
ئۇران	Uranio
سۈرمە	Antimonio
پلوتونىي	Plutonio
نېپتونىي	Neptunio
كسېنون	Xenón
سېزىي	Cesio
پروتاكتىنىي	Protactinio
بارىي	Bario
تورىي	Torio
گافنىي	Hafnio
ئاكتىنىي	Actinio
تانتال	Tantalio
بىل كلىنتون	Bill Clinton
رادىي	Radio (elemento)
رادون	Radón
Bombay	Bombay
Michigan Shitati	Míchigan
پوئېرتو رىكو	Puerto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	Dakota del Norte
لومبارد	Lombardía
Jenubiy Dakota Shitati	Dakota del Sur
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jerusalén
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington (estado)
رۇزېرفوردىي	Rutherfordio
Néwada shitati	Nevada
دۇبنىي	Dubnio
سىبورگىي	Seaborgio
بوھرىي	Bohrio
ھاسسىي	Hassio
مېيتنېرىي	Meitnerio
Kolorado Shitati	Colorado
دارمستادتىي	Darmstadio
رۆنتگېنىي	Roentgenio
كوپېرنىي	Copernicio
تۈر:تۈرلەر يولباشچىسى	Categoría:Índice de categorías
ئاپېنىن تاغ تىزمىسى	Apeninos
ئالپ تاغلىرى	Alpes
پاسكال	Blaise Pascal
Gant	Gante
Chikago	Chicago
ئۇنۇنترىي	Ununtrio
فلېروۋىي	Flerovio
ئۇنۇنپېنتىي	Unumpentio
لىۋىرمورىي	Livermorio
ئۇنۇنسېپتىي	Ununseptio
ئۇنۇنئوكتىي	Ununoctio
Arném	Arnhem
ئىسپان تىلى	Idioma español
مونتېۋىدېئو	Montevideo
Filadélfiye	Filadelfia
Kalkutta	Calcuta
Déhli	Delhi
داكا	Daca
Ban'galor	Bangalore
Ömüchük	Araneae
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Fruto
مايمۇن	Mono
Wirginiye Shitati	Virginia
غەربىي ۋىرگىنىيە شىتاتى	Virginia Occidental
Nyuyork Shitati	Nueva York (estado)
سېرىي	Cerio
پرازېئودىمىي	Praseodimio
Rodé Arili Shitati	Rhode Island
نېئودىي	Neodimio
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europio
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pensilvania
Yéngi Jérséy Shtati	Nueva Jersey
فىنلاندىيە تىلى	Idioma finés
Indiyanna Shitati	Indiana
ئاپتوموبىل	Automóvil
Giorgiye Shitati	Georgia (Estados Unidos)
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	Carolina del Sur
سىتسىلىيە	Sicilia
مانىلا	Manila
ساردىنىيە ئارىلى	Cerdeña
Bordo	Burdeos
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	México, D. F.
توكيو	Tokio
Barsélona	Barcelona
Missisipi Shitati	Misisipi
Ténnéssi Shitati	Tennessee
Astana	Astaná
Yéngi Méksika Shitati	Nuevo México
ئافېنا	Atenas
Minnésota Shitati	Minnesota
باغداد	Bagdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	Associazione Calcio Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Ciudad de Guatemala
Kanzas Shitati	Kansas
ھىندى تىلى	Hindi
ماراتىچە	Idioma maratí
Missori Shitati	Misuri
Loyizanna Shitati	Luisiana
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hannover
Myunxén	Múnich
Drézdén	Dresde
ۋالىبول	Voleibol
Wyéna	Viena
Kopénhagén	Copenhague
Stokgolm	Estocolmo
Xélsinki	Helsinki
دۇبلىن	Dublín
رېيكياۋىك	Reikiavik
Tallin	Tallin
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapest
Danzig	Gdansk
Frankfort	Fráncfort del Meno
Wroklaw	Breslavia
لانتان	Lantano
جۈي	Prometio
چالغا	Samario
گادولنىي	Gadolinio
تېربىي	Terbio
Katolik dini	Catolicismo
ليۇكسېمبۇرگ شەھىرى	Luxemburgo (ciudad)
دىسپروزىي	Disprosio
ۋادۇز	Vaduz
ئىنجىل	Biblia
گولمىي	Holmio
ئېربىي	Erbio
فنوم پېن	Nom Pen
تۇلىي	Tulio
سايگون	Ciudad Ho Chi Minh
ئىتتېربىي	Iterbio
لۇتېتسىي	Lutecio
خانوي	Hanói
ھەقىقى ئەيسا چېركاۋى	Verdadera Iglesia de Jesús
ئىنگىلىز تىلى	Idioma inglés
Bangkok	Bangkok
ئاندوررا كەنتى	Andorra la Vieja
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipéi
ئامېرىتسىي	Americio
كىيۇرىي	Curio
Concepción, Chile	Concepción (Chile)
بېركېلىي	Berkelio
كالىفورنىي	Californio
ئېينشتېينىي	Einstenio
فېرمىي	Fermio
مېندېلېيېۋىي	Mendelevio
كىيېۋ	Kiev
نوبېلىي	Nobelio
لاۋرېنسىي	Lawrencio
كارېلىيە	República de Carelia
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nueva Escocia
يېرېۋان	Ereván
دارېسسالام	Dar es-Salam
خارتۇم	Jartum
Yéngi Brunswik Ölkisi	Nuevo Brunswick
Britani Kolumbiye	Columbia Británica
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Terranova y Labrador
Gherbiy Shimal Rayoni	Territorios del Noroeste
Yukon Rayoni	Yukón
Florénsa	Florencia
Ésén	Essen
كومى	Komi
Léypzig	Leipzig
Nyurnbérg	Núremberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria (Columbia Británica)
Winnipég	Winnipeg
Halifaks	Halifax
Kwébék Shehiri	Quebec (ciudad)
ئېلېكترون	Electrón
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Protón
Kurow	Kurów
Naplés	Nápoles
Braunshwéyg	Brunswick
Madrid	Madrid
سۇ ئاستى كېمىسى	Submarino
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogotá
لىما	Lima
Santiyago	Santiago de Chile
كىتو	Quito
سۇكرې	Sucre
ئاسۇنسىئون	Asunción
Öçke	Capra aegagrus hircus
Héydélbérg	Heidelberg
كاتماندۇ	Katmandú
سان خوسې (كوستارىكا)	San José (Costa Rica)
سان سالۋادور	San Salvador
Kanbérra	Canberra
Sidnéy	Sídney
يېشىل رەڭ	Verde
Mélburn	Melbourne
قىزىل رەڭ	Rojo
ماناگۇئا	Managua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Cometa
ئالجىر	Argel
تۇنىس شەھىرى	Túnez (ciudad)
ترىپولى	Trípoli
تېھران	Teherán
جاكارتا	Yakarta
Enqere	Ankara
رىياد	Riad
بېلگراد	Belgrado
ئادىگېيە	Adigueya
پرايا	Praia
دەمەشىق	Damasco
يامۇسسۇكرو	Yamusukro
فرانسىيىگە قاراشلىق گۋىئانا	Guayana Francesa
لومې	Lomé
ئاممان	Amán
بېيرۇت	Beirut
مۇسكات	Mascate
نىكوسىيە	Nicosia
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Eclipse solar
كامپالا	Kampala
Mektep	Escuela
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astracán
Tiktak top	Tenis de mesa
Wikipedia:Sandbox	Wikipedia:Zona de pruebas
قالماقىستان	Kalmukia
Osasko	Osasco
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Bosque
بوغاز كۆۋرۈكى	Puente del Bósforo
كۇڭزى	Confucio
كوربين بيلو	Corbin Bleu
Surat	Surat
ياۋرۇ	Euro
ئامېرىكا دولىرى	Dólar estadounidense
يەر ئوتتۇرا دېڭىزى	Mar Mediterráneo
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Cristianismo
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adelaida (Australia)
داغىستان	Daguestán
Monzón	Monzón (Huesca)
گۇجارات تىل	Idioma guyaratí
پورتۇگال تىلى	Idioma portugués
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Chechenia
كۋېچۇئا تىلى	Lenguas quechuas
ئىنگۇشېتىيە	Ingusetia
شىمالىي ئوسېتىيە	Osetia del Norte-Alania
كاباردىنو-بالقارىستان	Kabardia-Balkaria
ئالماس	Diamante
ياپون تىلى	Idioma japonés
Énsklopédiye	Enciclopedia
ئۇيغۇرچە ۋىكىپىدىيە	Wikipedia:Portada
Latex	LaTeX
كوندېنساتور	Condensador eléctrico
قاراچاي-چېركېسىيە	Karacháyevo-Cherkesia
موردوۋىيە	Mordovia
ۋاسكېتبول	Baloncesto
چاڭجياڭ دەرياسى	Yangtsé
ئۇدمۇرتىيە	Udmurtia
مارى	Mari-El
ھىمالايا تاغ تىزمىسى	Himalaya
ئاند تاغلىرى	Cordillera de los Andes
قىيىلىق تاغلار	Montañas Rocosas
Kapétown	Ciudad del Cabo
چۇۋاشىيە	Chuvasia
تەڭرىتاغ	Tian Shan
كاۋكاز تاغ تىزمىسى	Montañas del Cáucaso
تاتارىستان	Tartaristán
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Baskortostán
Semerqend	Samarcanda
Buxara	Bujará
بېتلېخېم	Belén
Andalusiye	Andalucía
كايمان تاقىم ئاراللىرى	Islas Caimán
Kordowa	Córdoba (España)
شىئەن شەھىرى	Xi'an
كابۇل	Kabul
لاسا شەھىرى	Lhasa
غىلاپ	Vagina
تامىل تىلى	Idioma tamil
پەلسەپە	Filosofía
ئالەم ئايرۇپىلانى	Vuelo espacial
ئالتاي تاغ تىزمىسى	Macizo de Altái
تۈر:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
ئالتاي	República de Altái
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland
ئانارخىزم	Anarquismo
لىبېرالىزىم	Liberalismo
فاشىسىت	Fascismo
مىللەتچىلىك	Nacionalismo
غەربىي ساھارا	Sahara Occidental
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Jakasia
Strasburg	Estrasburgo
ياكۇتىيە	República de Sajá
كرودىيە تىلى	Idioma croata
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Buriatia
جامىس جويىس	James Joyce
كاتالان تىلى	Idioma catalán
Burχa	Buda (concepto)
دىنسىزلىق	Ateísmo
لى بەي	Li Bai
دۇنيا بانكىسى	Banco Mundial
كونسېرۋاتىپ	Conservadurismo
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	OTAN
نوبېل مۇكاپاتى	Premio Nobel
چىن شىخۇاڭ	Qin Shi Huang
خەن سۇلالىسى	Dinastía Han
فېمىنىزم	Feminismo
ئىدېئولوگىيە	Ideología
پەي توپ	Bádminton
يۈەن سۇلالىسى	Dinastía Yuan
كولۇمبو	Cristóbal Colón
يەھۇدىلار	Pueblo judío
سېرىق دەريا	Río Amarillo
قۇلاق	Oído
بۇرۇن	Nariz
كۆز	Ojo
مۇسكۇل	Músculo
Töge	Camelus
چۈمۈلە	Formicidae
سۈي سۇلالىسى	Dinastía Sui
گوللاندىيە تىلى	Idioma neerlandés
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Yang Jian
دېئوكسىرىبونۇكلېئىك كىسلاتا	Ácido desoxirribonucleico
سۇڭ سۇلالىسى	Dinastía Song
Çeyze	Solanum melongena
رۇس تىلى	Idioma ruso
ساخالىن	Isla de Sajalín
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	Organización de Países Exportadores de Petróleo
خەلقئارا پۇل فوندى تەشكىلاتى	Fondo Monetario Internacional
دۇنيا سودا تەشكىلاتى	Organización Mundial del Comercio
سۋاھىلىچە	Idioma suajili
توكيو ئۇنىۋېرستېتى	Universidad de Tokio
خەنزۇ تىلى	Idioma chino
ئۆپكە	Pulmones
نەپەسلىنىش سىستېمى	Aparato respiratorio
رۇمىنىيە تىلى	Idioma rumano
بۇلغارىيە تىلى	Idioma búlgaro
يەر تەۋرەش	Terremoto
ماگادان	Magadán
تەبىئىي پەن	Ciencias naturales
فرانكلىن روزۋېلت	Franklin D. Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicena
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King
Yanardag	Volcán
ئىسسىق بەلباغ سىكلونى	Ciclón tropical
تېلۇگۇ تىلى	Idioma télugu
گرۇزىن تىلى	Idioma georgiano
ئىقتىسادشۇناسلىق	Economía
يېن	Yen
قىزىل تۈلكە	Vulpes vulpes
ئىسكىرىپكا	Violín
چوڭ ئىسكىروپكا	Violonchelo
ئىسكەندەر زۇلقەرنەيىن	Alejandro Magno
ئۆمەر ئىبنى خەتتاب	Umar ibn al-Jattab
ئامۇ دەرياسى	Amu Daria
سۈت	Leche
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hong Kong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Río de Janeiro
سوغۇق ئۇرۇش	Guerra Fría
شاڭخەي شەھىرى	Shanghái
Bilbaw	Bilbao
Séwéliye	Sevilla
چىڭ سۇلالىسى	Dinastía Qing
توماس ئىدىسون	Thomas Alva Edison
ئالبان تىلى	Idioma albanés
باسكى تىلى	Euskera
ئاراگون تىلى	Idioma aragonés
ئەرمەن تىلى	Idioma armenio
ئۇكرائىن تىلى	Idioma ucraniano
Walénsiye	Valencia
Malaga	Málaga
شۋېتسىيە تىلى	Idioma sueco
دانىش تىلى	Idioma danés
نورۋېگىيە تىلى	Idioma noruego
ليۇكسېمبۇرگ تىلى	Idioma luxemburgués
چېخ تىلى	Idioma checo
سلوۋاك تىلى	Idioma eslovaco
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Idioma esloveno
ماجار تىلى	Idioma húngaro
ۋولتىر	Voltaire
ئېستون تىلى	Idioma estonio
لاتۋىيە تىلى	Idioma letón
لىتۋا تىلى	Idioma lituano
ھىندى دىنى	Hinduismo
بېلورۇس تىل	Idioma bielorruso
يېلىن	Mama
ئاتوم	Átomo
گرېك تىلى	Idioma griego
ئرېلاندىيە تىلى	Idioma irlandés
مالتا تىلى	Idioma maltés
پارس تىلى	Idioma persa
ئىسلام	Religión
كورىيەچە	Idioma coreano
Injilning birinchi tomi	Génesis
كانتونچە	Cantonés estándar
ئېكسودۇس	Éxodo
ۋيېتنام تىلى	Idioma vietnamita
كخمېر تىلى	Idioma camboyano
لائوس تىلى	Idioma lao
تايلاندچە	Idioma tailandés
بىرما تىلى	Idioma birmano
مالاي تىلى	Idioma malayo
ھىندونېزىيە تىلى	Idioma indonesio
موڭغۇل تىلى	Idioma mongol
Baku	Bakú
قازاق تىلى	Idioma kazajo
قىرغىز تىلى	Idioma kirguís
