Áfríkà	África
1816	1816
Ọ̀rúndún 19k	Siglo XIX
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
Ọ̀rúndún 18k	Siglo XVIII
Ọ̀rúndún 17k	Siglo XVII
Ọ̀rúndún 16k	Siglo XVI
Ọ̀rúndún 15k	Siglo XV
Ọ̀rúndún 14k	Siglo XIV
Ẹ̀ka:Àwọn ìràwọ̀	Categoría:Estrellas
Ọ̀rúndún 13k	Siglo XIII
Ọ̀rúndún 12k	Siglo XII
Ọ̀rúndún 11k	Siglo XI
Li Bai	Li Bai
Niels Bohr	Niels Bohr
FC Barcelona	Fútbol Club Barcelona
Ìṣọ̀kan Áfríkà	Unión Africana
Ìṣiṣẹ́àbínimọ́	Genética
Ìṣèlú	Política
Òṣèlúaráìlú	Democracia
Naguib Mahfouz	Naguib Mahfuz
NATO	OTAN
Marie Curie	Marie Curie
Ìjọba	Gobierno
Ẹ̀bùn Nobel	Premio Nobel
Marcel Proust	Marcel Proust
Alexander Pushkin	Aleksandr Pushkin
Elisabeti Kìnní Ilẹ̀gẹ̀ẹ́sì	Isabel I de Inglaterra
Ahmose 1k	Amosis I
Rosa Luxemburg	Rosa Luxemburgo
Sophocles	Sófocles
Ẹlẹ́ẹ̀mín	Ser vivo
Rabindranath Tagore	Rabindranath Tagore
Leo Tolstoy	León Tolstói
Mark Twain	Mark Twain
Alan Turing	Alan Turing
Ada Lovelace	Ada Lovelace
Àdájọba	Monarquía
Orílẹ̀-èdè olómìnira	República
Ìṣesósíálístì	Socialismo
Ẹgbẹ́ olóṣèlú	Partido político
Igor Stravinsky	Ígor Stravinski
Pyotr Ilyich Tchaikovsky	Piotr Ilich Chaikovski
Giuseppe Verdi	Giuseppe Verdi
Jẹ́mánì Nazi	Alemania nazi
Jacques Cartier	Jacques Cartier
Christopher Columbus	Cristóbal Colón
James Cook	James Cook
Vasco da Gama	Vasco da Gama
Ibn Battuta	Ibn Battuta
Zheng He	Zheng He
Ìladò Panamá	Canal de Panamá
Òkun Apáagúúsù	Océano Antártico
Etí	Oído
Imú	Nariz
Ojú	Ojo
Ẹ̀fọn	Culicidae
Àgùtàn	Ovis orientalis aries
Alfred Hitchcock	Alfred Hitchcock
Ràkùnmí	Camelus
Afọmúbọ́mọ	Mammalia
Akọ́dièyàn	Primates
Andre Agassi	Andre Agassi
Margaret Thatcher	Margaret Thatcher
Ada Yonath	Ada Yonath
DNA	Ácido desoxirribonucleico
Dorothy Hodgkin	Dorothy Crowfoot Hodgkin
Irène Joliot-Curie	Irène Joliot-Curie
Ìyá	Madre
Bàbá	Padre
Òbí	Parental
Ọmọ	Niño
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
Leonhard Euler	Leonhard Euler
1670	1670
1749	1749
1837	1837
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
1781	1781
1869	1869
Napoleon 3k	Napoleón III Bonaparte
Napoleon 2k	Napoleón II Bonaparte
Grazia Deledda	Grazia Deledda
Louis 16k ilẹ̀ Fránsì	Luis XVI de Francia
Èdè Rọ́síà	Idioma ruso
Louis 15k ilẹ̀ Fránsì	Luis XV de Francia
1782	1782
1870	1870
Louis 14k ilẹ̀ Fránsì	Luis XIV de Francia
1783	1783
1871	1871
Vladimir Putin	Vladímir Putin
Òfin	Derecho
Rock and roll	Rock and roll
Louis 18k ilẹ̀ Fránsì	Luis XVIII de Francia
1784	1784
1872	1872
Ìtúwò Mathimátíìkì	Análisis matemático
1785	1785
1873	1873
Charles 10k ilẹ̀ Fránsì	Carlos X de Francia
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
ASEAN	Asociación de Naciones del Sudeste Asiático
Louis Filip 1k	Luis Felipe I de Francia
1789	1789
1877	1877
1790	1790
1878	1878
Àjọni àwọn Orílẹ̀-èdè Alómìnira	Comunidad de Estados Independientes
1879	1879
1791	1791
Àjọni àwọn Orílẹ̀-èdè	Mancomunidad de Naciones
Àjọ Ètò Owó Káríayé	Fondo Monetario Internacional
1792	1792
1880	1880
1793	1793
1881	1881
UNESCO	Unesco
1794	1794
1882	1882
Ìkéde Akáríayé fún àwọn Ẹ̀tọ́ Ọmọnìyàn	Declaración Universal de los Derechos Humanos
1795	1795
1883	1883
World Health Organization	Organización Mundial de la Salud
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
Àgbájọ Ìsòwò Àgbáyé	Organización Mundial del Comercio
1887	1887
1799	1799
1888	1888
1889	1889
1890	1890
1891	1891
Èdè Swàhílì	Idioma suajili
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Èdè Ṣáínà	Idioma chino
1899	1899
Àdánidá	Naturaleza
Àhámọ́	Célula
Ẹ̀jẹ̀	Sangre
Casablanca	Casablanca
Èdè Romaníà	Idioma rumano
Èdè Bùlgáríà	Idioma búlgaro
Òjò	Lluvia
CD-ROM	CD-ROM
Sáyẹ́nsì aládánidá	Ciencias naturales
Franklin D. Roosevelt	Franklin D. Roosevelt
Avicenna	Avicena
Winston Churchill	Winston Churchill
Augustine ará Híppò	Agustín de Hipona
Nelson Mandela	Nelson Mandela
Martin Luther King, Jr.	Martin Luther King
Ramesses 8k	Ramsés VIII
Seti 2k	Seti II
Ọ̀rúndún 10k	Siglo X
Louis 11k ilẹ̀ Fránsì	Luis XI de Francia
Ọgbọ́n	Lógica
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1896	Juegos Olímpicos de Atenas 1896
Ọ̀rúndún 9k	Siglo IX
Trigonomẹ́trì	Trigonometría
Ọ̀rúndún 8k	Siglo VIII
Ẹ̀ka:Jíómẹ́trì	Geometría
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1900	Juegos Olímpicos de París 1900
Ọ̀rúndún 7k	Siglo VII
Ọ̀rúndún 6k	Siglo VI
Ìjìláyípo Ilẹ̀-Olóoru	Ciclón tropical
Ọ̀rúndún 5k	Siglo V
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1904	Juegos Olímpicos de San Luis 1904
Ọ̀rúndún 4k	Siglo IV
Ọ̀rúndún 3k	Siglo III
Ọ̀rúndún 2k	Siglo II
Ojúọ̀run	Atmósfera
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1906	Juegos Intercalados de 1906
Ọ̀rúndún 1k	Siglo I
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1908	Juegos Olímpicos de Londres 1908
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1916	Juegos Olímpicos de Berlín 1916
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1920	Juegos Olímpicos de Amberes 1920
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1924	Juegos Olímpicos de París 1924
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1928	Juegos Olímpicos de Ámsterdam 1928
Owóníná	Divisa
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1932	Juegos Olímpicos de Los Ángeles 1932
Yen	Yen
Iṣẹ́ ẹlẹ́rọ	Industria
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1936	Juegos Olímpicos de Berlín 1936
Ẹ̀ka:Bùlgáríà	Categoría:Bulgaria
Lítíréṣọ̀	Literatura
Ẹ̀ka:Fránsì	Categoría:Francia
Ẹ̀ka:Orin	Categoría:Música
Ẹ̀ka:Lítíréṣọ̀	Categoría:Literatura
Ẹ̀ka:Ewì	Categoría:Poesía
Mángà	Manga
Jazz	Jazz
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1940	Juegos Olímpicos de Verano de 1940
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1944	Juegos Olímpicos de Londres 1944
Louis 10k ilẹ̀ Fránsì	Luis X de Francia
.ac	.ac
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1948	Juegos Olímpicos de Londres 1948
Jòhánù 1k ilẹ̀ Fránsì	Juan I de Francia
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1952	Juegos Olímpicos de Helsinki 1952
Alẹksándrọ̀s Olókìkí	Alejandro Magno
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1956	Juegos Olímpicos de Melbourne 1956
Constantine 1k	Constantino I (emperador)
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1960	Juegos Olímpicos de Roma 1960
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1964	Juegos Olímpicos de Tokio 1964
Àwùjọ	Sociedad
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1968	Juegos Olímpicos de México 1968
Filip 5k ilẹ̀ Fránsì	Felipe V de Francia
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1972	Juegos Olímpicos de Múnich 1972
Hugo Chávez	Hugo Chávez
Ọkùnrin	Varón
Otto von Bismarck	Otto von Bismarck
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1976	Juegos Olímpicos de Montreal 1976
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1980	Juegos Olímpicos de Moscú 1980
Ìṣẹ́yún	Aborto
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1984	Juegos Olímpicos de Los Ángeles 1984
Àwọn ẹ̀tọ́ ọmọnìyàn	Derechos humanos
Ìṣẹlẹ́yàmẹ̀yà	Racismo
Okoẹrú	Esclavitud
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1988	Juegos Olímpicos de Seúl 1988
Pétérù 1k ilẹ̀ Rọ́síà	Pedro I de Rusia
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1992	Juegos Olímpicos de Barcelona 1992
Aginjù	Desierto
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1996	Juegos Olímpicos de Atlanta 1996
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2000	Juegos Olímpicos de Sídney 2000
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2004	Juegos Olímpicos de Atenas 2004
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2008	Juegos Olímpicos de Pekín 2008
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2012	Juegos Olímpicos de Londres 2012
Simón Bolívar	Simón Bolívar
Andrew Johnson	Andrew Johnson
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2016	Juegos Olímpicos de Río de Janeiro 2016
Pierre Trudeau	Pierre Elliott Trudeau
Kwame Nkrumah	Kwame Nkrumah
Họ́ng Kọng	Hong Kong
Miami	Miami
Karachi	Karachi
Èkó	Lagos
Ogun Abẹ́lé Amẹ́ríkà	Guerra de Secesión
Rio de Janeiro	Río de Janeiro
Ilẹ̀ọbalúayé Brítánì	Imperio británico
Seoul	Seúl
Walt Disney	Walt Disney
Seville	Sevilla
Àdéhùn Versailles	Tratado de Versalles (1919)
Archimedes	Arquímedes
Thomas Edison	Thomas Alva Edison
Euclid	Euclides
Èdè Albáníà	Idioma albanés
Michael Faraday	Michael Faraday
Enrico Fermi	Enrico Fermi
Colin Maclaurin	Colin Maclaurin
Domain Name System	Domain Name System
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Èdè Arméníà	Idioma armenio
Internet Protocol	Internet Protocol
Èdè Ukraníà	Idioma ucraniano
Transmission Control Protocol	Transmission Control Protocol
HTML	HTML
ASCII	ASCII
Unicode	Unicode
Àmì ọ̀pá àṣẹ ilẹ̀ Fenesuela	Escudo de Venezuela
Council of Europe	Consejo de Europa
Marion Cotillard	Marion Cotillard
Johannes Kepler	Johannes Kepler
Max Planck	Max Planck
Èdè Sweden	Idioma sueco
Nikola Tesla	Nikola Tesla
Muhammad ibn Mūsā al-Khwārizmī	Al-Juarismi
James Watt	James Watt
Èdè ará Nọ́rwèy	Idioma noruego
Gottfried Leibniz	Gottfried Leibniz
Noam Chomsky	Noam Chomsky
Èdè Tsẹ́kì	Idioma checo
Èdè Slofákíà	Idioma eslovaco
Karl Marx	Karl Marx
Èdè Húngárì	Idioma húngaro
Mósè	Moisés
Èdè Lituéníà	Idioma lituano
Ẹ̀sìn-ìn Híndù	Hinduismo
José Mujica	José Mujica
James Clerk Maxwell	James Clerk Maxwell
Tabaré Vázquez	Tabaré Vázquez
Dmitri Mendeleev	Dmitri Mendeléyev
Átọ̀mù	Átomo
Ernest Rutherford	Ernest Rutherford
Ìmọ́lẹ̀	Luz
Èdè Gríkì	Idioma griego
Erwin Schrödinger	Erwin Schrödinger
Sístẹ̀mù ìṣiṣẹ́ kọ̀mpútà	Sistema operativo
Taj Mahal	Taj Mahal
Èdè Írẹ́lándì	Idioma irlandés
Èdè Ìṣèlànà Kọ̀mpútà	Lenguaje de programación
Josip Broz Tito	Josip Broz Tito
Èdè Pẹ́rsíà	Idioma persa
Ẹ̀sìn	Religión
Abrahamu	Abraham
Ìwé Gẹ́nẹ́sísì	Génesis
Ìwé Ẹ́ksódù	Éxodo
René Descartes	René Descartes
Èdè Fiẹtnám	Idioma vietnamita
Páùlù ará Társù	Pablo de Tarso
Ère Òmìnira	Estatua de la Libertad
Sigmund Freud	Sigmund Freud
Èdè Tháí	Idioma tailandés
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Baku	Bakú
Èdè Kàsákhì	Idioma kazajo
Ibi Ọ̀ṣọ́ Àgbáyé	Patrimonio de la Humanidad
Èdè Turkmẹ́nì	Idioma turcomano
Thimphu	Timbu
Bandar Seri Begawan	Bandar Seri Begawan
Èdè Hébérù	Idioma hebreo
Èdè Azerbaijani	Idioma azerí
Ibn Khaldun	Ibn Jaldún
Èdè Sérbíà	Idioma serbio
Dili	Dili
Immanuel Kant	Immanuel Kant
John Maynard Keynes	John Maynard Keynes
Vientiane	Vientián
Laozi	Lao-Tsé
Malé	Malé
John Locke	John Locke
Friedrich Nietzsche	Friedrich Nietzsche
Bishkek	Biskek
Jean-Paul Sartre	Jean-Paul Sartre
Dushanbe	Dusambé
Adam Smith	Adam Smith
Max Weber	Max Weber
Ludwig Wittgenstein	Ludwig Wittgenstein
Timbuktu	Tombuctú
Òkun	Océano
Thomas Aquinas	Tomás de Aquino
Gautama Buddha	Buda Gautama
Pete Sampras	Pete Sampras
Mùhammédù	Mahoma
Òdodo	Realidad
A. P. J. Abdul Kalam	Abdul Kalam
Tony Blair	Tony Blair
Martin Luther	Martín Lutero
John Major	John Major
James Callaghan	James Callaghan
Gerald Ford	Gerald Ford
Richard Nixon	Richard Nixon
Ìjọ Kátólìkì	Iglesia católica
Èdè Bẹ̀ngálì	Idioma bengalí
Ọrùn	Cuello
Lyndon B. Johnson	Lyndon B. Johnson
Àwọn Erékùṣù Falkland	Islas Malvinas
A	A
Lewis Hamilton	Lewis Hamilton
Erékùṣù ilẹ̀ Man	Isla de Man
Elisabeti Kejì	Isabel II del Reino Unido
The New York Times	The New York Times
John Fitzgerald Kennedy	John F. Kennedy
B	B
Honoré de Balzac	Honoré de Balzac
G	G
U	U
Z	Z
Orin blues	Blues
F	F
J	J
Ábídí	Alfabeto
Reggae	Reggae
T	T
C	C
R	R
D	D
I	I
E	E
H	H
Dwight D. Eisenhower	Dwight D. Eisenhower
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
Ronald Reagan	Ronald Reagan
V	V
W	W
X	X
Y	Y
Victoria Azarenka	Victoria Azarenka
Laura Robson	Laura Robson
Andy Murray	Andy Murray
Rafael Nadal	Rafael Nadal
Èdè Zulu	Idioma zulú
Pythagoras	Pitágoras
Jarkko Nieminen	Jarkko Nieminen
Àìní	Pobreza
John Mccain	John McCain
Ayrton Senna	Ayrton Senna
Gordon Brown	Gordon Brown
1100	1100
Neville Chamberlain	Neville Chamberlain
Kim Jong-il	Kim Jong-il
Ẹ̀ka:Venezuela	Categoría:Venezuela
Belfast	Belfast
Tábìlì ìdásìkò àwọn ẹ́límẹ̀ntì	Tabla periódica de los elementos
Tórshavn	Tórshavn
Robert Mugabe	Robert Mugabe
Georgetown, Gùyánà	Georgetown
Àwọn ìṣẹ̀lẹ̀ ìdánilóró September 11, 2001	Atentados del 11 de septiembre de 2001
Afàyàwọ́	Reptilia
Mariano Rajoy	Mariano Rajoy
Leo von Caprivi	Leo von Caprivi
Baktéríà	Bacteria
Tẹknọ́lọ́jì	Tecnología
Ìwéìròyìn	Prensa escrita
Àṣà	Cultura
Èdè Hindustánì	Idioma indostánico
Ribonúkléù kíkan	Ácido ribonucleico
Àrùn Parkinson	Enfermedad de Parkinson
IPv4	IPv4
Ojúọ̀nà IP	Dirección IP
Border Gateway Protocol	Border Gateway Protocol
Omikíkan	Ácido
User Datagram Protocol	User Datagram Protocol
Dynamic Host Configuration Protocol	Dynamic Host Configuration Protocol
Àdàpọ̀ kẹ́míkà	Compuesto químico
Sarajevo	Sarajevo
Sérbíà Orílẹ̀-èdè Olómìnira	República Srpska
Ìṣírò	Aritmética
Àwọn Iṣẹ́ Ológun Amẹ́ríkà	Fuerzas armadas de los Estados Unidos
Windows 7	Windows 7
Ajagun Ojúòfurufú Amẹ́ríkà	Fuerza Aérea de los Estados Unidos
Windows Vista	Windows Vista
Gbọ̀ngàn Ìdúnádúrà Àgbáyé	World Trade Center
Nelson Rockefeller	Nelson Rockefeller
Windows XP	Windows XP
Iyọ̀	Sal
Fidel Castro	Fidel Castro
Kọ́ngrẹ́ẹ̀sì Orílẹ̀-èdè Amẹ́ríkà	Congreso de los Estados Unidos
Fulgencio Batista	Fulgencio Batista
Moving Picture Experts Group	Moving Picture Experts Group
Ẹ̀ka:Brasil	Categoría:Brasil
Manhattan	Manhattan
Ẹ̀ka:Ìtàn ilẹ̀ Brasil	Categoría:Historia de Brasil
Ẹ̀ka:Románíà	Categoría:Rumania
Ẹ́límẹ̀ntì kẹ́míkà	Elemento químico
Ìṣedọ́gba	Ecuación
Ìyára	Aceleración
Orin hip hop	Hip hop
Ipá (físíksì)	Fuerza
Gbéringbérin	Imán
Àkójọ (físíksì)	Masa
Mẹ́tàlì	Metal
Irin	Acero
Ẹ̀fúùfù	Gas
Ìtúká onítítànyindin	Radiactividad
Serena Williams	Serena Williams
Àsìkò	Tiempo
Ààlà	Área
Xanana Gusmão	Xanana Gusmão
Àgbérò Pythagoras	Teorema de Pitágoras
100 Hekate	(100) Hécate
1002 Olbersia	(1002) Olbersia
1001 Gaussia	(1001) Gaussia
1003 Lilofee	(1003) Lilofee
1004 Belopolskya	(1004) Belopolskya
10057 L'Obel	(10057) L'Obel
1005 Arago	(1005) Arago
1006 Lagrangea	(1006) Lagrangea
10069 Fontenelle	(10069) Fontenelle
10079 Meunier	(10079) Meunier
1007 Pawlowia	(1007) Pawlowia
1008 La Paz	(1008) La Paz
101 Helena	(101) Helena
1010 Marlene	(1010) Marlene
10101 Fourier	(10101) Fourier
1012 Sarema	(1012) Sarema
1013 Tombecka	(1013) Tombecka
1014 Semphyra	(1014) Semphira
1015 Christa	(1015) Christa
1016 Anitra	(1016) Anitra
1017 Jacqueline	(1017) Jacqueline
1018 Arnolda	(1018) Arnolda
1019 Strackea	(1019) Strackea
102 Miriam	(102) Miriam
1020 Arcadia	(1020) Arcadia
Nọ́mbà	Número
1021 Flammario	(1021) Flammario
1022 Olympiada	(1022) Olympiada
Nọ́mbà tóṣòro	Número complejo
Mítà	Metro
Àgbàdo	Zea mays
Venus Williams	Venus Williams
Andrea Hlaváčková	Andrea Hlavackova
Lucie Hradecká	Lucie Hradecka
Harry S. Truman	Harry S. Truman
Aaliyah	Aaliyah
Àwòrán kíkùn	Pintura
Fọ́tòyíyà	Fotografía
Tíátà	Teatro
Ìṣiṣẹ́oníná	Electrónica
Ìwọ́ ìtanná	Corriente eléctrica
Maria Kirilenko	María Kirilenko
Nadia Petrova	Nadezhda Petrova
Steffi Graf	Steffi Graf
José Ramos-Horta	José Ramos-Horta
Maria Sharapova	María Sharápova
Elena Dementieva	Yelena Deméntieva
Lindsay Davenport	Lindsay Davenport
Jennifer Capriati	Jennifer Capriati
Justine Henin	Justine Henin
Kim Clijsters	Kim Clijsters
Ààrẹ ilẹ̀ Orílẹ̀-èdè Amẹ́ríkà	Presidente de los Estados Unidos
Ìwé-òfin Ìbágbépọ̀ Orílẹ̀-èdè Amẹ́ríkà	Constitución de los Estados Unidos
Àwọn Erékùṣù Wúndíá ti Amẹ́ríkà	Islas Vírgenes de los Estados Unidos
Gúúsù-Ìlàòrùn Ásíà	Sudeste Asiático
Karl Renner	Karl Renner
Lahore	Lahore
Àkójọ àwọn orílẹ̀-èdè	Anexo:Países
Heinz Fischer	Heinz Fischer
L. L. Zamenhof	L. L. Zamenhof
Ẹ́gíptì Ayéijọ́un	Antiguo Egipto
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin Van Buren
Silvio Berlusconi	Silvio Berlusconi
William Henry Harrison	William Henry Harrison
John Tyler	John Tyler
James K. Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Kevin Costner	Kevin Costner
Carlos Dávila	Carlos Dávila
Orin-ìyìn Europe	Himno Europeo
Alberto Lleras Camargo	Alberto Lleras Camargo
Cher	Cher
1101	1101
1102	1102
Ernesto Teodoro Moneta	Ernesto Teodoro Moneta
Henry Dunant	Henri Dunant
Àrùn	Enfermedad
Kàlẹ́ndà Gregory	Calendario gregoriano
Agbègbè àkókò	Huso horario
Thein Sein	Thein Sein
Tutankhamun	Tutankamón
Màláríà	Malaria
Àìsàn Ìmúsára Àìpé Ìgbóguntàrùn	Sida
Àmìọ̀rọ̀ QR	Código QR
Àdàkọ:Location map Iceland	Plantilla:Mapa de localización de Islandia
Àdàkọ:Location map Denmark	Plantilla:Mapa de localización de Dinamarca
Àdàkọ:Location map Estonia	Plantilla:Mapa de localización de Estonia
Àdàkọ:Location map Ireland	Plantilla:Mapa de localización de Irlanda
Àdàkọ:Location map United Kingdom	Plantilla:Mapa de localización de Reino Unido
Àdàkọ:Location map France	Plantilla:Mapa de localización de Francia
Àdàkọ:Location map Andorra	Plantilla:Mapa de localización de Andorra
Àdàkọ:Location map Spain	Plantilla:Mapa de localización de España
Àdàkọ:Location map Italy	Plantilla:Mapa de localización de Italia
Àdàkọ:Location map Switzerland	Plantilla:Mapa de localización de Suiza
Àdàkọ:Location map Austria	Plantilla:Mapa de localización de Austria
Àdàkọ:Location map Poland	Plantilla:Mapa de localización de Polonia
Afárá	Puente
Àdàkọ:Location map Hungary	Plantilla:Mapa de localización de Hungría
Àdàkọ:Location map Croatia	Plantilla:Mapa de localización de Croacia
Àdàkọ:Location map Bosnia	Plantilla:Mapa de localización de Bosnia y Herzegovina
Àdàkọ:Location map Kosovo	Plantilla:Mapa de localización de Kosovo
Àdàkọ:Location map Montenegro	Plantilla:Mapa de localización de Montenegro
Àdàkọ:Location map Republic of Macedonia	Plantilla:Mapa de localización de República de Macedonia
Àdàkọ:Location map Greece	Plantilla:Mapa de localización de Grecia
Àdàkọ:Location map Bulgaria	Plantilla:Mapa de localización de Bulgaria
Àdàkọ:Location map Romania	Plantilla:Mapa de localización de Rumania
Millard Fillmore	Millard Fillmore
Àdàkọ:Location map Belarus	Plantilla:Mapa de localización de Bielorrusia
Franklin Pierce	Franklin Pierce
Àdàkọ:Location map Georgia	Plantilla:Mapa de localización de Georgia
Àdàkọ:Location map Armenia	Plantilla:Mapa de localización de Armenia
Àdàkọ:Location map Azerbaijan	Plantilla:Mapa de localización de Azerbaiyán
Àdàkọ:Location map Kazakhstan	Plantilla:Mapa de localización de Kazajistán
Àdàkọ:Location map Turkmenistan	Plantilla:Mapa de localización de Turkmenistán
Àdàkọ:Location map Kyrgyzstan	Plantilla:Mapa de localización de Kirguistán
James Buchanan	James Buchanan
Àdàkọ:Location map Cyprus	Plantilla:Mapa de localización de Chipre
Àdàkọ:Location map Syria	Plantilla:Mapa de localización de Siria
Àdàkọ:Location map Lebanon	Plantilla:Mapa de localización de Líbano
Àdàkọ:Location map Jordan	Plantilla:Mapa de localización de Jordania
Àdàkọ:Location map Iraq	Plantilla:Mapa de localización de Irak
Àdàkọ:Location map Iran	Plantilla:Mapa de localización de Irán
Àdàkọ:Location map Saudi Arabia	Plantilla:Mapa de localización de Arabia Saudita
Àdàkọ:Location map United Arab Emirates	Plantilla:Mapa de localización de Emiratos Árabes Unidos
Àdàkọ:Location map Oman	Plantilla:Mapa de localización de Omán
Àdàkọ:Location map Pakistan	Plantilla:Mapa de localización de Pakistán
Àdàkọ:Location map India	Plantilla:Mapa de localización de India
Àdàkọ:Location map Nepal	Plantilla:Mapa de localización de Nepal
Àdàkọ:Location map Philippines	Plantilla:Mapa de localización de Filipinas
Àdàkọ:Location map Vietnam	Plantilla:Mapa de localización de Vietnam
Àdàkọ:Location map East Timor	Plantilla:Mapa de localización de Timor Oriental
Àdàkọ:Location map Australia	Plantilla:Mapa de localización de Australia
Àdàkọ:Location map Solomon Islands	Plantilla:Mapa de localización de Islas Salomón
Àdàkọ:Location map Suriname	Plantilla:Mapa de localización de Surinam
Àdàkọ:Location map Guyana	Plantilla:Mapa de localización de Guyana
Àdàkọ:Location map Venezuela	Plantilla:Mapa de localización de Venezuela
Àdàkọ:Location map Colombia	Plantilla:Mapa de localización de Colombia
Àdàkọ:Location map Ecuador	Plantilla:Mapa de localización de Ecuador
Àdàkọ:Location map Peru	Plantilla:Mapa de localización de Perú
Àdàkọ:Location map Bolivia	Plantilla:Mapa de localización de Bolivia
Àdàkọ:Location map Chile	Plantilla:Mapa de localización de Chile
Àdàkọ:Location map Argentina	Plantilla:Mapa de localización de Argentina
Àdàkọ:Location map Paraguay	Plantilla:Mapa de localización de Paraguay
Àdàkọ:Location map Brazil	Plantilla:Mapa de localización de Brasil
Detroit	Detroit
Ìwọ̀n Ẹyọ Akáríayé SI	Sistema Internacional de Unidades
Ìsirò Statistiki	Estadística
1103	1103
1104	1104
Nọ́mbà odidi	Número entero
Ilẹ̀ọbalúayé Rómù Apáìlàoòrùn	Imperio bizantino
Ilẹ̀ Ọbalúayé Rómù Mímọ́	Sacro Imperio Romano Germánico
Ilẹ̀-Ọba Òttómánì	Imperio otomano
Universala Esperanto-Asocio	Asociación Universal de Esperanto
