Saot Amerika	América del Sur
Niu York (Bundesstaat)	Nueva York (estado)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pensilvania
Uetersen	Uetersen
Augustus	César Augusto
Niu Yersey	Nueva Jersey
Indiana	Indiana
Georgia	Georgia (Estados Unidos)
Texas	Texas
Not Carolina	Carolina del Norte
Saut Carolina	Carolina del Sur
Barcelona	Barcelona
Mississippi	Misisipi
Tennessee	Tennessee
Niu Mexico	Nuevo México
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Hindi
Missouri	Misuri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Vienna	Viena
Stockholm	Estocolmo
Wrocław	Breslavia
Baebol	Biblia
Ho Chi Minh City	Ciudad Ho Chi Minh
Tru Jisas Jioj	Verdadera Iglesia de Jesús
Andorra la Vella	Andorra la Vieja
Dong Hoi	Đồng Hới
Concepción	Concepción (Chile)
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Química
Madrid	Madrid
Sydney	Sídney
Delmenhorst	Delmenhorst
Osasco	Osasco
Curitiba	Curitiba
Confucius	Confucio
Category:Matematikis	Categoría:Matemáticas
Faroe aelan	Islas Feroe
Kristaniti	Cristianismo
Céline Dion	Céline Dion
Kontinen	Continente
Kapitol	Capital (política)
Monzón	Monzón (Huesca)
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Nambawan Pej	Wikipedia:Portada
Template:Gud atikel	Plantilla:Artículo bueno
Category:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Kaontri	País
Indianapolis, Indiana	Indianápolis
Qin Shi Huang	Qin Shi Huang
Ae	Ojo
Kamel	Camelus
Obesin	Solanum melongena
Dakdak	Anatidae
Toktok Rusia	Idioma ruso
Nelson Mandela	Nelson Mandela
Volkeno	Volcán
Bigwin	Ciclón tropical
Category:Franis	Categoría:Francia
Kofi	Café
Seoul	Seúl
Toktok Ukraine	Idioma ucraniano
Dipsi	Océano
Buddha	Buda Gautama
Muhammed	Mahoma
Martin Luther	Martín Lutero
Michael Schumacher	Michael Schumacher
Elisabet II	Isabel II del Reino Unido
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Categoría:Venezuela
Lugo	Lugo
Category:Brazil	Categoría:Brasil
Oktri	Quercus
Kanal	Canal de navegación
Leji	Litchi chinensis
Kokonas	Cocos nucifera
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Mérida	Mérida (España)
Template:Link FA	Plantilla:Destacado
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix
Austin, Texas	Austin
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Bandera de Rusia
Sacramento, Kalifornia	Sacramento (California)
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence (Rhode Island)
Naen	Nueve
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipedia:Artículos buenos
Breinigerberg	Breinigerberg
Moai	Moái
Seoul Stesen	Estacion de Seúl
Daejeon	Daejeon
Sejong	Ciudad de Sejong
Incheon	Incheon
Nashville, Tennessee	Nashville
Sol Lek Siti	Salt Lake City
Seven	Siete
Eit	Ocho
Lord's Prayer	Padre nuestro
Galik	Allium sativum
Kukamba	Cucumis sativus
Sikis	Seis
Moshchena	Moshchena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	Diez
Albany, Niu York	Albany
Ca Mau	Cà Mau
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Đà Lạt
Phan Thiet	Phan Thiết
Hoknaet	Tyto alba
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton
Jefferson City, Missouri	Jefferson City
Jackson, Mississippi	Jackson (Misisipi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing
Concord, New Hampshire	Concord (Nuevo Hampshire)
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort (Kentucky)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery (Alabama)
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock (Arkansas)
Buon Ma Thuot	Buôn Ma Thuột
Hartford, Connecticut	Hartford
Dover, Delaware	Dover (Delaware)
Tok Pisin	Tok pisin
Anastacia	Anastacia
Yufreres	Éufrates
Vinh Long	Vĩnh Long (ciudad)
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise
Al Bayda	Al Baida
Bambu	Bambuseae
Thanh Hoa	Thanh Hóa
Port Moresby	Puerto Moresby
Ben Tre	Bến Tre (ciudad)
Arancón	Arancón
Twelef	Doce
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (Dakota del Norte)
Leven	Once
Avoka	Persea americana
Cleveland, Ohio	Cleveland
John Calvin	Juan Calvino
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia (Carolina del Sur)
Santa Fe, Niu Mexico	Santa Fe (Nuevo México)
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines
Ágreda	Ágreda
Nawita	Octopoda
Pierre, Saut Dakota	Pierre
Carson City, Nevada	Carson City
Topeka, Kansas	Topeka
Raleigh, Not Carolina	Raleigh (Carolina del Norte)
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Citrus × paradisi
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregón)
Josef Smit	Joseph Smith
Oganaesesen blong ol Leba Raonwol	Organización Internacional del Trabajo
Iolu Abil	Iolu Abil
Namba	Numeral (lingüística)
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pugachova
Flaeg blong Azerbaijan	Bandera de Azerbaiyán
Sompiniong	Seta
Gdov	Gdov
Tenczynek	Tenczynek
Rudno	Rudno (Krzeszowice)
Rudawa	Rudawa
Blumak	Acanthurus lineatus
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Anexo:Estados miembros de las Naciones Unidas
Natanggura	Cycas revoluta
St Peter's College (Auckland)	St Peter's College
Alan García	Alan García
John Wycliffe	Juan Wiclef
Caltojar	Caltojar
God	Deidad
Napoleong	Cheilinus undulatus
Flaeg blong Vanuatu	Bandera de Vanuatu
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Ana Paula Arósio	Ana Paula Arósio
Apaxco	Apaxco
Nagorno-Karabakh Republic	República de Nagorno Karabaj
Efate	Éfaté
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Matas Kelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Jacint Verdaguer	Jacinto Verdaguer
Francesc Cambó	Francisco Cambó
Edward Natapei	Edward Natapei
Derek Sikua	Derek Sikua
Ambae Aelan	Ambae
Buk Blong Momon	Libro de Mormón
Banian	Baniano
Sato Kilman	Sato Kilman
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Aliud	Aliud
Baraona	Baraona
Blufis	Scaridae
Blakbokis	Pteropus anetianus
Eric A. Havelock	Eric A. Havelock
Markdorf	Markdorf
Tafea	Tafea
Shefa	Shefa
Ivan Zaytsev	Ivan Zaytsev
Sanma	Sanma
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Ptilinopus
Waeldakdak	Anas superciliosa
Sigal	Chroicocephalus novaehollandiae
Pigazzano	Pigazzano
Torba	Torba
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Casarejos	Casarejos
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Ausejo de la Sierra	Ausejo de la Sierra
Arévalo de la Sierra	Arévalo de la Sierra
Las Aldehuelas	Las Aldehuelas
Bliecos	Bliecos
Blacos	Blacos
Penama	Penama
Barca	Barca (Soria)
Santiago Tequixquiac	Santiago Tequixquiac
Joan Alcover	Joan Alcover
Praem Minista blong Vanuatu	Primer ministro de Vanuatu
Kakao	Cacao en polvo
Isangel	Isangel
Michał Winiarski	Michał Winiarski
Pijin blong hariken	Puffinus pacificus
Pornopedia	Pornopedia
Category:Germany	Categoría:Alemania
Category:Itali	Categoría:Italia
Category:Yunaeted Stet blong Amerika	Categoría:Estados Unidos
Category:Rusia	Categoría:Rusia
Category:Kanada	Categoría:Canadá
Category:United Kingdom	Categoría:Reino Unido
Category:Spain	Categoría:España
Category:China	Categoría:China
Category:India	Categoría:India
Category:Niu Zilan	Categoría:Nueva Zelanda
Category:Bangladesh	Categoría:Bangladés
Category:Poland	Categoría:Polonia
Category:Saot Koria	Categoría:Corea del Sur
Category:Ukraine	Categoría:Ucrania
Category:Vietnam	Categoría:Vietnam
Category:Pijin	Categoría:Aves
Category:Baeoloji	Categoría:Biología
Category:Histri	Categoría:Historia
Category:Jiografi	Categoría:Geografía
Category:Sosaeti	Categoría:Sociedad
Category:Rilijin	Categoría:Religión
Category:Saens	Categoría:Ciencia
Category:Yunaeted Nesen	Categoría:Organización de las Naciones Unidas
Category:Budisim	Categoría:Budismo
Category:Kristaniti	Categoría:Cristianismo
Category:Islam	Categoría:Islam
Ba Ria	Ba Ria
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Maria Ribeiro	Maria Ribeiro
Kiai (tok tok)	Idioma de kiai
Category:Wikipedia Manejmen	Categoría:Administración de Wikipedia
Category:Kultur	Categoría:Cultura
Category:Kontinen	Categoría:Continentes
Fas Presidensi	Primera Presidencia
Bigfala Apostasi	Gran Apostasía
Helena Ranaldi	Helena Ranaldi
Leandra Leal	Leandra Leal
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Categoría:Estadounidenses
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Categoría:Países
Category:Pipol	Categoría:Personas
Category:Intanet	Categoría:Internet
Template:Bot	Plantilla:Bot
Kanada	Canadá
Category:Hungary	Categoría:Hungría
Category:Czechia	Categoría:República Checa
Category:Litwania	Categoría:Lituania
Category:Slovakia	Categoría:Eslovaquia
Category:Yurop	Categoría:Europa
Template:Documentation	Plantilla:Documentación
Category:Wikipedians by language	Categoría:Wikipedia:Wikipedistas por idioma
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Plantilla:Redirección suave
Template:Delete	Plantilla:Destruir
Category:Toktok	Categoría:Lenguas
Category:Wikipedia	Categoría:Wikipedia
Category:Pages with broken file links	Categoría:Wikipedia:Páginas con enlaces rotos a archivos
Wikipedia:Statistics	Wikipedia:Estadísticas
Template:!	Plantilla:!
Category:Buk	Categoría:Libros
Template:Babel	Plantilla:Babel
Template:Commons	Plantilla:Commons
Template:Link GA	Plantilla:Bueno
Category:Azerbaijan	Categoría:Azerbaiyán
Category:Esia	Categoría:Asia
Category:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
Category:Croatia	Categoría:Croacia
Category:User en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
Category:Hed blong Stet	Categoría:Jefes de Estado
Template:Purge	Plantilla:Purgar
Template:Interwiki	Plantilla:InterWiki
Category:Praem minista blong Vanuatu	Categoría:Primer Ministro de Vanuatu
Category:Galicia	Categoría:Galicia
Category:User sk	Categoría:Wikipedia:Wikipedistas con conocimientos de eslovaco
Category:User eo	Categoría:Wikipedia:Wikipedistas con conocimientos de esperanto
Category:User fr	Categoría:Wikipedia:Wikipedistas con conocimientos de francés
Category:User fr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de francés
Category:User it-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de italiano
Category:User sk-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de eslovaco
Category:User de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
Category:User eo-1	Categoría:Wikipedia:Wikipedistas con nivel básico de esperanto
Category:User es	Categoría:Wikipedia:Wikipedistas con conocimientos de español
Category:User es-1	Categoría:Wikipedia:Wikipedistas con nivel básico de español
Category:User it	Categoría:Wikipedia:Wikipedistas con conocimientos de italiano
Category:Praem Minista	Categoría:Primeros ministros
Category:Saens blong Pipol	Categoría:Ciencias sociales
Category:1969 births	Categoría:Nacidos en 1969
Category:Not Dakota	Categoría:Dakota del Norte
Category:Louisiana	Categoría:Luisiana
Category:Arizona	Categoría:Arizona
Category:Kentucky	Categoría:Kentucky
Category:Armenia	Categoría:Armenia
Category:Vanuatu	Categoría:Vanuatu
Category:Pipol blong Vanuatu	Categoría:Vanuatenses
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Categoría:Presidentes de Estados Unidos
Category:Paraguay	Categoría:Paraguay
Category:Papua Nui Guini	Categoría:Papúa Nueva Guinea
Category:Andorra	Categoría:Andorra
Category:Peru	Categoría:Perú
Category:Albania	Categoría:Albania
Category:Fis	Categoría:Peces
Category:Dipsi	Categoría:Océanos
Category:Animol	Categoría:Animales
Category:Asturias	Categoría:Asturias
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Categoría:Iglesia de Jesucristo de los Santos de los Últimos Días
Category:Toktok long Vanuatu	Categoría:Lenguas de Vanuatu
Category:Catalonia	Categoría:Cataluña
Trojany	Trojany
Category:Provens blong Vanuatu	Categoría:Provincias de Vanuatu
Category:Buk Blong Momon	Categoría:Libro de Mormón
Category:Stesen blong Saot Koria	Categoría:Estaciones de ferrocarril de Corea del Sur
Category:Soria	Categoría:Soria
Category:Aragón	Categoría:Aragón
Yun Hyon-seok	Yun Hyon-seok
Special:RecentChanges	Especial:CambiosRecientes
