Nditbonj	Japón
Suhfeicujyi	Sufismo
Vahmanggyalah	Idioma bengalí
Dangzciuz	Dinastía Tang
Dangz Daihcoeng	Li Shimin
Ronald Reagan	Ronald Reagan
Gaggaj	Suicidio
Faex	Árbol
Doenghduz ndoencag	Chordata
Byaek	Verdura
Vahfan	Sánscrito
Soemj	Ácido
Danqsuijvaqhozvuz	Glúcido
Vujhan	Wuhan
Ciuhrin	Edad de Piedra
Mesopotamia	Mesopotamia
Guj Aigib	Antiguo Egipto
Gizdoh vuengzciuz	Imperio Gupta
Binghsiqrueg	Cólera
Ndaengq'ien	Nicotina
Seiqhauh damjhaek	Panzer IV
Gangsengsoq	Antibiótico
Cinghmoizsoq	Penicilina
Cibcihginh doengcwngh	Cruzadas
Baknienz cancwng	Guerra de los Cien Años
Osman Daeqgoz	Imperio otomano
Vunz Veizging	Vikingo
Bah Gim	Ba Jin
Vahcuengh	Idioma chuang
Taranto	Tarento
Yienzbit	Lápiz
Aumwnz	Macao
Huz Ginjdauh	Hu Jintao
Gvangjdungh	Provincia de Cantón
Gvangjsih Bouxcuengh Swcigih	Guangxi
Suhlienz	Unión Soviética
Gauh Kunh	Charles K. Kao
模板:Link FA	Plantilla:Destacado
Gvangjcouh	Cantón (China)
Vwnh Gyahbauj	Wen Jiabao
Sihcang Swcigih	Tíbet
Dalai Cibseiqseiq	Tenzin Gyatso
Cunghgoz Gungcanjdangj	Partido Comunista de China
Gouj	Nueve
Daengxgoek Yinzminz Daibiuj Davei	Asamblea Popular Nacional de China
Cunghgoz Yinzminz Cwngci Hezsangh Veiyi	Conferencia Consultiva Política del Pueblo Chino
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
Nditcanj	Nissan
Vung Tau	Vũng Tàu
Daizvanh	Isla de Taiwán
Lujsaenq	Lu Xun
Caet	Siete
Bat	Ocho
Ulan Bator	Ulán Bator
Hau	Blanco (color)
Loeg	Seis
Makcaih	Solanum lycopersicum
Paltoga	Paltoga
Bahwjgan buendauj	Península balcánica
Cib	Diez
Haijdai	Mar Muerto
Orson Welles	Orson Welles
Woody Allen	Woody Allen
Youdaezmoeg	Artiodactyla
Gouj cib sam	Noventa y tres
Duh Fuj	Du Fu
Vahnizbozwj	Idioma nepalí
Vahsaenqdaek	Idioma sindhi
Rongh X	Rayos X
Sinhgyangh Veizvuzwj Swcigih	Sinkiang
Benjamin Franklin	Benjamin Franklin
Cwngciyoz	Ciencia política
Vah Hozloz	Chino min nan
Vladimir Nabokov	Vladimir Nabokov
Bouxcuengh	Etnia zhuang
Cib ngeih	Doce
Cib it	Once
Cib sam	Trece
Saenqdaek	Sind
Lauxsae	Maestro
Bak	Cien
Gregor Mendel	Gregor Mendel
Arthur Schopenhauer	Arthur Schopenhauer
Cib seiq	Catorce
Cib haj	Quince
Cib bat	Dieciocho
Liujcouh	Liuzhou
Cib gouj	Diecinueve
Cib caet	Diecisiete
Cib loeg	Dieciséis
Ngeih cib	Veinte
Henri Becquerel	Henri Becquerel
Cabceiq	Revista
Rio de Janeiro	Estado de Río de Janeiro
Cigemq	Calotes versicolor
St. George's	Saint George (Granada)
Liuz Siujboh	Liu Xiaobo
Seiq cib	Cuarenta
Vaiz	Bubalus bubalis
Bouxgun	Etnia han
Sam cib	Treinta
Yiuhrumz	Cometa (juego)
Roegga	Corvus
Sipndangj	Chilopoda
Oliver Cromwell	Oliver Cromwell
Veizvuzwj	Etnia uigur
Yinzvwnzcujyi	Humanismo
Gaemhbeg	Violación
Gveicouh	Guizhou
Bozhoz	Mentha
模板:Commonscat	Plantilla:Commonscat
Ngeih cib sam	Veintitrés
Fwen Lajbiengz	La Internacional
Swngj Daizvanh (Cunghvaz Yinzminz Gunghozgoz)	Provincia de Taiwán (República Popular China)
Tomislav Nikolić	Tomislav Nikolić
Denyouz daengngoenz	Célula fotoeléctrica
Denhdwngj	Tiandeng
Lungzcouh	Longzhou
Ningzmingz	Ningming
Dasinh	Daxin
Cottonwood	Cottonwood (Alabama)
Emil Fischer	Hermann Emil Fischer
Dienhngoz	Tian'e
Namzdan	Nandan
Dunghlanz	Donglan
Emil Adolf von Behring	Emil Adolf von Behring
Adolf Windaus	Adolf Otto Reinhold Windaus
Ngeih cib haj	Veinticinco
Ngeih cib seiq	Veinticuatro
Loeg cib	Sesenta
Makbug	Citrus maxima
Yinzvwnz yozgoh	Humanidades
Ahlahbozsugyauh	Acacia
John Keats	John Keats
Vaizcwx meijcouh	Bison bison
Ngeih cib loeg	Veintiséis
Byajraez	Trueno
Loegseiq Saehgienh	Protestas de la Plaza de Tiananmén de 1989
Adam Riess	Adam Riess
Saul Perlmutter	Saul Perlmutter
Ceizraemxrouh	Tangyuan
Leopold Ružička	Leopold Ružička
Hoengqceiqlwnh	Cibernética
Raemxmaeg	Tinta
Cujluj	Pueblo zulú
Cunghvaz Yinzminz Gunghozgoz gozgeiz	Bandera de la República Popular China
Bakbya	Puerto (montaña)
Saihwet	Cinturón (prenda)
Fuzdauj Si	Fukushima (Fukushima)
Cunghvaz Cenzgoz Cungjgunghvei	Federación Nacional de Sindicatos (China)
Cangzsa	Changsha
Ream	Escroto
Canghfwen	Cantante
Andrea Palladio	Andrea Palladio
Nazmij	Nanómetro
Cunghsanh Dayoz	Universidad Sun Yat-sen
Namzningz	Nanning
Ywgajnon	Insecticida
Cangcuz	Etnia tibetana
Gveilinz	Guilin
Yahben Cancwngh	Primera Guerra del Opio
Gangbit	Pluma estilográfica
Cangh Hwngz	Zhang Heng
Cuenghhag	Estudios zhuang
Cunghvaz Yinzminz Gunghozgoz yanfaz	Constitución de la República Popular China
Brian Schmidt	Brian P. Schmidt
Dahcuhgyangh	Río de las Perlas
Bouxmiuz	Miao
Baekhaij	Beihai
Gyahden	Electrodoméstico
Nabsihcuz	Naxi
Ciengqyouz	Salsa de soya
Veiginhrozsoeng Si	Aizuwakamatsu (Fukushima)
Gouj cib	Noventa
Haj cib caet	Cincuenta y ocho
Makcaujcij	Ziziphus zizyphus
Caet cib ngeih	Setenta y dos
Cunghgoz Yinzminz Yinzhangz	Banco Popular Chino
Ginqsan Si	Kōriyama (Fukushima)
Banjsingz Si	Iwaki (Fukushima)
Sihsah ginzdauj	Islas Paracelso
Gouj cib ngeih	Noventa y dos
Bat cib seiq	Ochenta y cuatro
Nguxseiq Yindung	Movimiento del Cuatro de Mayo
Gouj cib loeg	Noventa y seis
Seiq cib sam	Cuarenta y tres
Bat cib caet	Ochenta y siete
Haj cib seiq	Cincuenta y cuatro
Huz Gyah	Hu Jia
Kim Yong	Jim Yong Kim
Bat cib bat	Ochenta y ocho
Bouxmienh	Yao
Singgizsoq	Esteroide sexual
Bat cib haj	Ochenta y cinco
Bak ngeih cib bat	Ciento veintiocho
Ngeih cib caet	Veintisiete
Sam cib haj	Treinta y cinco
Loeg cib seiq	Sesenta y cuatro
Gouj cib gouj	Noventa y nueve
Bak lingz it	Ciento uno
Hoysala Digoz	Hoysala
Ndaengq	Álcali
Ciemxdin	Vendado de pies
Serpopard	Serpopardo
Haj cib loeg	Cincuenta y seis
Bat cib gouj	Ochenta y nueve
Caet cib loeg	Setenta y seis
Ngeih cib gouj	Veintinueve
Fuzsuih	Fusui
Ngouzcouh	Wuzhou
Fangzcwngzgangj	Fangchenggang
Ginhcouh	Qinzhou
Gveigangj	Guigang
Yoglinz	Yulin (Guangxi)
Baksaek	Baise
Hohcouh	Hezhou
Hozciz	Hechi
Leizbingz	Laibin
Cungzcoj	Chongzuo
Caet cib it	Setenta y uno
Ngeih cib bat	Veintiocho
Haj cib gouj	Cincuenta y nueve
Loeg cib ngeih	Sesenta y dos
Gouj cib haj	Noventa y cinco
Sam cib bat	Treinta y ocho
Caet cib haj	Setenta y cinco
Bazgveiq yozbaij	Escuela de Bagui
Seiq cib haj	Cuarenta y cinco
Guekcoj	Patria
Loeg cib haj	Sesenta y cinco
Sam Aen Daibyauj	Triple representatividad
Hekgya	Hakka
Loeg cib bat	Sesenta y ocho
Gouj cib caet	Noventa y siete
Gouj cib seiq	Noventa y cuatro
Haj cib haj	Cincuenta y cinco
Gouj cib it	Noventa y uno
Isfara	Isfara
Bat cib	Ochenta
Ngeih cib it	Veintiuno
Ngeih cib ngeih	Veintidós
Caet cib	Setenta
Haj cib	Cincuenta
Seiq cib it	Cuarenta y uno
Sam cib seiq	Treinta y cuatro
Sam cib sam	Treinta y tres
Seiq cib caet	Cuarenta y siete
Sam cib it	Treinta y uno
Sam cib ngeih	Treinta y dos
Seiq cib seiq	Cuarenta y cuatro
Seiq cib loeg	Cuarenta y seis
Seiq cib gouj	Cuarenta y nueve
Seiq cib bat	Cuarenta y ocho
Sam cib caet	Treinta y siete
Sam cib gouj	Treinta y nueve
Sam cib loeg	Treinta y seis
Haj cib sam	Cincuenta y tres
Bat cib it	Ochenta y uno
Loeg cib loeg	Sesenta y seis
Loeg cib sam	Sesenta y tres
Haj cib ngeih	Cincuenta y dos
Loeg cib gouj	Sesenta y nueve
Caet cib sam	Setenta y tres
Caet cib seiq	Setenta y cuatro
Caet cib gouj	Setenta y nueve
Loeg cib caet	Sesenta y siete
Caet cib caet	Setenta y siete
Bat cib sam	Ochenta y tres
Bat cib ngeih	Ochenta y dos
Bat cib loeg	Ochenta y seis
Caet cib bat	Setenta y ocho
Gouj cib bat	Noventa y ocho
Loeg cib it	Sesenta y uno
Swcigih	Región autónoma
Bianca Rinaldi	Bianca Rinaldi
Seiq cib ngeih	Cuarenta y dos
Daengloengz	Farol (iluminación)
Haj cib it	Cincuenta y uno
Ndoengrum	Herbazal
Vujmingz	Wuming
Cunghgoz Gungcanjcujyi Cinghnenzdonz	Liga de la Juventud Comunista de China
Daeng	Lámpara
分类:Meijgoz	Categoría:Estados Unidos
分类:Ezlozswh	Categoría:Rusia
分类:Yiednamz	Categoría:Vietnam
分类:Doenghgo	Categoría:Plantae
分类:Lizsij	Categoría:Historia
分类:Gohyoz	Categoría:Ciencia
Bwzgingh swhfan Dayoz	Universidad Normal de Pekín
分类:Cietyoz	Categoría:Filosofía
Saw Jarom	Libro de Jarom
Sausenhdui	Cuerpo de Jóvenes Pioneros de China
Byaekroem	Amaranthus dubius
Mak	Fruta
Daihbingz Dienguek	Reino Celestial Taiping
Biengz seveicuyi	Socialismo (marxismo)
模板:Userbox	Usuario:Userbox/Userbox
分类:Guekgya	Categoría:Países
分类:Cunghvaz minzcuz	Categoría:Etnias de China
分类:Mbwnnamh	Categoría:Naturaleza
模板:Bot	Plantilla:Bot
模板:Documentation	Plantilla:Documentación
Wikipedia:Seqgih	Portal:Comunidad
分类:用户语言	Categoría:Wikipedia:Wikipedistas por idioma
Sung Jae-ki	Sung Jae-ki
模板:Softredirect	Plantilla:Redirección suave
模板:Db	Plantilla:Destruir
分类:Vah	Categoría:Lenguas
分类:Veizgiek Bakgoh	Categoría:Wikipedia
模板:Navbox	Plantilla:Navegación
模板:!	Plantilla:!
Nobel sengleixhag hoh ywhag ciengj	Anexo:Ganadores del Premio Nobel de Fisiología o Medicina
模板:Babel	Plantilla:Babel
模板:Reflist	Plantilla:Listaref
Batgak	Illicium
分类:Ahsehbaiqgyangh	Categoría:Azerbaiyán
模板:Wikipediasister	Plantilla:Portada:Proyectos
模板:Time ago	Plantilla:Edad en tiempo
分类:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
分类:User zh	Categoría:Wikipedia:Wikipedistas con conocimientos de chino
分类:User zh-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de chino
模板:Cite web	Plantilla:Cita web
模板:User language-N	Plantilla:BabelN
模板:Documentation subpage	Plantilla:Subpágina de documentación
模板:Disambig	Plantilla:Desambiguación
分类:Gvangjcouh	Categoría:Cantón (ciudad)
分类:User sk	Categoría:Wikipedia:Wikipedistas con conocimientos de eslovaco
分类:User sk-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de eslovaco
分类:Gvangjdungh	Categoría:Provincia de Cantón
模板:Lang	Plantilla:Lang
模板:Merge	Plantilla:Fusionar
分类:Daizvanh	Categoría:Taiwán
分类:Doeng Divwnq	Categoría:Timor Oriental
分类:Bwzgingh	Categoría:Pekín
分类:Byaek	Categoría:Verduras
分类:Mak	Categoría:Frutas
分类:Gvangjsih	Categoría:Guangxi
分类:Soujduh	Categoría:Capitales nacionales
分类:Cunghvaz Yinzminz Gunghozgoz	Categoría:República Popular China
Cunghgoz	China (desambiguación)
Trojany	Trojany
分类:Biengz Yacouh	Categoría:Países de Asia
模板:Lang-zh	Plantilla:Lang-zh
分类:Divwnq	Categoría:Timor
模板:Nobots	Plantilla:Nobots
Song guj baenqluxsae	Doble hélice
特殊:最近更改	Especial:CambiosRecientes
