Mo'hetaneho'e	África
Santiago (Chile)	Santiago de Chile
Mé'hahtsékósa	Capra aegagrus hircus
Ho'ësta	Fuego
Antofagasta	Antofagasta
Brazzaville	Brazzaville
Copiapó	Copiapó
Moxe'estonemaheo'o	Escuela
Oomâhóoné-mâhéó'o	Casa
Ó'he'e	Río
Eschweiler	Eschweiler
Dong Hoi Airport	Aeropuerto de Đồng Hới
Curitiba	Curitiba
Talca	Talca
Corbin Bleu	Corbin Bleu
Vôhe'so	Nido
Ve'kese	Aves
Almazán	Almazán
Va'ohtama	Wikipedia:Portada
Hohtsemo	Baloncesto
Ho'honáá'e Tsé'amoo'êse	Montañas Rocosas
Hóoma	Frazada
Category:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Véhpotséhohpe	Té
Axenôhonestôtse	Guitarra
Hotohke tséana'ôhtse	Meteoroide
Mâhtovoo'ôtse	Oído
Kosa	Ovis orientalis aries
Pa'e'pa'onáhe	Camelus
Háhnoma	Anthophila
Hésta'se	Nieve
Ka'êškone	Niño
Kóhkonêhëö'o	Pan
O'êhnémâhéó'o	Inodoro
Nelson Mandela	Nelson Mandela
Vo'e	Nube
Ma'xêhevovetäso	Tornado
Mahpe hevovetäso	Ciclón tropical
Category:Némenestôtse	Categoría:Música
Mó'soonêó'he'e	Río Arkansas
Ma'êhóóhe	Vulpes vulpes
Mo'ôhtávêhohpe	Café
Matana	Leche
Bilbao	Bilbao
Sevilla	Sevilla
Valencia	Valencia
No'kéeho	Sciuridae
Ronald Reagan	Ronald Reagan
Ma'xetoeneško	El Carro (asterismo)
Éškôseeséhotame	Sus
Hoohtsêstse	Árbol
Hohpâháa'éheme	Uva
Háhnomápano'êhasëö	Miel
Aéstomemésêhestôtse	Solanum tuberosum
Vé'keemahpe	Azúcar
Hóo'xevávôxe'êstoo'o	Prensa escrita
Aseéestsestôtse	Teléfono
Lugo	Lugo
Vóhpoma'ôhtse	Sal
Onéhavo'e	Tambor
Amo'a'óvâhtsestôtse	Bicicleta
Môxe'êstoo'o	Papel
Ová'kemâhaemenôtse	Zea mays
Náhkohe	Ursidae
Hoéstoneéše'he	Calendario
E'kôsé'haseo'o	Crepe
Hóxovôho'o	Puente
Hualpén	Hualpén
Jalisco	Jalisco
Hohpâhtsenámenôtse	Pasa
Tsétóno	Helado
Vé'keahonoo'o	Pastel
Asêséoneo'amestôtse	Resortera
Tsé'ôhke -évo'sóévôse ka'êškóneho	Gimnasio
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Heškóvemata	Cactaceae
Hoohëö'o	Bandera
Táxemésêhestôtse	Mesa
Heóvâhá'enëö'o	Tostadora
Táxe'êséestôtse	Silla
Tsêhe'êsenotováhe	Giraffa camelopardalis
E'ôsé'hasëö'o	Espátula
Nuevo León	Nuevo León
Freddie Mercury	Freddie Mercury
Template:Link FA	Plantilla:Destacado
Denver	Denver
Austin (Texas)	Austin
Naa'émâhéó'o	Hospital
Sacramento	Sacramento (California)
Vonomóhtâhestôtse	Ácido acetilsalicílico
Hó'nehe	Canis lupus
Henenéva'ôhease	Tympanuchus phasianellus
Bien Hoa	Biên Hòa
Manëhe	Pelecanus
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
He'kone'éemâsono	Macarrón
Vung Tau	Vũng Tàu
Aruba	Aruba
Néške'ësta	Tamias
Mo'kêhanôtse	Zapato
Hestaahtsémeno	Ribes
Váótséva	Cervidae
Má'ome	Hielo
Heškóvemâhöö'o	Cucumis sativus
Xaóenêhéstâhévo	Allium cepa
Moshchena	Moshchena
Paltoga	Paltoga
Mérida (Venezuela)	Mérida (Venezuela)
Ho'ose	Carbón
Vé'kêséhemêstaa'e	Strigiformes
Ca Mau	Cà Mau
Poeso	Felidae
Curaçao	Curazao
Tôhohko	Martillo
Tâhpe'âséhahnoma	Bombus
He'haéheséeo'ôtse	Achillea millefolium
Vó'ho'kâsénoma'ne	Lampyridae
Tsêhe'êsevotoná	Phasianus colchicus
Sint Maarten	Sint Maarten
Heo'këso	Ondatra zibethicus
Héna'e	Branta canadensis
Sósone'e	Shoshón
Mâhóomoehá-vé'késo	Laridae
Nanomóne-éšeëva	Día del Recuerdo
Ôhtaenémâhéó'o	Hotel
Mâhpé-aénohe	Larus argentatus
Hevavâhkema	Lepidoptera
Méšenonetsénóne	Chiroptera
Tsé-tó'hovane	Sándwich
Kingdom of the Netherlands	Reino de los Países Bajos
Heóvêstséávó'êstse	Taraxacum
Ónonevóneške	Cynomys
Avril Lavigne	Avril Lavigne
Hoéstónéó'o	Calculadora
Motšêške	Cuchillo
Nêškovávo'ha	Cebra
Tsêhesenêstsestôtse	Idioma cheyenne
Vóhpenáhkohe	Ursus maritimus
Oaxaca	Oaxaca
Heóveamêške	Mantequilla
Meo'o	Carretera
Anastacia	Anastacia
Henenó'e	Rosa
Albuquerque	Albuquerque
Tequixquiac	Tequixquiac
Ma'xepóno'e	Oklahoma City
Môxe'êstóonémâhéó'o	Oficina de Correos
Nanóse'hame	Puma concolor
Mâhpémo'éhe	Alces alces
Vo'kome-mâheo'o	Casa Blanca
Boise	Boise
Semo	Barco
Vóhkooheme	Ficus carica
Thanh Hoa	Thanh Hóa
Puerto Montt	Puerto Montt
Mo'otsenahkohe	Ursus arctos
Toóneohëö'o	Clavo (objeto)
Ma'aataéve'éxanéstotôtse	Gafas
Campora San Giovanni	Campora San Giovanni
Tono'sëö'o	Refrigerador
Ka'énêhótame	Bulldog
Éškôsénéhe	Galgo inglés
Nêxo'mévéhe	Citrullus lanatus
Péhpe'éoeškëso	Caniche
Hóhkeehe	Mus (animal)
Heséeotséve'ho'e	Médico
Ma'o'hoáá'e	Ladrillo
Tó'too'he	Aquila chrysaetos
Môxe'a'xémâhéó'o	Sala de cine
Ma'xêheóvema'xemeno	Citrus × paradisi
Hohpe	Sopa
Hovéo'kôheo'	Paraguas
Talcahuano	Talcahuano
Šéeše-stôtse	Cama
Ma'emonêškeho	Phaseolus vulgaris
Tsé-éškôsa'évetováto	Cono (geometría)
Péhpe'épóéso	Gato persa
Johnny Cash	Johnny Cash
Homôse-mâheo'o	Cocina (habitación)
Ma'xeamóvôhtó'hestôtse	Camión
Ókohke	Corvus
Háestôheóhtáhe	Chilopoda
Vótâháéno	Pozo
Hotóa'ôxhoo'êstse	Toro Sentado
Ma'kaataevé'késo	Trochilidae
Ma'xêhë'ne	Meleagris
Ó'kôhóme	Canis latrans
Jim Morrison	Jim Morrison
Sonora	Sonora
Guanajuato	Guanajuato
Ma'kaatohko	Cubo (recipiente)
Ována'xaetanohtôtse	Plegaria de la Serenidad
Móxêšéne	Mentha
Héne'enovâhétane	Estudiante
Hahpenó'estôtse	Máquina de coser
Mo'ôhtameöhtsêstse	Población afroestadounidense
Coahuila	Coahuila de Zaragoza
Baja California	Baja California
Ȧxeohōva	Siluriformes
Chiapas	Chiapas
Guerrero	Estado de Guerrero
Yucatán	Yucatán
Colima	Colima
Hovë'še	Gallinago delicata
Morelos	Morelos
Kémeöna	Dentalium
San Luis Potosí	San Luis Potosí
Sóhkomevó'ho'kâsenestôtse	Vela (iluminación)
Querétaro	Querétaro
Michoacán	Michoacán
Durango	Durango
Nayarit	Nayarit
Puebla	Puebla
Aguascalientes	Aguascalientes
Tamaulipas	Tamaulipas
Quintana Roo	Quintana Roo
Sinaloa	Sinaloa
Zacatecas	Zacatecas
Alla Pugacheva	Alla Pugachova
Hidalgo	Estado de Hidalgo
Campeche	Campeche
Tabasco	Tabasco
Monterrey	Monterrey
Hóma'e	Castor canadensis
Ma'xeméstaa'e	Bubo virginianus
Tlaxcala	Tlaxcala
Hotoa'e	Bison bison
Xäö'o	Mephitidae
Grand Theft Auto: San Andreas	Grand Theft Auto: San Andreas
Háhkota	Caelifera
Môhtséheonetane	Apache
É'koo'óhtotôtse	Prismáticos
Sena'kaneo'o	Cheroqui
Oo'kóhtâxová-mâhéó'o	Barbero
Ho'óhomö'e	Sioux
Jaltenco	Jaltenco
Óova'e	Mica
Tsé-tónovo'eše ho'évohkôtse	T-bone steak
Vétapâhaetó'eo'o	Kiowa
Šé'šenovotsétaneo'o	Comanche (etnia)
Matšeškome	Procyon lotor
Mo'ôhtáenáhkohe	Ursus americanus
Hohtâhé-noma'he	Carassius auratus
Vóaxáa'e	Haliaeetus leucocephalus
Tónovâhonónestôtse	Sartén
Nêševâhá'eneo'o	Horno de microondas
Ame	Pemmican
Vétaneo'hé'e	Río Platte Sur
Tamena'éveéstse'he	Camiseta
Mohkave	Lynx rufus
Ta'ta'ôhëö'o	Llave
Grand Theft Auto	Grand Theft Auto
Vée'e	Tipi
Hóo'kôhévénéhe	Lluvia en la cara
Vé'ho'êškóovo'hestôtse	Aguja (costura)
Vétánó'êstse	Typha latifolia
Oó'omêše	Quercus rubra
Oó'xôseonéame	Mantequilla de maní
Hóxâhtsenáesëö'o	Brida (equitación)
Tsé'amóneane	Alambrada
Xamaehoohtsêstse	Populus deltoides
Glória Pires	Glória Pires
Onéma'ó'aneo'o	Llave (herramienta)
Vé'ôhkemahpe	Río Rojo (Misisipi)
Otá'tavö'êstse	Medicago sativa
Heóvemo'ôhta'e	Brassica napobrassica
Pachuca de Soto	Pachuca de Soto
Onéma'táo'aneo'o	Destornillador
Mótó'e	Fraxinus pennsylvanica
Me'êškema	Acer negundo
Mo'ôhtáemâhoo'o	Cucurbita maxima
Menôtse	Prunus virginiana
Hetanemenôtse	Amelanchier alnifolia
Hoóxe'e	Pinus contorta
Pó'po'êho'hémâhaemenôtse	Palomitas de maíz
Hoxo'ôhtséveotá'tavo'honáá'e	Turquesa
Hevéesénoma'ne	Esox lucius
É'êxováhtóva	Billings (Montana)
Caselle Landi	Caselle Landi
Vé'ho'éome	Tienda de campaña
Vóhpâhtse-náhkohe	Ursus arctos horribilis
Hoeseonó'e	Colchón
Xamaesémo	Canoa
Môxéhéó'o	Escoba
Veracruz	Veracruz
Tootómôhéó'o	Acondicionamiento de aire
Ho'êstásémo	Barco de vapor
Tséx-háenaotséstove	Pandemia de gripe de 1918
Mo'éhe	Cervus canadensis
Vóetséna'évôxe'êstónestôtse	Creta (roca)
Heškóvoneanëö'o	Alambre de púas
Hova'ó'xestôtse	Silla de montar
Terry	Terry (Montana)
Hevá'xameško	Cucharón
Ma'xeamâho'hestôtse	Furgoneta
Banovci (Nijemci)	Banovci (Nijemci)
Otá'tavâho'hé-vé'késo	Cyanocitta cristata
Mo'e'évetoo'o	Cesta
Hoho	Pulsera
Âxeetoo'é'hasëö'o	Anzuelo
Tsé'ôhke-énâhenéstove	Estación de servicio
Ama'éno'hamémôxe'êstoo'o	Autorización para la conducción de vehículos
Nøtterøy	Nøtterøy
Tôhé'kêsaéve'ho'éamo'eétâhestôtse	Rodeo estadounidense
Trpinja	Trpinja
Háeohémahpe	Rapid City (Dakota del Sur)
Tooxo'hamëso	Poni de las Shetland
Hesto'tono'kêhanôtse	Raquetas de nieve
Vé'keehoohtsêstse	Acer saccharum
Amóvôhtó'hestôtse	Pickup
Vo'êstane	Persona
Hoóneanatóe-vó'ho'kâsénâhnestôtse	Lámpara de queroseno
Oómêsta'hasené-váótséva	Odocoileus virginianus
Séavóneške	Marmota monax
Ma'ëno	Testudines
Ma'evé'éso	Cardinalidae
Nêhpo'aneo'o	Cerradura
Apaxco	Apaxco
Ma'háhko'e	Taxidea taxus
Asêséeéstse'he	Suéter
Vé'ho'e	Blanco (persona)
Vó'ho'êho'hóvahtôtse	Linterna eléctrica
Mo'ôhtávo'honáéva	Colinas Negras
Ôxa'ôhévo'kêhanôtse	Mocasín
He'ohko	Calumet
Mo'ë'ha	Pica hudsonia
Sáhea'eo'o	Ojibwa
Oo'kó'êxovahtôtse	Cortacésped
Kóhkonôheonané-mâhéó'o	Horno de pan
Hestóhkáhne	Phrynosoma
He'óonéma'ëno	Chelydra serpentina
Náhkôhevee'e	Monumento nacional de la Torre del Diablo
Âhkévó'êstse	Grindelia squarrosa
Tsétsêhéstâhese	Cheyennes
Óoetaneo'o	Crow
Ne'potátse	Ardea herodias
Hoxomôho'haméstotôtse	Heno
Mo'éheo'hé'e	Río Yellowstone
Tséx-hótôxáha	Clinton (Oklahoma)
Ben Harper	Ben Harper
Mo'ôhtávêhahtátaneo'o	Pies negros
Tó'êsevêséhotoa'e	Texas Longhorn (raza bovina)
Amo'xestôtse	Acampada
Ma'êšenévé'késo	Turdus migratorius
Ve'ho'evo'ha	Caballo americano
Buffy Sainte-Marie	Buffy Sainte-Marie
A'o'tsémêstaa'e	Athene cunicularia
Homenó'e	Ulmus americana
Ma'xemenó'e	Prunus americana
Vé'škee'e	Populus tremuloides
Hesó'xôhéó'o	Plancha de ropa
Vétapâhaeto'e-mâhoéve'ho'éno	Anadarko (Oklahoma)
Kâhkoestséatane	Tribus Confederadas Salish y Kootenai de la Nación Flathead
Aésto'épeeneo'o	Licuadora (trituración)
Vóhkoohévoomâheo'o	Paiute
Hestóetane	Gros ventres
Tsé-heše'émâheónese	Mandan
Vé'evêšéstótó'e	Juniperus scopulorum
Hesó'xêšé'hóno	Mantel
Heškóvêstséávó'êstse	Cardo
Ma'xêhestâhtötse	Salchicha de Bolonia
Hotóhkêsono	Siux oglala
Vóo'kooma	Melanerpes erythrocephalus
Jimmy Carl Black	Jimmy Carl Black
He'évánó'êstse	Artemisia frigida
Ma'xemené-mahpe	Jugo de manzana
He'hemêšéonávo'ha	Caballo Appaloosa
Pénôheoné-mâhéó'o	Molino de grano
Hetanevö'e	Arapajó
Aéstomevé'keemahpe	Sustitutos del azúcar
Ma'xekôsáeho'honáéva	Montañas Bighorn
Éškôseeséma'ëno	Apalone spinifera
Meneo'hé'e	Río Platte
Ma'êhóóhévâhtseo'hé'e	Río Republican
Ama'éno'hamestôtse	Volante de dirección
Mo'ôhtáevánó'êstse	Ambrosia artemisiifolia
Mö'ôhvovó'haestse	Si Tanka
Hóheeheo'o	Assiniboine
Nextlalpan	Nextlalpan
Amêsema'ëno	Terrapene
Tahlequah, Heévâhetanéno	Tahlequah (Oklahoma)
Mo'ôhtávetoo'o	Tetera Negra
Heovese'tahe	Sylvilagus
Ho'néhetane	Pawnee
Pigazzano	Pigazzano
Vóhka'éhemenékohkonôheo'o	Pan de banana
Panâhke'eo'o	Bannock
Hetóhkoné-hohtóvá-mâhéó'o	Ferretería
Belfry	Belfry (Montana)
Háestôhe'šeméhe	Mimus polyglottos
Mâhaemenépénôhéó'o	Harina de maíz
Otaesémenôtse	Juglans nigra
Mo'óhkonavekóhkonôheo'o	Cracker (alimento)
Méná'ó'e	Corral (ganado)
Hese	Mosca
Tsévó'névóvâtse	Caballo castaño
Mo'e'éšé'hóno	Arpillera
Pe'e	Chordeilinae
Méstahke	Megascops
Oo'kóhtâxétaneo'o	Osage
Tsêheta'éno'haméstotôtse	Riendas
Mâhtä'soeo'hé'e	Río Green (río Colorado)
Tony Ramos	Tony Ramos
Ma'xekôsáeo'hé'e	St. Xavier (Montana)
Ho'óseo'hé'e	Colstrip (Montana)
Vóhpoométanéno	Busby (Montana)
Tséh-mámôhevö'ta	Wyola (Montana)
Vóhkoohémâhoéve'ho'éno	Ashland (Montana)
Heóvonêheo'he'é-taneno	Muddy (Montana)
Broadus	Broadus (Montana)
Oévemanâhéno	Birney (Montana)
Red Lodge	Red Lodge (Montana)
Joliet	Joliet (Montana)
Ma'xemâhoévé'ho'eno	Miles City (Montana)
Tšêške'mâhoéve'ho'éno	Forsyth (Montana)
Meaveʼhoʼeno	Lame Deer (Montana)
Maahéo'hé'e	Pryor (Montana)
Óoetanéno	Crow Agency (Montana)
He'konemâhoeve'ho'eno	Hardin (Montana)
Vó'komêšéstótó'e	Abies lasiocarpa
Ho'xó'mâhoéve'ho'éno	Sheridan (Wyoming)
Pono'e	El Reno (Oklahoma)
Mâhtóhtôhéé'êše Tsé'ôhkêhenove	Ten Sleep
Sonic The Hedgehog	Sonic the Hedgehog (serie)
Heškóvó'êstse	Estepicursor
Mo'ôhtávêheséeo'ôtse	Echinacea angustifolia
Heóvôhkâho'hé-vé'késo	Empidonax flaviventris
Móxêšéhevéhpotséhohpe	Té de menta
Honóvóhko	Jerky
Vó'omeoó'omêše	Quercus macrocarpa
Hotóao'hé'e	Río Cimarrón
Táxâhonoo'o	Cornbread
Otaesétaneo'o	Nez percé
Ónonevonêške-móxêšéne	Matricaria discoidea
Heškovêstse	Puercoespín
Rhodesia	Rodesia
A'kêstséahe	Agkistrodon contortrix
Heséeotséhohtóvamâhëö'o	Droguería
Mo'éhno'hamémâhéó'o	Galpón
Atlacomulco	Atlacomulco
Honóxeäse	Sturnella neglecta
O'kohomoxhaahketa	Little Wolf
Category:Ma'evé'ho'éno	Categoría:Alemania
Category:Italy	Categoría:Italia
Category:Russia	Categoría:Rusia
Category:Canada	Categoría:Canadá
Category:United Kingdom	Categoría:Reino Unido
Category:Spain	Categoría:España
Category:Meško	Categoría:México
Category:Mo'hetaneho'e hánêsóvóne	Categoría:Sudáfrica
Category:Egypt	Categoría:Egipto
Ó'óéséó'o	Tendedero
Hóxovéstavestôtse	Mobile home
Category:Austria	Categoría:Austria
Category:Democratic Republic of the Congo	Categoría:República Democrática del Congo
Category:Poland	Categoría:Polonia
Category:Switzerland	Categoría:Suiza
Category:Tanzania	Categoría:Tanzania
Category:Ukraine	Categoría:Ucrania
Category:Vietnam	Categoría:Vietnam
Category:Ve'kêseho	Categoría:Aves
Category:Buildings	Categoría:Edificios y estructuras
Hetótóhne	Gamba (crustáceo)
Ma'ováhe	Caballo ruano
Mahpe tsé'ôhkêhó'	Radiador
Tonôhené-mâhéó'o	Herrero
Mo'xôhtse	Punta de flecha
Khirlepposi	Khirlepposi
Vétanovéo'hé'e	Río Tongue
Regina Duarte	Regina Duarte
Tsévovó'hásêstse	Caballo pío
Litefoot	Litefoot
Netse	Águila
Vánó'êstse	Artemisia tridentata
Sásêškóvéta	Nerodia sipedon
Éše'hôhma'âhevëno	Hammon (Oklahoma)
Sanápevóoma	Sarape
A'kêstséašé'šenovôtse	Cobra
Ireland	Irlanda (desambiguación)
Tsé-amo'emanese	Congreso
Šéstotó'eo'hé'e	Río Saline (Kansas)
Vóóhéhéve	Cuchillo Desafilado
Ma'nomá'ne	Salmoninae
Tó'êsemónêškeho	Ejote
Edmond debeaumarché	Edmond Debeaumarché
Tséh-ma'êho'a'ë'ta	Watonga (Oklahoma)
No'aneonó'e	Rhus glabra
Mo'éhenôxemâhoéve'ho'éno	Geary (Oklahoma)
Tsé-tšêške'óomoëha	Estanque
Kâhamâxéveóhtáhe	Wooden Leg
Oo'kó'ôheo'o	Segadora
Category:Manȧhého'e	Categoría:Países
Category:Héstanêheo'o	Categoría:Personas
Hótoanáo'hé'e	Río Purgatorio
Hotamó'êstse	Polygonum punctatum
Mo'ôtáa-heséeo'ôtse	Lewisia rediviva
Egypt	Egipto
Tónovêšé'hóno	Lienzo
Template:Bot	Plantilla:Bot
Canada	Canadá
Category:Slovakia	Categoría:Eslovaquia
Category:Slovenia	Categoría:Eslovenia
Category:Hóxovê-hooma	Categoría:Europa
Category:Wikipedia help	Categoría:Ayuda
Template:Documentation	Plantilla:Documentación
Wikipedia:Community Portal	Wikipedia:Bot/Autorizaciones
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Plantilla:Redirección suave
Template:Delete	Plantilla:Destruir
Wikipedia:Statistics	Wikipedia:Estadísticas
Template:!	Plantilla:!
Category:Mo'hetaneho'e	Categoría:África
Template:Babel	Plantilla:Babel
Template:Reflist	Plantilla:Listaref
Template:Stub	Plantilla:Esbozo
Category:Asia	Categoría:Asia
Category:Chile	Categoría:Chile
Category:Máhtáme	Categoría:Alimentos
Category:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
Category:Máhtáme naa tsémâhpév-oom	Categoría:Comida y bebida
Category:Vose	Categoría:Montañas
Template:IPA	Plantilla:AFI
Category:Amérika	Categoría:América
Template:Coord	Plantilla:Coord
Category:Wyoming	Categoría:Wyoming
Category:User en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
Mâ-htáeme	Phthiraptera
Category:Mahpe	Categoría:Agua
Category:Tsémâhpév-oom	Categoría:Bebidas
Category:Heévȧhetanéno	Categoría:Oklahoma
Pano'êhasëö'o	Almíbar
Category:Hoohtsêstse	Categoría:Árboles y arbustos
Mo'e'éhoo'he	Saco (recipiente)
Category:Category-ne'tahe	Categoría:Artículos
Náhkôhematôtse	Ciruela pasa
Category:Nebraska	Categoría:Nebraska
Category:North Dakota	Categoría:Dakota del Norte
Category:South Dakota	Categoría:Dakota del Sur
Category:Idaho	Categoría:Idaho
Category:Alaska	Categoría:Alaska
Category:Oregon	Categoría:Oregón
Category:Kansas	Categoría:Kansas
Category:Colorado	Categoría:Colorado
Category:Toháano'ého'ëva	Categoría:Texas
Category:Šé'hóno	Categoría:Tejidos
Category:Poeso	Categoría:Felidae
Category:Malawi	Categoría:Malaui
Category:Namibia	Categoría:Namibia
Category:Republic of the Congo	Categoría:República del Congo
Category:Ho'honáéšé'e	Categoría:Montana
Template:Citation/core	Plantilla:Obra citada/núcleo
Category:Ó'he'e	Categoría:Ríos
Category:Zambia	Categoría:Zambia
Category:Zimbabwe	Categoría:Zimbabue
Category:Nomá'ne	Categoría:Peces
Category:Énano'émâhtáme	Categoría:Verduras
Category:Mene	Categoría:Frutas
Category:Mo'éhno'häme	Categoría:Caballos
Category:Hovahne	Categoría:Animales
Vétšêškévâhonoo'o	Frybread
Category:Še'šenovôtse	Categoría:Serpentes
Category:Hoohëö'o	Categoría:Banderas
Ménôhe'éhestatseo'o	Pala
Category:Váótséva	Categoría:Cervidae
Anonévee'tose (énano'émâhtáme)	Daucus carota
China	China (desambiguación)
Trojany	Trojany
Category:Vášêtaëno	Categoría:Washington D. C.
Category:Náhkohe	Categoría:Ursidae
Heóvêháhnoma	Avispa
Ma'xetôhoo'e	Almádena
Hóxeeséeto'hamestôtse	Cabestro (equitación)
Special:RecentChanges	Especial:CambiosRecientes
