Afirik	África
Catégorie:User nl-1	Categoría:Wikipedia:Wikipedistas con nivel básico de neerlandés
Catégorie:User ar-4	Categoría:Wikipedia:Wikipedistas con nivel experto de árabe
Catégorie:User be-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de bielorruso
Catégorie:User da-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de danés
Catégorie:User fr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de francés
Catégorie:User nl-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de neerlandés
Catégorie:User tr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de turco
Catégorie:User ar-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de árabe
Catégorie:User fr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de francés
Catégorie:User lt-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de lituano
Catégorie:User no-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de noruego
Catégorie:User ru-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de ruso
Catégorie:User af	Categoría:Wikipedia:Wikipedistas con conocimientos de afrikaans
Catégorie:User af-1	Categoría:Wikipedia:Wikipedistas con nivel básico de afrikáans
Catégorie:User als	Categoría:Wikipedia:Wikipedistas con conocimientos de Alemannisch
Catégorie:User als-1	Categoría:Wikipedia:Wikipedistas con nivel básico de Alemannisch
Catégorie:User ar	Categoría:Wikipedia:Wikipedistas con conocimientos de árabe
Catégorie:User cs	Categoría:Wikipedia:Wikipedistas con conocimientos de checo
Catégorie:User da	Categoría:Wikipedia:Wikipedistas con conocimientos de danés
Catégorie:User sk-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de eslovaco
Catégorie:User de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
Catégorie:User de-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de alemán
Catégorie:User de-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de alemán
Catégorie:User de-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de alemán
Catégorie:User en-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de inglés
Catégorie:User en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
Catégorie:User eo-1	Categoría:Wikipedia:Wikipedistas con nivel básico de esperanto
Catégorie:User es	Categoría:Wikipedia:Wikipedistas con conocimientos de español
Catégorie:User es-1	Categoría:Wikipedia:Wikipedistas con nivel básico de español
Catégorie:User es-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de español
Catégorie:User es-4	Categoría:Wikipedia:Wikipedistas con nivel experto de español
Catégorie:User es-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de español
Catégorie:User pl-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de polaco
Catégorie:User it	Categoría:Wikipedia:Wikipedistas con conocimientos de italiano
Catégorie:User it-1	Categoría:Wikipedia:Wikipedistas con nivel básico de italiano
Catégorie:User ja-1	Categoría:Wikipedia:Wikipedistas con nivel básico de japonés
Catégorie:User ru-1	Categoría:Wikipedia:Wikipedistas con nivel básico de ruso
Catégorie:Njuɓɓudi naangeyankoori	Categoría:Sistema Solar
Catégorie:User ru	Categoría:Wikipedia:Wikipedistas con conocimientos de ruso
Catégorie:User ru-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de ruso
Catégorie:User ru-4	Categoría:Wikipedia:Wikipedistas con nivel experto de ruso
Catégorie:User tr	Categoría:Wikipedia:Wikipedistas con conocimientos de turco
Catégorie:User tr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de turco
Catégorie:Gine	Categoría:Guinea
Catégorie:Maali	Categoría:Malí
Catégorie:Muritani	Categoría:Mauritania
Catégorie:Senegal	Categoría:Senegal
Catégorie:User nl	Categoría:Wikipedia:Wikipedistas con conocimientos de neerlandés
Catégorie:User no	Categoría:Wikipedia:Wikipedistas con conocimientos de noruego
Catégorie:User zh-1	Categoría:Wikipedia:Wikipedistas con nivel básico de chino
Catégorie:East Timor	Categoría:Timor Oriental
Catégorie:Dabbaji	Categoría:Animales
Catégorie:Ndenndaandi	Categoría:República
Catégorie:Alqur'aana	Categoría:Corán
Catégorie:User pl	Categoría:Wikipedia:Wikipedistas con conocimientos de polaco
Trojany	Trojany
Kappe	Ñame
Catégorie:Fulɓe	Categoría:Fulani
Catégorie:User en-1	Categoría:Wikipedia:Wikipedistas con nivel básico de inglés
Catégorie:User de-1	Categoría:Wikipedia:Wikipedistas con nivel básico de alemán
Catégorie:User da-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de danés
Wikipedia:Proposed deletions	Wikipedia:Propuestas de borrado
Spécial:Modifications récentes	Especial:CambiosRecientes
Catégorie:User ja-4	Categoría:Wikipedia:Wikipedistas con nivel experto de japonés
