افريقا	África
نیکاراگوا	Nicaragua
قرغزستان	Kirguistán
کوېټ	Kuwait
لاووس	Laos
لېبنان	Líbano
مالديپ	Maldivas
امريکا لويه وچه	América
ميانمار	Birmania
نيپال	Nepal
عمان	Omán
پاکستان	Pakistán
قطر	Catar
سعودي عربستان	Arabia Saudita
سریلانکا	Sri Lanka
جوزف سټالين	Iósif Stalin
سوريه	Siria
اپلاتون	Platón
تاجيکستان	Tayikistán
د چين جمهوريت	República de China
يوټيوب	YouTube
ارستو	Aristóteles
تايلنډ	Tailandia
اورگاډی	Tren
آرسېنيک	Arsénico
راډيو	Radiocomunicación
تورکمنستان	Turkmenistán
عربي متحده امارات	Emiratos Árabes Unidos
چارلس چاپلين	Charles Chaplin
سوېلي کوريا	Corea del Sur
سمپسنز	Los Simpson
افغانستان	Afganistán
بنگله دېش	Bangladés
فرانتس کافکا	Franz Kafka
مالي	Malí
سوقرات	Sócrates
آنگولا	Angola
بوتان	Bután
ټويټر	Twitter
برونای	Brunéi
تانزانیه	Tanzania
پاره	Mercurio (elemento)
فلېپين	Filipinas
د منځنی افريقا ولسمشريزه	República Centroafricana
آيزاک نيوټن	Isaac Newton
آلبرټ آينشټاين	Albert Einstein
تونس	Túnez
زېمبيا	Zambia
زېمبابوې	Zimbabue
بېجنگ	Pekín
سوېلي سوډان	Sudán del Sur
بېنين	Benín
بوتسوانا	Botsuana
بورکینا فاسو	Burkina Faso
بروندي	Burundi
کانگو جمهوريت	República del Congo
جېبوتي	Yibuti
پولونيم	Polonio
باډن ورټمبرگ	Baden-Wurtemberg
اریتره	Eritrea
فيودور ميخايلوويچ داستاېفسکي	Fiódor Dostoyevski
گابن	Gabón
مهاتما گاندي	Mahatma Gandhi
گامبيا	Gambia
عاج ساحل	Costa de Marfil
کامرون	Camerún
لايبېريا	Liberia
لېبيا	Libia
مادغاسکر	Madagascar
مالاوي	Malaui
موریتانيا	Mauritania
ماوریتوس	Mauricio
مراکش	Marruecos
موزمبيق	Mozambique
نېمبیا	Namibia
نایجېر	Níger
نايجېريا	Nigeria
راونډا	Ruanda
سېنېگال	Senegal
سیشل	Seychelles
سېرالیون	Sierra Leona
سومالیا	Somalia
سوډان	Sudán
سوازيلانډ	Suazilandia
شنه زرغونه	Arco iris
استقلاب	Metabolismo
ملگري ملتونه	Organización de las Naciones Unidas
دانتې الیگيري	Dante Alighieri
ځمکپېژندنه	Geología
ځمکپوهنه	Geografía
زړه	Corazón
ماغزه	Cerebro
پراگ	Praga
شين	Azul
سپين زر	Plata
يورانيم	Uranio
پلوتونيم	Plutonio
ممبای	Bombay
گوا	Goa
مهاراشترا	Maharastra
زارلاند	Sarre
براندنبورگ	Brandeburgo
برېمن (ايالت)	Bremen (estado)
بيت المقدس	Jerusalén
هندي سمندر	Océano Índico
کلراډو	Colorado
ژمی	Invierno
پسرلی	Primavera
دوبی	Verano
منی	Otoño
اسامه بن لادن	Osama bin Laden
اوپرا	Ópera
کلکته	Calcuta
ډېلي	Delhi
بند پایان	Arthropoda
اسلام آباد	Islamabad
پيسې	Dinero
خوځندکې	Insecta
ولادمير ايليچ لېنين	Lenin
نېكولو مكياوېلې	Nicolás Maquiavelo
مايکروسافټ وېنډوز	Microsoft Windows
مانيلا	Manila
توکيو	Tokio
استانه	Astaná
بغداد	Bagdad
هندي ژبه	Hindi
اوردو ژبه	Urdu
واليبال	Voleibol
وين	Viena
ډبلن	Dublín
بوډاپسټ	Budapest
د مسيح حقيقي کليسا	Verdadera Iglesia de Jesús
انگرېزي ژبه	Idioma inglés
بانگکوک	Bangkok
کوالالامپور	Kuala Lumpur
ديپلوماسي	Diplomacia
کيېف	Kiev
كونسكوولا	Końskowola
2012	2012
2013	2013
خواړه	Alimento
اېلېکټرون	Electrón
رغاويز اوښتون	Revolución Industrial
د روم ټولواکمني	Imperio romano
مايکروسافټ	Microsoft
پروټون	Protón
کوروف	Kurów
کيميا	Química
نيوټرون	Neutrón
صنعا	Saná
آرنولد شوارزنېگر	Arnold Schwarzenegger
فوټبال	Fútbol
آيفون	IPhone
مايکل جېکسن	Michael Jackson
انتوان دي سينت اکسيوپيري	Antoine de Saint-Exupéry
سور	Rojo
هوا	Atmósfera terrestre
پېرى	Genio
ربات	Rabat
الجزيره	Argel
ترابلس	Trípoli
تهران	Teherán
جکارتا	Yakarta
انقره	Ankara
رياض	Riad
فوټ	Pie (unidad)
وېشنيزه:د ويکيپېډيا کينډۍ	Categoría:Wikipedia:Plantillas
د مشق	Damasco
لوم	Lomé
دوها	Doha
دودوما	Dodoma
ښوونځی	Escuela
پوهنتون	Universidad
د پوهنغونډ په اړه	Ayuda:Introducción
ورونپاسی	Computadora portátil
الجبر	Álgebra
دونگ هوی هوايي ډگر	Aeropuerto de Đồng Hới
آر دړه	Placa base
كوريتيبا	Curitiba
پنجاب (پاکستان)	Provincia de Punyab (Pakistán)
وېشنيزه:د افغانستان پېښليک	Categoría:Historia de Afganistán
توماس شېن کانېري	Sean Connery
كنفيوشيوس	Confucio
کوربن بليو	Corbin Bleu
وېشنيزه:شمېرپوهنه	Categoría:Matemáticas
کينډۍ:د هېواد مالومات ایران	Plantilla:Geodatos Irán
وېشنيزه:د ایران تاریخ	Categoría:Historia de Irán
امريکايي ډالر	Dólar estadounidense
عيسويت	Cristianismo
لويه وچه	Continente
مرغه	Aves
پلازمېنه	Capital (política)
مياشت (موده)	Mes
مصطفی کمال اتاتورک	Mustafa Kemal Atatürk
کينډۍ:تانبه	Plantilla:Portal
هوانگ شيان فان	Huang Xianfan
بقراط	Hipócrates
الماس	Diamante
پوهنغونډ	Enciclopedia
RAM	Memoria de acceso aleatorio
لومړی مخ	Wikipedia:Portada
کانډنسر	Condensador eléctrico
باسکټبال	Baloncesto
کرېکټ	Críquet
اوراسيا	Eurasia
د هېتیانو واکمنۍ	Hititas
وينه لږی	Anemia
کېپ ټاون	Ciudad del Cabo
قراقرم	Cordillera del Karakórum
هندوکش	Hindú Kush
ميترو	Metro (sistema de transporte)
کنځری	Cotoneaster
پيکاسو	Pablo Picasso
بس	Autobús
ټرام	Tranvía
بابل	Babilonia (ciudad)
آنتون پاولوف چيخوف	Antón Chéjov
چارلېز ډيکېنز	Charles Dickens
سپارتا	Esparta
موينجو دېړو	Mohenjo-Daro
سمرقند	Samarcanda
بخارا	Bujará
چې گوارا	Ernesto Guevara
کابل	Kabul
گوېټه	Johann Wolfgang von Goethe
مهبل	Vagina
فلسفه	Filosofía
د مقدس ویټوس کليسا	Catedral de San Vito
چای	Té
کمونيزم	Comunismo
انارشيزم	Anarquismo
پانگولي	Capitalismo
لېبراليزم	Liberalismo
فاشېزم	Fascismo
ولسپالنه	Nacionalismo
حافظ شېرازي	Hafez de Shiraz
هېوادپالنه	Patriotismo
هیواد	País
ولس	Nación
هيلري کلنټن	Hillary Clinton
د برتانيې موزيم	Museo Británico
ژان ژاک روسو	Jean-Jacques Rousseau
هومر	Homero
الكساندر هومبولدت	Alexander von Humboldt
کوارک	Quark
اېډوارډ ټېللر	Edward Teller
تور زېړی	Hepatitis B
اتيزم	Ateísmo
نيلز بوهر	Niels Bohr
ژونکيميا	Bioquímica
ژونپنځپوهنه	Biofísica
چاپېريالپوهنه	Ecología
بارسلونا فوټبال کلب	Fútbol Club Barcelona
واگ	Política
ووبپوهنه	Histología
عربي ټولنه	Liga Árabe
ولسواکي	Democracia
نجيب محفوظ	Naguib Mahfuz
د سره صليب او سرې مياشتې نړيوال غورځنگ	Cruz Roja
نړيوالتوب	Globalización
ناټو	OTAN
جين	Gen
حکومت	Gobierno
نوبل جايزه	Premio Nobel
چېن شي هوانگ	Qin Shi Huang
منځنی ختيځ	Oriente Medio
رنځپوهنه	Patología
رابندرانات ټاگور	Rabindranath Tagore
لېو نيكولايوويچ تولستوى	León Tolstói
مارک ټوېن	Mark Twain
ايډيالوژي	Ideología
ادا لولېس	Ada Lovelace
مارکسيزم	Marxismo
ولسمشريزه	República
دولت	Estado
گوند	Partido político
بډمنټن	Bádminton
يوري الکسويچ گاگارين	Yuri Gagarin
ابن بطوطه	Ibn Battuta
اباسين (سيند)	Río Indo
فرانز جوزیف هایدن	Joseph Haydn
غوږ	Oído
سترگه	Ojo
سندره	Canción
اوښ	Camelus
تی لرونکی ځناوران	Mammalia
مېږی	Formicidae
مارگريت تاچر	Margaret Thatcher
ډي آکسي رايبونيوکليک اسيد	Ácido desoxirribonucleico
ژباړه	Traducción
ښامار	Dragón
مور	Madre
پلار	Padre
لېږدچارې	Transporte
روسي ژبه	Idioma ruso
ولادمير پوتين	Vladímir Putin
حقوق	Derecho
اساسي قانون	Constitución
د بشري حقونو نړېواله اعلاميه	Declaración Universal de los Derechos Humanos
د روغتيا نړيوال سازمان	Organización Mundial de la Salud
د سوداگرۍ نړيوال سازمان	Organización Mundial del Comercio
پرېولنځی	Inodoro
طبيعت	Naturaleza
سادرملنه	Psiquiatría
ژونکه	Célula
وينه	Sangre
هډوانه	Esqueleto
سږي	Pulmones
ساييز غونډال	Aparato respiratorio
رومانيايي ژبه	Idioma rumano
بلغاريايي ژبه	Idioma búlgaro
ښوونپوهنه	Didáctica
روزنپوهنه	Pedagogía
يمال	Alud
رېږدله	Terremoto
طبيعي پوهنې	Ciencias naturales
ابن سينا بلخي	Avicena
وېنسټون چرچل	Winston Churchill
نېلسن مانډېلا	Nelson Mandela
انزايم	Enzima
امينو اسيد	Aminoácido
ورېځ	Nube
سولپوهنه	Lógica
مېچپوهنه	Geometría
وټپوهنه	Economía
پانگه (وټپوهنه)	Capital (economía)
ارز	Divisa
رغاوه	Industria
ورکړېنه	Impuesto
ژبپوهنه	Lingüística
يوناني ابېڅې	Alfabeto griego
ادبپوهنه	Literatura
وېشنيزه:فرانسه	Categoría:Francia
ناول	Novela
سره گيدړه	Vulpes vulpes
اوستراوا	Ostrava
کوروش ۲	Ciro II el Grande
ټولنه	Sociedad
تمدن	Civilización
زده کړه	Educación
هوگو چاوېز	Hugo Chávez
واده	Matrimonio
وگړنيز حقوق	Derechos humanos
توکمپالنه	Racismo
گوډ تېمور	Tamerlán
عمر بن خطاب	Umar ibn al-Jattab
پوځ	Militar
سلیمان ۱	Süleyman Kanuni
قهوه	Café
د آمو سيند	Amu Daria
شيدې	Leche
ارغنداب رود	Río Arghandab
غر	Montaña
هري رود	Río Hari Rud
هلمند رود	Río Helmand
توكبنسټ	Base de datos
کابل سيند	Río Kabul
صلاح الدين ايوبي	Saladino
اشوک	Aśoka
جلال الدين محمد اکبر	Akbar
هانگ کانگ	Hong Kong
کراچۍ	Karachi
د ريال مادريد فوټبال کلب	Real Madrid Club de Fútbol
سيول	Seúl
شانگهای	Shanghái
اقليدس	Euclides
بايټ	Byte
محمد بن موسی خوارزمي	Al-Juarismi
ناروېژي ژبه	Idioma noruego
نوم چومسكي	Noam Chomsky
چيکی ژبه	Idioma checo
کارل مارکس	Karl Marx
موسی	Moisés
پوهه	Conocimiento
هندويزم	Hinduismo
اټوم	Átomo
يوناني ژبه	Idioma griego
چليز غونډال	Sistema operativo
تاج محل	Taj Mahal
بنسټپالنه	Fundamentalismo
برېښليک	Correo electrónico
پاړسي ژبه	Idioma persa
مذهب	Religión
اېمپاير سټېټ ودانۍ	Edificio Empire State
سېگمونډ فرايډ	Sigmund Freud
جاينيزم	Jainismo
گيورگ ويلهېلم فرېدرېش هېگل	Georg Wilhelm Friedrich Hegel
باکو	Bakú
تاجکي ژبه	Idioma tayiko
اوزبکي ژبه	Idioma uzbeko
تورکمني ژبه	Idioma turcomano
يهوديت	Judaísmo
آزربايجاني ژبه	Idioma azerí
ابن خلدون	Ibn Jaldún
امانوېل کانت	Immanuel Kant
سکيزم	Sijismo
فرېدرېک وېلهېلم نېتشي	Friedrich Nietzsche
بشکیک	Biskek
دوشنبه	Dusambé
اينه	Hígado
پښتورگی	Riñón
ادم سمېت	Adam Smith
احساس	Emoción
ساپوهنه	Psicología
آند	Pensamiento
مهاوېرا	Mahavira
سمندر	Océano
ملکه وېکټوريا	Victoria del Reino Unido
محمد	Mahoma
اخلاق	Ética
پوهنپوهنه	Epistemología
سچين رمېش ټنډولکر	Sachin Tendulkar
عبدالکلام	Abdul Kalam
بي بي سي	BBC
شاهرخ خان	Shahrukh Khan
سلمان خان	Salman Khan (actor)
محمد الغزالي	Al-Ghazali
عامر خان	Aamir Khan
اميتاببچن	Amitabh Bachchan
شيعه	Chiismo
گېډه	Abdomen
زرتشتيت	Zoroastrismo
تصوف	Sufismo
ژبه (اناتومي)	Lengua (anatomía)
پانکراس	Páncreas
غاړه	Cuello
کمزوره شوي یورانیم	Uranio empobrecido
هولي	Holi
زړه پوهنه	Cardiología
ډېوېډ بکهم	David Beckham
کيم جونگ ايل	Kim Jong-il
وېشنيزه:وېنزوېلا	Categoría:Venezuela
روبېرت موگابي	Robert Mugabe
خاپوړن	Reptilia
کوتره	Columbidae
باکټريا	Bacteria
ونه	Árbol
دوه ژوندوي	Amphibia
اوښتون	Revolución
انگور	Uva
گبين	Miel
کچالو	Solanum tuberosum
سابه	Verdura
ټکنالوجي	Tecnología
انجينري	Ingeniería
خبريالي	Periodismo
ورځپاڼه	Prensa escrita
غږلېږدی	Teléfono
هڅوب	Cultura
سانسکریت ژبه	Sánscrito
د زړه او رگونو غونډال	Aparato circulatorio
د پارکېنسون ناروغي	Enfermedad de Parkinson
گارډيان	The Guardian
انډيپېنډنټ	The Independent
درملگري	Medicina
مقننه قوه	Poder legislativo
مالگه	Sal
مايکروسافټ آفېس	Microsoft Office
وېشنيزه:رومانیا	Categoría:Rumania
کيمياوي توکی	Elemento químico
ابن باجه	Avempace
هورمون	Hormona
اپارتايد	Apartheid
لوبه	Juego
جودو	Judo
مقناطيس	Imán
فلم	Película
ساهيالي	Animación
کرنه	Agricultura
غږ	Sonido
نانو تکنالوژي	Nanotecnología
ښيښه	Vidrio
وخت	Tiempo
ليکپاڼه	Papel
کازمېکي وړانگې	Radiación cósmica
جوار	Zea mays
انځورکښنه	Pintura
تشیالیونی	Astronauta
انځوراخيستنه	Fotografía
برېښنايي ټېکنالوژي	Electrónica
فريکونسي	Frecuencia
خوړنځی	Restaurante
د لودیانو ټولواکمني	Dinastía Lodi
لاهور	Lahore
د خپلواکو هېوادونو لړليک	Anexo:Países
ابوريحان بيروني	Al-Biruni
څېړۍ	Quercus
سرطان	Cáncer
کولرا	Cólera
غنم	Triticum
ناروغي	Enfermedad
گرېگوري کليز	Calendario gregoriano
نیکوتین	Nicotina
روغتيا	Salud
ملاريا	Malaria
انټيبايوټيک	Antibiótico
پنسلين	Penicilina
نېمونيا	Neumonía
گوزڼ	Poliomielitis
اېډز	Sida
نری رنځ	Tuberculosis
ډايبېټېز مېلېټوز	Diabetes mellitus
صليبي جگړې	Cruzadas
منځنۍ پېړۍ	Edad Media
عثماني پېر	Imperio otomano
د کورنيو توليداتو ټوليز ارزښت	Producto interno bruto
برېښنا	Electricidad
یان آموس کمېنسکي	Comenio
اټومي برېښناکوټ	Energía nuclear
د بړاس ماشين	Máquina de vapor
توره (وسله)	Espada
هستوي وسلې	Arma nuclear
شوبله	Tanque (desambiguación)
هرمان ون رومپوې	Herman Van Rompuy
تورتوت	Mora (fruta)
ناريال	Cocos nucifera
انار	Punica granatum
مالټه	Citrus × sinensis
گراڅ	Graz
ډېبټ کارډ	Tarjeta de débito
انجلينا جولي	Angelina Jolie
عربي ژبه	Idioma árabe
کانډوم	Preservativo
تيرانوسور	Tyrannosaurus rex
تریسراتوپس	Triceratops
ستگوسور	Stegosaurus
کارکارودونتوسور	Carcharodontosaurus
وچکښ	Lápiz
برنو	Brno
هوجينتاو	Hu Jintao
د شوروي سوسياليستي جمهوريتونو اتحاد	Unión Soviética
انځورۍ	Cámara fotográfica
اېچ آی وي	Virus de la inmunodeficiencia humana
يومکی	Escápula
ځاني سولگر	Computadora personal
بروس لي	Bruce Lee
هايپوتايرايډيزم	Hipotiroidismo
نړۍ	Mundo
د روم جمهوريت	República romana
ټریلوبیټ	Trilobita
گردکه	Circunferencia
اوښمرغه	Struthio camelus
ويټامين اې	Vitamina A
بغ	Ardeidae
پيونگيانگ	Pionyang
د لور موندنې نړيوال غونډال	Sistema de posicionamiento global
د هېوادونو لړليک د کورنيو توليداتو د ټوليز ارزښت له مخې	Anexo:Países por PIB (nominal)
جگتورن	Capitán
سمندري غڼې	Pycnogonida
لړم	Scorpiones
ما اينگ جيو	Ma Ying-jeou
سمندري لړمان	Eurypterida
انټرنټ لټوونکی ماشين	Motor de búsqueda
بخارست	Bucarest
لوور	Museo del Louvre
تیرانا	Tirana
ويکټوريا بېکهم	Victoria Beckham
درېڅنډی	Triángulo
سټيف جوبز	Steve Jobs
معمر القذافي	Muamar el Gadafi
پړانگ	Panthera tigris
لومړی خوان کارلوس	Juan Carlos I de España
مېچې	Vermicelli
لمسنالۍ	Touchpad
سامسونگ	Samsung
سولگرپوهنه	Ciencias de la computación
ټولنپوهنه	Sociología
گاگره	Hormigón
جغرافي کوراډينېټونو سيستم	Coordenadas geográficas
پڼې	Zapato
بهايي	Bahaísmo
بانک	Banco
د وينا ازادي	Libertad de expresión
اډېل	Adele
د نش ميزان	Equilibrio de Nash
هوږه	Allium sativum
وگړپوهنه	Antropología
بادرنگ	Cucumis sativus
ارنېست مېلر هېمېنگوې	Ernest Hemingway
عشق آباد	Asjabad
ټاپو	Isla
تور (رنگ)	Negro (color)
پياز	Allium cepa
رسمي ژبه	Idioma oficial
لرغونپوهنه	Arqueología
بالکان	Península balcánica
سلاوي ژبې	Lenguas eslavas
سر	Cabeza
ولسي لاره	Himno nacional
تماسي عدسيه	Lente de contacto
الفرېډ نوبل	Alfred Nobel
ږمنځ	Peine
لیلا داونز	Lila Downs
موسم	Estaciones del año
راولپنډۍ ولسوالۍ	Rawalpindi (distrito)
ډبرين سکاره	Carbón
يارمخچۍ	Calandrella brachydactyla
نينورشک	Nynorsk
بوکمول	Bokmål
کونگ	Strigiformes
شمزۍ لرونکي ژوي	Vertebrata
نړېوال تشيال تمځای	Estación Espacial Internacional
ISO 3166-1	ISO 3166-1
کجوره	Phoenix dactylifera
څټک	Martillo
اروپايي کاغۍ	Pica pica
چابکۍ	Blattodea
كوچنى شاهزاده	El principito
شمالي باز	Accipiter gentilis
غضروفی کبان	Chondrichthyes
ځنگلي سار	Buteo buteo
سيلاني کارغه	Corvus frugilegus
لويديځي کاغۍ	Corvus monedula
شودپۍ	Motacilla alba
اېشېريکيا کولي	Escherichia coli
توتکۍ	Hirundo rustica
ترکاڼک	Picidae
شامتوره	Sturnus vulgaris
کوشانيان	Imperio kushán
کومکۍ	Columba palumbus
جوک	Carduelis cannabina
آتروپين	Atropina
شين شارک	Prionace glauca
اورني سمندر	Salamandra salamandra
سپوږمکۍ	Satélite artificial
شينغاړی	Luscinia svecica
تورياڼۍ	Apodidae
لونگ	Syzygium aromaticum
زيره	Carum carvi
وژونکی نهنگ	Orcinus orca
سپېرکونده	Galerida cristata
منځنۍ آسيا	Asia Central
شمالي افريقا	Norte de África
مرکزي افريقا	África Central
ختيځه اروپا	Europa Oriental
لوېديځه اروپا	Europa Occidental
افريقايي اوراسيا	Eurafrasia
زي نړیواله جگړه (فلم)	Guerra mundial Z (película)
مړز	Coturnix coturnix
مروری	Matricaria recutita
کمول (مارغه)	Ciconiidae
توکي	Bien económico
سپوږميز ليږديز کليز	Calendario musulmán
ميلوش زېمان	Miloš Zeman
اېف-۱۵	McDonnell Douglas F-15 Eagle
ليوکېمي	Leucemia
پارسیمن	Caqui
ديموکراتيک گوند ( د امريکا متحده ایالتونه)	Partido Demócrata (Estados Unidos)
ټيکاله	Alaudidae
شاتو مچی	Apis mellifera
خاورين چينجی	Lumbricus terrestris
ولسمشر	Presidente
باشه	Falco peregrinus
رودولف کلاوزيوس	Rudolf Clausius
تورغوږی	Caracal caracal
ډېل	Dell
زايلومېټازولين	Xilometazolina
شمېرنی	Calculadora
شاه محمود هوتک	Mir Mahmud Hotaki
امير عبدالرحمان خان	Abdur Rahman Khan
ټکټکی	Jynx
د عربستان ټاپووزمه	Arabia
امير دوست محمد خان	Dost Mohammed Khan
بېریف بې-۲۰۰	Beriev Be-200
پهلوي ژبه	Idioma pahlavi
وری	Aries (astrología)
ملاله يوسفزۍ	Malala Yousafzai
جومات	Mezquita
بلوڅی ژبه	Idioma baluchi
د کتاب نړيواله کره شمېره	ISBN
د کندهار نړيوال هوايي ډگر	Aeropuerto Internacional de Kandahar
د مغولو پاچايي	Imperio mogol
گړدود	Dialecto
ایرانی ژبی	Lenguas iranias
هېما مالېني	Hema Malini
لاس	Mano
خلکو شمېر	Población
پاڼه	Hoja
لوبگر	Actor
هاليووډ	Hollywood
محمد حسنی مبارک	Hosni Mubarak
دينپوهنه	Teología
پابلو نرودا	Pablo Neruda
زیوس	Zeus
موساد	Mosad
یغنابی ژبه	Idioma yagnobi
انجيل	Evangelio
الېکسانډر گراهام بېل	Alexander Graham Bell
ستورپېژندنه	Astrología
ساز	Instrumento musical
ويټني هيوسټن	Whitney Houston
سابون	Jabón
موشوفتسی	Mošovce
شکيرا	Shakira
محمود احمدي نژاد	Mahmud Ahmadineyad
كېښكلى ټيكلى (CD)	Disco compacto
چورلکه	Helicóptero
القاعده	Al Qaeda
محمد فاتح	Mehmed II
اناستاسيا	Anastacia
فرات	Éufrates
البېرټ کامو	Albert Camus
د فارس خليج	Golfo Pérsico
قطب نما	Brújula
ټولنيزې پوهنې	Ciencias sociales
ټاپووزمه	Península
نوی کال	Año Nuevo
