Aprika	África
Napa County, California	Condado de Napa
Kondehan ng San Diego, Kaliporniya	Condado de San Diego
Konduksiyong elektrikal	Resistividad
Tubong pangsubok	Tubo de ensayo
Warwick Davis	Warwick Davis
Papa Alejandro VI	Alejandro VI
46 Hestia	(46) Hestia
Tuklong	Capilla
25 Phocaea	(25) Focea
29 Amphitrite	(29) Anfitrita
24 Themis	(24) Temis
Gregory Peck	Gregory Peck
Pamamana	Tiro con arco
San Joaquin County, California	Condado de San Joaquín
Stanislaus County, California	Condado de Stanislaus
James Garner	James Garner
Bagong buwan	Luna nueva
Talia Shire	Talia Shire
Pluto (aso)	Pluto (Disney)
Prometheus (paglilinaw)	Prometheus
252 Clementina	(252) Clementina
Amalthea	Amaltea
Mary Steenburgen	Mary Steenburgen
Carrie Fisher	Carrie Fisher
Art Tatum	Art Tatum
Christopher Lloyd	Christopher Lloyd
Sumpa (kahilingan)	Maldición
Mga lungsod sa Mehiko	Anexo:Ciudades de México más pobladas
Serge Haroche	Serge Haroche
Humboldt County, California	Condado de Humboldt (California)
San Benito County, California	Condado de San Benito
Madera County, California	Condado de Madera
Inyo County, California	Condado de Inyo
Nevada County, California	Condado de Nevada (California)
Tulare County, California	Condado de Tulare
Merced County, California	Condado de Merced
Modoc County, California	Condado de Modoc
Tehama County, California	Condado de Tehama
Yolo County, California	Condado de Yolo
138 Tolosa	(138) Tolosa
149 Medusa	(149) Medusa
Talaan ng mga planetang hindi pangunahin/1–100	Anexo:Asteroides (1)–(100)
73 Klytia	(73) Clitia
81 Terpsichore	(81) Terpsícore
181 Eucharis	(181) Eucaris
83 Beatrix	(83) Beatriz
230 Athamantis	(230) Atamantis
51 Nemausa	(51) Nemausa
231 Vindobona	(231) Vindobona
88 Thisbe	(88) Tisbe
163 Erigone	(163) Erígone
80 Sappho	(80) Safo
44 Nysa	(44) Nisa
Talaan ng mga munisipalidad ng Armenya	Anexo:Ciudades de Armenia
Ryanggang	Ryanggang
328 Gudrun	(328) Gudrun
180 Garumna	(180) Garumna
673 Edda	(673) Edda
286 Iclea	(286) Iclea
170 Maria	(170) María
255 Oppavia	(255) Oppavia
Clannad (visual novel)	CLANNAD
Metis	Metis
449 Hamburga	(449) Hamburga
Annibale de Gasparis	Annibale de Gasparis
506 Marion	(506) Marion
Santa Clara County, California	Condado de Santa Clara
Partido ng Sentro (Suwesya)	Partido del Centro (Suecia)
Vänsterpartiet	Partido de la Izquierda
Partido ng Koalisyon Moderata (Suwesya)	Partido de la Coalición Moderada (Suecia)
Partido Popular Liberal	Partido Popular Liberal
Alaric II	Alarico II
Mira	Mira
Santa Maria	Santa María
Veliky Ustyug	Veliki Ústiug
Pamayanang Taizé	Comunidad de Taizé
Puntong kritikal	Punto crítico (termodinámica)
Dokumentong Q	Fuente Q
Anedjib	Adyib
Nabucodonosor	Nabucodonosor
Sinodo	Concilio
Aborlan, Palawan	Aborlán
Padenghe sul Garda	Padenghe sul Garda
Paderno Franciacorta	Paderno Franciacorta
Paisco Loveno	Paisco Loveno
Paitone	Paitone
Agutaya, Palawan	Agutaya
Palazzolo sull'Oglio	Palazzolo sull'Oglio
Paratico	Paratico
Paspardo	Paspardo
Araceli, Palawan	Araceli de Dumarán
Passirano	Passirano
Pavone del Mella	Pavone del Mella
Pertica Alta	Pertica Alta
Balabac, Palawan	Balábac
Bataraza, Palawan	Bataraza
Brooke's Point, Palawan	Punta de Brook
Pertica Bassa	Pertica Bassa
Busuanga, Palawan	Busuanga
Pezzaze	Pezzaze
Pian Camuno	Pian Camuno
Piancogno	Piancogno
Cagayancillo, Palawan	Cagayancillo
Pisogne	Pisogne
Polaveno	Polaveno
Coron, Palawan	Corón
Polpenazze del Garda	Polpenazze del Garda
Pompiano	Pompiano
Poncarale	Poncarale
Culion, Palawan	Culión
Ponte di Legno	Ponte di Legno
Cuyo, Palawan	Cuyo (Filipinas)
Pontevico	Pontevico
Paranthropus	Paranthropus
Pontoglio	Pontoglio
Dumaran, Palawan	Dumarán
Pozzolengo	Pozzolengo
Pralboino	Pralboino
El Nido, Palawan	El Nido (Filipinas)
Preseglie	Preseglie
Prestine	Prestine
Kalayaan, Palawan	Kalayaan (Palawan)
Linapacan, Palawan	Linapacan
Magsaysay, Palawan	Magsaysay (Palawan)
Prevalle	Prevalle
Narra, Palawan	Narra
Provaglio Val Sabbia	Provaglio Val Sabbia
Provaglio d'Iseo	Provaglio d'Iseo
Puegnago sul Garda	Puegnago sul Garda
Quinzano d'Oglio	Quinzano d'Oglio
Remedello	Remedello
Rezzato	Rezzato
Roccafranca	Roccafranca
Rodengo-Saiano	Rodengo-Saiano
Roncadelle	Roncadelle
Rovato	Rovato
Roè Volciano	Roè Volciano
Rudiano	Rudiano
Sabbio Chiese	Sabbio Chiese
Quezon, Palawan	Quezón (Palawan)
Rizal, Palawan	Rizal de Paragua
Roxas, Palawan	Roxas (Palawan)
Sale Marasino	Sale Marasino
Salò	Saló
San Vicente, Palawan	San Vicente (Palawan)
San Felice del Benaco	San Felice del Benaco
San Gervasio Bresciano	San Gervasio Bresciano
Sofronio Española, Palawan	Sofronio Española
San Paolo	San Paolo (Italia)
Taytay, Palawan	Taytay (Palawan)
San Zeno Naviglio	San Zeno Naviglio
Sarezzo	Sarezzo
Puerto Princesa	Puerto Princesa
Saviore dell'Adamello	Saviore dell'Adamello
Sellero	Sellero
Seniga	Seniga
Riccione	Riccione
Banharn Silpa-archa	Banharn Silpa-Archa
Serle	Serle
Sirmione	Sirmione
Soiano del Lago	Soiano del Lago
Sonico	Sonico (Italia)
Sulzano	Sulzano
Tavernole sul Mella	Tavernole sul Mella
Temù	Temù
Tignale	Tignale
Torbole Casaglia	Torbole Casaglia
Toscolano-Maderno	Toscolano-Maderno
Travagliato	Travagliato
Tremosine	Tremosine
Trenzano	Trenzano
Treviso Bresciano	Treviso Bresciano
Urago d'Oglio	Urago d'Oglio
Vallio Terme	Vallio Terme
Valvestino	Valvestino
Verolanuova	Verolanuova
Verolavecchia	Verolavecchia
Vestone	Vestone
Villa Carcina	Villa Carcina
Villachiara	Villachiara
Villanuova sul Clisi	Villanuova sul Clisi
Vione	Vione
Visano	Visano
Vobarno	Vobarno
Zone, Lombardy	Zone
645 Agrippina	(645) Agrippina
712 Boliviana	(712) Boliviana
792 Metcalfia	(792) Metcalfia
444 Gyptis	(444) Gyptis
662 Newtonia	(662) Newtonia
306 Unitas	(306) Unitas
886 Washingtonia	(886) Washingtonia
653 Berenike	(653) Berenike
971 Alsatia	(971) Alsatia
747 Winchester	(747) Winchester
325 Heidelberga	(325) Heidelberga
Joey King	Joey King
Talang-gunita	Memorias
Pagkakapantay-pantay ng mga kasarian	Igualdad de género
Pahulog	Plomada
Ben 10: Alien Force	Ben 10: Fuerza Alienígena
Chuzhou	Chuzhou
Usa, Ōita	Usa (Ōita)
675 Ludmilla	(675) Ludmilla
422 Berolina	(422) Berolina
655 Briseïs	(655) Briseïs
676 Melitta	(676) Melita
736 Harvard	(736) Harvard
696 Leonora	(696) Leonora
600 Musa	(600) Musa
661 Cloelia	(661) Cloelia
581 Tauntonia	(581) Tauntonia
660 Crescentia	(660) Crescentia
755 Quintilla	(755) Quintilla
690 Wratislavia	(690) Wratislavia
492 Gismonda	(492) Gismonda
Seksahesimal	Sistema sexagesimal
Bato (paglilinaw)	Bato
Tokyo Metropolitan Television	Tokyo Metropolitan Television
Fritz Klein	Fritz Klein (activista LGBT)
Lesley-Anne Down	Lesley-Anne Down
Sundae (lutong Koreano)	Sundae (plato coreano)
Dreaming of You	Dreaming of You
Malagkit	Arroz glutinoso
Eugen Bleuler	Eugen Bleuler
James Gordon (comics)	James Gordon (cómic)
Hayate the Combat Butler	Hayate no Gotoku!
Vacation	Vacaciones
Alex Borstein	Alex Borstein
531 Zerlina	(531) Zerlina
1712 Angola	(1712) Angola
Ponograpo	Fonógrafo
Ricky Hatton	Ricky Hatton
Larong online	Videojuego en línea
Batman (1989)	Batman (película de 1989)
Glutathione	Glutatión
Yoko Ono	Yoko Ono
Yerbang mate	Ilex paraguariensis
Romanisasyong Intsik	Sistemas de transcripción del chino
Asebo	Ilex
Ramon Magsaysay	Ramón Magsaysay
Demosthenes (mananalumpati)	Demóstenes
Sakura Taisen	Sakura Taisen
689 Zita	(689) Zita
Balakubak	Caspa
Mary McDonnell	Mary McDonnell
Pacific Grove, California	Pacific Grove
18 Melpomene	(18) Melpómene
Antipapa Benedicto X	Benedicto X (antipapa)
Pagtaas ng Watawat sa Iwo Jima	Alzando la bandera en Iwo Jima
Papa Nicolás II	Nicolás II (papa)
Doktrina	Doctrina
Papa Celestino V	Celestino V
Dexter Gordon	Dexter Gordon
Yamatokoriyama, Nara	Yamatokōriyama (Nara)
Ortodontiks	Ortodoncia
1023 Thomana	(1023) Thomana
Panahon ng pang-aalipin sa Estados Unidos	Esclavitud en los Estados Unidos
Diperensiya ng pagkataong galit sa lipunan	Trastorno antisocial de la personalidad
Termoli	Térmoli
1025 Riema	(1025) Riema
Vicente Fernández	Vicente Fernández
Kutuntubig	Argyroneta aquatica
1026 Ingrid	(1026) Ingrid
1027 Aesculapia	(1027) Aesculapia
1028 Lydina	(1028) Lydina
1029 La Plata	(1029) La Plata
103 Hera	(103) Hera
Shakugan no Shana	Shakugan no Shana
Howard Zinn	Howard Zinn
Sergio Aguero	Sergio Agüero
Poppin	Poppin'
Pangungulangot	Hurgarse la nariz
Michael Douglas	Michael Douglas
Edmond O'Brien	Edmond O'Brien
Arkus senilis	Arco senil
Alehandro III ng Rusya	Alejandro III de Rusia
Luserna	Luserna
Khadyzhensk	Jadyzhensk
Crayon Shin-chan	Shin-chan
Carloforte	Carloforte
Dinoflagellate	Dinoflagellata
210 Isabella	(210) Isabella
Emperatris Meishō	Emperatriz Meishō
1082 Pirola	(1082) Pirola
Prepektura ng Kyoto	Prefectura de Kioto
Cloning	Clonación
Apendisitis	Apendicitis
Lalawigan ng Balkh	Provincia de Balj
Narsing	Enfermería
Sistema ng impormasyon	Sistema de información
Melopsittacus undulatus	Melopsittacus undulatus
Kagawaran ng Boyacá	Boyacá
1030 Vitja	(1030) Vitja
Impraestruktura	Infraestructura urbana
Corfu	Corfú
Pesaḥ	Pésaj
Diskretong matematika	Matemáticas discretas
1031 Arctica	(1031) Arctica
1032 Pafuri	(1032) Pafuri
1033 Simona	(1033) Simona
1034 Mozartia	(1034) Mozartia
1035 Amata	(1035) Amata
Alicia Keys	Alicia Keys
1036 Ganymed	(1036) Ganymed
1037 Davidweilla	(1037) Davidweilla
1038 Tuckia	(1038) Tuckia
1039 Sonneberga	(1039) Sonneberga
104 Klymene	(104) Clímene
1040 Klumpkea	(1040) Klumpkea
1041 Asta	(1041) Asta
1042 Amazone	(1042) Amazone
1043 Beate	(1043) Beate
Simbiyosis	Simbiosis
Darius	Darío
Watawat ng Espanya	Bandera de España
Akupungktura	Acupuntura
Daluyong	Marejada ciclónica
Dambuhalang gas	Gigante gaseoso
Sanggunian	Referencia
Los Angeles Lakers	Los Angeles Lakers
78 Diana	(78) Diana
Eros	Eros
1628 Strobel	(1628) Strobel
Julio Iglesias	Julio Iglesias
Hilary Duff	Hilary Duff
Pruktosa	Fructosa
Mitolohiyang Romano	Mitología romana
Pagpigil sa pag-aanak	Método anticonceptivo
Pietracatella	Pietracatella
Daniel Bernoulli	Daniel Bernoulli
Papa Calixto I	Calixto I
Santa Barbara, Pangasinan	Santa Bárbara de Tolong
Squamata	Squamata
Tigal	Inercia
Eau Claire, Wisconsin	Eau Claire (Wisconsin)
Renée Zellweger	Renée Zellweger
Robin Hood	Robin Hood
Numerasyon	Sistema de numeración
Rosmarinus officinalis	Rosmarinus officinalis
Prepektura ng Osaka	Prefectura de Osaka
864 Aase	(864) Aase
Paglat, Maguindanao	Paglat
Eclipso	Eclipso
Anagram	Anagrama
Johann Jakob Balmer	Johann Jakob Balmer
Johann Heinrich Lambert	Johann Heinrich Lambert
Kabbalah	Cábala
Charles Édouard Guillaume	Charles Edouard Guillaume
Pediyatriko	Pediatría
Huldrych Zwingli	Ulrico Zuinglio
Emperador Go-Komatsu	Emperador Go-Komatsu
Robert A. Heinlein	Robert A. Heinlein
Benjamin Constant	Benjamin Constant de Rebecque
Tilasino	Thylacinus cynocephalus
Buwitre	Buitre
Carassius auratus auratus	Carassius auratus
Francesco Borromini	Francesco Borromini
Vanessa Anne Hudgens	Vanessa Hudgens
Sderot	Sederot
Unyong Latino	Unión Latina
Prepektura ng Fukuoka	Prefectura de Fukuoka
Francis Crick	Francis Crick
Departamento ng Antioquia (Kolombiya)	Antioquia
Michael Caine	Michael Caine
Prepektura ng Ehime	Prefectura de Ehime
Ang Republika (Platon)	República (Platón)
Aristokrasya	Aristocracia
Endemismo	Endemismo
Sinclair Lewis	Sinclair Lewis
Imbensiyon	Invento
Agugliano	Agugliano
Ekstinsiyon	Extinción
Solstisyo	Solsticio
Rudolf Albert von Kölliker	Rudolph Albert von Kölliker
Arcevia	Arcevia
Miyerkules ng Abo	Miércoles de Ceniza
Barbara, Marche	Barbara (Italia)
Belvedere Ostrense	Belvedere Ostrense
Asidong nukleyiko	Ácido nucleico
Camerano	Camerano
Gloria Macapagal-Arroyo	Gloria Macapagal Arroyo
Camerata Picena	Camerata Picena
Dundee	Dundee
Samahan ng mga Estadong Amerikano	Organización de los Estados Americanos
Castel Colonna	Castel Colonna
Castelbellino	Castelbellino
Ikalawang Sulat sa mga taga-Corinto	Segunda epístola a los corintios
George Gershwin	George Gershwin
Castelfidardo	Castelfidardo
Jane Seymour (aktres)	Jane Seymour (actriz)
Castelleone di Suasa	Castelleone di Suasa
Castelplanio	Castelplanio
Cerreto d'Esi	Cerreto d'Esi
Radovan Karadžić	Radovan Karadžić
Muğla Province	Provincia de Muğla
Chiaravalle, Marche	Chiaravalle
Corinaldo	Corinaldo
Cupramontana	Cupramontana
Steppe	Estepa
Falconara Marittima	Falconara Marittima
Filottrano	Filottrano
Genga, Marche	Genga
Paghuhubog ng katawan	Culturismo
Loreto, Marche	Loreto (Italia)
Maiolati Spontini	Maiolati Spontini
Mergo	Mergo
Inhinyeriyang automotibo	Ingeniería automotriz
Monsano	Monsano
Monte Roberto	Monte Roberto
Monte San Vito	Monte San Vito
Konduktor na elektrikal	Conductor eléctrico
Montecarotto	Montecarotto
Maliwanag na kalakhan	Magnitud aparente
Montemarciano	Montemarciano
Monterado	Monterado
Kurtinang Bakal	Cortina de Hierro
Morro d'Alba	Morro d'Alba
Numana	Numana
Kara	Kara (banda)
Karahasan	Violencia
Offagna	Offagna
Osimo	Osimo
Ostra, Marche	Ostra (Italia)
Ostra Vetere	Ostra Vetere
Poggio San Marcello	Poggio San Marcello
Polverigi	Polverigi
Pagkit	Cera
Batis (kalawakan ng tubig)	Manantial
Himagsikan	Rebelión
Tijuana	Tijuana
Papa Pío VII	Pío VII
Ripe, Marche	Ripe (Italia)
Rosora	Rosora
San Marcello, Marche	San Marcello (Italia)
Papa Gregorio IX	Gregorio IX
San Paolo di Jesi	San Paolo di Jesi
Santa Maria Nuova, Marche	Santa Maria Nuova
Mindanao	Mindanao
Sassoferrato	Sassoferrato
Sviatoslav Richter	Sviatoslav Richter
Senigallia	Senigallia
Paghahalaman	Jardinería
Serra de' Conti	Serra de' Conti
Abelyana	Corylus avellana
Serra San Quirico	Serra San Quirico
Mga Digmaang Puniko	Guerras púnicas
Sirolo	Sirolo
Tulay ng Brooklyn	Puente de Brooklyn
Staffolo	Staffolo
Uma Thurman	Uma Thurman
Taj Mahal	Taj Mahal (desambiguación)
Necho II	Necao II
Salma Hayek	Salma Hayek
Aretha Franklin	Aretha Franklin
Lungsod ng Puebla	Puebla de Zaragoza
Lagari	Sierra (herramienta)
Pudong	Pudong
Luzon	Luzón
Pompey	Cneo Pompeyo Magno
Iğdır Province	Provincia de Iğdır
Tsakal	Chacal
Melbourne (paglilinaw)	Melbourne (desambiguación)
Papa Urbano I	Urbano I
Saint Helena, California	St. Helena (California)
Talaan ng mga Emperador ng Roma	Anexo:Emperadores romanos
Prepektura ng Yamagata	Prefectura de Yamagata
457 Alleghenia	(457) Alleghenia
Edward Norton	Edward Norton
Pagbabago ng klima	Cambio climático
Anastasius Bibliothecarius	Anastasio (antipapa)
Himagsikang Irani	Revolución iraní
Lungsod ng Acre	Acre (Israel)
Inhenyeriyang elektronika	Ingeniería electrónica
San Martin (Pransiya)	San Martín (Francia)
Bibliya Lands Museum	Museo Tierras de la Biblia
Tangher	Tánger
James II ng Inglatera	Jacobo II de Inglaterra
Conquistador (komiks)	Conquistadores españoles
Wolverhampton	Wolverhampton
Barrali	Barrali
Sultan Dumalondong, Lanao del Sur	Sultán Dumalondong
1486 Marilyn	(1486) Marilyn
Warner Bros.	Warner Bros.
Thomas Paine	Thomas Paine
Steve Irwin	Steve Irwin
Arko ni Noe	Arca de Noé
Hannah Montana	Hannah Montana
Mary Lou Williams	Mary Lou Williams
Doomsday (komiks)	Doomsday
Pragmatismo	Pragmatismo
Papa Benedicto XIV	Benedicto XIV
St. Catharines, Ontario	St. Catharines
Aerosmith	Aerosmith
Pilosopiya ng batas	Filosofía del Derecho
She-Ra	She-Ra
Kütahya Province	Provincia de Kütahya
Sakurai, Nara	Sakurai (Nara)
Pearl Harbor	Pearl Harbor
Sabila	Aloe
Big Brother (serye sa telebisyon)	Big Brother (programa de televisión)
Albert Abraham Michelson	Albert Abraham Michelson
Pagpupunlay	Fecundación
Papa Alejandro VII	Alejandro VII
Distrito ng Yardymli	Yardımlı (raión)
Prepektura ng Yamaguchi	Prefectura de Yamaguchi
Actinopterygii	Actinopterygii
Watawat ng Timog Korea	Bandera de Corea del Sur
Haring George III	Jorge III del Reino Unido
Alice Paul	Alice Paul
The Lord of the Rings: The Fellowship of the Ring	El Señor de los Anillos: la Comunidad del Anillo
Gardnerella vaginalis	Gardnerella vaginalis
Papa Sixto II	Sixto II
Maimonides	Maimónides
Douglas MacArthur	Douglas MacArthur
Tinta	Tinta
Konstantin Tšernenko	Konstantín Chernenko
Ashley Tisdale	Ashley Tisdale
Dangerously In Love	Dangerously in Love
Prepektura ng Kanagawa	Prefectura de Kanagawa
Pixar	Pixar
Pakikiapid sa kamag-anak	Incesto
Gas Vacuoles	Vacuola
Buging	Hemiramphidae
Bagong Mundo	Nuevo Mundo
Beverly Hills, California	Beverly Hills
Chūgoku	Región de Chūgoku
Bart D. Ehrman	Bart Ehrman
Prepektura ng Nagano	Prefectura de Nagano
Panthera	Panthera
Papa Víctor I	Víctor I
Mahmoud Abbas	Mahmud Abás
Tapir	Tapirus
Paa	Pezuña
O Holy Night	O Holy Night
Papa Pío VI	Pío VI
Syracuse, New York	Siracusa (Nueva York)
Papa Inocencio III	Inocencio III
Yonkers, New York	Yonkers
Abstrakto (sining)	Arte abstracto
Totalitaryanismo	Totalitarismo
Kingston upon Hull	Kingston upon Hull
Kontra-Reporma	Contrarreforma
Agamemnon	Agamenón
Prepektura ng Saitama	Prefectura de Saitama
Prepektura ng Mie	Prefectura de Mie
Killeen, Texas	Killeen (Texas)
Waco, Texas	Waco
Cephalopoda	Cephalopoda
Carrollton, Texas	Carrollton (Texas)
San Jose	José de Nazaret
Beaumont, Texas	Beaumont (Texas)
Mitolohiyang Nordiko	Mitología nórdica
Abilene, Texas	Abilene (Texas)
Maria Callas	Maria Callas
Trigun	Trigun
Denton, Texas	Denton
Midland, Texas	Midland (Texas)
Trinidad (pulo)	Isla Trinidad
Trinity Blood	Trinity Blood
Taong pagala-gala	Nómada
Parmakolohiya	Farmacología
Charles Perrault	Charles Perrault
Lucas ang Ebanghelista	Lucas el Evangelista
Graham Greene	Graham Greene
Biyoimpormatika	Bioinformática
Kanser sa suso	Cáncer de mama
Reengkarnasyon	Reencarnación
Sulat sa mga Hebreo	Epístola a los hebreos
Sulat sa mga taga-Galacia	Epístola a los gálatas
Wilfrid Laurier	Wilfrid Laurier
Igat	Anguilliformes
John Forbes Nash, Jr.	John Forbes Nash
Tuya	Sátira
Ricky Martin	Ricky Martin
John Ambrose Fleming	John Ambrose Fleming
Sakurajima	Sakurajima
Lungsod ng Nagano	Nagano
Talaan ng mga Emperador Bisantino	Emperador bizantino
Fraxinus	Fraxinus
Lafayette, Louisiana	Lafayette (Luisiana)
Elam	Imperio elamita
Dinastiyang Shang	Dinastía Shang
Kilis Province	Provincia de Kilis
Opisthokont	Opisthokonta
Malaking puting pating	Carcharodon carcharias
Persepolis	Persépolis
Anthrax	Carbunco
Diether Ocampo	Diether Ocampo
Xerxes I ng Persia	Jerjes I
Intercity-Express	InterCityExpress
Hatshepsut	Hatshepsut
Larba	Larva
Iti	Disentería
Britanikong Raj	Raj británico
Kastanyas	Castanea
Stepanakert	Stepanakert
Europeong Kabisera ng Kultura	Capital Europea de la Cultura
Tekirdağ Province	Provincia de Tekirdağ
Vivien Leigh	Vivien Leigh
Tōhoku	Región de Tōhoku
Prepektura ng Gunma	Prefectura de Gunma
Macroscelidea	Macroscelidea
Dugong	Dugong dugon
Hugh Jackman	Hugh Jackman
Yeti	Yeti
Dobleng Falcon	Doble Halcón
2 Chainz	2 Chainz
Hita	Muslo
Henoponte	Jenofonte
Russell Crowe	Russell Crowe
Rebelyong Sepoy	Rebelión en la India de 1857
Minotauro	Minotauro
Papa Clemente XI	Clemente XI
Edward ang Tagapagpaamin	Eduardo el Confesor
2055 Dvořák	(2055) Dvořák
2047 Smetana	(2047) Smetana
Norwich	Norwich
Amapola (bulaklak)	Papaver rhoeas
Nagsasariling Oblast ng Nagorno-Karabah	Óblast Autónomo de Nagorno Karabaj
Federico II, Banal na Emperador ng Roma	Federico II Hohenstaufen
Gripon	Grifo
Aten	Atón
Republikang Sosyalistang Sobyetikang ng Heorhiya	República Socialista Soviética de Georgia
Kalamnang deltoid	Músculo deltoides
Panahon ng Tanso	Edad del Cobre
Henisaro	Jenízaros
Nagsasariling Sosyalistikong Republikang Soviet ng Kirghiz	República Socialista Soviética de Kirguistán
Sobyet na Sosyalistang Republika ng Estonya	República Socialista Soviética de Estonia
Inírida, Guainía	Inírida
Prepektura ng Hyōgo	Prefectura de Hyōgo
Prepektura ng Miyazaki	Prefectura de Miyazaki
Puerto Carreño	Puerto Carreño
Prepektura ng Kumamoto	Prefectura de Kumamoto
Phenol	Fenol
Stanley Miller	Stanley Miller
Kreasyonismo	Creacionismo
Dram ng Armenya	Dram armenio
Luxor	Lúxor
Tracey Ullman	Tracey Ullman
Manisa Province	Provincia de Manisa
Romulo Augustulo	Rómulo Augústulo
Senado ng Roma	Senado romano
Felipe II ng Macedonia	Filipo II de Macedonia
Mikoyan MiG-29	Mikoyan MiG-29
Halusinasyon	Alucinación
Elizabeth ng Rusya	Isabel I de Rusia
Turbina	Turbina
Kuliglig (Cicadidae)	Cicadidae
Atlas	Atlas (mitología)
William IV ng Nagkakaisang Kaharian	Guillermo IV del Reino Unido
Perseus	Perseo
Francis II, Banal na Emperador Romano	Francisco I de Austria y II del Sacro Imperio Romano Germánico
Plácido Domingo	Plácido Domingo
Labanan sa Kursk	Batalla de Kursk
Ang Pag-asa	Hatikva
Reuters	Reuters
Compsognathus	Compsognathus
Ḥanuka	Janucá
Edipo	Edipo
Jo In Sung	Jo In-sung
Mga Lombardo	Lombardos
Arkosauro	Archosauria
Karit (dalawang kamay)	Guadaña
Actinobacteria	Actinobacteria
Dalya	Dahlia
Marcha Real	Marcha Real
Theria	Theria
Robert Andrews Millikan	Robert Andrews Millikan
Serebelyum	Cerebelo
Neolohismo	Neologismo
Dromaeosauridae	Dromaeosauridae
Papa Damaso I	Dámaso I
Proteobacteria	Proteobacteria
Harun al-Rashid	Harún al-Rashid
Rhynchocephalia	Sphenodontia
Rosh haShana	Rosh Hashaná
Shigella	Shigella
Orthonectida	Orthonectida
Ikatlong Aklat ng mga Hari	I Reyes
Aklat ni Ester	Libro de Ester
Eclesiastes	Libro del Eclesiastés
Yukio Hatoyama	Yukio Hatoyama
Mga lungsod sa Estados Unidos ayon sa populasyon	Anexo:Ciudades de Estados Unidos por población
Mahal na Araw	Semana Santa
Druid	Druida
Valkyrie	Valquiria
Heodesiya	Geodesia
Kaguluhan (kosmogoniya)	Caos (mitología)
Coelurosauria	Coelurosauria
Sulat sa mga taga-Colosas	Epístola a los colosenses
Sulat ni Santiago	Epístola de Santiago
Unang Sulat ni Juan	Primera epístola de Juan
Sulat kay Filemon	Epístola a Filemón
Ikalawang Sulat sa mga taga-Tesalonica	Segunda epístola a los tesalonicenses
Unang Katanghalian	Meridiano de Greenwich
Unang Sulat sa mga taga-Tesalonica	Primera epístola a los tesalonicenses
Glaucophyta	Glaucophyta
Unang Sulat ni Pedro	Primera epístola de Pedro
Determinismo	Determinismo
Henry David Thoreau	Henry David Thoreau
Clytemnestra	Clitemnestra
Papa Fabian	Fabián (papa)
Papa Dionisio	Dionisio (papa)
Pakakak	Tuba
Polyvios	Polibio
Imhotep	Imhotep
Paghihinang	Soldadura
Vulgata	Vulgata
Ikalawang Sulat ni Pedro	Segunda epístola de Pedro
Unang Sulat kay Timoteo	Primera epístola a Timoteo
The Fame	The Fame
Carnosauria	Carnosauria
Constantius Chlorus	Constancio I
Kosmetiko	Cosmético
Suliranin ni Edipo	Complejo de Edipo
Lee Kuan Yew	Lee Kuan Yew
Mandarangkal	Mantodea
Tangent	Tangente (geometría)
Kalinangang tanyag	Cultura popular
Musikang Soul	Soul
Prepektura ng Gifu	Prefectura de Gifu
Prepektura ng Ishikawa	Prefectura de Ishikawa
Wikipedia:Mga mapagkukunang aklat	Wikipedia:Fuentes de libros
Prepektura ng Nara	Prefectura de Nara
Pandarayuhan	Inmigración
Ganja, Aserbayan	Ganja (Azerbaiyán)
Mardin Province	Provincia de Mardin
Bahay ng prostitusyon	Burdel
SPQR	SPQR
Prepektura ng Wakayama	Prefectura de Wakayama
Kaban ng Tipan	Arca de la Alianza
Prepektura ng Shizuoka	Prefectura de Shizuoka
Janet Jackson	Janet Jackson
George Eliot	George Eliot
Sioux Falls, South Dakota	Sioux Falls (Dakota del Sur)
Sosyalistikong Republikang Soviet ng Aserbayan	República Socialista Soviética de Azerbaiyán
Steropodon	Steropodon
Rupicapra rupicapra	Rupicapra rupicapra
Pandora	Pandora
Prepektura ng Shiga	Prefectura de Shiga
Kim Basinger	Kim Basinger
Ceratopsia	Ceratopsia
Ceratosauria	Ceratosauria
Malatya Province	Provincia de Malatya
Lalawigan ng Muş	Provincia de Muş
Pandaigdigang Guhit ng Petsa	Línea internacional de cambio de fecha
Louis Daguerre	Louis Daguerre
Nektar (mitolohiya)	Ambrosía
Maria, Reyna ng mga Eskoses	María I de Escocia
Derbent	Derbent
Lungsod ng Oaxaca	Oaxaca de Juárez
Shania Twain	Shania Twain
Larong tabla	Juego de tablero
Sanghalamanan	Flora
Ikalawang Sulat ni Juan	Segunda epístola de Juan
Aklat ni Isaias	Libro de Isaías
Ikatlong Sulat ni Juan	Tercera epístola de Juan
Papa Clemente V	Clemente V
Homo rhodesiensis	Homo rhodesiensis
Sulat ni Hudas	Epístola de Judas
Suligi	Dardos
Ichthyostega	Ichthyostega
Teoriya ng grapo	Teoría de grafos
Gastornis	Gastornis
Tiktaalik	Tiktaalik
Hegira	Hégira
Stegosauria	Stegosauria
Acoelomorpha	Acoelomorpha
Campylobacter	Campylobacter
Ikalawang Sulat kay Timoteo	Segunda epístola a Timoteo
Sulat kay Tito	Epístola a Tito
Kapibara	Hydrochoerus hydrochaeris
Panitikang pambata	Literatura infantil
Kalasag	Escudo
Marmota	Marmota
Moldava	Moldava
J-pop	J-Pop
Urbano VIII	Urbano VIII
Tiramisu	Tiramisú
Apian (halaman)	Papaver somniferum
Papa Clemente XIV	Clemente XIV
Ganymede (mitolohiya)	Ganimedes (mitología)
