IYunayithedi Steyitsi	Estados Unidos
Wikipedia:Vital articles	Wikipedia:Lista de artículos que toda Wikipedia debería tener
Category:Afrika	Categoría:África
Category:Eyekhala	Categoría:Julio
Category:Amanani	Categoría:Números
Category:Eyesilimela	Categoría:Junio
Category:IPhondo yaMpumalanga	Categoría:Mpumalanga
Category:Ubuchwepheshe	Categoría:Electrónica
Category:Ilali	Categoría:Localidades rurales
Category:IBhayibhile	Categoría:Biblia
Category:Amaxwebhu	Categoría:Documentos
Category:Iincwadi	Categoría:Libros
Category:Inyanga	Categoría:Meses
Template:Wikisource	Plantilla:Wikisource
Template:Babel	Plantilla:Babel
Template:Commons	Plantilla:Commons
Template:Link GA	Plantilla:Bueno
Template:Reflist	Plantilla:Listaref
Template:Stub	Plantilla:Esbozo
Template:See also	Plantilla:VT
Category:Uluhlu lweendawo eMzantsi Afrika	Categoría:Provincias de Sudáfrica
Template:Pn	Plantilla:Página requerida
Template:SIL	Plantilla:Doc ISO3
Template:USA	Plantilla:USA
Template:Country data Indonesia	Plantilla:Geodatos Indonesia
Category:User fr-1	Categoría:Wikipedia:Wikipedistas con nivel básico de francés
Template:Country showdata	Plantilla:Mostrar geodatos
Template:Infobox School	Plantilla:Ficha de escuela
Template:Location map	Plantilla:Mapa de localización
Category:User en-4	Categoría:Wikipedia:Wikipedistas con nivel experto de inglés
Category:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
Category:User en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
Template:Infobox	Plantilla:Ficha
Template:Cite web	Plantilla:Cita web
Template:Country data	Plantilla:Geodatos
Template:Coor URL	Plantilla:Coor URL
Category:User hi	Categoría:Wikipedia:Wikipedistas con conocimientos de hindi
Template:Flagicon/core	Plantilla:Bandera icono
Category:Country data templates	Categoría:Wikipedia:Plantillas de geodatos
Template:Both	Plantilla:Ambas
Template:Location map USA	Plantilla:Mapa de localización de Estados Unidos
Template:Flag/core	Plantilla:Bandera icono-país
Template:User	Plantilla:U
Template:Emergency-bot-shutoff	Plantilla:Paro de emergencia del bot
Category:User ja-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de japonés
Template:Br separated entries	Plantilla:Br separated entries
Category:User gsw-1	Categoría:Wikipedia:Wikipedistas con nivel básico de alemán suizo
Template:Infobox person	Plantilla:Ficha de persona
Template:Coord	Plantilla:Coord
Template:Citation/make link	Plantilla:Obra citada/enlace
Category:User az	Categoría:Wikipedia:Wikipedistas con conocimientos de azerí
Category:User be	Categoría:Wikipedia:Wikipedistas con conocimientos de bielorruso
Category:User hr	Categoría:Wikipedia:Wikipedistas con conocimientos de croata
Category:User sk	Categoría:Wikipedia:Wikipedistas con conocimientos de eslovaco
Category:User eo	Categoría:Wikipedia:Wikipedistas con conocimientos de esperanto
Category:User et	Categoría:Wikipedia:Wikipedistas con conocimientos de estonio
Category:User fr	Categoría:Wikipedia:Wikipedistas con conocimientos de francés
Category:User gl	Categoría:Wikipedia:Wikipedistas con conocimientos de gallego
Category:User hu-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de húngaro
Category:User id	Categoría:Wikipedia:Wikipedistas con conocimientos de indonesio
Category:User ia	Categoría:Wikipedia:Wikipedistas con conocimientos de interlingua
Category:User ja	Categoría:Wikipedia:Wikipedistas con conocimientos de japonés
Category:User it-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de italiano
Category:User cs-1	Categoría:Wikipedia:Wikipedistas con nivel básico de checo
Category:User da-1	Categoría:Wikipedia:Wikipedistas con nivel básico de danés
Category:User et-1	Categoría:Wikipedia:Wikipedistas con nivel básico de estonio
Category:User fi-1	Categoría:Wikipedia:Wikipedistas con nivel básico de finés
Category:User gl-1	Categoría:Wikipedia:Wikipedistas con nivel básico de gallego
Category:User hi-1	Categoría:Wikipedia:Wikipedistas con nivel básico de hindi
Category:User ar-1	Categoría:Wikipedia:Wikipedistas con nivel básico de árabe
Category:User be-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de bielorruso
Category:User da-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de danés
Category:User fr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de francés
Category:User ia-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de interlingua
Category:User tr-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de turco
Category:User hr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de croata
Category:User fr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de francés
Category:User af	Categoría:Wikipedia:Wikipedistas con conocimientos de afrikaans
Category:User af-1	Categoría:Wikipedia:Wikipedistas con nivel básico de afrikáans
Category:User als	Categoría:Wikipedia:Wikipedistas con conocimientos de Alemannisch
Category:User als-1	Categoría:Wikipedia:Wikipedistas con nivel básico de Alemannisch
Category:User ar	Categoría:Wikipedia:Wikipedistas con conocimientos de árabe
Category:User cs	Categoría:Wikipedia:Wikipedistas con conocimientos de checo
Category:User da	Categoría:Wikipedia:Wikipedistas con conocimientos de danés
Category:User sk-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de eslovaco
Category:User de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
Category:User de-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de alemán
Category:User de-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de alemán
Category:User de-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de alemán
Category:User el	Categoría:Wikipedia:Wikipedistas con conocimientos de griego antiguo
Category:User en-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de inglés
Category:User en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
Category:User eo-1	Categoría:Wikipedia:Wikipedistas con nivel básico de esperanto
Category:User es	Categoría:Wikipedia:Wikipedistas con conocimientos de español
Category:User es-1	Categoría:Wikipedia:Wikipedistas con nivel básico de español
Category:User es-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de español
Category:User es-4	Categoría:Wikipedia:Wikipedistas con nivel experto de español
Category:User es-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de español
Category:User gsw	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán suizo
Category:User hu	Categoría:Wikipedia:Wikipedistas con conocimientos de húngaro
Category:User it	Categoría:Wikipedia:Wikipedistas con conocimientos de italiano
Category:User it-1	Categoría:Wikipedia:Wikipedistas con nivel básico de italiano
Category:User ja-1	Categoría:Wikipedia:Wikipedistas con nivel básico de japonés
Category:User tr	Categoría:Wikipedia:Wikipedistas con conocimientos de turco
Category:User tr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de turco
Template:Spaces	Plantilla:Spaces
Template:Country data United States	Plantilla:Geodatos Estados Unidos
Template:Refbegin	Plantilla:Refcomienza
Template:Citation/core	Plantilla:Obra citada/núcleo
E-Paradise Cay	Paradise Cay (California)
Umnqathe	Daucus carota
Sinenjongo High School	Escuela Secundaria Sinenjongo
Template:Flag	Plantilla:Bandera2
Template:Country data Texas	Plantilla:Geodatos Texas
Trojany	Trojany
Category:IDolophu	Categoría:Localidades
Category:User en-1	Categoría:Wikipedia:Wikipedistas con nivel básico de inglés
Category:User de-1	Categoría:Wikipedia:Wikipedistas con nivel básico de alemán
Category:User da-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de danés
Template:Location map~	Plantilla:Mapa de localización~
Template:Location map+	Plantilla:Mapa de localización+
Wikipedia:VisualEditor	Wikipedia:Editor visual
Module:Citation/CS1/Whitelist	Módulo:Citas/Whitelist
Template:Location map/decdeg	Plantilla:Mapa de localización/decdeg
Wikipedia Zero	Wikipedia Zero
Module:Arguments	Módulo:Argumentos
Special:RecentChanges	Especial:CambiosRecientes
Module:Citation/CS1	Módulo:Citas
Module:Citation/CS1/Configuration	Módulo:Citas/Configuración
Category:User ja-4	Categoría:Wikipedia:Wikipedistas con nivel experto de japonés
Module:HtmlBuilder	Módulo:HtmlBuilder
Module:String	Módulo:String
Module:Coordinates	Módulo:Coordenadas
Module:Math	Módulo:Math
Module:Infobox	Módulo:Ficha
Industrial and Mining Water Research Unit	Industrial and mining water research unit
