Afrika	África
Svibanj	Mayo
Lipanj	Junio
Srpanj	Julio
Kolovoz	Agosto
Rujan	Septiembre
Listopad	Octubre
Studeni	Noviembre
Prosinac	Diciembre
Utorak	Martes
Srijeda	Miércoles
Četvrtak	Jueves
Petak	Viernes
Subota	Sábado
Nedjelja	Domingo
Lovac (šah)	Alfil
Pješak (šah)	Peón (ajedrez)
Skakač	Caballo (ajedrez)
Top (šah)	Torre (ajedrez)
Kralj (šah)	Rey (ajedrez)
Kraljica (šah)	Dama (ajedrez)
Lav	Panthera leo
Francuska	Francia
Esperanto	Esperanto
Domaći pas	Canis lupus familiaris
Ujedinjeno Kraljevstvo	Reino Unido
Domaća mačka	Felis silvestris catus
Kina	República Popular China
Francuski jezik	Idioma francés
Wječnik	Wikcionario
Ribe	Pisces
Etanol	Etanol
Alkoholno piće	Bebida alcohólica
Brazil	Brasil
Alkoholi	Alcohol
François Hollande	François Hollande
Rusija	Rusia
Kitovi	Cetacea
Vlakno	Fibra textil
Optičko vlakno	Fibra óptica
Kvadrat	Cuadrado
More	Mar
Crno more	Mar Negro
Pi (broj)	Número π
Pi	Π
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo (federalna brazilska država)	Estado de São Paulo
Québec	Quebec
Pizza	Pizza
Tjestenina	Pasta
Boeing 747	Boeing 747
Wikimedija	Fundación Wikimedia
Jimmy Wales	Jimmy Wales
Njemačka	Alemania
Bjelorusija	Bielorrusia
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Il Canto degli Italiani
Njemački jezik	Idioma alemán
Island	Islandia
Bog	Dios
Estonija	Estonia
David Cameron	David Cameron
Saturn	Saturno (planeta)
Saturnovi prsteni	Anillos de Saturno
Čokolada	Chocolate
Avion	Avión
Rat	Guerra
Jedan	Uno
Dva	Dos
Tri	Tres
Četiri	Cuatro
Pet	Cinco
Nula	Cero
Beskonačnost	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Pravokutnik	Rectángulo
Latvija	Letonia
Ukrajina	Ucrania
Češka	República Checa
Slovačka	Eslovaquia
Slovenija	Eslovenia
Vilnius	Vilna
Moldavija	Moldavia
Rumunjska	Rumania
Bugarska	Bulgaria
Rim	Roma
Makedonija	República de Macedonia
Albanija	Albania
Grenland	Groenlandia
Hrvatska	Croacia
Bosna i Hercegovina	Bosnia y Herzegovina
Nuuk	Nuuk
Azerbajdžan	Azerbaiyán
Andora	Andorra
Cipar	Chipre
Gruzija	Georgia
Valonija	Región Valona
Kazahstan	Kazajistán
Malta	Malta
Monako	Mónaco
Crna Gora	Montenegro
Vatikan	Ciudad del Vaticano
San Marino	San Marino
Grad Bruxelles	Bruselas
Regija glavnoga grada Bruxellesa	Región de Bruselas-Capital
Kuba	Cuba
Belize	Belice
Eiffelov toranj	Torre Eiffel
Barbados	Barbados
Volkswagen Golf	Volkswagen Golf
Intel	Intel Corporation
Tipkovnica	Teclado (informática)
Java (programski jezik)	Java (lenguaje de programación)
Indonezija	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turski jezik	Idioma turco
Mandelbrotov skup	Conjunto de Mandelbrot
Južnoafrička Republika	Sudáfrica
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžir	Argelia
Wikizvor	Wikisource
Uzbekistan	Uzbekistán
Poznanj	Poznań
Taškent	Taskent
Varšava	Varsovia
Pjesma Eurovizije	Festival de la Canción de Eurovisión
Modena	Módena
Viski	Whisky
Vino	Vino
Voda	Agua
Koža (materijal)	Cuero
Drvo (materijal)	Madera
Tours	Tours
Televizija	Televisión
Spol	Sexo
Pornografija	Pornografía
Islandski jezik	Idioma islandés
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Čile	Chile
El Greco	El Greco
Isus	Jesús de Nazaret
Elvis Presley	Elvis Presley
Tjelesna kazna	Castigo físico
Galileo Galilei	Galileo Galilei
Merkur	Mercurio (planeta)
Povijest	Historia
Groblje Père-Lachaise	Cementerio del Père-Lachaise
Apple Inc.	Apple
Venera	Venus (planeta)
Jezik	Lenguaje
Ljubav	Amor
Diktatura	Dictadura
Galaktika	Galaxia
Jupiter	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Mliječni put	Vía Láctea
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Veliki prasak	Teoría del Big Bang
Uran	Urano (planeta)
Wikipedija na engleskom jeziku	Wikipedia en inglés
Nicolas Sarkozy	Nicolas Sarkozy
Bitka kod Marignana	Batalla de Marignano
Neptun	Neptuno (planeta)
Astronomija	Astronomía
Singapur	Singapur
Znanost	Ciencia
Chargoggagoggmanchauggagoggchaubunagungamaugg	Lago Chaubunagungamaug
Kozmologija	Cosmología
Pluton	Plutón (planeta enano)
Montréal	Montreal
Slobodna programska podrška	Software libre
Budućnost	Futuro
Marija (majka Isusova)	María (madre de Jesús)
Luj IX., kralj Francuske	Luis IX de Francia
Lihtenštajn	Liechtenstein
Šport	Deporte
Cambridge	Cambridge
Nacionalni park Yellowstone	Parque nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanka Kastiljska	Blanca de Castilla
Facebook	Facebook
Spomenik kulture	Monumento nacional
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	Primera Guerra Mundial
Drugi svjetski rat	Segunda Guerra Mundial
Treći svjetski rat	Tercera Guerra Mundial
Köln	Colonia (Alemania)
Wikiknjige	Wikilibros
Augusto Pinochet	Augusto Pinochet
Wikicitat	Wikiquote
Wiki-sveučilište	Wikiversidad
!!!	!!!
Wikivoyage	Wikiviajes
Votka	Vodka
Vafel proizvod	Gofre
Sat (instrument)	Reloj
Janka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skoplje	Skopie
Gdynia	Gdynia
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Mjeriteljstvo	Metrología
Matematika	Matemáticas
U2	U2
Latinski jezik	Latín
Bahrein	Baréin
Armenija	Armenia
Klinasto pismo	Escritura cuneiforme
Higgsov bozon	Bosón de Higgs
Srbija	Serbia
Mjesec	Luna
Istanbul	Estambul
Australija	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiología
Fizika	Física
Argentina	Argentina
Silbo Gomero	Silbo gomero
Telekomunikacija	Telecomunicación
Peru	Perú
Biologija	Biología
NLO	Objeto volador no identificado
Sjeverna Koreja	Corea del Norte
Kambodža	Camboya
Kuiperov pojas	Cinturón de Kuiper
Kuran	Corán
Dinosauri	Dinosauria
Zoologija	Zoología
Islam	Islam
Kruške	Pyrus
Aleksandrijska knjižnica	Biblioteca de Alejandría
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Botanika	Botánica
Lech Wałęsa	Lech Wałęsa
Kotač	Rueda
Encyclopédie	L'Encyclopédie
Denis Diderot	Denis Diderot
Um	Mente
Mir	Paz
Encyclopædia Britannica	Enciclopedia Británica
Lyon	Lyon
Europska unija	Unión Europea
Plovdiv	Plovdiv
Internet Arhiv	Internet Archive
Zvjezdani ratovi	Star Wars
Rona-Alpe	Ródano-Alpes
World Wide Web	World Wide Web
Žena	Mujer
Sofija	Sofía
Don Quijote	Don Quijote de la Mancha
Poezija	Poesía
Lijenost	Pereza
Računalni virus	Virus informático
Černobilska katastrofa	Accidente de Chernóbil
Atomsko bombardiranje Hirošime i Nagasakija	Bombardeos atómicos sobre Hiroshima y Nagasaki
Milano	Milán
Prijateljstvo	Amistad
Pamćenje	Memoria (proceso)
Arthur Rimbaud	Arthur Rimbaud
Torino	Turín
Izmet	Excremento
Anus	Ano
Limun	Citrus × limon
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Émile Zola	Émile Zola
666.	666
Cvijet	Flor
Gugol	Gúgol
Marijanska brazda	Fosa de las Marianas
Vladimir Visocki	Vladímir Vysotski
Mount Everest	Monte Everest
Anatomija	Anatomía
Grad	Ciudad
Napoleon Bonaparte	Napoleón Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Fiziologija	Fisiología
Zvijezda	Estrella
Vezuv	Monte Vesubio
Sunce	Sol
Nebo	Cielo
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Svjetlosna godina	Año luz
Selo	Pueblo (población rural)
Victor Hugo	Victor Hugo
Oceanija	Oceanía
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletika	Atletismo
Cenzura	Censura
Sunčev sustav	Sistema Solar
Baltičko more	Mar Báltico
Trst	Trieste
Visla	Vístula
Sijamski borac	Betta splendens
Elizejske poljane	Avenida de los Campos Elíseos
Odra	Óder
Vodik	Hidrógeno
Patti Smith	Patti Smith
Helij	Helio
Zub	Diente
Pakao	Infierno
Zajednički poslužitelj	Wikimedia Commons
Čistilište	Purgatorio
Angela Merkel	Angela Merkel
Litij	Litio
Berilij	Berilio
Zvučnik	Altavoz
Knjiga	Libro
Dan	Día
Istočni Timor	Timor Oriental
Noć	Noche
Godina	Año
Stoljeće	Siglo
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rajna	Rin
Oslo	Oslo
Bonn	Bonn
Svi sveti	Día de Todos los Santos
Katowice	Katowice
Crna rupa	Agujero negro
Luís de Camões	Luís de Camões
Gej	Gay
1 Ceres	Ceres (planeta enano)
Lisabon	Lisboa
Rzeszów	Rzeszów
136108 Haumea	Haumea (planeta enano)
Rhône	Ródano
136472 Makemake	Makemake (planeta enano)
Michael Bloomberg	Michael Bloomberg
Sveta Catherine Tekakwitha	Catalina Tekakwitha
136199 Eris	Eris (planeta enano)
Dubai	Dubái (ciudad)
Lionel Messi	Lionel Messi
Padova	Padua
Bor (element)	Boro
Nikola Kopernik	Nicolás Copérnico
Versailles	Versalles
Ludwigsburg	Luisburgo
Ugljik	Carbono
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga
Dušik	Nitrógeno
Bergamo	Bérgamo
Kisik	Oxígeno
F.C. Internazionale Milano	Inter de Milán
Planet	Planeta
Kleopatra	Cleopatra VII
Kate Bush	Kate Bush
Glazba	Música
Venecija	Venecia
Naruto	Naruto
Pad	Po
Sharm el-Sheikh	Sharm el-Sheij
Neva	Río Nevá
Termometar	Termómetro
Rennes	Rennes
Lille	Lille
Moskva	Moscú
Fluor	Flúor
Talijanski jezik	Idioma italiano
Chihuahua (pas)	Chihuahueño (perro)
Neon	Neón
Chihuahua	Chihuahua
Sankt Peterburg	San Petersburgo
Čad	Chad
Natrij	Sodio
Sjever	Norte
Magnezij	Magnesio
Shin Seiki Evangelion	Neon Genesis Evangelion
Aluminij	Aluminio
Novi Zeland	Nueva Zelanda
Jug	Sur
Indija	India
Silicij	Silicio
Francij	Francio
Tuvalu	Tuvalu
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Proza	Prosa
Željezo	Hierro
Tonga	Tonga
Zapad	Oeste
Alessandro Volta	Alessandro Volta
Sumpor	Azufre
Samoa	Samoa
Istok	Este
Salomonski Otoci	Islas Salomón
Vanuatu	Vanuatu
Molière	Molière
Klor	Cloro
Papua Nova Gvineja	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Basna	Fábula
Palau	Palaos
Argon	Argón
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Bajka	Cuento de hadas
Savezne Države Mikronezije	Estados Federados de Micronesia
Kalij	Potasio
Olympique Lyonnais	Olympique de Lyon
Kalcij	Calcio
Olovo (element)	Plomo
Maršalovi Otoci	Islas Marshall
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiyi
Skandij	Escandio
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titanij	Titanio
Venezuela	Venezuela
Šah	Ajedrez
Saginaw, Michigan	Saginaw
Džingis-kan	Gengis Kan
Život, svemir i sve ostalo	La vida, el universo y todo lo demás
Vanadij	Vanadio
Maine	Maine
Krom	Cromo
Domaći konj	Equus ferus caballus
Amsterdam	Ámsterdam
Oružje	Arma
Životinje	Animalia
Surinam	Surinam
Mangan	Manganeso
Paragvaj	Paraguay
Gvajana	Guyana
Umjetnost	Arte
Ekvador	Ecuador
Renij	Renio
Kolumbija	Colombia
Kobalt	Cobalto
Jean Racine	Jean Racine
Volfram	Wolframio
Nikal	Níquel
Jagoda	Fragaria
Pierre Corneille	Pierre Corneille
Budizam	Budismo
Groningen	Groninga
Bolivija	Bolivia
Osmij	Osmio
Bakar (element)	Cobre
Trinidad i Tobago	Trinidad y Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plantae
Sveti Vincent i Grenadini	San Vicente y las Granadinas
Cink	Cinc
New Hampshire	Nuevo Hampshire
Sveta Lucija (država)	Santa Lucía
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Sveti Kristofor i Nevis	San Cristóbal y Nieves
Gljive	Fungi
Dario Fo	Dario Fo
Jamajka	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Supetar	Supetar
Grenada	Granada (país)
Massachusetts	Massachusetts
Gvatemala	Guatemala
Gelderland	Güeldres
Google Chrome	Google Chrome
Bahami	Bahamas
Connecticut	Connecticut
Domaća kokoš	Gallus gallus domesticus
Antigva i Barbuda	Antigua y Barbuda
Havaji	Hawái
Honduras	Honduras
Dominika	Dominica
Jersey (otok)	Jersey
Dominikanska Republika	República Dominicana
Domaća svinja	Sus scrofa domestica
Arktički ocean	Océano Ártico
Haiti	Haití
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvador	El Salvador
Iran	Irán
Irak	Irak
Aljaska	Alaska
Mudrost	Sabiduría
Kostarika	Costa Rica
Izrael	Israel
Utrecht (grad)	Utrecht
Panama	Panamá
Jemen	Yemen
Randstad	Randstad
Lausanne	Lausana
Virusi	Virus
Poljski jezik	Idioma polaco
Jordan	Jordania
Nikaragva	Nicaragua
Florida	Florida
Kirgistan	Kirguistán
Arizona	Arizona
Kuvajt	Kuwait
Laos	Laos
Libanon	Líbano
Oregon	Oregón
Maldivi	Maldivas
Amerika	América
Utah	Utah
Divlje govedo	Bos primigenius taurus
Malezija	Malasia
Valais	Cantón del Valais
Mihail Bulgakov	Mijaíl Bulgákov
Mjanmar	Birmania
Nepal	Nepal
Andrej Rubljov	Andréi Rubliov
Oman	Omán
Pakistan	Pakistán
Katar	Catar
Tenis	Tenis
François Villon	François Villon
MySQL	MySQL
Saudijska Arabija	Arabia Saudita
Lockheed L-1011 TriStar	Lockheed L-1011 TriStar
Andrej Tarkovski	Andréi Tarkovski
Šri Lanka	Sri Lanka
Josif Staljin	Iósif Stalin
Crtični kôd	Código de barras
Sirija	Siria
Platon	Platón
Galij	Galio
Joseph Brodsky	Joseph Brodsky
Tadžikistan	Tayikistán
Pokémon	Pokémon
Republika Kina	República de China
YouTube	YouTube
Germanij	Germanio
Aristotel	Aristóteles
Tajland	Tailandia
Vlak	Tren
Arsen	Arsénico
Radio	Radiocomunicación
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistán
Abakan (Hakasija, Rusija)	Abakán
Selenij	Selenio
Iridij	Iridio
Ujedinjeni Arapski Emirati	Emiratos Árabes Unidos
Brom	Bromo
Platina	Platino
Vijetnam	Vietnam
Charles Chaplin	Charles Chaplin
Novosibirsk	Novosibirsk
Južna Koreja	Corea del Sur
Józef Piłsudski	Józef Piłsudski
Simpsoni	Los Simpson
Ekaterinburg	Ekaterimburgo
Kripton	Kriptón
Afganistan	Afganistán
Gangnam Style	Gangnam Style
Nižnji Novgorod	Nizhni Nóvgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Limunada	Limonada
Samara	Samara
Rubidij	Rubidio
Zlato	Oro
Omsk	Omsk
Sueski kanal	Canal de Suez
Kazanj	Kazán
Bangladeš	Bangladés
Erta Ale	Erta Ale
Franz Kafka	Franz Kafka
Čeljabinsk	Cheliábinsk
Rostov na Donu	Rostov del Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufá
Mali	Malí
Sokrat	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm (Permski kraj, Rusija)	Perm
Kraljevina Butan	Bután
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunej	Brunéi
Brač	Brač
Tanzanija	Tanzania
Živa	Mercurio (elemento)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Filipinas
Srednjoafrička Republika	República Centroafricana
Naruto Uzumaki	Naruto Uzumaki
Talij	Talio
Polovi južne polutke	Polo Sur
Polovi sjeverne polutke	Polo Norte
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stroncij	Estroncio
Pedro I. Brazilski	Pedro I de Brasil y IV de Portugal
Itrij	Itrio
Bizmut	Bismuto
Žuta	Amarillo
Kvantna mehanika	Mecánica cuántica
Togo	Togo
Donald Tusk	Donald Tusk
Tunis	Túnez
John Bardeen	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabue
Peking	Pekín
Južni Sudan	Sudán del Sur
Vladivostok	Vladivostok
Tuva	Tuvá
Benin	Benín
Bocvana	Botsuana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comoras
Republika Kongo	República del Congo
Ob	Río Obi
Demokratska Republika Kongo	República Democrática del Congo
San Antonio (Teksas)	San Antonio (Texas)
Džibuti	Yibuti
Mem	Meme
Polonij	Polonio
Bavarska	Baviera
Svjetski skijaški kup	Copa del Mundo de Esquí Alpino
Ekvatorska Gvineja	Guinea Ecuatorial
Baden-Württemberg	Baden-Wurtemberg
Eritreja	Eritrea
New Delhi	Nueva Delhi
Ivan Pavao II.	Juan Pablo II
Fjodor Mihajlovič Dostojevski	Fiódor Dostoyevski
Kamčatka	Península de Kamchatka
Tbilisi	Tiflis
Andrej Saharov	Andréi Sájarov
Astat	Ástato
Gabon	Gabón
Mahatma Gandhi	Mahatma Gandhi
Čukotski poluotok	Península de Chukchi
Solidarnost (sindikat)	Solidarność
Strip	Historieta
Gambija	Gambia
Gvineja	Guinea
Gvineja Bisau	Guinea-Bisáu
Obala Bjelokosti	Costa de Marfil
Kamerun	Camerún
Maribor	Máribor
Zelenortska Republika	Cabo Verde
Celje	Celje
Lesoto	Lesoto
Liberija	Liberia
Kopar	Koper
Libija	Libia
Aachen	Aquisgrán
Nova Gorica	Nova Gorica
Madagaskar	Madagascar
Malavi	Malaui
Kranj	Kranj
Stuttgart	Stuttgart
Triglav (vrh)	Triglav
Mauretanija	Mauritania
Poljaci	Pueblo polaco
Mauricijus	Mauricio
Maroko	Marruecos
Mozambik	Mozambique
Namibija	Namibia
France Prešeren	France Prešeren
Niger	Níger
Nigerija	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Cirkonij	Circonio
Sveti Toma i Princip	Santo Tomé y Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Sejšeli	Seychelles
Carl Linné	Carlos Linneo
Sijera Leone	Sierra Leona
Somalija	Somalia
Niobij	Niobio
Džavaharlal Nehru	Sri Pandit Jawaharlal Nehru
Gaj Julije Cezar	Julio César
Sudan	Sudán
Svazi	Suazilandia
Ivan Regen	Ivan Regen
Duga	Arco iris
Molibden	Molibdeno
Tehnecij	Tecnecio
Hamburg	Hamburgo
Italo Balbo	Italo Balbo
Metabolizam	Metabolismo
Imunološki sustav	Sistema inmunitario
Gudžarat	Guyarat
Ontario (jezero)	Lago Ontario
Evolucija	Evolución biológica
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	Organización de las Naciones Unidas
Superior	Lago Superior
Dante Alighieri	Dante Alighieri
Geologija	Geología
Geografija	Geografía
Srce	Corazón
Mozak	Cerebro
Koža	Piel
Boja	Color
Zvjezdane staze: Originalna serija	Star Trek: La serie original
Na putu prema dolje	Breaking Bad
Salerno	Salerno
Imenice	Sustantivo
Prag	Praga
Rutenij	Rutenio
Rodij	Rodio
Plava	Azul
Paladij	Paladio
Srebro	Plata
Kadmij	Cadmio
Zvjezdane staze	Star Trek
Limburg (Nizozemska)	Limburgo (Países Bajos)
Indij	Indio (elemento)
Limburg (Belgija)	Provincia de Limburgo (Bélgica)
Kositar	Estaño
Berlinski glavni kolodvor	Estación Central de Berlín
Uranij	Uranio
Antimon	Antimonio
Telurij	Telurio
Sjeverni Brabant	Brabante Septentrional
Plutonij	Plutonio
Jod	Yodo
Neptunij	Neptunio
Ksenon	Xenón
Anime	Anime
Cezij	Cesio
Protaktinij	Protactinio
Ujedinjena Federacija Planeta	Federación de Planetas Unidos
Električni naboj	Carga eléctrica
Barij	Bario
Zapadna Flandrija	Provincia de Flandes Occidental
Istočna Flandrija	Provincia de Flandes Oriental
Torij	Torio
Antwerpen (pokrajina)	Provincia de Amberes
Flamanski Brabant	Brabante Flamenco
Hafnij	Hafnio
Aktinij	Actinio
Valonski Brabant	Provincia del Brabante Valón
Tantal (element)	Tantalio
Bill Clinton	Bill Clinton
Namur (pokrajina)	Provincia de Namur
Luxembourg (Belgija)	Provincia de Luxemburgo
Liège (pokrajina)	Provincia de Lieja
Radij	Radio (elemento)
Hainaut (pokrajina)	Provincia de Henao
Radon	Radón
Lorena	Lorena (Francia)
Elzas	Alsacia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Mercurio (mitología)
Hector Berlioz	Hector Berlioz
Auvergne	Auvernia
Mumbai	Bombay
Međunarodni atletski savez	Asociación Internacional de Federaciones de Atletismo
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Míchigan
Chhattisgarh	Chhattisgarh
Jezero Michigan	Lago Míchigan
Goa	Goa
Burgundija	Borgoña
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akvitanija	Aquitania
Jammu i Kashmir	Jammu y Cachemira
Portoriko	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Lemosín
Maharashtra	Maharastra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Megalaya
Mecklenburg-Zapadno Pomorje	Mecklemburgo-Pomerania Occidental
Donja Saska	Baja Sajonia
Sjeverna Rajna-Vestfalija	Renania del Norte-Westfalia
Hessen	Hesse
Falačko Porajnje	Renania-Palatinado
Saarska	Sarre
Saska (pokrajina)	Sajonia
John Lennon	John Lennon
Illinois	Illinois
Tiringija	Turingia
Saska-Anhalt	Sajonia-Anhalt
Sjeverna Dakota	Dakota del Norte
Brandenburg	Brandeburgo
Bremen (pokrajina)	Bremen (estado)
Lombardija	Lombardía
Južna Dakota	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Pijemont	Piamonte
Jeruzalem	Jerusalén
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Valle de Aosta
Washington (savezna država)	Washington (estado)
Bruce Springsteen	Bruce Springsteen
Raderfordij	Rutherfordio
Nevada	Nevada
Don	Río Don
Francesco Cossiga	Francesco Cossiga
Dubnij	Dubnio
Siborgij	Seaborgio
Trentino-Južni Tirol	Trentino-Alto Adigio
Indijski ocean	Océano Índico
Antonio Segni	Antonio Segni
Veneto	Véneto
Kosovo	Kosovo
Karipsko more	Mar Caribe
Borij	Bohrio
Furlanija-Julijska krajina	Friuli-Venecia Julia
Kotijske Alpe	Alpes cocios
Hasij	Hassio
Ban Ki-mun	Ban Ki-moon
Kofi Atta Annan	Kofi Annan
Ligurija	Liguria
Butros Butros-Gali	Butros Butros-Ghali
Meitnerij	Meitnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Emilia-Romaña
U Thant	U Thant
Colorado (rijeka)	Río Colorado
Darmštatij	Darmstadio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenij	Roentgenio
Toskana	Toscana
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Copernicio
Marke	Marcas
Umbrija	Umbría (Italia)
Lacij	Lacio
Dolomiti	Dolomitas
Abruzzo	Abruzos
Apenini	Apeninos
Alpe	Alpes
Jansenizam	Jansenismo
Karpati	Montes Cárpatos
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dama	Damas
Dortmund	Dortmund
Gent	Gante
Chicago, Illinois	Chicago
The Beatles	The Beatles
Ununtrij	Ununtrio
Flerovij	Flerovio
Ununpentij	Unumpentio
Livermorij	Livermorio
Ununseptij	Ununseptio
Ununoktij	Ununoctio
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Zima	Invierno
Proljeće	Primavera
Ljeto	Verano
Jesen	Otoño
Ravnodnevica	Equinoccio
Saddam Hussein	Sadam Husein
Osama bin Laden	Osama bin Laden
Španjolski jezik	Idioma español
Friedrich von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Toliatti
