Afrika	África
Papan tutul	Teclado (informática)
Indonésia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Basa Turki	Idioma turco
Afrika Kidul	Sudáfrica
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Aljazair	Argelia
Wikisource	Wikisource
Uzbekistan	Uzbekistán
Poznań	Poznań
Warsawa	Varsovia
Anggur (ombèn-ombèn)	Vino
Banyu	Agua
Kayu	Madera
Télévisi	Televisión
Claude Monet	Claude Monet
Chili	Chile
Yésus Kristus	Jesús de Nazaret
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Merkurius	Mercurio (planeta)
Sajarah	Historia
Apple Inc.	Apple
Venus	Venus (planeta)
Basa	Lenguaje
Tresna	Amor
Galaksi	Galaxia
Yupiter	Júpiter (planeta)
Bima Sakti	Vía Láctea
Big Bang	Teoría del Big Bang
Uranus	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Neptunus	Neptuno (planeta)
Astronomi	Astronomía
Singapura	Singapur
Èlmu	Ciencia
Kosmologi	Cosmología
Pluto	Plutón (planeta enano)
Maria	María (madre de Jesús)
Louis IX saka Perancis	Luis IX de Francia
Liechtenstein	Liechtenstein
Olahraga	Deporte
Taman Nasional Yellowstone	Parque nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Perang Donya I	Primera Guerra Mundial
Perang Donya II	Segunda Guerra Mundial
Köln	Colonia (Alemania)
Wikibooks	Wikilibros
Wikiquote	Wikiquote
Wafel	Gofre
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Skopie
Gdynia	Gdynia
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matématika	Matemáticas
U2	U2
Basa Latin	Latín
Bahrain	Baréin
Arménia	Armenia
Serbia	Serbia
Rembulan	Luna
Istanbul	Estambul
Australia	Australia
Bob Marley	Bob Marley
Carl Sagan,	Carl Sagan
Fisika	Física
Argentina	Argentina
Peru	Perú
Biologi	Biología
Koréa Lor	Corea del Norte
Kamboja	Camboya
Sabuk Kuiper	Cinturón de Kuiper
Al-Qur'an	Corán
Dinosaurus	Dinosauria
Zoologi	Zoología
Szczebrzeszyn	Szczebrzeszyn
Ljubljana	Liubliana
Botani	Botánica
Lech Wałęsa	Lech Wałęsa
Rodha	Rueda
Denis Diderot	Denis Diderot
Lyon	Lyon
Uni Éropah	Unión Europea
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Ródano-Alpes
World Wide Web	World Wide Web
Wadon	Mujer
Sofia	Sofía
Geguritan	Poesía
Virus komputer	Virus informático
Mèsem	Sonrisa
Milan	Milán
Torino	Turín
Anus	Ano
Lémon	Citrus × limon
Émile Zola	Émile Zola
666	666
Kembang	Flor
Palung Mariana	Fosa de las Marianas
Mount Everest	Monte Everest
Anatomi	Anatomía
Kutha	Ciudad
Napoléon Bonaparte	Napoleón Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Fisiologi	Fisiología
Lintang	Estrella
Gunung Vesuvius	Monte Vesubio
Srengéngé	Sol
Awang-awang	Cielo
Louis Pasteur	Louis Pasteur
Taun cahya	Año luz
Désa	Pueblo (población rural)
Victor Marie Comte Hugo	Victor Hugo
Oséania	Oceanía
Atletik	Atletismo
Tata Surya	Sistema Solar
Segara Baltik	Mar Báltico
Trieste	Trieste
Kali Wisła	Vístula
Champs-Élysées	Avenida de los Campos Elíseos
Kali Oder	Óder
Hidrogen	Hidrógeno
Helium	Helio
Wikimedia Commons	Wikimedia Commons
Angela Dorothea Merkel	Angela Merkel
Litium	Litio
Speaker	Altavoz
Buku	Libro
Dina	Día
Timor Wétan	Timor Oriental
Wengi	Noche
Taun	Año
Abad	Siglo
Łódź	Łódź
Mont Blanc	Mont Blanc
Rhein	Rin
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Bolongan ireng	Agujero negro
Ceres	Ceres (planeta enano)
Lisabon	Lisboa
Rzeszów	Rzeszów
Haumea	Haumea (planeta enano)
Rhone	Ródano
Makemake	Makemake (planeta enano)
Xena	Eris (planeta enano)
Lionel Messi	Lionel Messi
Boron	Boro
Nicolaus Copernicus	Nicolás Copérnico
Karbon	Carbono
Alessandro Del Piero	Alessandro Del Piero
Kali Volga	Volga
Nitrogen	Nitrógeno
Bergamo	Bérgamo
Oksigèn	Oxígeno
Inter Milan	Inter de Milán
Planèt	Planeta
Cleopatra	Cleopatra VII
Musik	Música
Venesia	Venecia
Tèrmomèter	Termómetro
Moskwa	Moscú
Basa Italia	Idioma italiano
Chihuahua (asu)	Chihuahueño (perro)
Neon	Neón
St. Petersburg	San Petersburgo
Chad	Chad
Natrium	Sodio
Magnesium	Magnesio
Alumunium	Aluminio
Sélandia Anyar	Nueva Zelanda
Kidul	Sur
India	India
Silikon	Silicio
Fransium	Francio
Tuvalu	Tuvalu
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Gancaran	Prosa
Wesi	Hierro
Tonga	Tonga
Kulon	Oeste
Alessandro Volta	Alessandro Volta
Welirang	Azufre
Samoa	Samoa
Wétan	Este
Kapuloan Solomon	Islas Salomón
Vanuatu	Vanuatu
Molière	Molière
Klor	Cloro
Delft	Delft
Papua Nugini	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Holland Kidul	Holanda Meridional
Palau	Palaos
Argon	Argón
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Holland Lor	Holanda Septentrional
Mikronesia	Estados Federados de Micronesia
Kalium	Potasio
Olympique Lyonnais	Olympique de Lyon
Kalsium	Calcio
Flevoland	Flevolanda
Kapuloan Marshall	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiyi
Skandium	Escandio
Titanium	Titanio
Venezuela	Venezuela
Sekak	Ajedrez
Genghis Khan	Gengis Kan
Vanadium	Vanadio
Maine	Maine
Jaran	Equus ferus caballus
Amsterdam	Ámsterdam
Sanjata	Arma
Sato kéwan	Animalia
Suriname	Surinam
Mangan	Manganeso
Paraguay	Paraguay
Guyana	Guyana
Seni	Arte
Ekuador	Ecuador
Rhenium	Renio
Kolombia	Colombia
Nikel	Níquel
Fragaria	Fragaria
Bolivia	Bolivia
Osmium	Osmio
Provinsi Groningen	Provincia de Groninga
Tembaga	Cobre
Trinidad lan Tobago	Trinidad y Tobago
Tetanduran	Plantae
Saint Vincent lan Grenadines	San Vicente y las Granadinas
Sèng	Cinc
New Hampshire	Nuevo Hampshire
Saint Lucia	Santa Lucía
Białystok	Białystok
Leonardo Da Vinci	Leonardo da Vinci
Saint Kitts lan Nevis	San Cristóbal y Nieves
Fungi	Fungi
Jamaika	Jamaica
Grenada	Granada (país)
Friesland	Frisia
Massachusetts	Massachusetts
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Güeldres
Bahama	Bahamas
Connecticut	Connecticut
Pitik	Gallus gallus domesticus
Antigua lan Barbuda	Antigua y Barbuda
Hawaii	Hawái
Honduras	Honduras
Dominika	Dominica
Jersey	Jersey
Republik Dominika	República Dominicana
Babi	Sus scrofa domestica
Samudra Arktika	Océano Ártico
Haiti	Haití
El Salvador	El Salvador
Iran	Irán
Irak	Irak
Alaska	Alaska
Kosta Rika	Costa Rica
Israèl	Israel
Nowy Sącz	Nowy Sącz
Gemeente Utrecht	Utrecht
Panama	Panamá
Yaman	Yemen
Randstad	Randstad
Virus	Virus
Basa Polski	Idioma polaco
Yordania	Jordania
Nikaragua	Nicaragua
Florida	Florida
Kirgizstan	Kirguistán
Arizona	Arizona
Kuwait	Kuwait
Laos (negara)	Laos
Libanon	Líbano
Oregon	Oregón
Maladewa	Maldivas
Bawana Amérika	América
Utah	Utah
Sapi	Bos primigenius taurus
Malaysia	Malasia
Myanmar	Birmania
Nepal	Nepal
Oman	Omán
Pakistan	Pakistán
Qatar	Catar
Tènes	Tenis
Arab Saudi	Arabia Saudita
Sri Lanka	Sri Lanka
Josef Stalin	Iósif Stalin
Kodé Batang	Código de barras
Suriah	Siria
Plato	Platón
Galium	Galio
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tayikistán
Pokémon	Pokémon
Républik Cina	República de China
YouTube	YouTube
Germanium	Germanio
Aristoteles	Aristóteles
Thailand	Tailandia
Sepur	Tren
Arsenik	Arsénico
Radhio	Radiocomunicación
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistán
Selenium	Selenio
Iridium	Iridio
Uni Emirat Arab	Emiratos Árabes Unidos
Brom	Bromo
Viètnam	Vietnam
Charlie Chaplin	Charles Chaplin
Koréa Kidul	Corea del Sur
The Simpsons	Los Simpson
Kripton	Kriptón
Afganistan	Afganistán
Gangnam Style	Gangnam Style
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubidio
Emas	Oro
Omsk	Omsk
Terusan Suèz	Canal de Suez
Bangladesh	Bangladés
Bleach	Bleach
Franz Kafka	Franz Kafka
Chelyabinsk	Cheliábinsk
Mali	Malí
Socrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Bhutan	Bután
Twitter	Twitter
Brunei Darussalam	Brunéi
Brač	Brač
Tanzania	Tanzania
Roald Amundsen	Roald Amundsen
Filipina	Filipinas
Republik Afrika Tengah	República Centroafricana
Naruto Uzumaki	Naruto Uzumaki
Kutub Kidul	Polo Sur
Kutub Lor	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Estroncio
Itrium	Itrio
Bismut	Bismuto
Kuning	Amarillo
Togo	Togo
Tunisia	Túnez
Zambia	Zambia
Zimbabwe	Zimbabue
Beijing	Pekín
Sudan Kidul	Sudán del Sur
Benin	Benín
Botswana	Botsuana
Wikinews	Wikinoticias
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Comoras
Republik Kongo	República del Congo
Alkmaar	Alkmaar
Republik Dhémokratis Kongo	República Democrática del Congo
San Antonio, Texas	San Antonio (Texas)
Djibouti	Yibuti
Bayern	Baviera
Guinea Khatulistiwa	Guinea Ecuatorial
Baden-Württemberg	Baden-Wurtemberg
Eritrea	Eritrea
New Delhi	Nueva Delhi
Paus Yohanes Paulus II	Juan Pablo II
Fyodor Dostoyevsky	Fiódor Dostoyevski
Amersfoort	Amersfoort
Tbilisi	Tiflis
Andrei Sakharov	Andréi Sájarov
Bayi	Bebé
Astatin	Ástato
Gabon	Gabón
Mohandas Gandhi	Mahatma Gandhi
Komik	Historieta
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bisáu
Panté Gadhing	Costa de Marfil
Kamerun	Camerún
Tanjung Verde	Cabo Verde
Lesotho	Lesoto
Liberia	Liberia
Libya	Libia
Madagaskar	Madagascar
Malawi	Malaui
Mauritania	Mauritania
Mauritius	Mauricio
Maroko	Marruecos
Mozambik	Mozambique
Namibia	Namibia
Niger	Níger
Nigéria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Zirkonium	Circonio
São Tomé lan Príncipe	Santo Tomé y Príncipe
Senegal	Senegal
Seychelles	Seychelles
Carolus Linnaeus	Carlos Linneo
Sierra Leone	Sierra Leona
Somalia	Somalia
Niobium	Niobio
Jawaharlal Nehru	Sri Pandit Jawaharlal Nehru
Julius Caesar	Julio César
Sudan	Sudán
Swaziland	Suazilandia
Kluwung	Arco iris
Molibden	Molibdeno
Hamburg	Hamburgo
Metabolisme	Metabolismo
Sistem imun	Sistema inmunitario
Évolusi	Evolución biológica
Perserikatan Bangsa-Bangsa	Organización de las Naciones Unidas
Dante Alighieri	Dante Alighieri
Géologi	Geología
Géografi	Geografía
Jantung	Corazón
Utek	Cerebro
Kulit	Piel
Werna	Color
Star Trek: The Original Series	Star Trek: La serie original
Tembung aran	Sustantivo
Praha	Praga
Rutenium	Rutenio
Rodium	Rodio
Biru	Azul
Paladium	Paladio
Pérak	Plata
Kadmium	Cadmio
Limburg (Walanda)	Limburgo (Países Bajos)
Indium	Indio (elemento)
Limburg (Belgia)	Provincia de Limburgo (Bélgica)
Timah	Estaño
Uranium	Uranio
Antimon	Antimonio
Telurium	Telurio
Brabant Lor	Brabante Septentrional
Plutonium	Plutonio
Yodium	Yodo
Neptunium	Neptunio
Xenon	Xenón
Anime	Anime
Sesium	Cesio
Protaktinium	Protactinio
Barium	Bario
Hafnium	Hafnio
Aktinium	Actinio
Tantalum	Tantalio
Bill Clinton	Bill Clinton
Radium	Radio (elemento)
Radon	Radón
Lorraine	Lorena (Francia)
Alsace	Alsacia
Indira Gandhi	Indira Gandhi
Auvergne	Auvernia
Mumbai	Bombay
Assam	Assam
Michigan	Míchigan
Bourgogne	Borgoña
Aquitaine	Aquitania
Puerto Riko	Puerto Rico
Limousin	Lemosín
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklemburgo-Pomerania Occidental
Niedersachsen	Baja Sajonia
Nordrhein-Westfalen	Renania del Norte-Westfalia
Hessen	Hesse
Rheinland-Pfalz	Renania-Palatinado
Saarland	Sarre
Sachsen	Sajonia
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Turingia
Sachsen-Anhalt	Sajonia-Anhalt
North Dakota	Dakota del Norte
Brandenburg	Brandeburgo
Bremen	Bremen (estado)
Lombardia	Lombardía
South Dakota	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Piemonte	Piamonte
Yérusalem	Jerusalén
Alster	Río Alster
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lembah Aosta	Valle de Aosta
Washington (negara bagéyan Amérika Sarékat)	Washington (estado)
Rutherfordium	Rutherfordio
Nevada	Nevada
Dubnium	Dubnio
Seaborgium	Seaborgio
Trentino-Alto Adige	Trentino-Alto Adigio
Samudra Hindhia	Océano Índico
Veneto	Véneto
Kosovo	Kosovo
Bohrium	Bohrio
Friuli-Venezia Giulia	Friuli-Venecia Julia
Hassium	Hassio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Meitnerium	Meitnerio
Colorado	Colorado
Emilia-Romagna	Emilia-Romaña
Darmstadtium	Darmstadio
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenium	Roentgenio
Toscana	Toscana
Marche	Marcas
Umbria	Umbría (Italia)
Latium	Lacio
Abruzzo	Abruzos
Alpen	Alpes
Pagunungan Carpathian	Montes Cárpatos
Blaise Pascal	Blaise Pascal
Chicago, Illinois	Chicago
The Beatles	The Beatles
Ununtrium	Ununtrio
Ununpentium	Unumpentio
Wageningen (Walanda)	Wageningen
Maastricht	Maastricht
Arnhem	Arnhem
Mangsa adhem	Invierno
Mangsa semi	Primavera
Mangsa panas	Verano
Mangsa gugur	Otoño
Saddam Hussein	Sadam Husein
Osama bin Laden	Osama bin Laden
Basa Spanyol	Idioma español
Johann Sebastian Bach	Johann Sebastian Bach
Opera	Ópera
Philadelphia	Filadelfia
Bangalore	Bangalore
Kemangga	Araneae
Arachnida	Arachnida
Chelicerata	Chelicerata
Arthropoda	Arthropoda
Islamabad	Islamabad
Woh	Fruto
Kethèk	Mono
Dhuwit	Dinero
Virginia	Virginia
West Virginia	Virginia Occidental
New York (negara bagéyan Amérika Sarékat)	Nueva York (estado)
Praseodimium	Praseodimio
Rhode Island	Rhode Island
Neodimium	Neodimio
Srangga	Insecta
Maryland	Maryland
Delaware	Delaware
Lenin	Lenin
Europium	Europio
Ohio	Ohio
Virgil	Virgilio
Niccolò Machiavelli	Nicolás Maquiavelo
Pennsylvania	Pensilvania
Uetersen	Uetersen
Augustus	César Augusto
Microsoft Windows	Microsoft Windows
New Jersey	Nueva Jersey
Gibraltar	Gibraltar
Basa Suomi	Idioma finés
Indiana	Indiana
Nokia	Nokia
Montor	Automóvil
Juventus F.C.	Juventus de Turín
Roger Federer	Roger Federer
Georgia (negara bagéan Amérika Sarékat)	Georgia (Estados Unidos)
Zagreb	Zagreb
Campania	Campania
Texas	Texas
Didius Julianus	Didio Juliano
Molise	Molise
Puglia	Apulia
Genova	Génova
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Basilicata	Basilicata
North Carolina	Carolina del Norte
South Carolina	Carolina del Sur
U.C. Sampdoria	Unione Calcio Sampdoria
Calabria	Calabria
Sisilia	Sicilia
Manila	Manila
Sardinia	Cerdeña
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III
Kali Seine	Río Sena
Bordeaux	Burdeos
Corazon Aquino	Corazón Aquino
Lupus	Lupus eritematoso sistémico
Buenos Aires	Buenos Aires
Hacker	Hacker
Mexico City	México, D. F.
Tokyo	Tokio
Barcelona	Barcelona
Mississippi	Misisipi
Ferdinand Magellan	Fernando de Magallanes
Kali Mississippi	Río Misisipi
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abiyán
Abu Dhabi	Abu Dabi
Astana, Kazakhstan	Astaná
New Mexico	Nuevo México
Aténa	Atenas
Minnesota	Minnesota
Bagdad	Bagdad
Caracas	Caracas
Wektu Universal Kakoordinasi	Tiempo universal coordinado
Wisconsin	Wisconsin
Cicero	Marco Tulio Cicerón
A.C. Milan	Associazione Calcio Milan
Iowa	Iowa
Métro de Lyon	Metro de Lyon
Nebraska	Nebraska
Kansas	Kansas
Basa Hindi	Hindi
Rokok	Cigarrillo
Ganésa	Ganesha
Missouri	Misuri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Basa Urdu	Urdu
Rijeka	Rijeka
Oklahoma	Oklahoma
Kali Danube	Danubio
Segara Lor	Mar del Norte
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Múnich
Erfurt	Érfurt
Voli	Voleibol
Innsbruck	Innsbruck
Sasuke Uchiha	Sasuke Uchiha
Wina	Viena
Madonna	Madonna
Kopenhagen	Copenhague
Stockholm	Estocolmo
Helsinki	Helsinki
Dublin	Dublín
Reykjavík	Reikiavik
Kakashi Hatake	Kakashi Hatake
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Charles Aznavour	Charles Aznavour
Gdańsk	Gdansk
Frankfurt	Fráncfort del Meno
Kabupatèn Asahan	Kabupaten Asahan
Wrocław	Breslavia
Lantanum	Lantano
Prometium	Prometio
Samarium	Samario
Acèh	Aceh
Karasjok	Karasjok
Kaliningrad	Kaliningrado
Gadolinium	Gadolinio
Zinédine Zidane	Zinedine Zidane
Terbium	Terbio
Katulik	Catolicismo
Luksemburg (kutha)	Luxemburgo (ciudad)
Disprosium	Disprosio
Alkitab	Biblia
Holmium	Holmio
San Marino (kutha)	San Marino (ciudad)
Erbium	Erbio
Kutha Ho Chi Minh	Ciudad Ho Chi Minh
Iterbium	Iterbio
Lutetium	Lutecio
Hanoi	Hanói
Gréja Yesus Sajati	Verdadera Iglesia de Jesús
Basa Inggris	Idioma inglés
Bangkok	Bangkok
Andorra la Vella	Andorra la Vieja
Kuala Lumpur	Kuala Lumpur
Kapuloan Bangka-Belitung	Bangka-Belitung
Taipei	Taipéi
Amerisium	Americio
Odessa	Odesa
Kurium	Curio
Dong Hoi	Đồng Hới
Concepción, Chili	Concepción (Chile)
Berkelium	Berkelio
Atalanta B.C.	Atalanta Bergamasca Calcio
Kalifornium	Californio
Bengkulu	Bengkulu
Bologna	Bolonia
Einsteinium	Einstenio
Bologna F.C. 1909	Bologna Football Club 1909
Fermium	Fermio
Mendelevium	Mendelevio
Kiev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobelium	Nobelio
Lawrensium	Lawrencio
Adil Rami	Adil Rami
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Franck Ribéry	Franck Ribéry
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Jérémy Menez	Jérémy Ménez
Alou Diarra	Alou Diarra
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Juba	Yuba (Sudán del Sur)
Alberta	Alberta
Yerevan	Ereván
Końskowola	Końskowola
Dar es Salaam	Dar es-Salam
Khartoum	Jartum
Formula Siji	Fórmula 1
British Columbia	Columbia Británica
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Karbon dioksida	Dióxido de carbono
2013	2013
2014	2014
2015	2015
2008	2008
JavaScript	JavaScript
2004	2004
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
Dragon ball	Dragon Ball
2006	2006
2007	2007
Verona	Verona
1900	1900
1901	1901
A.C. Chievo Verona	Associazione Calcio ChievoVerona
François Maurice Adrien Marie Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florencia
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Jambi	Jambi (provincia)
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Genoa C.F.C.	Genoa Cricket & Football Club
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Roseto degli Abruzzi	Roseto degli Abruzzi
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Pangan	Alimento
Ula	Serpentes
Jacques Chirac	Jacques Chirac
Lampung	Lampung
Sumatra Lor	Sumatra Septentrional
Son Goku	Son Gokū
1 Januari	1 de enero
2 Januari	2 de enero
1920	1920
3 Januari	3 de enero
1919	1919
1921	1921
1922	1922
4 Januari	4 de enero
1923	1923
Lance Armstrong	Lance Armstrong
1924	1924
Riau	Riau
QRpedia	QRpedia
GIF	Graphics Interchange Format
JPEG	Joint Photographic Experts Group
Planèt cilik	Planeta enano
5 Januari	5 de enero
6 Januari	6 de enero
Èlèktron	Electrón
7 Januari	7 de enero
8 Januari	8 de enero
9 Januari	9 de enero
10 Januari	10 de enero
11 Januari	11 de enero
12 Januari	12 de enero
13 Januari	13 de enero
Birmingham	Birmingham
14 Januari	14 de enero
15 Januari	15 de enero
16 Januari	16 de enero
Tom Hanks	Tom Hanks
17 Januari	17 de enero
18 Januari	18 de enero
19 Januari	19 de enero
20 Januari	20 de enero
Révolusi indhustri	Revolución Industrial
Sumatra Kidul	Sumatra Meridional
21 Januari	21 de enero
22 Januari	22 de enero
23 Januari	23 de enero
Kakaisaran Romawi	Imperio romano
24 Januari	24 de enero
25 Januari	25 de enero
Minsk	Minsk
26 Januari	26 de enero
Microsoft	Microsoft
27 Januari	27 de enero
28 Januari	28 de enero
29 Januari	29 de enero
30 Januari	30 de enero
31 Januari	31 de enero
Proton	Protón
2 Desember	2 de diciembre
1 Desember	1 de diciembre
3 Desember	3 de diciembre
7 Desember	7 de diciembre
5 Desember	5 de diciembre
8 Desember	8 de diciembre
10 Desember	10 de diciembre
6 Desember	6 de diciembre
9 Desember	9 de diciembre
4 Desember	4 de diciembre
1 Februari	1 de febrero
2 Februari	2 de febrero
3 Februari	3 de febrero
Kurów	Kurów
4 Februari	4 de febrero
5 Februari	5 de febrero
6 Februari	6 de febrero
7 Februari	7 de febrero
8 Februari	8 de febrero
9 Februari	9 de febrero
10 Februari	10 de febrero
Kimia	Química
Led Zeppelin	Led Zeppelin
14 Februari	14 de febrero
13 Februari	13 de febrero
15 Februari	15 de febrero
11 Februari	11 de febrero
12 Februari	12 de febrero
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19 Februari	19 de febrero
17 Februari	17 de febrero
16 Februari	16 de febrero
18 Februari	18 de febrero
20 Februari	20 de febrero
21 Februari	21 de febrero
22 Februari	22 de febrero
23 Februari	23 de febrero
24 Februari	24 de febrero
25 Februari	25 de febrero
26 Februari	26 de febrero
27	27
27 Februari	27 de febrero
28 Februari	28 de febrero
11 Desember	11 de diciembre
29 Februari	29 de febrero
