Африк	África
Одон орны нэгж	Unidad astronómica
Аче	Aceh
Калининград	Kaliningrado
Зинедин Зидан	Zinedine Zidane
Католик	Catolicismo
Люксембург (хот)	Luxemburgo (ciudad)
Вадуц	Vaduz
Библи	Biblia
Пномпень	Nom Pen
Архангельск	Arcángel (Rusia)
Хо Ши Мин хот	Ciudad Ho Chi Minh
Иттерби	Iterbio
Ханой	Hanói
Есүс Христийн Жинхэнэ Сүм	Verdadera Iglesia de Jesús
Англи хэл	Idioma inglés
Бангкок	Bangkok
Андорра-ла-Велья	Andorra la Vieja
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipéi
Америци	Americio
Одесс	Odesa
Архангельск муж	Óblast de Arcángel
Донгхой	Đồng Hới
Консепшон	Concepción (Chile)
Беркли	Berkelio
Мемфис Депай	Memphis Depay
Петрозаводск	Petrozavodsk
Кальяри	Cagliari
Киев	Kiev
Онтарио	Ontario
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	República de Carelia
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Evra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Yuba (Sudán del Sur)
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nueva Escocia
Ереван	Ereván
Вологда	Vólogda
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	Nuevo Brunswick
Бритиш Коламбиа	Columbia Británica
Принс Эдвардын Арал	Isla del Príncipe Eduardo
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Terranova y Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Territorios del Noroeste
Юкон	Yukón
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Florencia
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi (provincia)
Фиорентина	Associazione Calcio Firenze Fiorentina
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	Komi
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Leipzig
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Núremberg
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Alimento
Дуйсбург	Duisburgo
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung
Гэрлийн хурд	Velocidad de la luz
Билефельд	Bielefeld
XML	Extensible Markup Language
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatra Septentrional
1 сарын 1	1 de enero
1 сарын 2	2 de enero
1920 он	1920
1 сарын 3	3 de enero
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund
1 сарын 4	4 de enero
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau
Ленинград муж	Óblast de Leningrado
1 сарын 5	5 de enero
Мальмё	Malmö
1 сарын 6	6 de enero
Электрон	Electrón
1 сарын 7	7 de enero
1 сарын 8	8 de enero
1 сарын 9	9 de enero
1 сарын 10	10 de enero
Нижегород муж	Óblast de Nizhni Nóvgorod
1 сарын 11	11 de enero
1 сарын 12	12 de enero
Колумб мөрөн	Río Columbia
Африкийн Сципион	Publio Cornelio Escipión el Africano
1 сарын 13	13 de enero
Бирмингем	Birmingham
1 сарын 14	14 de enero
1 сарын 15	15 de enero
1 сарын 16	16 de enero
Том Хэнкс	Tom Hanks
1 сарын 17	17 de enero
1 сарын 18	18 de enero
1 сарын 19	19 de enero
1 сарын 20	20 de enero
Аж үйлдвэрийн хувьсгал	Revolución Industrial
Өмнө Суматра	Sumatra Meridional
1 сарын 21	21 de enero
1 сарын 22	22 de enero
1 сарын 23	23 de enero
Ромын эзэнт гүрэн	Imperio romano
1 сарын 24	24 de enero
1 сарын 25	25 de enero
Минск	Minsk
1 сарын 26	26 de enero
Microsoft	Microsoft
1 сарын 27	27 de enero
1 сарын 28	28 de enero
1 сарын 29	29 de enero
1 сарын 30	30 de enero
1 сарын 31	31 de enero
Тверь муж	Óblast de Tver
Протон	Protón
12 сарын 2	2 de diciembre
12 сарын 1	1 de diciembre
12 сарын 3	3 de diciembre
12 сарын 7	7 de diciembre
12 сарын 5	5 de diciembre
12 сарын 8	8 de diciembre
12 сарын 10	10 de diciembre
12 сарын 6	6 de diciembre
12 сарын 9	9 de diciembre
Пинк Флойд	Pink Floyd
12 сарын 4	4 de diciembre
2 сарын 1	1 de febrero
2 сарын 2	2 de febrero
2 сарын 3	3 de febrero
Куров	Kurów
2 сарын 4	4 de febrero
2 сарын 5	5 de febrero
2 сарын 6	6 de febrero
2 сарын 7	7 de febrero
2 сарын 8	8 de febrero
2 сарын 9	9 de febrero
2 сарын 10	10 de febrero
Хими	Química
2 сарын 14	14 de febrero
2 сарын 13	13 de febrero
2 сарын 15	15 de febrero
2 сарын 11	11 de febrero
2 сарын 12	12 de febrero
Робин ван Перси	Robin van Persie
2 сарын 19	19 de febrero
2 сарын 17	17 de febrero
2 сарын 16	16 de febrero
2 сарын 18	18 de febrero
2 сарын 20	20 de febrero
Нейтрон	Neutrón
2 сарын 21	21 de febrero
2 сарын 22	22 de febrero
2 сарын 23	23 de febrero
2 сарын 24	24 de febrero
2 сарын 25	25 de febrero
2 сарын 26	26 de febrero
2 сарын 27	27 de febrero
2 сарын 28	28 de febrero
12 сарын 11	11 de diciembre
2 сарын 29	29 de febrero
12 сарын 12	12 de diciembre
12 сарын 13	13 de diciembre
12 сарын 14	14 de diciembre
12 сарын 15	15 de diciembre
3 сарын 2	2 de marzo
3 сарын 3	3 de marzo
3 сарын 5	5 de marzo
3 сарын 1	1 de marzo
3 сарын 7	7 de marzo
3 сарын 8	8 de marzo
3 сарын 4	4 de marzo
3 сарын 10	10 de marzo
3 сарын 11	11 de marzo
3 сарын 6	6 de marzo
3 сарын 13	13 de marzo
3 сарын 9	9 de marzo
3 сарын 12	12 de marzo
3 сарын 15	15 de marzo
3 сарын 14	14 de marzo
C++	C++
12 сарын 16	16 de diciembre
12 сарын 17	17 de diciembre
