ఆఫ్రికా	África
లింగ భేదం	Sexo
చిలీ	Chile
యేసు	Jesús de Nazaret
శారీరక దండన	Castigo físico
గెలీలియో గెలీలి	Galileo Galilei
బుధుడు	Mercurio (planeta)
చరిత్ర	Historia
యాపిల్ ఇన్‌కార్పొరేషన్	Apple
శుక్రుడు	Venus (planeta)
భాష	Lenguaje
ప్రేమ	Amor
నియంతృత్వం	Dictadura
గేలక్సీ	Galaxia
గురుడు	Júpiter (planeta)
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Vía Láctea
మహా విస్ఫోటం	Teoría del Big Bang
యురేనస్	Urano (planeta)
ఆంగ్ల వికీపీడియా	Wikipedia en inglés
నెప్ట్యూన్	Neptuno (planeta)
ఖగోళ శాస్త్రము	Astronomía
సింగపూరు	Singapur
విజ్ఞానశాస్త్రం	Ciencia
ప్లూటో	Plutón (planeta enano)
మాంట్రియల్	Montreal
కాలము	Futuro
మరియమ్	María (madre de Jesús)
ఆటలు	Deporte
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Primera Guerra Mundial
రెండవ ప్రపంచ యుద్ధం	Segunda Guerra Mundial
కొలోన్	Colonia (Alemania)
వికీబుక్స్	Wikilibros
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu
బాబ్ డైలాన్	Bob Dylan
గణితము	Matemáticas
లాటిన్	Latín
బహ్రయిన్	Baréin
ఆర్మేనియా	Armenia
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Serbia
చంద్రుడు	Luna
ఇస్తాంబుల్	Estambul
ఆస్ట్రేలియా	Australia
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Física
అర్జెంటీనా	Argentina
పెరూ	Perú
జీవ శాస్త్రము	Biología
గుర్తించబడని ఎగురుతున్న వస్తువు	Objeto volador no identificado
ఉత్తర కొరియా	Corea del Norte
కంబోడియా	Camboya
క్యూపర్ బెల్ట్	Cinturón de Kuiper
ఖోరాన్	Corán
రాక్షసబల్లి	Dinosauria
జంతుశాస్త్రం	Zoología
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Botánica
లెక్ వలీసా	Lech Wałęsa
చక్రం	Rueda
శాంతి	Paz
బ్రిటానికా విజ్ఞాన సర్వస్వము	Enciclopedia Británica
ఐరోపా సమాఖ్య	Unión Europea
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Mujer
కవి	Poesía
కంప్యూటర్ వైరస్	Virus informático
నవ్వు	Sonrisa
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Bombardeos atómicos sobre Hiroshima y Nagasaki
మిలన్	Milán
మిత్రుడు	Amistad
మలము	Excremento
గుదము	Ano
చంక	Axila
నిమ్మ	Citrus × limon
పుష్పము	Flor
గూగోల్	Gúgol
ఎవరెస్టు పర్వతం	Monte Everest
శరీర నిర్మాణ శాస్త్రము	Anatomía
నగరము	Ciudad
నెపోలియన్	Napoleón Bonaparte
శరీరశాస్త్రం	Fisiología
నక్షత్రము (ఖగోళశాస్త్రం)	Estrella
సూర్యుడు	Sol
ఆకాశం	Cielo
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Año luz
గ్రామం	Pueblo (población rural)
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceanía
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Sistema Solar
హైడ్రోజన్	Hidrógeno
హీలియం	Helio
పన్ను	Diente
నరకం	Infierno
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Litio
బెరీలియం	Berilio
పుస్తకము	Libro
తూర్పు తైమూర్	Timor Oriental
రాత్రి	Noche
సంవత్సరము	Año
కృష్ణబిలం	Agujero negro
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (planeta enano)
లిస్బన్	Lisboa
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (planeta enano)
దుబాయ్	Dubái
బోరాన్	Boro
నికోలాస్ కోపర్నికస్	Nicolás Copérnico
కార్బన్	Carbono
నత్రజని	Nitrógeno
ఆక్సిజన్	Oxígeno
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Inter de Milán
గ్రహం	Planeta
క్లియోపాత్రా	Cleopatra VII
భారతీయ సంగీతము	Música
వెనిస్	Venecia
ఉష్ణమాపకం	Termómetro
మాస్కో	Moscú
ఫ్లోరిన్	Flúor
చువావా (కుక్క)	Chihuahueño (perro)
నియాన్	Neón
సెయింట్ పీటర్స్‌బర్గ్	San Petersburgo
చాద్	Chad
సోడియం	Sodio
ఉత్తరం	Norte
మెగ్నీషియం	Magnesio
అల్యూమినియం	Aluminio
న్యూజీలాండ్	Nueva Zelanda
దక్షిణం	Sur
భారత దేశము	India
సిలికాన్	Silicio
భాస్వరము	Fósforo
ఇనుము	Hierro
పడమర	Oeste
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Azufre
సమోవా	Samoa
తూర్పు	Este
సోలమన్ దీవులు	Islas Salomón
వనాటు	Vanuatu
క్లోరిన్	Cloro
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Potasio
కాల్షియమ్	Calcio
సీసము (మూలకము)	Plomo
కిరిబటి	Kiribati
మంగోలియా	Mongolia
ఫిజీ	Fiyi
స్కాండియం	Escandio
టైటానియం	Titanio
వెనుజులా	Venezuela
చదరంగం (ఆట)	Ajedrez
చెంఘీజ్ ఖాన్	Gengis Kan
వెనేడియం	Vanadio
మెయిన్	Maine
క్రోమియం	Cromo
గుర్రము	Equus ferus caballus
ఆయుధం	Arma
జంతువు	Animalia
సురినామ్	Surinam
మాంగనీస్	Manganeso
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Colombia
కోబాల్ట్	Cobalto
నికెల్	Níquel
బౌద్ధ మతము	Budismo
బొలీవియా	Bolivia
ఓస్మియం	Osmio
రాగి	Cobre
ట్రినిడాడ్ మరియు టొబాగో	Trinidad y Tobago
మొక్క	Plantae
తుత్తునాగము	Cinc
న్యూహాంప్‌షైర్	Nuevo Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Fungi
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamas
కనెక్టికట్	Connecticut
కోడి	Gallus gallus domesticus
ఆంటిగ్వా మరియు బార్బుడా	Antigua y Barbuda
హవాయి	Hawái
హోండురాస్	Honduras
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	República Dominicana
పంది	Sus scrofa domestica
ఆర్క్‌టిక్ మహాసముద్రం	Océano Ártico
ఇరాన్	Irán
మూగతనం	Tonto
ఇరాక్	Irak
అలాస్కా	Alaska
వివేకం	Sabiduría
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panamá
యెమన్	Yemen
వైరస్	Virus
జోర్డాన్	Jordania
ఫ్లోరిడా	Florida
కిర్గిజిస్తాన్	Kirguistán
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Líbano
ఓరెగాన్	Oregón
మాల్దీవులు	Maldivas
యూటా	Utah
పశువు	Bos primigenius taurus
మలేషియా	Malasia
మయన్మార్	Birmania
నేపాల్	Nepal
ఒమన్	Omán
పాకిస్తాన్	Pakistán
కతర్	Catar
టెన్నిస్	Tenis
సౌదీ అరేబియా	Arabia Saudita
శ్రీలంక	Sri Lanka
స్టాలిన్	Iósif Stalin
బార్‌కోడ్	Código de barras
సిరియా	Siria
ప్లేటో	Platón
గాలియం	Galio
తజికిస్తాన్	Tayikistán
తైవాన్	República de China
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germanio
అరిస్టాటిల్	Aristóteles
థాయిలాండ్	Tailandia
రైలు	Tren
ఆర్సెనిక్	Arsénico
రేడియో	Radiocomunicación
తుర్కమేనిస్తాన్	Turkmenistán
సెలీనియం	Selenio
యునైటెడ్ అరబ్ ఎమిరేట్స్	Emiratos Árabes Unidos
బ్రోమిన్	Bromo
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charles Chaplin
దక్షిణ కొరియా	Corea del Sur
ఆఫ్ఘనిస్తాన్	Afganistán
బంగారం	Oro
సూయజ్ కాలువ	Canal de Suez
శాస్త్రవేత్త	Científico
బంగ్లాదేశ్	Bangladés
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sócrates
అంగోలా	Angola
భూటాన్	Bután
ట్విట్టర్	Twitter
బ్రూనై	Brunéi
టాంజానియా	Tanzania
ఫిలిప్పీన్స్	Filipinas
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	República Centroafricana
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Estroncio
పసుపు (రంగు)	Amarillo
ట్యునీషియా	Túnez
జాంబియా	Zambia
జింబాబ్వే	Zimbabue
బీజింగ్	Pekín
దక్షిణ సూడాన్	Sudán del Sur
బెనిన్	Benín
బోత్సువానా	Botsuana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Comoras
కాంగో రిపబ్లిక్	República del Congo
శాన్ అంటోనియో	San Antonio (Texas)
జిబౌటి	Yibuti
బవేరియా	Baviera
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	Nueva Delhi
దాస్తొయెవ్‌స్కీ	Fiódor Dostoyevski
శిశువు	Bebé
గబాన్	Gabón
మహాత్మా గాంధీ	Mahatma Gandhi
కామిక్స్	Historieta
గాంబియా	Gambia
కోటె డి ఐవొరి	Costa de Marfil
కామెరూన్	Camerún
కేప్ వర్దె	Cabo Verde
లిబియా	Libia
మడగాస్కర్	Madagascar
మౌరిటానియ	Mauritania
మారిషస్	Mauricio
మొరాకో	Marruecos
మొజాంబిక్	Mozambique
నమీబియా	Namibia
నైజర్	Níger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Ruanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carlos Linneo
సొమాలియా	Somalia
నియోబియం	Niobio
జవహర్‌లాల్ నెహ్రూ	Sri Pandit Jawaharlal Nehru
జూలియస్ సీజర్	Julio César
సూడాన్	Sudán
ఇంద్రధనస్సు	Arco iris
టెక్నీషియం	Tecnecio
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Sistema inmunitario
గుజరాత్	Guyarat
పరిణామం	Evolución biológica
ఐక్యరాజ్య సమితి	Organización de las Naciones Unidas
భూగోళ శాస్త్రము	Geografía
గుండె	Corazón
మెదడు	Cerebro
చర్మము	Piel
రంగు	Color
నామవాచకం	Sustantivo
నీలము	Azul
వెండి	Plata
కాడ్మియం	Cadmio
తగరము	Estaño
అయోడిన్	Yodo
సీసియం	Cesio
విద్యుద్భరితము	Carga eléctrica
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Bombay
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Míchigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu y Cachemira
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharastra
మణిపూర్	Manipur
మేఘాలయ	Megalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	Dakota del Norte
సౌత్ డకోటా	Dakota del Sur
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalén
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Océano Índico
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Butros Butros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Río Colorado
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Categoría:Índice de categorías
ఆల్ప్స్ పర్వతాలు	Alpes
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Invierno
వేసవి కాలం	Verano
విషువత్తు	Equinoccio
సద్దామ్ హుసేన్	Sadam Husein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Idioma español
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Filadelfia
కోల్‌కత	Calcuta
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Daca
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Bengala Occidental
సాలెపురుగు	Araneae
ఆర్థ్రోపోడా	Arthropoda
హైదరాబాదు	Hyderabad (India)
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Fruto
కోతి	Mono
ధనం	Dinero
వర్జీనియా	Virginia
పశ్చిమ వర్జీనియా	Virginia Occidental
న్యూయార్క్ రాష్ట్రం	Nueva York (estado)
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insecta
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Lenin
ఒహాయో	Ohio
మాకియవెలీ	Nicolás Maquiavelo
పెన్సిల్వేనియా	Pensilvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	César Augusto
విండోస్	Microsoft Windows
న్యూజెర్సీ	Nueva Jersey
నీరో	Nerón
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Automóvil
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia (Estados Unidos)
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rayastán
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	Carolina del Norte
మైదాన హాకీ	Hockey sobre césped
సౌత్ కెరొలినా	Carolina del Sur
సిసిలీ	Sicilia
మనీలా	Manila
సార్డీనియా	Cerdeña
క్రోన్స్ వ్యాధి	Enfermedad de Crohn
టోక్యో	Tokio
అనాస	Ananas comosus
మిసిసిపీ	Misisipi
మిసిసిపీ నది	Río Misisipi
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Piscina
మిజోరాం	Mizorán
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	Nuevo México
ఏథెన్స్	Atenas
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Idioma maratí
పొగ చుట్ట	Puro
సిగరెట్	Cigarrillo
వినాయకుడు	Ganesha
మిస్సోరీ	Misuri
లూసియానా	Luisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Danubio
వాలీబాల్	Voleibol
వియన్నా	Viena
కోపెన్‌హాగన్	Copenhague
స్టాక్‌హోమ్	Estocolmo
కొచ్చి	Cochín
బైబిల్	Biblia
నిజ ఏసుక్రీస్తు మండలి	Verdadera Iglesia de Jesús
ఆంగ్ల భాష	Idioma inglés
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Fórmula 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Dióxido de carbono
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florencia
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Alimento
పాము	Serpentes
XML	Extensible Markup Language
నోటితో రతి	Sexo oral
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Son Gokū
జనవరి 1	1 de enero
జనవరి 2	2 de enero
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3 de enero
1919	1919
1921	1921
1922	1922
జనవరి 4	4 de enero
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Cinturón de asteroides
గిఫ్	Graphics Interchange Format
మరుగుజ్జు గ్రహం	Planeta enano
జనవరి 5	5 de enero
జనవరి 6	6 de enero
ఎలక్ట్రాన్	Electrón
జనవరి 7	7 de enero
జనవరి 8	8 de enero
జనవరి 9	9 de enero
జనవరి 10	10 de enero
జనవరి 11	11 de enero
జనవరి 12	12 de enero
జనవరి 13	13 de enero
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14 de enero
జనవరి 15	15 de enero
జనవరి 16	16 de enero
జనవరి 17	17 de enero
జనవరి 18	18 de enero
జనవరి 19	19 de enero
జనవరి 20	20 de enero
పారిశ్రామిక విప్లవం	Revolución Industrial
జనవరి 21	21 de enero
జనవరి 22	22 de enero
జనవరి 23	23 de enero
జనవరి 24	24 de enero
జనవరి 25	25 de enero
జనవరి 26	26 de enero
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27 de enero
జనవరి 28	28 de enero
జనవరి 29	29 de enero
జనవరి 30	30 de enero
జనవరి 31	31 de enero
ప్రోటాన్	Protón
డిసెంబర్ 2	2 de diciembre
డిసెంబర్ 1	1 de diciembre
డిసెంబర్ 3	3 de diciembre
డిసెంబర్ 7	7 de diciembre
డిసెంబర్ 5	5 de diciembre
డిసెంబర్ 8	8 de diciembre
డిసెంబర్ 10	10 de diciembre
డిసెంబర్ 6	6 de diciembre
డిసెంబర్ 9	9 de diciembre
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4 de diciembre
ఫిబ్రవరి 1	1 de febrero
ఫిబ్రవరి 2	2 de febrero
ఫిబ్రవరి 3	3 de febrero
కురోవ్	Kurów
ఫిబ్రవరి 4	4 de febrero
ఫిబ్రవరి 5	5 de febrero
ఫిబ్రవరి 6	6 de febrero
ఫిబ్రవరి 7	7 de febrero
ఫిబ్రవరి 8	8 de febrero
ఫిబ్రవరి 9	9 de febrero
ఫిబ్రవరి 10	10 de febrero
రసాయన శాస్త్రము	Química
ఫిబ్రవరి 14	14 de febrero
ఫిబ్రవరి 13	13 de febrero
ఫిబ్రవరి 15	15 de febrero
ఫిబ్రవరి 11	11 de febrero
ఫిబ్రవరి 12	12 de febrero
ఫిబ్రవరి 19	19 de febrero
ఫిబ్రవరి 17	17 de febrero
ఫిబ్రవరి 16	16 de febrero
ఫిబ్రవరి 18	18 de febrero
ఫిబ్రవరి 20	20 de febrero
12 యాంగ్రీ మెన్	12 Angry Men (película de 1957)
న్యూట్రాన్	Neutrón
69 భంగిమ	69 (postura)
ఫిబ్రవరి 21	21 de febrero
ఫిబ్రవరి 22	22 de febrero
ఫిబ్రవరి 23	23 de febrero
ఫిబ్రవరి 24	24 de febrero
ఫిబ్రవరి 25	25 de febrero
ఫిబ్రవరి 26	26 de febrero
ఫిబ్రవరి 27	27 de febrero
ఫిబ్రవరి 28	28 de febrero
డిసెంబర్ 11	11 de diciembre
ఫిబ్రవరి 29	29 de febrero
డిసెంబర్ 12	12 de diciembre
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13 de diciembre
డిసెంబర్ 14	14 de diciembre
డిసెంబర్ 15	15 de diciembre
మార్చి 2	2 de marzo
మార్చి 3	3 de marzo
మార్చి 5	5 de marzo
మార్చి 1	1 de marzo
మార్చి 7	7 de marzo
మార్చి 8	8 de marzo
మార్చి 4	4 de marzo
మార్చి 10	10 de marzo
మార్చి 11	11 de marzo
మార్చి 6	6 de marzo
మార్చి 13	13 de marzo
మార్చి 9	9 de marzo
మార్చి 12	12 de marzo
మార్చి 15	15 de marzo
మార్చి 14	14 de marzo
డిసెంబర్ 16	16 de diciembre
డిసెంబర్ 17	17 de diciembre
మార్చి 16	16 de marzo
మార్చి 17	17 de marzo
మార్చి 18	18 de marzo
మార్చి 19	19 de marzo
1989	1989
1988	1988
మార్చి 20	20 de marzo
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21 de marzo
1983	1983
మార్చి 22	22 de marzo
1982	1982
1981	1981
డిసెంబర్ 18	18 de diciembre
1980	1980
మార్చి 23	23 de marzo
డిసెంబర్ 19	19 de diciembre
మార్చి 24	24 de marzo
మార్చి 25	25 de marzo
డిసెంబర్ 20	20 de diciembre
మార్చి 26	26 de marzo
మార్చి 27	27 de marzo
మార్చి 28	28 de marzo
మార్చి 29	29 de marzo
మార్చి 30	30 de marzo
మార్చి 31	31 de marzo
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15 de abril
ఏప్రిల్ 13	13 de abril
ఏప్రిల్ 12	12 de abril
ఏప్రిల్ 14	14 de abril
ఏప్రిల్ 11	11 de abril
ఏప్రిల్ 10	10 de abril
ఏప్రిల్ 8	8 de abril
ఏప్రిల్ 9	9 de abril
